,name,height,wingspan
0,Quincy Acy,6' 6.5'',7' 2.75''
1,Harrison Barnes,6' 7'',6' 11.25''
2,Will Barton,6' 5'',6' 9.75''
3,Bradley Beal,6' 3.25'',6' 8''
4,J'Covan Brown,6' 1'',6' 5.25''
5,William Buford,6' 4'',6' 9.5''
6,Jae Crowder,6' 4.75'',6' 9.25''
7,Jared Cunningham,6' 3.5'',6' 6.5''
8,Anthony Davis,6' 9.25'',7' 5.5''
9,Marcus Denmon,6' 2.25'',6' 5''
10,Andre Drummond,6' 9.75'',7' 6.25''
11,Kim English,6' 4.5'',6' 6.5''
12,Festus Ezeli,6' 9.75'',7' 5.75''
13,Drew Gordon,6' 8'',6' 11.5''
14,Draymond Green,6' 5.75'',7' 1.25''
15,JaMychal Green,6' 8'',7' 2.25''
16,Maurice Harkless,6' 7.25'',7' 0''
17,John Henson,6' 9'',7' 5''
18,Tu Holloway,5' 10.5'',6' 5.5''
19,Robbie Hummel,6' 7.25'',6' 8.5''
20,Bernard James,6' 8.75'',7' 3''
21,John Jenkins,6' 3.25'',6' 8.5''
22,Orlando Johnson,6' 3.75'',6' 11.25''
23,Darius Johnson-Odom,6' 1.5'',6' 7''
24,Terrence Jones,6' 8.25'',7' 2.25''
25,Perry Jones,6' 10.25'',7' 1.75''
26,Kevin Jones,6' 6.25'',7' 1.5''
27,Kris Joseph,6' 6'',6' 11''
28,Michael Kidd-Gilchrist,6' 5.75'',7' 0''
29,Jeremy Lamb,6' 4'',6' 11''
30,Doron Lamb,6' 3.25'',6' 6.75''
31,Meyers Leonard,6' 11.75'',7' 3''
32,Damian Lillard,6' 1.75'',6' 7.75''
33,Scott Machado,6' 1'',6' 4''
34,Kendall Marshall,6' 3.25'',6' 5.5''
35,Fab Melo,6' 10.75'',7' 2.5''
36,Khris Middleton,6' 6.75'',6' 10.75''
37,Quincy Miller,6' 8.75'',7' 1.25''
38,Darius Miller,6' 6'',6' 9''
39,Tony Mitchell,6' 5.25'',6' 10''
40,Arnett Moultrie,6' 9.5'',7' 2.25''
41,Kevin Murphy,6' 5'',6' 6.75''
42,Andrew Nicholson,6' 8.5'',7' 4''
43,Kyle O'Quinn,6' 8.5'',7' 4.75''
44,Miles Plumlee,6' 10.5'',7' 0.75''
45,Austin Rivers,6' 3.5'',6' 7.25''
46,Thomas Robinson,6' 7.75'',7' 3.25''
47,Terrence Ross,6' 6'',6' 7.25''
48,Tomas Satoransky,6' 6.5'',6' 7.25''
49,Mike Scott,6' 7.25'',6' 10.75''
50,Henry Sims,6' 10'',7' 4''
51,Jared Sullinger,6' 7.75'',7' 1.25''
