Player,Team,G,MP,TS%,MPG
D'Angelo Russell,MIN,65.0,2077.0,0.544,31.953846153846154
D.J. Augustin,2TM,55.0,883.0,0.61,16.054545454545455
D.J. Wilson,TOR,4.0,54.0,0.773,13.5
DaQuan Jeffries,MEM,3.0,9.0,0.5,3.0
Daishen Nix,HOU,24.0,261.0,0.48,10.875
Dakota Mathias,MEM,6.0,16.0,0.5,2.6666666666666665
Dalano Banton,TOR,64.0,696.0,0.463,10.875
Damian Jones,SAC,56.0,1017.0,0.701,18.160714285714285
Damian Lillard,POR,29.0,1056.0,0.55,36.41379310344828
Damion Lee,GSW,63.0,1256.0,0.561,19.936507936507937
Damyean Dotson,NYK,2.0,21.0,0.5,10.5
Daniel Gafford,WAS,72.0,1444.0,0.708,20.055555555555557
Daniel Oturu,TOR,3.0,27.0,0.549,9.0
Daniel Theis,2TM,47.0,977.0,0.595,20.78723404255319
Danilo Gallinari,ATL,66.0,1672.0,0.579,25.333333333333332
Danny Green,PHI,62.0,1353.0,0.561,21.822580645161292
Danuel House Jr.,3TM,42.0,727.0,0.555,17.30952380952381
Darius Bazley,OKC,69.0,1924.0,0.515,27.884057971014492
Darius Garland,CLE,68.0,2430.0,0.576,35.73529411764706
Darren Collison,LAL,3.0,37.0,0.286,12.333333333333334
David Duke Jr.,BRK,22.0,341.0,0.444,15.5
David Johnson,TOR,2.0,2.0,0.0,1.0
David Nwaba,HOU,46.0,609.0,0.567,13.23913043478261
Davion Mitchell,SAC,75.0,2076.0,0.489,27.68
Davon Reed,DEN,48.0,668.0,0.624,13.916666666666666
Day'Ron Sharpe,BRK,32.0,391.0,0.593,12.21875
De'Aaron Fox,SAC,59.0,2083.0,0.549,35.30508474576271
De'Andre Hunter,ATL,53.0,1577.0,0.547,29.754716981132077
De'Anthony Melton,MEM,73.0,1657.0,0.529,22.698630136986303
DeAndre Jordan,2TM,48.0,622.0,0.641,12.958333333333334
DeAndre' Bembry,2TM,56.0,1026.0,0.601,18.321428571428573
DeMar DeRozan,CHI,76.0,2743.0,0.59,36.0921052631579
DeMarcus Cousins,2TM,48.0,718.0,0.567,14.958333333333334
Dean Wade,CLE,51.0,980.0,0.584,19.215686274509803
Deandre Ayton,PHO,58.0,1713.0,0.656,29.53448275862069
Deividas Sirvydis,DET,3.0,27.0,0.15,9.0
Dejounte Murray,SAS,68.0,2366.0,0.533,34.794117647058826
Delon Wright,ATL,77.0,1452.0,0.576,18.857142857142858
Deni Avdija,WAS,82.0,1984.0,0.536,24.195121951219512
Dennis Schröder,2TM,64.0,1837.0,0.539,28.703125
Dennis Smith Jr.,POR,37.0,638.0,0.474,17.243243243243242
Denzel Valentine,2TM,24.0,222.0,0.523,9.25
Derrick Favors,OKC,39.0,653.0,0.534,16.743589743589745
Derrick Jones Jr.,CHI,51.0,899.0,0.633,17.627450980392158
Derrick Rose,NYK,26.0,636.0,0.541,24.46153846153846
Derrick Walton,DET,3.0,108.0,0.342,36.0
Derrick White,2TM,75.0,2199.0,0.549,29.32
Desmond Bane,MEM,76.0,2266.0,0.592,29.81578947368421
Devin Booker,PHO,68.0,2345.0,0.576,34.48529411764706
Devin Cannady,ORL,5.0,145.0,0.531,29.0
Devin Vassell,SAS,71.0,1937.0,0.54,27.281690140845072
Devon Dotson,CHI,11.0,85.0,0.538,7.7272727272727275
Devontae Cacok,SAS,15.0,121.0,0.675,8.066666666666666
Devonte' Graham,NOP,76.0,2162.0,0.514,28.44736842105263
Dewayne Dedmon,MIA,67.0,1065.0,0.632,15.895522388059701
Didi Louzada,2TM,9.0,129.0,0.517,14.333333333333334
Dillon Brooks,MEM,32.0,885.0,0.515,27.65625
Domantas Sabonis,2TM,62.0,2136.0,0.637,34.45161290322581
Donovan Mitchell,UTA,67.0,2266.0,0.572,33.82089552238806
Donte DiVincenzo,2TM,42.0,1006.0,0.51,23.952380952380953
Dorian Finney-Smith,DAL,80.0,2644.0,0.604,33.05
Doug McDermott,SAS,51.0,1223.0,0.593,23.980392156862745
Draymond Green,GSW,46.0,1329.0,0.582,28.891304347826086
Drew Eubanks,2TM,71.0,1245.0,0.638,17.535211267605632
Duane Washington Jr.,IND,48.0,968.0,0.521,20.166666666666668
Duncan Robinson,MIA,79.0,2043.0,0.573,25.860759493670887
Dwight Howard,LAL,60.0,971.0,0.657,16.183333333333334
Dwight Powell,DAL,82.0,1798.0,0.725,21.926829268292682
Dylan Windler,CLE,50.0,459.0,0.519,9.18
Dāvis Bertāns,2TM,56.0,807.0,0.531,14.410714285714286
Ed Davis,CLE,31.0,201.0,0.632,6.483870967741935
Elfrid Payton,PHO,50.0,549.0,0.397,10.98
Elijah Hughes,2TM,36.0,434.0,0.426,12.055555555555555
Emanuel Terry,PHO,3.0,18.0,0.0,6.0
Emmanuel Mudiay,SAC,2.0,11.0,0.399,5.5
Enes Freedom,BOS,35.0,411.0,0.585,11.742857142857142
Eric Bledsoe,LAC,54.0,1361.0,0.514,25.203703703703702
Eric Gordon,HOU,57.0,1669.0,0.614,29.280701754385966
Eric Paschall,UTA,58.0,736.0,0.612,12.689655172413794
Eugene Omoruyi,DAL,4.0,18.0,0.518,4.5
Evan Fournier,NYK,80.0,2358.0,0.554,29.475
Evan Mobley,CLE,69.0,2331.0,0.549,33.78260869565217
Facundo Campazzo,DEN,65.0,1184.0,0.503,18.215384615384615
Feron Hunt,NYK,2.0,8.0,0.0,4.0
Frank Jackson,DET,53.0,1164.0,0.53,21.962264150943398
Frank Kaminsky,PHO,9.0,181.0,0.635,20.11111111111111
Frank Ntilikina,DAL,58.0,685.0,0.513,11.810344827586206
Franz Wagner,ORL,79.0,2429.0,0.559,30.746835443037973
Fred VanVleet,TOR,65.0,2462.0,0.552,37.87692307692308
Freddie Gillespie,ORL,9.0,119.0,0.419,13.222222222222221
Furkan Korkmaz,PHI,67.0,1414.0,0.502,21.104477611940297
Gabe Vincent,MIA,68.0,1589.0,0.551,23.36764705882353
Gabe York,IND,2.0,21.0,0.435,10.5
Gabriel Deck,OKC,7.0,56.0,0.643,8.0
Gabriel Lundberg,PHO,4.0,44.0,0.342,11.0
Garrett Temple,NOP,59.0,1098.0,0.494,18.610169491525422
Garrison Mathews,HOU,65.0,1712.0,0.602,26.338461538461537
Gary Clark,NOP,38.0,378.0,0.547,9.947368421052632
Gary Harris,ORL,61.0,1730.0,0.571,28.360655737704917
Gary Payton II,GSW,71.0,1247.0,0.679,17.56338028169014
Gary Trent Jr.,TOR,70.0,2448.0,0.546,34.97142857142857
George Hill,MIL,54.0,1253.0,0.552,23.203703703703702
George King,DAL,4.0,19.0,0.085,4.75
