Player,Team,G,MP,TS%,MPG
Aaron Gordon,2TM,50.0,1384.0,0.547,27.68
Aaron Holiday,IND,66.0,1176.0,0.503,17.818181818181817
Aaron Nesmith,BOS,46.0,669.0,0.573,14.543478260869565
Abdel Nader,PHO,24.0,355.0,0.605,14.791666666666666
Adam Mokoka,CHI,14.0,56.0,0.386,4.0
Al Horford,OKC,28.0,782.0,0.538,27.928571428571427
Al-Farouq Aminu,2TM,23.0,434.0,0.469,18.869565217391305
Alec Burks,NYK,49.0,1255.0,0.564,25.612244897959183
Aleksej Pokusevski,OKC,45.0,1090.0,0.43,24.22222222222222
Alen Smailagić,GSW,15.0,84.0,0.472,5.6
Alex Caruso,LAL,58.0,1216.0,0.547,20.96551724137931
Alex Len,2TM,64.0,979.0,0.643,15.296875
Alfonzo McKinnie,LAL,39.0,258.0,0.604,6.615384615384615
Alize Johnson,BRK,18.0,189.0,0.638,10.5
Amida Brimah,IND,5.0,29.0,0.697,5.8
Amir Coffey,LAC,44.0,394.0,0.585,8.954545454545455
Anderson Varejão,CLE,5.0,36.0,0.326,7.2
Andre Drummond,2TM,46.0,1242.0,0.519,27.0
Andre Iguodala,MIA,63.0,1339.0,0.519,21.253968253968253
Andre Roberson,BRK,5.0,63.0,0.202,12.6
Andrew Wiggins,GSW,71.0,2364.0,0.568,33.29577464788732
Anfernee Simons,POR,64.0,1104.0,0.589,17.25
Anthony Davis,LAL,36.0,1162.0,0.556,32.27777777777778
Anthony Edwards,MIN,72.0,2314.0,0.523,32.138888888888886
Anthony Gill,WAS,26.0,218.0,0.597,8.384615384615385
Anthony Lamb,HOU,24.0,415.0,0.523,17.291666666666668
Anthony Tolliver,PHI,11.0,99.0,0.433,9.0
Anžejs Pasečņiks,WAS,1.0,6.0,0.0,6.0
Armoni Brooks,HOU,20.0,520.0,0.565,26.0
Aron Baynes,TOR,53.0,980.0,0.503,18.49056603773585
Austin Rivers,2TM,36.0,845.0,0.551,23.47222222222222
Avery Bradley,2TM,27.0,602.0,0.487,22.296296296296298
Axel Toupane,MIL,8.0,61.0,0.497,7.625
Bam Adebayo,MIA,64.0,2143.0,0.626,33.484375
Ben McLemore,2TM,53.0,905.0,0.523,17.07547169811321
Ben Simmons,PHI,58.0,1877.0,0.584,32.36206896551724
Bismack Biyombo,CHO,66.0,1349.0,0.574,20.439393939393938
Blake Griffin,2TM,46.0,1186.0,0.546,25.782608695652176
Boban Marjanović,DAL,33.0,271.0,0.562,8.212121212121213
Bobby Portis,MIL,66.0,1372.0,0.598,20.78787878787879
Bogdan Bogdanović,ATL,44.0,1305.0,0.616,29.65909090909091
Bojan Bogdanović,UTA,72.0,2216.0,0.588,30.77777777777778
Bol Bol,DEN,32.0,160.0,0.534,5.0
Brad Wanamaker,2TM,61.0,1053.0,0.489,17.262295081967213
Bradley Beal,WAS,60.0,2147.0,0.593,35.78333333333333
Brandon Clarke,MEM,59.0,1415.0,0.56,23.983050847457626
Brandon Goodwin,ATL,47.0,620.0,0.471,13.191489361702128
Brandon Ingram,NOP,61.0,2093.0,0.584,34.31147540983606
Brian Bowen,IND,6.0,15.0,0.338,2.5
Brodric Thomas,2TM,32.0,399.0,0.487,12.46875
Brook Lopez,MIL,70.0,1902.0,0.611,27.17142857142857
Bruce Brown,BRK,65.0,1451.0,0.604,22.323076923076922
Bruno Caboclo,HOU,6.0,36.0,0.475,6.0
Bruno Fernando,ATL,33.0,226.0,0.475,6.848484848484849
Bryn Forbes,MIL,70.0,1354.0,0.631,19.34285714285714
Buddy Hield,SAC,71.0,2433.0,0.567,34.267605633802816
CJ Elleby,POR,30.0,192.0,0.468,6.4
CJ McCollum,POR,47.0,1600.0,0.577,34.04255319148936
Caleb Martin,CHO,53.0,818.0,0.465,15.433962264150944
Cam Reddish,ATL,26.0,750.0,0.488,28.846153846153847
Cameron Johnson,PHO,60.0,1437.0,0.563,23.95
Cameron Oliver,HOU,4.0,87.0,0.619,21.75
Cameron Payne,PHO,60.0,1079.0,0.602,17.983333333333334
Cameron Reynolds,2TM,5.0,40.0,0.417,8.0
Caris LeVert,2TM,47.0,1486.0,0.531,31.617021276595743
Carmelo Anthony,POR,69.0,1690.0,0.547,24.492753623188406
Carsen Edwards,BOS,31.0,276.0,0.527,8.903225806451612
Cassius Stanley,IND,24.0,93.0,0.383,3.875
Cassius Winston,WAS,22.0,98.0,0.575,4.454545454545454
Cedi Osman,CLE,59.0,1510.0,0.488,25.593220338983052
Chandler Hutchison,2TM,25.0,346.0,0.469,13.84
Charlie Brown Jr.,OKC,9.0,152.0,0.422,16.88888888888889
Chasson Randle,ORL,41.0,837.0,0.515,20.414634146341463
Chimezie Metu,SAC,36.0,488.0,0.571,13.555555555555555
Chris Boucher,TOR,60.0,1453.0,0.634,24.216666666666665
Chris Chiozza,BRK,22.0,232.0,0.461,10.545454545454545
Chris Paul,PHO,70.0,2199.0,0.599,31.414285714285715
Chris Silva,2TM,15.0,92.0,0.708,6.133333333333334
Christian Wood,HOU,41.0,1326.0,0.591,32.34146341463415
Chuma Okeke,ORL,45.0,1133.0,0.511,25.177777777777777
Clint Capela,ATL,63.0,1898.0,0.601,30.126984126984127
Coby White,CHI,69.0,2156.0,0.54,31.246376811594203
Cody Martin,CHO,52.0,849.0,0.5,16.326923076923077
Cody Zeller,CHO,48.0,1005.0,0.599,20.9375
Cole Anthony,ORL,47.0,1273.0,0.496,27.085106382978722
Collin Sexton,CLE,60.0,2115.0,0.573,35.25
Cory Joseph,2TM,63.0,1446.0,0.556,22.952380952380953
Cristiano Felício,CHI,18.0,84.0,0.574,4.666666666666667
D'Angelo Russell,MIN,42.0,1196.0,0.555,28.476190476190474
D.J. Augustin,2TM,57.0,1129.0,0.57,19.80701754385965
D.J. Wilson,2TM,35.0,433.0,0.511,12.371428571428572
DaQuan Jeffries,2TM,31.0,493.0,0.514,15.903225806451612
Dakota Mathias,PHI,8.0,123.0,0.474,15.375
Damian Jones,3TM,39.0,547.0,0.712,14.025641025641026
Damian Lillard,POR,67.0,2398.0,0.623,35.791044776119406
Damion Lee,GSW,57.0,1079.0,0.636,18.92982456140351
Damyean Dotson,CLE,46.0,907.0,0.499,19.717391304347824
Daniel Gafford,2TM,54.0,791.0,0.697,14.648148148148149
Daniel Oturu,LAC,30.0,161.0,0.471,5.366666666666666
Daniel Theis,2TM,65.0,1601.0,0.609,24.630769230769232
Danilo Gallinari,ATL,51.0,1222.0,0.613,23.96078431372549
Danny Green,PHI,69.0,1934.0,0.582,28.028985507246375
Dante Exum,CLE,6.0,116.0,0.428,19.333333333333332
Danuel House Jr.,HOU,36.0,932.0,0.525,25.88888888888889
Dario Šarić,PHO,50.0,871.0,0.567,17.42
Darius Bazley,OKC,55.0,1714.0,0.491,31.163636363636364
Darius Garland,CLE,54.0,1790.0,0.547,33.148148148148145
Darius Miller,OKC,18.0,197.0,0.685,10.944444444444445
David Nwaba,HOU,30.0,679.0,0.557,22.633333333333333
De'Aaron Fox,SAC,58.0,2036.0,0.565,35.10344827586207
De'Andre Hunter,ATL,23.0,678.0,0.603,29.47826086956522
De'Anthony Melton,MEM,52.0,1045.0,0.568,20.096153846153847
DeAndre Jordan,BRK,57.0,1246.0,0.736,21.859649122807017
DeAndre' Bembry,TOR,51.0,972.0,0.57,19.058823529411764
DeMar DeRozan,SAS,61.0,2056.0,0.591,33.704918032786885
DeMarcus Cousins,2TM,41.0,713.0,0.537,17.390243902439025
Dean Wade,CLE,63.0,1212.0,0.573,19.238095238095237
Deandre Ayton,PHO,69.0,2115.0,0.653,30.652173913043477
Deividas Sirvydis,DET,20.0,133.0,0.481,6.65
Dejounte Murray,SAS,67.0,2139.0,0.509,31.925373134328357
Delon Wright,2TM,63.0,1748.0,0.562,27.746031746031747
Deni Avdija,WAS,54.0,1257.0,0.515,23.27777777777778
Dennis Schröder,LAL,61.0,1956.0,0.543,32.0655737704918
Dennis Smith Jr.,2TM,23.0,420.0,0.492,18.26086956521739
Denzel Valentine,CHI,62.0,1036.0,0.479,16.70967741935484
Derrick Favors,UTA,68.0,1039.0,0.663,15.279411764705882
Derrick Jones Jr.,POR,58.0,1318.0,0.576,22.724137931034484
Derrick Rose,2TM,50.0,1279.0,0.55,25.58
Derrick White,SAS,36.0,1064.0,0.55,29.555555555555557
Desmond Bane,MEM,68.0,1519.0,0.6,22.33823529411765
Devin Booker,PHO,67.0,2270.0,0.587,33.88059701492537
Devin Cannady,ORL,8.0,74.0,0.547,9.25
Devin Vassell,SAS,62.0,1056.0,0.524,17.032258064516128
Devon Dotson,CHI,11.0,50.0,0.548,4.545454545454546
Devontae Cacok,LAL,20.0,98.0,0.576,4.9
Devonte' Graham,CHO,55.0,1659.0,0.552,30.163636363636364
Dewayne Dedmon,MIA,16.0,210.0,0.735,13.125
Didi Louzada,NOP,3.0,56.0,0.308,18.666666666666668
Dillon Brooks,MEM,67.0,1997.0,0.515,29.80597014925373
Domantas Sabonis,IND,62.0,2231.0,0.601,35.983870967741936
Donovan Mitchell,UTA,53.0,1771.0,0.569,33.41509433962264
Donta Hall,ORL,13.0,179.0,0.731,13.76923076923077
Donte DiVincenzo,MIL,66.0,1814.0,0.542,27.484848484848484
Dorian Finney-Smith,DAL,60.0,1921.0,0.609,32.016666666666666
Doug McDermott,IND,66.0,1619.0,0.635,24.53030303030303
Draymond Green,GSW,63.0,1982.0,0.53,31.46031746031746
Drew Eubanks,SAS,54.0,755.0,0.618,13.981481481481481
Duncan Robinson,MIA,72.0,2262.0,0.628,31.416666666666668
Dwayne Bacon,ORL,72.0,1853.0,0.49,25.73611111111111
Dwight Howard,PHI,69.0,1196.0,0.61,17.333333333333332
Dwight Powell,DAL,58.0,966.0,0.688,16.655172413793103
Dylan Windler,CLE,31.0,513.0,0.567,16.548387096774192
Dāvis Bertāns,WAS,57.0,1464.0,0.62,25.68421052631579
E'Twaun Moore,PHO,27.0,389.0,0.523,14.407407407407407
Ed Davis,MIN,23.0,299.0,0.487,13.0
Edmond Sumner,IND,53.0,861.0,0.626,16.245283018867923
Elfrid Payton,NYK,63.0,1484.0,0.478,23.555555555555557
Elijah Bryant,MIL,1.0,32.0,0.559,32.0
Elijah Hughes,UTA,18.0,64.0,0.488,3.5555555555555554
Enes Freedom,POR,72.0,1758.0,0.636,24.416666666666668
Eric Bledsoe,NOP,71.0,2111.0,0.533,29.732394366197184
Eric Gordon,HOU,27.0,789.0,0.577,29.22222222222222
Eric Paschall,GSW,40.0,695.0,0.561,17.375
Ersan İlyasova,UTA,17.0,148.0,0.578,8.705882352941176
Evan Fournier,2TM,42.0,1259.0,0.598,29.976190476190474
Facundo Campazzo,DEN,65.0,1425.0,0.558,21.923076923076923
Frank Jackson,DET,40.0,738.0,0.598,18.45
Frank Kaminsky,PHO,47.0,715.0,0.547,15.212765957446809
Frank Mason III,ORL,4.0,79.0,0.462,19.75
Frank Ntilikina,NYK,33.0,322.0,0.512,9.757575757575758
Fred VanVleet,TOR,52.0,1899.0,0.534,36.51923076923077
Freddie Gillespie,TOR,20.0,392.0,0.563,19.6
Furkan Korkmaz,PHI,55.0,1062.0,0.544,19.30909090909091
Gabe Vincent,MIA,50.0,655.0,0.498,13.1
Gabriel Deck,OKC,10.0,212.0,0.548,21.2
Garrett Temple,CHI,56.0,1528.0,0.525,27.285714285714285
Garrison Mathews,WAS,64.0,1038.0,0.635,16.21875
Gary Clark,3TM,39.0,654.0,0.436,16.76923076923077
Gary Harris,2TM,39.0,1080.0,0.511,27.692307692307693
Gary Payton II,GSW,10.0,40.0,0.847,4.0
Gary Trent Jr.,2TM,58.0,1802.0,0.534,31.06896551724138
George Hill,2TM,30.0,672.0,0.596,22.4
Georges Niang,UTA,72.0,1154.0,0.602,16.02777777777778
Giannis Antetokounmpo,MIL,61.0,2013.0,0.633,33.0
Glenn Robinson III,SAC,23.0,369.0,0.554,16.043478260869566
Goga Bitadze,IND,45.0,561.0,0.523,12.466666666666667
Goran Dragić,MIA,50.0,1337.0,0.552,26.74
Gordon Hayward,CHO,44.0,1496.0,0.584,34.0
Gorgui Dieng,2TM,38.0,552.0,0.67,14.526315789473685
Grant Riller,CHO,7.0,27.0,0.75,3.857142857142857
Grant Williams,BOS,63.0,1138.0,0.546,18.063492063492063
Grayson Allen,MEM,50.0,1259.0,0.586,25.18
Greg Whittington,DEN,4.0,12.0,0.0,3.0
Hamidou Diallo,2TM,52.0,1226.0,0.541,23.576923076923077
Harrison Barnes,SAC,58.0,2102.0,0.626,36.241379310344826
Harry Giles,POR,38.0,348.0,0.496,9.157894736842104
Hassan Whiteside,SAC,36.0,546.0,0.566,15.166666666666666
Henry Ellenson,TOR,2.0,38.0,0.476,19.0
Ignas Brazdeikis,3TM,13.0,249.0,0.51,19.153846153846153
Iman Shumpert,BRK,2.0,11.0,0.25,5.5
Immanuel Quickley,NYK,64.0,1243.0,0.557,19.421875
Isaac Bonga,WAS,40.0,432.0,0.461,10.8
Isaac Okoro,CLE,67.0,2173.0,0.514,32.43283582089552
Isaiah Hartenstein,2TM,46.0,559.0,0.583,12.152173913043478
Isaiah Joe,PHI,41.0,383.0,0.533,9.341463414634147
Isaiah Roby,OKC,61.0,1425.0,0.555,23.360655737704917
Isaiah Stewart,DET,68.0,1455.0,0.597,21.397058823529413
Isaiah Thomas,NOP,3.0,48.0,0.412,16.0
Ish Smith,WAS,44.0,924.0,0.473,21.0
Ivica Zubac,LAC,72.0,1609.0,0.693,22.34722222222222
JJ Redick,2TM,44.0,723.0,0.564,16.431818181818183
Ja Morant,MEM,63.0,2053.0,0.537,32.58730158730159
JaKarr Sampson,IND,29.0,316.0,0.533,10.89655172413793
JaMychal Green,DEN,58.0,1120.0,0.59,19.310344827586206
JaVale McGee,2TM,46.0,678.0,0.541,14.73913043478261
Jabari Parker,2TM,13.0,165.0,0.593,12.692307692307692
Jaden McDaniels,MIN,63.0,1511.0,0.552,23.984126984126984
Jae Crowder,PHO,60.0,1648.0,0.574,27.466666666666665
Jae'Sean Tate,HOU,70.0,2043.0,0.576,29.185714285714287
Jahlil Okafor,DET,27.0,347.0,0.644,12.851851851851851
Jahmi'us Ramsey,SAC,13.0,94.0,0.498,7.230769230769231
Jake Layman,MIN,45.0,627.0,0.577,13.933333333333334
Jakob Poeltl,SAS,69.0,1845.0,0.612,26.73913043478261
Jalen Brunson,DAL,68.0,1697.0,0.618,24.955882352941178
Jalen Harris,TOR,13.0,172.0,0.632,13.23076923076923
Jalen Lecque,IND,4.0,12.0,0.242,3.0
Jalen McDaniels,CHO,47.0,904.0,0.554,19.23404255319149
Jalen Smith,PHO,27.0,156.0,0.499,5.777777777777778
Jamal Murray,DEN,48.0,1704.0,0.592,35.5
James Ennis III,ORL,41.0,986.0,0.613,24.048780487804876
James Harden,2TM,44.0,1609.0,0.618,36.56818181818182
James Johnson,2TM,51.0,1043.0,0.51,20.45098039215686
James Nunnally,NOP,9.0,48.0,0.54,5.333333333333333
James Wiseman,GSW,39.0,836.0,0.552,21.435897435897434
Jared Dudley,LAL,12.0,81.0,0.333,6.75
Jared Harper,NYK,8.0,16.0,0.26,2.0
Jaren Jackson Jr.,MEM,11.0,258.0,0.551,23.454545454545453
Jarred Vanderbilt,MIN,64.0,1139.0,0.612,17.796875
Jarrell Brantley,UTA,28.0,138.0,0.605,4.928571428571429
Jarrett Allen,2TM,63.0,1864.0,0.661,29.58730158730159
Jarrett Culver,MIN,34.0,499.0,0.476,14.676470588235293
Javonte Green,2TM,41.0,473.0,0.61,11.536585365853659
Jaxson Hayes,NOP,60.0,964.0,0.675,16.066666666666666
Jay Scrubb,LAC,4.0,84.0,0.458,21.0
Jaylen Adams,MIL,7.0,18.0,0.125,2.5714285714285716
Jaylen Brown,BOS,58.0,1999.0,0.586,34.46551724137931
Jaylen Hoard,OKC,19.0,320.0,0.547,16.842105263157894
Jaylen Nowell,MIN,42.0,759.0,0.528,18.071428571428573
Jayson Tatum,BOS,64.0,2290.0,0.576,35.78125
Jeff Green,BRK,68.0,1835.0,0.624,26.985294117647058
Jeff Teague,2TM,55.0,950.0,0.562,17.272727272727273
Jerami Grant,DET,54.0,1829.0,0.556,33.870370370370374
Jeremiah Martin,CLE,9.0,75.0,0.313,8.333333333333334
Jeremy Lamb,IND,36.0,765.0,0.587,21.25
Jerome Robinson,WAS,17.0,305.0,0.4,17.941176470588236
Jevon Carter,PHO,60.0,717.0,0.548,11.95
Jimmy Butler,MIA,52.0,1745.0,0.607,33.55769230769231
Joe Harris,BRK,69.0,2141.0,0.663,31.028985507246375
Joe Ingles,UTA,67.0,1867.0,0.672,27.865671641791046
Joel Embiid,PHI,51.0,1585.0,0.636,31.07843137254902
John Collins,ATL,63.0,1848.0,0.645,29.333333333333332
John Konchar,MEM,43.0,575.0,0.608,13.372093023255815
John Wall,HOU,40.0,1288.0,0.503,32.2
Jonas Valančiūnas,MEM,62.0,1755.0,0.636,28.306451612903224
Jontay Porter,MEM,11.0,54.0,0.64,4.909090909090909
Jordan Bell,2TM,6.0,82.0,0.328,13.666666666666666
Jordan Bone,ORL,14.0,196.0,0.519,14.0
Jordan Clarkson,UTA,68.0,1818.0,0.549,26.735294117647058
Jordan McLaughlin,MIN,51.0,938.0,0.502,18.392156862745097
Jordan Nwora,MIL,30.0,274.0,0.586,9.133333333333333
Jordan Poole,GSW,51.0,988.0,0.581,19.372549019607842
Josh Green,DAL,39.0,445.0,0.49,11.41025641025641
Josh Hall,OKC,21.0,336.0,0.363,16.0
Josh Hart,NOP,47.0,1349.0,0.566,28.70212765957447
Josh Jackson,DET,62.0,1560.0,0.516,25.161290322580644
Josh Okogie,MIN,59.0,1197.0,0.524,20.28813559322034
Josh Richardson,DAL,59.0,1790.0,0.537,30.338983050847457
Jrue Holiday,MIL,59.0,1907.0,0.592,32.32203389830509
Juan Toscano-Anderson,GSW,53.0,1107.0,0.676,20.88679245283019
Juancho Hernangómez,MIN,52.0,900.0,0.549,17.307692307692307
Julius Randle,NYK,71.0,2667.0,0.567,37.563380281690144
Justin Holiday,IND,72.0,2183.0,0.571,30.319444444444443
Justin Jackson,2TM,34.0,577.0,0.516,16.970588235294116
Justin James,SAC,36.0,310.0,0.548,8.61111111111111
Justin Patton,HOU,13.0,247.0,0.488,19.0
Justin Robinson,OKC,9.0,88.0,0.453,9.777777777777779
Justise Winslow,MEM,26.0,507.0,0.395,19.5
Jusuf Nurkić,POR,37.0,880.0,0.554,23.783783783783782
Juwan Morgan,UTA,29.0,147.0,0.529,5.068965517241379
KJ Martin,HOU,45.0,1068.0,0.59,23.733333333333334
KZ Okpala,MIA,37.0,447.0,0.448,12.08108108108108
Karim Mané,ORL,10.0,88.0,0.362,8.8
Karl-Anthony Towns,MIN,50.0,1689.0,0.612,33.78
Kawhi Leonard,LAC,52.0,1773.0,0.622,34.09615384615385
Keita Bates-Diop,SAS,30.0,245.0,0.518,8.166666666666666
Kelan Martin,IND,35.0,322.0,0.551,9.2
Keldon Johnson,SAS,69.0,1968.0,0.557,28.52173913043478
Keljin Blevins,POR,17.0,75.0,0.3,4.411764705882353
