Player,TS%
delon wright,0.562
lonzo ball,0.551
tyrese haliburton,0.585
jimmy butler,0.607
will barton,0.538
darius bazley,0.491
jamal murray,0.592
jalen brunson,0.618
carmelo anthony,0.547
karl-anthony towns,0.612
kelly oubre jr.,0.529
patty mills,0.57
devonte' graham,0.552
thaddeus young,0.578
kendrick nunn,0.596
jae crowder,0.574
seth curry,0.607
tyler herro,0.543
doug mcdermott,0.635
ivica zubac,0.693
james harden,0.618
steven adams,0.596
kyle lowry,0.593
daniel theis,0.609
cj mccollum,0.577
joel embiid,0.636
marcus smart,0.539
montrezl harrell,0.65
pat connaughton,0.578
josh jackson,0.516
nerlens noel,0.638
reggie jackson,0.576
luguentz dort,0.513
khem birch,0.552
garrett temple,0.525
lonnie walker iv,0.523
desmond bane,0.6
solomon hill,0.498
jaden mcdaniels,0.552
cedi osman,0.488
lebron james,0.602
marcus morris,0.614
mason plumlee,0.638
mike conley,0.589
gordon hayward,0.584
caris levert,0.531
elfrid payton,0.478
lamelo ball,0.539
davis bertans,0.62
shake milton,0.549
isaiah stewart,0.597
myles turner,0.599
chris boucher,0.634
bruce brown,0.604
cory joseph,0.556
cameron johnson,0.563
og anunoby,0.605
kenrich williams,0.599
facundo campazzo,0.558
isaiah roby,0.555
lou williams,0.519
brandon clarke,0.56
raul neto,0.575
landry shamet,0.578
aaron gordon,0.547
wendell carter jr.,0.566
bobby portis,0.598
kemba walker,0.559
rudy gay,0.532
p.j. tucker,0.51
robin lopez,0.661
bryn forbes,0.631
bismack biyombo,0.574
josh hart,0.566
naz reid,0.599
terrence ross,0.53
maxi kleber,0.606
andre iguodala,0.519
goran dragic,0.552
kent bazemore,0.564
kristaps porzingis,0.582
christian wood,0.591
svi mykhailiuk,0.529
derrick jones jr.,0.576
lauri markkanen,0.619
tomas satoransky,0.614
bogdan bogdanovic,0.616
talen horton-tucker,0.536
matisse thybulle,0.508
john wall,0.503
tristan thompson,0.54
derrick rose,0.55
cole anthony,0.496
payton pritchard,0.582
terance mann,0.603
grayson allen,0.586
evan fournier,0.598
deni avdija,0.515
alec burks,0.564
deandre jordan,0.736
immanuel quickley,0.557
andre drummond,0.519
luke kennard,0.608
sterling brown,0.597
hamidou diallo,0.541
tyus jones,0.511
danilo gallinari,0.613
alex caruso,0.547
malik beasley,0.57
dean wade,0.573
markieff morris,0.509
josh okogie,0.524
dwight howard,0.61
monte morris,0.574
d'angelo russell,0.555
blake griffin,0.546
shai gilgeous-alexander,0.623
aaron holiday,0.503
paul millsap,0.565
anthony davis,0.556
kevon looney,0.575
kevin durant,0.666
georges niang,0.602
jarred vanderbilt,0.612
grant williams,0.546
chuma okeke,0.511
wesley matthews,0.517
d.j. augustin,0.57
jamychal green,0.59
marvin bagley iii,0.554
juan toscano-anderson,0.676
anfernee simons,0.589
larry nance jr.,0.557
aleksej pokusevski,0.43
pj dozier,0.501
xavier tillman sr.,0.605
victor oladipo,0.512
gary harris,0.511
cameron payne,0.602
damion lee,0.636
terence davis,0.555
kj martin,0.59
derrick white,0.55
furkan korkmaz,0.544
devin vassell,0.524
brad wanamaker,0.489
timothe luwawu-cabarrot,0.493
de'anthony melton,0.568
james johnson,0.51
derrick favors,0.663
garrison mathews,0.635
denzel valentine,0.479
wayne ellington,0.625
nickeil alexander-walker,0.522
stanley johnson,0.519
cody zeller,0.599
marc gasol,0.606
tony snell,0.708
jordan poole,0.581
james ennis iii,0.613
robert williams,0.719
aron baynes,0.503
alex len,0.643
deandre' bembry,0.57
dwight powell,0.688
jaxson hayes,0.675
serge ibaka,0.585
semi ojeleye,0.553
jeff teague,0.562
rodney hood,0.452
jordan mclaughlin,0.502
taj gibson,0.661
tyrese maxey,0.531
danuel house jr.,0.525
malachi flynn,0.484
ish smith,0.473
moses brown,0.572
trey burke,0.544
damyean dotson,0.499
willie cauley-stein,0.647
taurean prince,0.54
ben mclemore,0.523
kira lewis jr.,0.477
jalen mcdaniels,0.554
juancho hernangomez,0.549
r.j. hampton,0.507
jusuf nurkic,0.554
malik monk,0.569
dario saric,0.567
sekou doumbouya,0.459
edmond sumner,0.626
mitchell robinson,0.642
mike scott,0.492
cody martin,0.5
willy hernangomez,0.591
austin rivers,0.551
trevor ariza,0.542
chasson randle,0.515
james wiseman,0.552
kevin porter jr.,0.528
patrick beverley,0.58
caleb martin,0.465
torrey craig,0.579
michael carter-williams,0.449
daniel gafford,0.697
eric gordon,0.577
ty jerome,0.585
al horford,0.538
saben lee,0.536
maurice harkless,0.527
rajon rondo,0.544
mychal mulder,0.613
jeremy lamb,0.587
jaylen nowell,0.528
drew eubanks,0.618
cam reddish,0.488
frank jackson,0.598
precious achiuwa,0.55
mo bamba,0.556
yuta watanabe,0.565
jj redick,0.564
moritz wagner,0.58
jevon carter,0.548
frank kaminsky,0.547
demarcus cousins,0.537
naji marshall,0.508
eric paschall,0.561
tyler johnson,0.546
tony bradley,0.678
obi toppin,0.574
david nwaba,0.557
de'andre hunter,0.603
javale mcgee,0.541
lamarcus aldridge,0.556
george hill,0.596
killian hayes,0.422
aaron nesmith,0.573
gabe vincent,0.498
gary clark,0.436
mike muscala,0.599
nassir little,0.589
jake layman,0.577
kevin love,0.556
brandon goodwin,0.471
otto porter jr.,0.552
avery bradley,0.487
onyeka okongwu,0.655
nemanja bjelica,0.554
nic claxton,0.612
patrick patterson,0.571
justin jackson,0.516
john konchar,0.608
nicolo melli,0.441
goga bitadze,0.523
isaiah hartenstein,0.583
gorgui dieng,0.67
thanasis antetokounmpo,0.523
damian jones,0.712
hassan whiteside,0.566
wes iwundu,0.428
troy brown jr.,0.525
armoni brooks,0.565
miye oni,0.517
oshae brissett,0.638
dylan windler,0.567
max strus,0.597
justise winslow,0.395
lamar stevens,0.521
jarrett culver,0.476
daquan jeffries,0.514
chimezie metu,0.571
javonte green,0.61
kevin knox,0.537
ryan arcidiacono,0.541
kz okpala,0.448
josh green,0.49
langston galloway,0.605
tyler cook,0.659
al-farouq aminu,0.469
d.j. wilson,0.511
isaac bonga,0.461
dennis smith jr.,0.492
anthony lamb,0.523
brodric thomas,0.487
zeke nnaji,0.615
amir coffey,0.585
freddie gillespie,0.563
e'twaun moore,0.523
isaiah joe,0.533
glenn robinson iii,0.554
nico mannion,0.487
trey lyles,0.574
abdel nader,0.605
harry giles,0.496
luke kornet,0.511
jahlil okafor,0.644
chandler hutchison,0.469
josh hall,0.363
mason jones,0.556
shaquille harrison,0.416
matt thomas,0.522
kelan martin,0.551
frank ntilikina,0.512
jaylen hoard,0.547
jakarr sampson,0.533
justin james,0.548
luka samanic,0.518
jerome robinson,0.4
trent forrest,0.554
ed davis,0.487
paul watson,0.649
romeo langford,0.436
vlatko cancar,0.547
mfiondu kabengele,0.486
nathan knight,0.499
carsen edwards,0.527
jordan nwora,0.586
boban marjanovic,0.562
thomas bryant,0.704
tre jones,0.544
skylar mays,0.569
alfonzo mckinnie,0.604
jaren jackson jr.,0.551
ignas brazdeikis,0.51
justin patton,0.488
keita bates-diop,0.518
wenyen gabriel,0.533
tremont waters,0.541
mike james,0.481
kyle guy,0.449
sam merrill,0.603
chris chiozza,0.461
bruno fernando,0.475
matthew dellavedova,0.312
anthony gill,0.597
sindarius thornwell,0.414
markelle fultz,0.458
gabriel deck,0.548
reggie perry,0.466
dewayne dedmon,0.735
markus howard,0.477
darius miller,0.685
jordan bone,0.519
rodney mcgruder,0.619
cj elleby,0.468
alize johnson,0.638
killian tillie,0.461
donta hall,0.731
paul reed,0.54
jalen harris,0.632
jabari parker,0.593
daniel oturu,0.471
bol bol,0.534
sean mcdermott,0.534
quinn cook,0.531
jalen smith,0.499
khyri thomas,0.586
charlie brown jr.,0.422
ersan ilyasova,0.578
juwan morgan,0.529
mamadi diakite,0.477
jarrell brantley,0.605
tacko fall,0.66
yogi ferrell,0.459
deividas sirvydis,0.481
rodions kurucs,0.459
dakota mathias,0.474
quinndary weatherspoon,0.547
t.j. warren,0.56
dante exum,0.428
vernon carey jr.,0.563
rondae hollis-jefferson,0.539
robert franks,0.638
anthony tolliver,0.433
cassius winston,0.575
devontae cacok,0.576
jahmi'us ramsey,0.498
cassius stanley,0.383
nate hinton,0.442
chris silva,0.708
karim mane,0.362
justin robinson,0.453
cameron oliver,0.619
louis king,0.6
cristiano felicio,0.574
alen smailagic,0.472
jay scrubb,0.458
norvel pelle,0.567
jordan bell,0.328
jared dudley,0.333
frank mason iii,0.462
thon maker,0.657
keljin blevins,0.3
jeremiah martin,0.313
devin cannady,0.547
tyler bey,0.372
rayjon tucker,0.645
elijah hughes,0.488
spencer dinwiddie,0.536
nick richards,0.542
andre roberson,0.202
tim frazier,0.177
axel toupane,0.497
udoka azubuike,0.597
kostas antetokounmpo,0.382
adam mokoka,0.386
tyrell terry,0.318
didi louzada,0.308
jontay porter,0.64
devon dotson,0.548
terrance ferguson,0.143
james nunnally,0.54
isaiah thomas,0.412
ty-shon alexander,0.349
robert woodard ii,0.425
kris dunn,0.182
gary payton ii,0.847
cameron reynolds,0.417
vincent poirier,0.273
henry ellenson,0.476
bruno caboclo,0.475
anderson varejao,0.326
t.j. leaf,0.551
theo pinson,0.111
patrick mccaw,1.078
elijah bryant,0.559
marques bolden,0.537
amida brimah,0.697
meyers leonard,0.635
grant riller,0.75
marquese chriss,0.412
nate darling,0.541
ray spalding,0.41
jaylen adams,0.125
jared harper,0.26
brian bowen,0.338
jalen lecque,0.242
greg whittington,0.0
noah vonleh,0.0
malik fitts,0.5
iman shumpert,0.25
anzejs pasecniks,0.0
ashton hagans,
udonis haslem,1.0
will magnay,0.0
league average,0.572
