Player,TS%
julius randle,0.567
rj barrett,0.535
nikola jokic,0.647
buddy hield,0.567
damian lillard,0.623
terry rozier,0.575
russell westbrook,0.509
andrew wiggins,0.568
mikal bridges,0.667
nikola vucevic,0.56
anthony edwards,0.523
jayson tatum,0.576
devin booker,0.587
khris middleton,0.588
duncan robinson,0.628
luka doncic,0.587
robert covington,0.553
royce o'neale,0.599
domantas sabonis,0.601
bojan bogdanovic,0.588
norman powell,0.618
chris paul,0.599
rudy gobert,0.683
justin holiday,0.571
isaac okoro,0.514
coby white,0.54
stephen curry,0.655
bradley beal,0.593
bam adebayo,0.626
joe harris,0.663
dejounte murray,0.509
kevin huerter,0.541
trae young,0.589
deandre ayton,0.653
collin sexton,0.573
eric bledsoe,0.533
harrison barnes,0.626
brandon ingram,0.584
demar derozan,0.591
ja morant,0.537
jae'sean tate,0.576
de'aaron fox,0.565
zach lavine,0.634
zion williamson,0.649
tobias harris,0.597
giannis antetokounmpo,0.633
pascal siakam,0.547
jaylen brown,0.586
dillon brooks,0.515
kelly olynyk,0.61
tim hardaway jr.,0.589
patrick williams,0.562
draymond green,0.53
keldon johnson,0.557
dennis schroder,0.543
kyle kuzma,0.546
p.j. washington,0.549
reggie bullock,0.606
danny green,0.582
miles bridges,0.625
malcolm brogdon,0.561
dorian finney-smith,0.609
michael porter jr.,0.663
saddiq bey,0.567
jrue holiday,0.592
brook lopez,0.611
kentavious caldwell-pope,0.588
fred vanvleet,0.534
clint capela,0.601
kyle anderson,0.578
kyrie irving,0.614
ben simmons,0.584
joe ingles,0.672
jarrett allen,0.661
dwayne bacon,0.49
john collins,0.645
jakob poeltl,0.612
jeff green,0.624
nicolas batum,0.617
jerami grant,0.556
paul george,0.598
jordan clarkson,0.549
donte divincenzo,0.542
gary trent jr.,0.534
rui hachimura,0.549
t.j. mcconnell,0.583
josh richardson,0.537
darius garland,0.547
richaun holmes,0.669
theo maledon,0.489
kawhi leonard,0.622
ricky rubio,0.516
donovan mitchell,0.569
enes freedom,0.636
jonas valanciunas,0.636
