Player,Team,G,MP,TS%,MPG
Aaron Gordon,ORL,62.0,2017.0,0.516,32.53225806451613
Aaron Holiday,IND,66.0,1617.0,0.521,24.5
Abdel Nader,OKC,55.0,867.0,0.591,15.763636363636364
Adam Mokoka,CHI,11.0,112.0,0.538,10.181818181818182
Admiral Schofield,WAS,33.0,368.0,0.502,11.151515151515152
Al Horford,PHI,67.0,2025.0,0.536,30.223880597014926
Al-Farouq Aminu,ORL,18.0,380.0,0.395,21.11111111111111
Alec Burks,2TM,66.0,1754.0,0.561,26.575757575757574
Alen Smailagić,GSW,14.0,139.0,0.61,9.928571428571429
Alex Caruso,LAL,64.0,1175.0,0.525,18.359375
Alex Len,2TM,55.0,970.0,0.6,17.636363636363637
Alfonzo McKinnie,CLE,40.0,593.0,0.493,14.825
Alize Johnson,IND,17.0,118.0,0.509,6.9411764705882355
Allen Crabbe,2TM,37.0,653.0,0.47,17.64864864864865
Allonzo Trier,NYK,24.0,291.0,0.62,12.125
Amile Jefferson,ORL,18.0,74.0,0.372,4.111111111111111
Amir Coffey,LAC,18.0,159.0,0.493,8.833333333333334
Andre Drummond,2TM,57.0,1879.0,0.553,32.96491228070175
Andre Iguodala,MIA,21.0,418.0,0.507,19.904761904761905
Andre Roberson,OKC,7.0,87.0,0.335,12.428571428571429
Andrew Wiggins,2TM,54.0,1858.0,0.536,34.407407407407405
Anfernee Simons,POR,70.0,1449.0,0.502,20.7
Ante Žižić,CLE,22.0,221.0,0.597,10.045454545454545
Anthony Davis,LAL,62.0,2131.0,0.61,34.37096774193548
Anthony Tolliver,3TM,55.0,872.0,0.513,15.854545454545455
Antonius Cleveland,DAL,11.0,46.0,0.34,4.181818181818182
Anžejs Pasečņiks,WAS,27.0,437.0,0.551,16.185185185185187
Aron Baynes,PHO,42.0,934.0,0.581,22.238095238095237
Austin Rivers,HOU,68.0,1594.0,0.542,23.441176470588236
Avery Bradley,LAL,49.0,1186.0,0.537,24.20408163265306
