Player,TS%
luol deng,0.588
marshon brooks,0.518
raymond felton,0.505
damion lee,0.578
johnathan williams,0.599
michael carter-williams,0.458
kyle o'quinn,0.537
pau gasol,0.529
brad wanamaker,0.597
channing frye,0.524
jordan mcrae,0.55
john jenkins,0.536
dillon brooks,0.499
jarell martin,0.528
ryan anderson,0.414
ekpe udoh,0.698
jerome robinson,0.491
sindarius thornwell,0.485
troy williams,0.531
alex poythress,0.571
carmelo anthony,0.513
quincy pondexter,0.641
robert williams,0.703
michael beasley,0.532
shake milton,0.483
cameron reynolds,0.58
henry ellenson,0.538
julian washburn,0.402
guerschon yabusele,0.542
christian wood,0.607
deonte burton,0.47
dwight howard,0.638
j.r. smith,0.444
isaiah hartenstein,0.562
jalen jones,0.548
brandon sampson,0.567
lorenzo brown,0.38
theo pinson,0.49
edmond sumner,0.443
jacob evans,0.374
daniel hamilton,0.455
khyri thomas,0.413
deng adel,0.424
jason smith,0.492
john henson,0.553
andrew harrison,0.443
isaiah thomas,0.437
caleb swanigan,0.377
skal labissiere,0.593
yuta watanabe,0.352
miles plumlee,0.654
dairis bertans,0.362
walt lemon jr.,0.468
chris boucher,0.563
duncan robinson,0.514
ben mclemore,0.541
johnathan motley,0.563
ron baker,0.309
milos teodosic,0.557
ray spalding,0.516
chimezie metu,0.389
jemerrio jones,0.398
anfernee simons,0.535
andrew bogut,0.523
c.j. williams,0.55
jakarr sampson,0.633
quincy acy,0.379
isaac bonga,0.24
rawle alkins,0.418
lonnie walker iv,0.446
deyonta davis,0.682
drew eubanks,0.646
gary trent jr.,0.377
jared terrell,0.372
zhaire smith,0.533
jodie meeks,0.647
malachi richardson,0.481
james nunnally,0.503
bonzie colson,0.454
devin robinson,0.616
tyler lydon,0.595
wade baldwin,0.396
tyler zeller,0.607
daryl macon,0.482
naz mitrou-long,0.383
udonis haslem,0.36
jarred vanderbilt,0.513
amile jefferson,0.692
marcus derrickson,0.653
malcolm miller,0.63
jimmer fredette,0.348
jawun evans,0.214
alize johnson,0.333
billy garrett,0.452
luc mbah a moute,0.495
brandon goodwin,0.413
isaac humphries,0.357
jordan loyd,0.635
pj dozier,0.434
b.j. johnson,0.609
mitch creek,0.55
davon reed,0.5
melvin frazier,0.33
eric moreland,0.5
haywood highsmith,0.414
tyler cavanaugh,0.414
dzanan musa,0.415
demetrius jackson,0.656
nick young,0.5
thomas welsh,0.648
tony bradley,0.504
chris chiozza,0.375
isaiah hicks,0.588
jaylen morris,0.46
alan williams,0.61
dusty hannahs,0.311
r.j. hunter,0.612
emanuel terry,0.571
devaughn akoon-purcell,0.322
justin patton,0.317
scott machado,0.776
j.p. macura,0.333
troy caupain,0.625
gary payton ii,0.688
vince edwards,0.375
andre ingram,0.0
angel delgado,0.255
donatas motiejunas,0.436
yante maten,0.25
kostas antetokounmpo,0.21
joe chealey,0.333
tahjere mccall,0.581
d.j. stephens,0.5
ike anigbogu,0.0
trevon duval,0.833
okaro white,0.0
george king,
kalin lucas,0.532
terrence jones,0.225
zach lofton,0.0
jordan sibert,1.5
donte grantham,0.0
kobi simmons,
tyler davis,0.0
john holland,
zhou qi,1.0
tyler ulis,
league average,0.56
