Player,TS%
bradley beal,0.581
james harden,0.616
kemba walker,0.558
tobias harris,0.592
paul george,0.583
damian lillard,0.588
p.j. tucker,0.547
kevin durant,0.631
ben simmons,0.582
demar derozan,0.542
lamarcus aldridge,0.576
steven adams,0.591
klay thompson,0.571
andre drummond,0.555
aaron gordon,0.538
russell westbrook,0.501
blake griffin,0.581
buddy hield,0.587
jerami grant,0.592
justin holiday,0.52
collin sexton,0.52
donovan mitchell,0.537
rudy gobert,0.682
bojan bogdanovic,0.613
joe ingles,0.581
evan fournier,0.536
pascal siakam,0.628
de'aaron fox,0.544
karl-anthony towns,0.622
andrew wiggins,0.493
josh richardson,0.536
harrison barnes,0.55
nikola vucevic,0.573
nikola jokic,0.589
trae young,0.539
thaddeus young,0.569
jayson tatum,0.547
d'angelo russell,0.533
jamal murray,0.538
cedi osman,0.536
marc gasol,0.546
mikal bridges,0.556
jrue holiday,0.555
khris middleton,0.558
jj redick,0.602
cj mccollum,0.553
giannis antetokounmpo,0.644
nicolas batum,0.581
trevor ariza,0.534
mike conley,0.569
stephen curry,0.641
brook lopez,0.597
luka doncic,0.545
dennis schroder,0.508
kyle kuzma,0.546
bryn forbes,0.586
joe harris,0.645
al-farouq aminu,0.568
reggie jackson,0.547
eric bledsoe,0.577
d.j. augustin,0.616
jeremy lamb,0.552
clint capela,0.658
devin booker,0.584
julius randle,0.6
danny green,0.632
jordan clarkson,0.539
kyrie irving,0.592
willie cauley-stein,0.566
kyle lowry,0.562
marcus smart,0.568
jimmy butler,0.571
deandre ayton,0.608
shai gilgeous-alexander,0.554
zach lavine,0.574
jae crowder,0.538
tomas satoransky,0.59
montrezl harrell,0.636
kevin knox,0.475
eric gordon,0.549
joel embiid,0.593
terrence ross,0.561
darren collison,0.574
patrick beverley,0.561
marvin williams,0.548
myles turner,0.567
jeff green,0.608
jarrett allen,0.632
marcus morris,0.568
wesley matthews,0.546
draymond green,0.526
cory joseph,0.474
danilo gallinari,0.633
tim hardaway jr.,0.527
kevin huerter,0.533
deandre jordan,0.674
kawhi leonard,0.606
garrett temple,0.543
kentavious caldwell-pope,0.568
austin rivers,0.503
dario saric,0.563
serge ibaka,0.582
damyean dotson,0.526
jonathan isaac,0.537
lou williams,0.554
josh jackson,0.487
dorian finney-smith,0.53
jusuf nurkic,0.57
al horford,0.605
monte morris,0.577
ryan arcidiacono,0.588
justise winslow,0.513
bogdan bogdanovic,0.53
lebron james,0.588
kelly oubre jr.,0.551
deandre' bembry,0.508
terrance ferguson,0.566
spencer dinwiddie,0.58
bam adebayo,0.623
jaylen brown,0.547
patty mills,0.572
avery bradley,0.496
ricky rubio,0.52
paul millsap,0.57
rodney hood,0.545
dwyane wade,0.51
malik beasley,0.599
reggie bullock,0.563
gordon hayward,0.575
chris paul,0.56
anthony davis,0.597
rudy gay,0.583
domantas sabonis,0.63
malcolm brogdon,0.614
john collins,0.627
marco belinelli,0.557
kelly olynyk,0.61
landry shamet,0.604
larry nance jr.,0.583
terry rozier,0.501
nemanja bjelica,0.585
derrick favors,0.624
fred vanvleet,0.539
brandon ingram,0.555
josh okogie,0.492
darius miller,0.55
langston galloway,0.534
mason plumlee,0.602
derrick white,0.555
jabari parker,0.56
noah vonleh,0.561
josh hart,0.526
demarre carroll,0.546
delon wright,0.523
miles bridges,0.548
taj gibson,0.612
otto porter jr.,0.569
lauri markkanen,0.553
hassan whiteside,0.564
royce o'neale,0.589
javale mcgee,0.634
dwight powell,0.682
kent bazemore,0.507
enes freedom,0.594
gary harris,0.526
davis bertans,0.632
justin jackson,0.561
dewayne dedmon,0.602
emmanuel mudiay,0.531
robin lopez,0.598
evan turner,0.504
jalen brunson,0.549
andre iguodala,0.587
marvin bagley iii,0.562
tyus jones,0.491
taurean prince,0.575
rodney mcgruder,0.51
alex len,0.575
tyler johnson,0.532
jaren jackson jr.,0.591
dennis smith jr.,0.502
torrey craig,0.547
maxi kleber,0.579
thomas bryant,0.674
kevon looney,0.636
iman shumpert,0.499
gerald green,0.555
t.j. mcconnell,0.555
e'twaun moore,0.567
allonzo trier,0.564
bruce brown,0.469
ed davis,0.632
wayne selden,0.491
luke kennard,0.56
jeremy lin,0.558
shaquille harrison,0.494
lonzo ball,0.487
maurice harkless,0.547
tyreke evans,0.483
seth curry,0.595
mike scott,0.528
derrick rose,0.557
kris dunn,0.484
alec burks,0.523
jamychal green,0.587
rajon rondo,0.473
mitchell robinson,0.692
t.j. warren,0.58
juancho hernangomez,0.58
zach collins,0.562
og anunoby,0.544
doug mcdermott,0.617
kyle korver,0.582
vince carter,0.565
jake layman,0.594
mike muscala,0.564
tony snell,0.585
george hill,0.554
bobby portis,0.529
wayne ellington,0.569
rodions kurucs,0.545
kyle anderson,0.569
jakob poeltl,0.64
markieff morris,0.521
jeff teague,0.528
pat connaughton,0.573
malik monk,0.518
ish smith,0.485
elfrid payton,0.502
shelvin mack,0.489
nikola mirotic,0.584
cody zeller,0.611
rondae hollis-jefferson,0.464
wes iwundu,0.531
ersan ilyasova,0.548
james ennis iii,0.59
jared dudley,0.554
jonas jerebko,0.588
jamal crawford,0.522
stanley johnson,0.485
mario hezonja,0.497
robert covington,0.58
tristan thompson,0.551
will barton,0.501
richaun holmes,0.647
michael kidd-gilchrist,0.553
wilson chandler,0.537
frank jackson,0.517
james johnson,0.522
derrick jones jr.,0.559
victor oladipo,0.519
dion waiters,0.53
allen crabbe,0.519
norman powell,0.596
trey burke,0.524
lance stephenson,0.529
trey lyles,0.5
tim frazier,0.544
wendell carter jr.,0.541
john wall,0.527
jonas valanciunas,0.616
ante zizic,0.59
anthony tolliver,0.571
kenrich williams,0.485
devin harris,0.527
yogi ferrell,0.55
jonathon simmons,0.466
caris levert,0.509
quinn cook,0.565
nerlens noel,0.608
ivica zubac,0.604
sterling brown,0.563
gorgui dieng,0.572
nik stauskas,0.545
alfonzo mckinnie,0.569
tony parker,0.512
goran dragic,0.517
david nwaba,0.558
de'anthony melton,0.466
shabazz napier,0.534
danuel house jr.,0.646
ian clark,0.502
thon maker,0.53
shaun livingston,0.555
elie okobo,0.489
jerian grant,0.526
jahlil okafor,0.603
dante cunningham,0.585
daniel theis,0.624
frank ntilikina,0.417
cheick diallo,0.644
chandler hutchison,0.507
d.j. wilson,0.515
zaza pachulia,0.539
meyers leonard,0.675
solomon hill,0.497
tyson chandler,0.63
patrick patterson,0.493
c.j. miles,0.504
antonio blakeney,0.487
dragan bender,0.521
aron baynes,0.567
harry giles,0.526
willy hernangomez,0.587
matthew dellavedova,0.532
omari spellman,0.516
bruno caboclo,0.571
dirk nowitzki,0.469
jordan bell,0.531
sam dekker,0.519
luke kornet,0.531
bismack biyombo,0.602
lance thomas,0.482
demarcus cousins,0.562
mo bamba,0.539
troy daniels,0.558
dwayne bacon,0.57
frank kaminsky,0.587
j.j. barea,0.495
marcin gortat,0.562
cristiano felicio,0.568
chasson randle,0.555
brandon knight,0.484
troy brown jr.,0.487
kenneth faried,0.622
ivan rabb,0.586
treveon graham,0.458
cameron payne,0.519
tyler dorsey,0.509
abdel nader,0.522
joakim noah,0.571
boban marjanovic,0.664
furkan korkmaz,0.528
devonte' graham,0.459
timothe luwawu-cabarrot,0.489
dante exum,0.516
jerryd bayless,0.431
aaron holiday,0.518
khem birch,0.64
gary clark,0.48
jonah bolden,0.595
jose calderon,0.453
isaiah canaan,0.518
tyrone wallace,0.45
glenn robinson iii,0.511
thabo sefolosha,0.599
kevin love,0.561
semi ojeleye,0.531
alex abrines,0.507
jevon carter,0.432
isaiah briscoe,0.455
nene,0.552
wesley johnson,0.469
alex caruso,0.569
amir johnson,0.574
hamidou diallo,0.497
t.j. leaf,0.572
omri casspi,0.606
georges niang,0.613
keita bates-diop,0.489
kosta koufos,0.477
marquese chriss,0.455
ian mahinmi,0.531
chandler parsons,0.484
corey brewer,0.532
greg monroe,0.521
raul neto,0.558
justin anderson,0.516
ryan broekhoff,0.621
moritz wagner,0.533
svi mykhailiuk,0.447
jaron blossomgame,0.51
frank mason iii,0.502
jaylen adams,0.474
courtney lee,0.492
markelle fultz,0.452
grayson allen,0.516
kadeem allen,0.574
donte divincenzo,0.507
damian jones,0.72
jon leuer,0.616
salah mejri,0.559
patrick mccaw,0.532
