Player,TS%
cj mccollum,0.541
devin booker,0.618
james harden,0.626
harrison barnes,0.574
damian lillard,0.627
tobias harris,0.556
p.j. tucker,0.559
shai gilgeous-alexander,0.568
bam adebayo,0.598
donovan mitchell,0.558
nikola jokic,0.605
rudy gobert,0.699
demar derozan,0.603
lebron james,0.577
jayson tatum,0.567
buddy hield,0.566
devonte' graham,0.537
chris paul,0.61
t.j. warren,0.61
duncan robinson,0.684
terry rozier,0.553
domantas sabonis,0.586
collin sexton,0.56
joe ingles,0.595
robert covington,0.559
anthony davis,0.61
joe harris,0.606
dorian finney-smith,0.595
trae young,0.595
jrue holiday,0.537
dillon brooks,0.51
pascal siakam,0.554
brandon ingram,0.587
kyle lowry,0.59
tim hardaway jr.,0.581
zach lavine,0.568
bojan bogdanovic,0.603
julius randle,0.538
evan fournier,0.595
ja morant,0.556
og anunoby,0.6
bradley beal,0.579
royce o'neale,0.578
russell westbrook,0.536
luka doncic,0.585
mikal bridges,0.62
al horford,0.536
lonzo ball,0.517
de'andre hunter,0.521
aaron gordon,0.516
ben simmons,0.602
ricky rubio,0.535
nemanja bjelica,0.602
hassan whiteside,0.644
dennis schroder,0.575
nikola vucevic,0.549
markelle fultz,0.517
miles bridges,0.52
spencer dinwiddie,0.541
kendrick nunn,0.534
jimmy butler,0.585
marcus morris,0.57
jaylen brown,0.583
kelly oubre jr.,0.56
fred vanvleet,0.553
marcus smart,0.518
giannis antetokounmpo,0.613
will barton,0.549
danuel house jr.,0.572
cedi osman,0.552
jamal murray,0.559
carmelo anthony,0.525
jerami grant,0.591
maxi kleber,0.605
terrence ross,0.548
andre drummond,0.553
tomas satoransky,0.533
jae crowder,0.553
lou williams,0.546
andrew wiggins,0.536
taurean prince,0.497
khris middleton,0.619
jarrett allen,0.664
kawhi leonard,0.589
jonas valanciunas,0.631
danilo gallinari,0.612
justin holiday,0.585
myles turner,0.566
darius garland,0.498
brook lopez,0.551
kristaps porzingis,0.551
ish smith,0.509
glenn robinson iii,0.577
troy brown jr.,0.524
gary harris,0.519
kevin love,0.599
bogdan bogdanovic,0.565
kentavious caldwell-pope,0.584
kevin huerter,0.536
cory joseph,0.517
p.j. washington,0.547
josh hart,0.563
lamarcus aldridge,0.571
alec burks,0.561
montrezl harrell,0.607
kemba walker,0.575
gordon hayward,0.595
garrett temple,0.513
tristan thompson,0.54
jordan clarkson,0.574
rj barrett,0.479
langston galloway,0.584
josh richardson,0.533
kent bazemore,0.499
danny green,0.552
dejounte murray,0.524
steven adams,0.604
derrick white,0.593
coby white,0.506
malcolm brogdon,0.541
goran dragic,0.573
eric paschall,0.571
eric bledsoe,0.571
tony snell,0.598
monte morris,0.545
wesley matthews,0.547
bruce brown,0.518
de'aaron fox,0.558
dario saric,0.592
jaren jackson jr.,0.593
ben mclemore,0.622
aaron holiday,0.521
austin rivers,0.542
thaddeus young,0.521
davis bertans,0.628
jj redick,0.644
bryn forbes,0.57
seth curry,0.643
delon wright,0.554
daniel theis,0.631
furkan korkmaz,0.579
cam reddish,0.5
josh okogie,0.553
kyle kuzma,0.531
donte divincenzo,0.557
tyler herro,0.55
jarrett culver,0.467
joel embiid,0.59
trevor ariza,0.593
lauri markkanen,0.56
patty mills,0.592
serge ibaka,0.583
norman powell,0.624
larry nance jr.,0.608
jeff teague,0.557
rudy gay,0.553
landry shamet,0.58
d'angelo russell,0.556
anfernee simons,0.502
rui hachimura,0.535
maurice harkless,0.572
damion lee,0.548
d.j. augustin,0.554
paul george,0.589
mitchell robinson,0.726
bobby portis,0.53
derrick jones jr.,0.62
doug mcdermott,0.62
brad wanamaker,0.577
mike conley,0.537
john collins,0.659
shabazz napier,0.552
patrick beverley,0.56
cody zeller,0.576
gary trent jr.,0.587
kyle anderson,0.534
caris levert,0.514
ivica zubac,0.651
t.j. mcconnell,0.54
christian wood,0.659
