Player,TS%
jamychal green,0.576
dwight howard,0.696
kelly olynyk,0.621
brandon clarke,0.663
derrick rose,0.555
jeremy lamb,0.547
matisse thybulle,0.539
clint capela,0.626
jordan poole,0.454
trey lyles,0.557
george hill,0.659
kris dunn,0.51
svi mykhailiuk,0.578
james ennis iii,0.565
terrance ferguson,0.481
wendell carter jr.,0.59
cameron johnson,0.586
isaac bonga,0.608
elfrid payton,0.47
pat connaughton,0.565
derrick favors,0.62
richaun holmes,0.681
paul millsap,0.591
deandre ayton,0.568
deandre jordan,0.682
tyus jones,0.532
draymond green,0.489
terence davis,0.588
malik beasley,0.546
mike scott,0.557
marquese chriss,0.604
frank ntilikina,0.497
karl-anthony towns,0.642
markieff morris,0.565
avery bradley,0.537
alex caruso,0.525
jakob poeltl,0.612
malik monk,0.53
de'anthony melton,0.501
kevin knox,0.47
kevin porter jr.,0.535
marc gasol,0.551
thomas bryant,0.649
javale mcgee,0.652
darius bazley,0.497
marvin williams,0.587
nerlens noel,0.711
rondae hollis-jefferson,0.533
willie cauley-stein,0.589
gorgui dieng,0.568
solomon hill,0.535
jaxson hayes,0.689
torrey craig,0.553
dwight powell,0.677
mason plumlee,0.613
justin jackson,0.496
grant williams,0.505
nicolo melli,0.556
meyers leonard,0.627
bismack biyombo,0.57
taj gibson,0.61
jalen brunson,0.553
e'twaun moore,0.51
eric gordon,0.51
ky bowman,0.494
semi ojeleye,0.562
lonnie walker iv,0.507
ersan ilyasova,0.589
rajon rondo,0.494
enes freedom,0.599
jonathan isaac,0.552
jerome robinson,0.476
alex len,0.6
kyle korver,0.62
jeff green,0.59
robin lopez,0.554
wes iwundu,0.544
jevon carter,0.563
aron baynes,0.581
ryan arcidiacono,0.551
treveon graham,0.456
isaiah thomas,0.531
georges niang,0.589
khem birch,0.566
luke kennard,0.589
jabari parker,0.571
deandre' bembry,0.5
patrick mccaw,0.5
michael porter jr.,0.617
cody martin,0.505
hamidou diallo,0.491
damian jones,0.712
omari spellman,0.551
marco belinelli,0.532
mo bamba,0.542
vince carter,0.47
anthony tolliver,0.513
rodney mcgruder,0.477
mario hezonja,0.525
abdel nader,0.591
timothe luwawu-cabarrot,0.599
emmanuel mudiay,0.543
damyean dotson,0.527
moritz wagner,0.638
michael carter-williams,0.535
juancho hernangomez,0.518
kenrich williams,0.429
matthew dellavedova,0.463
luguentz dort,0.506
chris boucher,0.587
ian mahinmi,0.545
shake milton,0.617
frank jackson,0.51
jordan mcrae,0.515
frank kaminsky,0.545
thon maker,0.582
patrick patterson,0.58
dewayne dedmon,0.473
sterling brown,0.486
sekou doumbouya,0.474
keita bates-diop,0.539
reggie jackson,0.529
wilson chandler,0.531
elie okobo,0.516
grayson allen,0.609
bruno fernando,0.542
tyler johnson,0.504
dwayne bacon,0.419
rodions kurucs,0.555
reggie bullock,0.502
raul neto,0.567
zion williamson,0.616
harry giles,0.58
tony bradley,0.681
kyrie irving,0.595
allen crabbe,0.47
rodney hood,0.625
james johnson,0.572
daniel gafford,0.686
john henson,0.578
alfonzo mckinnie,0.493
nickeil alexander-walker,0.473
jordan mclaughlin,0.587
nassir little,0.505
mike muscala,0.569
skal labissiere,0.588
gary clark,0.568
luke kornet,0.539
wayne ellington,0.509
dennis smith jr.,0.399
troy daniels,0.518
yogi ferrell,0.528
victor oladipo,0.506
chandler hutchison,0.521
trey burke,0.548
blake griffin,0.476
quinn cook,0.509
jake layman,0.544
nicolas batum,0.463
kelan martin,0.506
naz reid,0.505
denzel valentine,0.511
dzanan musa,0.484
dante exum,0.576
marko guduric,0.514
shaquille harrison,0.559
cheick diallo,0.688
goga bitadze,0.523
jakarr sampson,0.615
javonte green,0.564
jahlil okafor,0.642
brandon knight,0.503
j.j. barea,0.512
edmond sumner,0.491
matt thomas,0.65
anzejs pasecniks,0.551
thabo sefolosha,0.487
gary payton ii,0.473
brandon goodwin,0.507
boban marjanovic,0.612
andre iguodala,0.507
jacob evans,0.436
pj dozier,0.495
chris chiozza,0.499
robert williams,0.728
cristiano felicio,0.671
josh jackson,0.547
al-farouq aminu,0.395
noah vonleh,0.622
willy hernangomez,0.576
romeo langford,0.434
admiral schofield,0.502
theo pinson,0.37
jared dudley,0.558
d.j. wilson,0.475
terance mann,0.545
deonte burton,0.396
tim frazier,0.464
justise winslow,0.44
carsen edwards,0.444
chris silva,0.651
courtney lee,0.629
marvin bagley iii,0.512
otto porter jr.,0.55
ty jerome,0.425
caleb martin,0.595
kyle o'quinn,0.544
ed davis,0.489
keldon johnson,0.711
jalen mcdaniels,0.574
chris clemons,0.548
allonzo trier,0.62
zach collins,0.538
demarre carroll,0.515
caleb swanigan,0.597
dragan bender,0.545
michael kidd-gilchrist,0.416
drew eubanks,0.682
juan toscano-anderson,0.529
david nwaba,0.627
isaiah hartenstein,0.674
kevon looney,0.403
jordan bell,0.577
jusuf nurkic,0.567
evan turner,0.424
derrick walton,0.617
bruno caboclo,0.484
iman shumpert,0.403
wenyen gabriel,0.546
justin james,0.477
norvel pelle,0.526
garrison mathews,0.691
t.j. leaf,0.451
ante zizic,0.597
tyson chandler,0.717
dion waiters,0.521
mychal mulder,0.533
nic claxton,0.577
cameron payne,0.612
john konchar,0.713
ryan broekhoff,0.568
johnathan williams,0.566
malcolm miller,0.538
rayjon tucker,0.584
c.j. miles,0.472
tyrone wallace,0.389
amir coffey,0.493
jaylen nowell,0.471
stanley johnson,0.454
michael frazier,0.384
daquan jeffries,0.586
alen smailagic,0.61
stephen curry,0.557
oshae brissett,0.458
juwan morgan,0.648
donta hall,0.652
vincent poirier,0.525
thanasis antetokounmpo,0.496
melvin frazier,0.559
tremont waters,0.381
alize johnson,0.509
frank mason iii,0.53
kadeem allen,0.512
adam mokoka,0.538
miye oni,0.512
justin anderson,0.352
chimezie metu,0.608
yuta watanabe,0.48
jaylen hoard,0.504
jeremiah martin,0.541
lance thomas,0.485
jarrell brantley,0.416
bol bol,0.617
andre roberson,0.335
paul watson,0.517
b.j. johnson,0.412
gabe vincent,0.297
devon hall,0.298
talen horton-tucker,0.535
jerian grant,0.449
j.r. smith,0.372
quinndary weatherspoon,0.336
amile jefferson,0.372
dean wade,0.744
mfiondu kabengele,0.614
louis king,0.448
vic law,0.363
khyri thomas,0.453
chandler parsons,0.389
tyler cook,0.741
jordan bone,0.3
ignas brazdeikis,0.351
jarrod uthoff,0.503
kevin hervey,0.315
zylan cheatham,0.667
nigel williams-goss,0.415
joakim noah,0.608
justin robinson,0.542
luka samanic,0.45
naz mitrou-long,0.412
jonah bolden,0.392
antonius cleveland,0.34
jarred vanderbilt,0.676
vlatko cancar,0.507
justin wright-foreman,0.437
udonis haslem,0.47
jeremy pargo,0.557
johnathan motley,0.774
zach norvell,0.402
charlie brown jr.,0.472
chasson randle,0.377
josh magette,0.378
sindarius thornwell,0.627
moses brown,0.407
tacko fall,0.751
corey brewer,0.47
joe chealey,0.127
zhaire smith,0.313
jalen lecque,0.46
brian bowen,0.3
dewan hernandez,0.432
josh reaves,0.405
marial shayok,0.4
kz okpala,0.595
luc mbah a moute,0.425
justin patton,0.45
josh gray,0.5
kostas antetokounmpo,0.902
matt mooney,0.25
eric mika,0.773
henry ellenson,0.143
stanton kidd,0.0
tariq owens,0.34
daryl macon,0.5
ryan anderson,0.357
kyle alexander,0.5
dusty hannahs,0.607
william howard,0.0
shamorie ponds,0.765
isaiah roby,0.0
kyle guy,0.4
devontae cacok,0.5
jared harper,0.25
max strus,0.727
jamal crawford,0.625
tyler zeller,0.25
malik newman,0.347
marques bolden,
j.p. macura,
league average,0.565
