Player,Team,G,MP,TS%,MPG
Aaron Gordon,ORL,78.0,2633.0,0.538,33.756410256410255
Aaron Holiday,IND,50.0,646.0,0.518,12.92
Abdel Nader,OKC,61.0,694.0,0.522,11.37704918032787
Al Horford,BOS,68.0,1973.0,0.605,29.014705882352942
Al-Farouq Aminu,POR,81.0,2292.0,0.568,28.296296296296298
Alan Williams,BRK,5.0,26.0,0.61,5.2
Alec Burks,3TM,64.0,1375.0,0.523,21.484375
Alex Caruso,LAL,25.0,531.0,0.569,21.24
Alex Len,ATL,77.0,1544.0,0.575,20.051948051948052
Alex Poythress,ATL,21.0,305.0,0.571,14.523809523809524
Alfonzo McKinnie,GSW,72.0,1003.0,0.569,13.930555555555555
Alize Johnson,IND,14.0,64.0,0.333,4.571428571428571
Allen Crabbe,BRK,43.0,1133.0,0.519,26.348837209302324
Allonzo Trier,NYK,64.0,1459.0,0.564,22.796875
Amile Jefferson,ORL,12.0,68.0,0.692,5.666666666666667
Amir Johnson,PHI,51.0,529.0,0.574,10.372549019607844
Andre Drummond,DET,79.0,2647.0,0.555,33.50632911392405
Andre Iguodala,GSW,68.0,1578.0,0.587,23.205882352941178
Andre Ingram,LAL,4.0,15.0,0.0,3.75
Andrew Bogut,GSW,11.0,134.0,0.523,12.181818181818182
Andrew Harrison,3TM,17.0,187.0,0.443,11.0
Andrew Wiggins,MIN,73.0,2543.0,0.493,34.83561643835616
Anfernee Simons,POR,20.0,141.0,0.535,7.05
Ante Žižić,CLE,59.0,1082.0,0.59,18.338983050847457
Anthony Davis,NOP,56.0,1850.0,0.597,33.035714285714285
Anthony Tolliver,MIN,65.0,1079.0,0.571,16.6
Antonio Blakeney,CHI,57.0,829.0,0.487,14.543859649122806
Aron Baynes,BOS,51.0,821.0,0.567,16.098039215686274
Austin Rivers,2TM,76.0,2028.0,0.503,26.68421052631579
Avery Bradley,2TM,63.0,1905.0,0.496,30.238095238095237
B.J. Johnson,2TM,7.0,49.0,0.609,7.0
Bam Adebayo,MIA,82.0,1913.0,0.623,23.329268292682926
Ben McLemore,SAC,19.0,158.0,0.541,8.31578947368421
Ben Simmons,PHI,79.0,2700.0,0.582,34.177215189873415
Billy Garrett,NYK,4.0,63.0,0.452,15.75
Bismack Biyombo,CHO,54.0,783.0,0.602,14.5
Blake Griffin,DET,75.0,2622.0,0.581,34.96
Boban Marjanović,2TM,58.0,681.0,0.664,11.741379310344827
Bobby Portis,2TM,50.0,1299.0,0.529,25.98
Bogdan Bogdanović,SAC,70.0,1947.0,0.53,27.814285714285713
Bojan Bogdanović,IND,81.0,2573.0,0.613,31.765432098765434
Bonzie Colson,MIL,8.0,98.0,0.454,12.25
Brad Wanamaker,BOS,36.0,343.0,0.597,9.527777777777779
Bradley Beal,WAS,82.0,3028.0,0.581,36.926829268292686
Brandon Goodwin,DEN,16.0,57.0,0.413,3.5625
Brandon Ingram,LAL,52.0,1760.0,0.555,33.84615384615385
Brandon Knight,2TM,39.0,736.0,0.484,18.871794871794872
Brandon Sampson,CHI,14.0,214.0,0.567,15.285714285714286
Brook Lopez,MIL,81.0,2322.0,0.597,28.666666666666668
Bruce Brown,DET,74.0,1449.0,0.469,19.58108108108108
Bruno Caboclo,MEM,34.0,800.0,0.571,23.529411764705884
Bryn Forbes,SAS,82.0,2293.0,0.586,27.963414634146343
Buddy Hield,SAC,82.0,2615.0,0.587,31.890243902439025
C.J. Miles,2TM,53.0,856.0,0.504,16.150943396226417
C.J. Williams,MIN,15.0,128.0,0.55,8.533333333333333
CJ McCollum,POR,70.0,2375.0,0.553,33.92857142857143
Caleb Swanigan,2TM,21.0,178.0,0.377,8.476190476190476
Cameron Payne,2TM,40.0,712.0,0.519,17.8
Cameron Reynolds,MIN,19.0,259.0,0.58,13.631578947368421
Caris LeVert,BRK,40.0,1063.0,0.509,26.575
Carmelo Anthony,HOU,10.0,294.0,0.513,29.4
Cedi Osman,CLE,76.0,2444.0,0.536,32.1578947368421
Chandler Hutchison,CHI,44.0,895.0,0.507,20.34090909090909
Chandler Parsons,MEM,25.0,496.0,0.484,19.84
Channing Frye,CLE,36.0,341.0,0.524,9.472222222222221
Chasson Randle,WAS,49.0,743.0,0.555,15.16326530612245
Cheick Diallo,NOP,64.0,896.0,0.644,14.0
Chimezie Metu,SAS,29.0,145.0,0.389,5.0
Chris Boucher,TOR,28.0,163.0,0.563,5.821428571428571
Chris Chiozza,HOU,7.0,33.0,0.375,4.714285714285714
Chris Paul,HOU,58.0,1857.0,0.56,32.01724137931034
Christian Wood,2TM,21.0,251.0,0.607,11.952380952380953
Clint Capela,HOU,67.0,2249.0,0.658,33.56716417910448
Cody Zeller,CHO,49.0,1243.0,0.611,25.367346938775512
Collin Sexton,CLE,82.0,2605.0,0.52,31.76829268292683
Corey Brewer,2TM,31.0,492.0,0.532,15.870967741935484
Cory Joseph,IND,82.0,2063.0,0.474,25.158536585365855
Courtney Lee,2TM,34.0,428.0,0.492,12.588235294117647
Cristiano Felício,CHI,60.0,746.0,0.568,12.433333333333334
D'Angelo Russell,BRK,81.0,2448.0,0.533,30.22222222222222
D.J. Augustin,ORL,81.0,2269.0,0.616,28.012345679012345
D.J. Stephens,MEM,1.0,7.0,0.5,7.0
D.J. Wilson,MIL,48.0,882.0,0.515,18.375
Dairis Bertāns,NOP,12.0,167.0,0.362,13.916666666666666
Damian Jones,GSW,24.0,410.0,0.72,17.083333333333332
Damian Lillard,POR,80.0,2838.0,0.588,35.475
