Player,TS%
mikal bridges,0.627
miles bridges,0.593
demar derozan,0.59
jayson tatum,0.578
saddiq bey,0.529
tyrese haliburton,0.595
russell westbrook,0.512
trae young,0.603
tyrese maxey,0.594
dorian finney-smith,0.604
scottie barnes,0.552
harrison barnes,0.623
pascal siakam,0.565
julius randle,0.509
tobias harris,0.566
jalen brunson,0.583
buddy hield,0.548
nikola jokic,0.661
karl-anthony towns,0.64
anthony edwards,0.56
fred vanvleet,0.552
terry rozier,0.566
gary trent jr.,0.546
darius garland,0.576
franz wagner,0.559
lamelo ball,0.554
james harden,0.583
nikola vucevic,0.533
rj barrett,0.511
royce o'neale,0.608
keldon johnson,0.574
aaron gordon,0.602
dejounte murray,0.533
evan fournier,0.554
patty mills,0.563
devin booker,0.576
reggie jackson,0.488
herbert jones,0.573
evan mobley,0.549
kentavious caldwell-pope,0.568
andrew wiggins,0.56
zach lavine,0.605
alec burks,0.559
terance mann,0.572
luka doncic,0.571
joel embiid,0.616
marcus smart,0.54
jordan poole,0.598
will barton,0.548
desmond bane,0.592
donovan mitchell,0.572
jonas valanciunas,0.617
monte morris,0.583
jaylen brown,0.574
stephen curry,0.601
jrue holiday,0.593
giannis antetokounmpo,0.633
kyle kuzma,0.547
derrick white,0.549
kevin huerter,0.57
devonte' graham,0.514
tyler herro,0.561
cj mccollum,0.553
jordan clarkson,0.532
khris middleton,0.577
malik monk,0.597
chris paul,0.581
jalen green,0.547
domantas sabonis,0.637
seth curry,0.615
kyle lowry,0.6
bojan bogdanovic,0.599
jaren jackson jr.,0.535
rudy gobert,0.732
ayo dosunmu,0.596
christian wood,0.595
cade cunningham,0.504
lebron james,0.619
de'aaron fox,0.549
d'angelo russell,0.544
davion mitchell,0.489
cole anthony,0.519
mike conley,0.572
justin holiday,0.543
jae'sean tate,0.567
kevin durant,0.634
duncan robinson,0.573
clint capela,0.604
bobby portis,0.571
al horford,0.574
steven adams,0.56
kelly oubre jr.,0.56
deni avdija,0.536
p.j. tucker,0.593
isaac okoro,0.589
spencer dinwiddie,0.543
malik beasley,0.544
jakob poeltl,0.613
shai gilgeous-alexander,0.557
robert covington,0.572
devin vassell,0.54
jimmy butler,0.592
darius bazley,0.515
luke kennard,0.619
kevin porter jr.,0.531
reggie bullock,0.558
ja morant,0.575
jae crowder,0.541
jarred vanderbilt,0.612
lauri markkanen,0.582
grant williams,0.635
brandon ingram,0.554
cody martin,0.579
ivica zubac,0.66
wendell carter jr.,0.601
jeff green,0.627
mitchell robinson,0.722
bogdan bogdanovic,0.562
dennis schroder,0.539
bam adebayo,0.608
mo bamba,0.582
isaiah stewart,0.55
jarrett allen,0.698
grayson allen,0.609
robert williams,0.745
jaden mcdaniels,0.553
immanuel quickley,0.543
corey kispert,0.586
dwight powell,0.725
mason plumlee,0.603
carmelo anthony,0.579
josh hart,0.61
caris levert,0.525
bruce brown,0.575
p.j. washington,0.588
chuma okeke,0.501
georges niang,0.594
kevon looney,0.586
cameron johnson,0.625
gary harris,0.571
og anunoby,0.549
precious achiuwa,0.503
deandre ayton,0.656
garrison mathews,0.602
josh giddey,0.478
pat connaughton,0.62
chris boucher,0.57
matisse thybulle,0.594
anfernee simons,0.583
coby white,0.564
danilo gallinari,0.579
eric gordon,0.614
kevin love,0.594
luguentz dort,0.541
john collins,0.61
de'anthony melton,0.529
kj martin,0.603
killian hayes,0.461
montrezl harrell,0.68
lonnie walker iv,0.512
cory joseph,0.579
josh richardson,0.573
torrey craig,0.556
gabe vincent,0.551
max strus,0.614
jusuf nurkic,0.586
de'andre hunter,0.547
amir coffey,0.598
oshae brissett,0.53
marcus morris,0.549
gordon hayward,0.57
tyus jones,0.544
chris duarte,0.537
trey lyles,0.588
javonte green,0.637
talen horton-tucker,0.503
jerami grant,0.556
alperen sengun,0.552
kyle anderson,0.506
kristaps porzingis,0.577
austin rivers,0.546
patrick beverley,0.539
nickeil alexander-walker,0.475
cedi osman,0.563
nicolas batum,0.608
norman powell,0.603
delon wright,0.576
maxi kleber,0.537
terrence ross,0.515
daniel gafford,0.708
bradley beal,0.539
landry shamet,0.55
andre drummond,0.574
austin reaves,0.6
furkan korkmaz,0.502
avery bradley,0.55
anthony davis,0.578
r.j. hampton,0.481
jaxson hayes,0.68
otto porter jr.,0.581
raul neto,0.538
caleb martin,0.611
tre mann,0.501
eric bledsoe,0.514
danny green,0.561
ziaire williams,0.559
josh christopher,0.534
draymond green,0.582
bones hyland,0.558
jalen suggs,0.455
john konchar,0.615
bryn forbes,0.574
ben mclemore,0.567
chimezie metu,0.546
cameron payne,0.5
hamidou diallo,0.541
damion lee,0.561
george hill,0.552
gary payton ii,0.679
brandon clarke,0.66
tim hardaway jr.,0.52
drew eubanks,0.638
myles turner,0.615
aleksej pokusevski,0.485
obi toppin,0.614
doug mcdermott,0.593
isaiah hartenstein,0.664
naz reid,0.588
lonzo ball,0.575
aaron wiggins,0.556
malcolm brogdon,0.557
james johnson,0.513
jonathan kuminga,0.6
jordan nwora,0.506
facundo campazzo,0.503
shake milton,0.517
taurean prince,0.589
cam thomas,0.519
cj elleby,0.491
javale mcgee,0.651
frank jackson,0.53
hassan whiteside,0.662
tre jones,0.545
alex caruso,0.528
marvin bagley iii,0.551
nemanja bjelica,0.573
ish smith,0.465
joe ingles,0.551
garrett temple,0.494
stanley johnson,0.564
kyrie irving,0.592
nassir little,0.575
jeremiah robinson-earl,0.526
jamychal green,0.587
paul george,0.538
richaun holmes,0.689
kenrich williams,0.532
dewayne dedmon,0.632
damian lillard,0.55
troy brown jr.,0.525
lamarcus aldridge,0.604
larry nance jr.,0.59
josh green,0.578
rudy gay,0.539
deandre' bembry,0.601
aaron holiday,0.544
damian jones,0.701
lamar stevens,0.544
cam reddish,0.543
donte divincenzo,0.51
