Player,Team,On-Off
Aaron Gordon,ORL,2.6
Aaron Holiday,IND,5.1
Abdel Nader,OKC,-15.3
Al Horford,BOS,2.7
Al-Farouq Aminu,POR,10.0
Alan Williams,BRK,23.0
Alec Burks,3TM,-5.7
Alex Caruso,LAL,7.4
Alex Len,ATL,1.6
Alex Poythress,ATL,-3.5
Alfonzo McKinnie,GSW,-7.0
Alize Johnson,IND,-4.4
Allen Crabbe,BRK,-0.9
Allonzo Trier,NYK,2.6
Amile Jefferson,ORL,10.1
Amir Johnson,PHI,-8.0
Andre Drummond,DET,10.0
Andre Iguodala,GSW,4.0
Andre Ingram,LAL,15.0
Andrew Bogut,GSW,-3.4
Andrew Harrison,3TM,3.6
Andrew Wiggins,MIN,1.4
Anfernee Simons,POR,-21.7
Ante Žižić,CLE,9.3
Anthony Davis,NOP,8.6
Anthony Tolliver,MIN,-3.4
Antonio Blakeney,CHI,-0.6
Aron Baynes,BOS,3.9
Austin Rivers,2TM,0.3
Avery Bradley,2TM,-3.2
B.J. Johnson,2TM,-8.9
Bam Adebayo,MIA,1.6
Ben McLemore,SAC,-1.8
Ben Simmons,PHI,-1.6
Billy Garrett,NYK,-0.5
Bismack Biyombo,CHO,-6.0
Blake Griffin,DET,2.1
Boban Marjanović,2TM,-2.0
Bobby Portis,2TM,1.6
Bogdan Bogdanović,SAC,0.1
Bojan Bogdanović,IND,-0.5
Bonzie Colson,MIL,-18.3
Brad Wanamaker,BOS,6.6
Bradley Beal,WAS,2.5
Brandon Goodwin,DEN,4.7
Brandon Ingram,LAL,-0.2
Brandon Knight,2TM,-5.2
Brandon Sampson,CHI,-0.6
Brook Lopez,MIL,5.3
Bruce Brown,DET,3.4
Bruno Caboclo,MEM,4.7
Bryn Forbes,SAS,-3.2
Buddy Hield,SAC,1.7
C.J. Miles,2TM,-6.5
C.J. Williams,MIN,-16.7
CJ McCollum,POR,6.1
Caleb Swanigan,2TM,-21.1
Cameron Payne,2TM,-8.0
Cameron Reynolds,MIN,-7.2
Caris LeVert,BRK,0.1
Carmelo Anthony,HOU,-18.1
Cedi Osman,CLE,-7.5
Chandler Hutchison,CHI,3.1
Chandler Parsons,MEM,-2.8
Channing Frye,CLE,-16.2
Chasson Randle,WAS,-2.9
Cheick Diallo,NOP,-3.9
Chimezie Metu,SAS,-5.9
Chris Boucher,TOR,-9.3
Chris Chiozza,HOU,-23.1
Chris Paul,HOU,4.5
Christian Wood,2TM,-10.0
Clint Capela,HOU,2.7
Cody Zeller,CHO,4.1
Collin Sexton,CLE,-8.0
Corey Brewer,2TM,0.7
Cory Joseph,IND,4.8
Courtney Lee,2TM,-2.2
Cristiano Felício,CHI,-0.2
D'Angelo Russell,BRK,0.1
D.J. Augustin,ORL,4.8
D.J. Stephens,MEM,-16.2
D.J. Wilson,MIL,-3.6
Dairis Bertāns,NOP,-15.0
Damian Jones,GSW,-4.8
Damian Lillard,POR,13.7
Damion Lee,GSW,-13.9
Damyean Dotson,NYK,2.4
Daniel Hamilton,ATL,-1.5
Daniel Theis,BOS,4.5
Danilo Gallinari,LAC,1.9
Danny Green,TOR,17.6
Dante Cunningham,SAS,-12.6
Dante Exum,UTA,-1.6
Danuel House Jr.,HOU,7.4
Dario Šarić,2TM,-0.9
Darius Miller,NOP,2.8
Darren Collison,IND,-2.8
Daryl Macon,DAL,-2.8
David Nwaba,CLE,8.4
Davon Reed,IND,14.3
De'Aaron Fox,SAC,5.7
De'Anthony Melton,PHO,1.4
DeAndre Jordan,2TM,-2.2
DeAndre' Bembry,ATL,2.0
DeMar DeRozan,SAS,-5.1
DeMarcus Cousins,GSW,-2.8
DeMarre Carroll,BRK,3.3
DeVaughn Akoon-Purcell,DEN,3.5
Deandre Ayton,PHO,1.8
Delon Wright,2TM,-3.3
Demetrius Jackson,PHI,-15.9
Deng Adel,CLE,1.4
Dennis Schröder,OKC,-0.3
Dennis Smith Jr.,2TM,-0.4
Deonte Burton,OKC,5.3
Derrick Favors,UTA,0.4
Derrick Jones Jr.,MIA,0.3
Derrick Rose,MIN,3.4
Derrick White,SAS,6.0
Devin Booker,PHO,3.9
Devin Harris,DAL,-3.6
Devin Robinson,WAS,-0.5
Devonte' Graham,CHO,-6.4
Dewayne Dedmon,ATL,0.9
Deyonta Davis,ATL,-6.9
Dillon Brooks,MEM,2.9
Dion Waiters,MIA,-2.8
Dirk Nowitzki,DAL,-5.4
Domantas Sabonis,IND,2.9
