Player,Team,On-Off
Aaron Gordon,DEN,9.0
Aaron Henry,PHI,-54.1
Aaron Holiday,2TM,-3.2
Aaron Nesmith,BOS,-3.8
Aaron Wiggins,OKC,1.5
Abdel Nader,PHO,-9.7
Ade Murkey,SAC,-11.2
Admiral Schofield,ORL,-4.5
Ahmad Caver,IND,104.1
Al Horford,BOS,3.3
Alec Burks,NYK,6.6
Aleem Ford,ORL,-13.2
Aleksej Pokusevski,OKC,7.3
Alex Caruso,CHI,7.4
Alex Len,SAC,0.1
Alfonzo McKinnie,CHI,-13.0
Alize Johnson,3TM,-10.4
Alperen Şengün,HOU,-2.5
Amir Coffey,LAC,-1.1
Andre Drummond,2TM,0.2
Andre Iguodala,GSW,5.2
Andrew Wiggins,GSW,0.5
Anfernee Simons,POR,11.4
Anthony Davis,LAL,-0.2
Anthony Edwards,MIN,3.4
Anthony Gill,WAS,13.1
Anthony Lamb,SAS,25.8
Armoni Brooks,2TM,1.1
Arnoldas Kulboka,CHO,-90.7
Austin Reaves,LAL,6.5
Austin Rivers,DEN,0.8
Avery Bradley,LAL,-2.5
Ayo Dosunmu,CHI,-8.7
B.J. Johnson,ORL,-3.0
Bam Adebayo,MIA,5.5
Ben McLemore,POR,-6.7
Bismack Biyombo,PHO,-3.7
Blake Griffin,BRK,-8.0
Boban Marjanović,DAL,12.6
Bobby Portis,MIL,7.9
Bogdan Bogdanović,ATL,6.3
Bojan Bogdanović,UTA,-2.8
Bol Bol,DEN,-0.6
Bones Hyland,DEN,-1.3
Brad Wanamaker,2TM,-0.9
Bradley Beal,WAS,0.1
Brandon Boston Jr.,LAC,-2.9
Brandon Clarke,MEM,3.2
Brandon Goodwin,CLE,-8.1
Brandon Ingram,NOP,8.1
Brandon Knight,DAL,-12.1
Brandon Williams,POR,-14.9
Braxton Key,2TM,14.3
Brodric Thomas,BOS,-4.9
Brook Lopez,MIL,-5.1
Bruce Brown,BRK,-1.6
Bruno Fernando,2TM,-6.0
Bryn Forbes,2TM,-1.1
Buddy Hield,2TM,1.3
C.J. Miles,BOS,-132.8
CJ Elleby,POR,-8.4
CJ McCollum,2TM,6.3
Cade Cunningham,DET,2.7
Caleb Martin,MIA,3.7
Cam Reddish,2TM,-13.2
Cam Thomas,BRK,-10.9
Cameron Johnson,PHO,-1.5
Cameron McGriff,POR,16.6
Cameron Oliver,ATL,1.7
Cameron Payne,PHO,-2.4
Caris LeVert,2TM,0.4
Carlik Jones,2TM,-36.7
Carmelo Anthony,LAL,0.3
Carsen Edwards,DET,-0.8
Cassius Stanley,DET,3.8
Cassius Winston,WAS,-10.8
Cat Barber,ATL,34.0
Cedi Osman,CLE,-6.3
Chandler Hutchison,PHO,23.0
Charles Bassey,PHI,-13.8
Charlie Brown Jr.,2TM,-3.2
Chaundee Brown Jr.,2TM,-8.7
Cheick Diallo,DET,-37.6
Chimezie Metu,SAC,-0.3
Chris Boucher,TOR,6.0
Chris Chiozza,GSW,-14.1
Chris Duarte,IND,3.0
Chris Paul,PHO,5.4
Chris Silva,2TM,-18.1
Christian Wood,HOU,-1.2
Chuma Okeke,ORL,-1.9
Clint Capela,ATL,3.9
Coby White,CHI,-1.2
Cody Martin,CHO,0.0
Cody Zeller,POR,6.8
Cole Anthony,ORL,4.9
Collin Sexton,CLE,-9.0
Corey Kispert,WAS,5.8
Cory Joseph,DET,2.6
Craig Sword,WAS,17.8
D'Angelo Russell,MIN,3.2
D.J. Augustin,2TM,-5.8
D.J. Wilson,TOR,-16.3
DaQuan Jeffries,MEM,-34.0
Daishen Nix,HOU,1.2
Dakota Mathias,MEM,-43.5
Dalano Banton,TOR,-0.2
Damian Jones,SAC,-4.2
Damian Lillard,POR,10.1
Damion Lee,GSW,-4.3
Damyean Dotson,NYK,8.1
Daniel Gafford,WAS,-5.4
Daniel Oturu,TOR,-44.6
Daniel Theis,2TM,-1.3
Danilo Gallinari,ATL,1.9
Danny Green,PHI,-0.5
Danuel House Jr.,3TM,2.0
Darius Bazley,OKC,-6.4
Darius Garland,CLE,12.1
Darren Collison,LAL,-18.8
David Duke Jr.,BRK,-3.1
David Johnson,TOR,-52.2
David Nwaba,HOU,-0.4
Davion Mitchell,SAC,-1.0
Davon Reed,DEN,-2.4
Day'Ron Sharpe,BRK,5.5
De'Aaron Fox,SAC,2.0
De'Andre Hunter,ATL,-1.6
De'Anthony Melton,MEM,1.3
DeAndre Jordan,2TM,-9.5
DeAndre' Bembry,2TM,0.0
DeJon Jarreau,IND,4.1
DeMar DeRozan,CHI,5.1
DeMarcus Cousins,2TM,-0.7
Dean Wade,CLE,0.5
Deandre Ayton,PHO,3.7
Deividas Sirvydis,DET,-37.8
Dejounte Murray,SAS,2.3
Delon Wright,ATL,1.9
Deni Avdija,WAS,5.2
Dennis Schröder,2TM,-8.1
Dennis Smith Jr.,POR,0.2
Denzel Valentine,2TM,-7.7
Derrick Favors,OKC,-0.9
Derrick Jones Jr.,CHI,3.3
Derrick Rose,NYK,7.2
Derrick Walton,DET,6.0
Derrick White,2TM,3.2
Desmond Bane,MEM,3.8
Devin Booker,PHO,4.8
Devin Cannady,ORL,5.1
Devin Vassell,SAS,1.2
Devon Dotson,CHI,0.5
Devontae Cacok,SAS,-2.8
Devonte' Graham,NOP,2.4
Dewayne Dedmon,MIA,-2.0
Didi Louzada,2TM,-24.4
Dillon Brooks,MEM,7.4
Domantas Sabonis,2TM,4.3
Donovan Mitchell,UTA,-0.8
Donte DiVincenzo,2TM,-2.4
Dorian Finney-Smith,DAL,3.8
Doug McDermott,SAS,-4.7
Draymond Green,GSW,1.3
Drew Eubanks,2TM,-9.8
Duane Washington Jr.,IND,-5.0
Duncan Robinson,MIA,-4.7
Dwight Howard,LAL,-4.1
Dwight Powell,DAL,-1.2
Dylan Windler,CLE,-2.4
Dāvis Bertāns,2TM,2.1
Ed Davis,CLE,0.7
Elfrid Payton,PHO,-12.3
Elijah Hughes,2TM,-20.9
Emanuel Terry,PHO,-59.4
Emmanuel Mudiay,SAC,-11.0
Enes Freedom,BOS,1.4
Eric Bledsoe,LAC,-2.3
Eric Gordon,HOU,4.9
Eric Paschall,UTA,-10.0
Eugene Omoruyi,DAL,-1.0
Evan Fournier,NYK,-6.7
Evan Mobley,CLE,0.0
Facundo Campazzo,DEN,-15.2
Feron Hunt,NYK,-1.4
Frank Jackson,DET,1.1
Frank Kaminsky,PHO,1.1
Frank Ntilikina,DAL,1.1
Franz Wagner,ORL,8.4
Fred VanVleet,TOR,4.1
Freddie Gillespie,ORL,-2.8
Furkan Korkmaz,PHI,-2.9
Gabe Vincent,MIA,-2.9
Gabe York,IND,-6.7
Gabriel Deck,OKC,-3.9
Gabriel Lundberg,PHO,7.5
Garrett Temple,NOP,-17.9
Garrison Mathews,HOU,3.5
Gary Clark,NOP,1.2
Gary Harris,ORL,3.5
Gary Payton II,GSW,5.9
Gary Trent Jr.,TOR,3.0
George Hill,MIL,11.9
George King,DAL,-63.9
Georges Niang,PHI,-2.6
Georgios Kalaitzakis,2TM,-24.7
Giannis Antetokounmpo,MIL,11.0
Goga Bitadze,IND,1.2
Goran Dragić,2TM,-1.7
Gordon Hayward,CHO,-1.2
Gorgui Dieng,ATL,-11.3
Grant Williams,BOS,-6.0
Grayson Allen,MIL,4.4
Greg Brown III,POR,-10.1
Greg Monroe,4TM,-2.3
Hamidou Diallo,DET,-0.2
Harrison Barnes,SAC,-3.6
Hassan Whiteside,UTA,5.7
Hassani Gravett,ORL,8.3
Haywood Highsmith,MIA,-14.3
Herbert Jones,NOP,6.3
Ignas Brazdeikis,ORL,-8.8
Immanuel Quickley,NYK,13.8
Isaac Bonga,TOR,-22.9
Isaac Okoro,CLE,2.9
Isaiah Hartenstein,LAC,9.9
Isaiah Jackson,IND,-0.8
Isaiah Joe,PHI,-0.6
Isaiah Livers,DET,6.6
Isaiah Roby,OKC,-1.4
Isaiah Stewart,DET,-3.1
Isaiah Thomas,3TM,-2.7
Isaiah Todd,WAS,-17.0
Ish Smith,2TM,-5.8
Ish Wainright,PHO,-2.8
Ivica Zubac,LAC,-6.8
JT Thor,CHO,-0.1
Ja Morant,MEM,-1.7
JaMychal Green,DEN,-7.0
JaQuori McLaughlin,DAL,-45.5
JaVale McGee,PHO,-4.7
Jabari Parker,BOS,-9.2
Jaden McDaniels,MIN,-4.6
Jaden Springer,PHI,-62.6
Jae Crowder,PHO,5.4
Jae'Sean Tate,HOU,-1.4
Jahmi'us Ramsey,SAC,-4.0
Jaime Echenique,WAS,-21.7
Jake Layman,MIN,-4.8
Jakob Poeltl,SAS,5.3
Jalen Brunson,DAL,2.3
Jalen Green,HOU,-6.7
Jalen Johnson,ATL,-8.5
Jalen McDaniels,CHO,2.9
Jalen Smith,2TM,0.7
Jalen Suggs,ORL,1.0
James Bouknight,CHO,-8.9
James Ennis III,3TM,-0.2
James Harden,2TM,2.7
James Johnson,BRK,-3.2
Jamorko Pickett,DET,6.8
Jared Butler,UTA,-6.9
Jared Harper,NOP,4.8
Jaren Jackson Jr.,MEM,4.1
Jarred Vanderbilt,MIN,5.3
Jarrett Allen,CLE,4.2
Jarrett Culver,MEM,-9.3
Jarron Cumberland,POR,39.5
Javin DeLaurier,MIL,82.6
Javonte Green,CHI,3.4
Javonte Smart,2TM,-14.0
Jaxson Hayes,NOP,2.8
Jay Huff,LAL,34.8
Jay Scrubb,LAC,6.1
Jaylen Brown,BOS,5.4
Jaylen Hoard,OKC,-10.0
Jaylen Morris,SAS,14.2
Jaylen Nowell,MIN,0.7
Jaysean Paige,DET,-61.7
Jayson Tatum,BOS,13.8
Jeff Dowtin Jr.,3TM,-8.3
Jeff Green,DEN,-0.7
Jemerrio Jones,LAL,-40.4
Jerami Grant,DET,0.9
Jeremiah Robinson-Earl,OKC,-3.6
Jeremy Lamb,2TM,5.0
Jericho Sims,NYK,8.9
Jevon Carter,2TM,-4.1
Jimmy Butler,MIA,2.3
Jock Landale,SAS,-1.9
Joe Harris,BRK,0.5
Joe Ingles,UTA,2.5
Joe Johnson,BOS,-132.8
Joe Wieskamp,SAS,-1.2
Joel Ayayi,WAS,3.5
Joel Embiid,PHI,11.5
John Collins,ATL,-1.4
John Konchar,MEM,-2.6
Jon Teske,MEM,-31.7
Jonas Valančiūnas,NOP,3.9
Jonathan Kuminga,GSW,-5.3
Jordan Bell,CHI,25.3
Jordan Clarkson,UTA,4.7
Jordan Goodwin,WAS,-96.8
Jordan McLaughlin,MIN,-0.9
Jordan Nwora,MIL,-9.0
Jordan Poole,GSW,1.4
Jordan Schakel,WAS,6.6
Jose Alvarado,NOP,11.7
Josh Christopher,HOU,-2.3
Josh Giddey,OKC,-0.3
Josh Green,DAL,-0.1
Josh Hart,2TM,-3.5
Josh Jackson,2TM,-1.7
Josh Okogie,MIN,0.6
Josh Richardson,2TM,-1.9
Joshua Primo,SAS,-5.0
Jrue Holiday,MIL,14.0
Juan Toscano-Anderson,GSW,-1.4
Juancho Hernangómez,3TM,-4.4
Julius Randle,NYK,-9.5
Justin Anderson,2TM,1.1
Justin Champagnie,TOR,6.4
Justin Holiday,2TM,-0.4
Justin Jackson,2TM,-30.0
Justin Robinson,3TM,-18.3
Justise Winslow,2TM,6.5
Jusuf Nurkić,POR,13.8
Juwan Morgan,2TM,-30.2
KJ Martin,HOU,2.7
KZ Okpala,MIA,-0.3
Kai Jones,CHO,-8.4
Karl-Anthony Towns,MIN,6.3
Keifer Sykes,IND,-5.0
Keita Bates-Diop,SAS,2.2
Kelan Martin,2TM,-2.7
Keldon Johnson,SAS,4.0
Keljin Blevins,POR,-20.8
Kelly Olynyk,DET,2.8
Kelly Oubre Jr.,CHO,-2.1
Kemba Walker,NYK,-13.1
Kenrich Williams,OKC,13.1
Kent Bazemore,LAL,-7.0
Kentavious Caldwell-Pope,WAS,-3.1
Keon Johnson,2TM,-14.4
Kessler Edwards,BRK,-4.4
Kevin Durant,BRK,11.9
Kevin Huerter,ATL,4.8
Kevin Knox,2TM,-17.2
Kevin Love,CLE,-2.2
Kevin Pangos,CLE,-14.8
Kevin Porter Jr.,HOU,4.0
Kevon Looney,GSW,0.7
Khem Birch,TOR,-2.7
Khris Middleton,MIL,5.2
Killian Hayes,DET,-4.2
Killian Tillie,MEM,-4.2
Kira Lewis Jr.,NOP,-15.8
Klay Thompson,GSW,-2.9
Kris Dunn,POR,-3.7
Kristaps Porziņģis,2TM,-1.1
Kyle Anderson,MEM,-4.5
Kyle Guy,MIA,-18.6
Kyle Kuzma,WAS,-5.3
Kyle Lowry,MIA,2.1
Kyrie Irving,BRK,5.8
LaMarcus Aldridge,BRK,0.1
LaMelo Ball,CHO,1.7
Lamar Stevens,CLE,-3.6
Lance Stephenson,2TM,-4.4
Landry Shamet,PHO,-4.3
Langston Galloway,2TM,-5.4
Larry Nance Jr.,2TM,7.8
Lauri Markkanen,CLE,4.1
LeBron James,LAL,2.1
Leandro Bolmaro,MIN,-2.2
Lindell Wigginton,MIL,-14.3
Lindy Waters III,OKC,3.8
Lonnie Walker IV,SAS,-3.7
Lonzo Ball,CHI,4.5
Lou Williams,ATL,-1.6
Louis King,SAC,-9.5
Luguentz Dort,OKC,-0.3
Luka Dončić,DAL,0.2
Luka Garza,DET,0.6
Luke Kennard,LAC,7.1
Luke Kornet,3TM,1.2
M.J. Walker,PHO,-19.5
Mac McClung,2TM,12.5
Malachi Flynn,TOR,-5.0
Malcolm Brogdon,IND,3.8
Malcolm Hill,2TM,-7.0
Malik Beasley,MIN,-2.9
Malik Fitts,2TM,-20.0
Malik Monk,LAL,6.3
Malik Newman,CLE,-1.3
Mamadi Diakite,OKC,2.6
Marcus Garrett,MIA,5.1
Marcus Morris,LAC,-8.2
Marcus Smart,BOS,4.7
Markelle Fultz,ORL,4.8
Markieff Morris,MIA,-0.9
Marko Simonovic,CHI,9.7
Markus Howard,DEN,-7.3
Marquese Chriss,DAL,-8.3
Marvin Bagley III,2TM,0.8
Mason Jones,LAL,20.9
Mason Plumlee,CHO,1.2
Matisse Thybulle,PHI,3.0
Matt Mooney,NYK,-90.3
Matt Ryan,BOS,27.9
Matt Thomas,CHI,3.3
Maurice Harkless,SAC,1.2
Max Strus,MIA,0.7
Maxi Kleber,DAL,0.8
McKinley Wright IV,MIN,-20.9
Melvin Frazier,OKC,-31.4
Micah Potter,DET,-48.6
Michael Porter Jr.,DEN,7.7
Mikal Bridges,PHO,9.5
Mike Conley,UTA,3.3
Mike Muscala,OKC,10.4
Miles Bridges,CHO,5.8
Miles McBride,NYK,16.5
Mitchell Robinson,NYK,-3.9
Miye Oni,UTA,-35.3
Mo Bamba,ORL,-2.1
Monte Morris,DEN,8.1
Montrezl Harrell,2TM,6.0
Moritz Wagner,ORL,0.5
Moses Brown,2TM,-10.2
Moses Moody,GSW,-10.2
Moses Wright,2TM,-25.1
Mychal Mulder,2TM,-6.2
Myles Powell,PHI,-17.5
Myles Turner,IND,5.2
Naji Marshall,NOP,-1.6
Nassir Little,POR,11.3
Nate Hinton,IND,97.4
Nathan Knight,MIN,2.1
Naz Reid,MIN,-8.7
Neemias Queta,SAC,3.1
Nemanja Bjelica,GSW,-1.2
Nerlens Noel,NYK,-5.4
Nic Claxton,BRK,-0.9
Nick Richards,CHO,-14.1
Nickeil Alexander-Walker,2TM,-5.6
Nicolas Batum,LAC,-8.3
Nik Stauskas,2TM,22.3
Nikola Jokić,DEN,16.4
Nikola Vučević,CHI,-3.7
Norman Powell,2TM,1.3
Norvel Pelle,UTA,-62.4
OG Anunoby,TOR,3.1
Obi Toppin,NYK,9.9
Olivier Sarr,OKC,7.5
Omer Yurtseven,MIA,0.3
Onyeka Okongwu,ATL,4.4
Oshae Brissett,IND,-3.1
Otto Porter Jr.,GSW,1.6
P.J. Tucker,MIA,2.1
P.J. Washington,CHO,4.2
PJ Dozier,DEN,-16.3
Paris Bass,PHO,4.8
Pascal Siakam,TOR,6.6
Pat Connaughton,MIL,-7.2
Patrick Beverley,MIN,2.1
Patrick Williams,CHI,-7.7
Patty Mills,BRK,0.0
Paul George,LAC,5.7
Paul Millsap,2TM,-6.4
Paul Reed,PHI,-9.0
Paul Watson,OKC,-10.4
Payton Pritchard,BOS,-5.6
Petr Cornelie,DEN,3.7
Precious Achiuwa,TOR,0.0
Quentin Grimes,NYK,-1.7
Quinndary Weatherspoon,GSW,-12.8
R.J. Hampton,ORL,-9.5
RJ Barrett,NYK,-7.9
RJ Nembhard Jr.,CLE,-10.5
Rajon Rondo,2TM,-8.3
Raul Neto,WAS,1.2
Rayjon Tucker,2TM,-7.4
Reggie Bullock,DAL,7.4
Reggie Jackson,LAC,-2.9
Reggie Perry,2TM,-12.0
Richaun Holmes,SAC,-0.6
Ricky Rubio,CLE,9.0
Rob Edwards,OKC,-43.5
Robert Covington,2TM,10.7
Robert Williams,BOS,4.0
Robert Woodard II,SAC,18.2
Robin Lopez,ORL,2.0
Rodney Hood,2TM,-2.7
Rodney McGruder,DET,5.9
Romeo Langford,2TM,-6.7
Royce O'Neale,UTA,-2.9
Rudy Gay,UTA,3.6
Rudy Gobert,UTA,7.1
Rui Hachimura,WAS,-3.4
Russell Westbrook,LAL,-3.6
Ryan Arcidiacono,NYK,-7.7
Saben Lee,DET,0.0
Saddiq Bey,DET,-4.7
Sam Dekker,TOR,-252.2
Sam Hauser,BOS,-5.3
Sam Merrill,MEM,-17.5
Sandro Mamukelashvili,MIL,-23.7
Santi Aldama,MEM,-3.8
Scottie Barnes,TOR,-2.0
Scottie Lewis,CHO,-27.3
Scotty Hopson,OKC,-5.9
Sekou Doumbouya,LAL,68.9
Semi Ojeleye,2TM,-19.9
Serge Ibaka,2TM,-4.0
Seth Curry,2TM,1.6
Shai Gilgeous-Alexander,OKC,2.9
Shake Milton,PHI,-5.7
Shaq Buchanan,MEM,-14.5
Shaquille Harrison,BRK,-12.2
Sharife Cooper,ATL,-44.8
Skylar Mays,ATL,-14.3
Solomon Hill,ATL,14.6
Spencer Dinwiddie,2TM,0.0
Stanley Johnson,LAL,2.6
Stephen Curry,GSW,10.0
Sterling Brown,DAL,-2.1
Steven Adams,MEM,4.2
Svi Mykhailiuk,TOR,-10.7
T.J. McConnell,IND,-0.9
Tacko Fall,CLE,-2.4
Taj Gibson,NYK,4.9
Talen Horton-Tucker,LAL,0.7
Taurean Prince,MIN,-3.6
Terance Mann,LAC,4.1
Terence Davis,SAC,12.8
Terrence Ross,ORL,-7.1
Terry Rozier,CHO,1.6
Terry Taylor,IND,-5.7
Thaddeus Young,2TM,0.6
Thanasis Antetokounmpo,MIL,-15.6
Theo Pinson,DAL,-15.2
Thomas Bryant,WAS,-6.6
Théo Maledon,OKC,-4.4
Tim Frazier,2TM,-11.9
Tim Hardaway Jr.,DAL,-3.3
Timothé Luwawu-Cabarrot,ATL,-5.4
Tobias Harris,PHI,1.7
Tomáš Satoranský,3TM,-6.6
Tony Bradley,CHI,9.5
Tony Snell,2TM,-1.1
Torrey Craig,2TM,-5.8
Trae Young,ATL,3.4
Trayvon Palmer,DET,-26.0
Tre Jones,SAS,-0.9
Tre Mann,OKC,-4.0
Tre Scott,CLE,18.3
Tremont Waters,2TM,-19.7
Trendon Watford,POR,-12.6
Trent Forrest,UTA,0.2
Trevelin Queen,HOU,12.9
Trevor Ariza,LAL,-1.9
Trey Burke,DAL,-5.4
Trey Lyles,2TM,-0.7
Trey Murphy III,NOP,-0.2
Tristan Thompson,3TM,-0.6
Troy Brown Jr.,CHI,-1.4
Ty Jerome,OKC,6.2
Tyler Cook,CHI,-7.9
Tyler Hall,NYK,-90.3
Tyler Herro,MIA,2.5
Tyler Johnson,2TM,-7.4
Tyrell Terry,MEM,-30.8
Tyrese Haliburton,2TM,-1.5
Tyrese Maxey,PHI,2.2
Tyrone Wallace,NOP,-5.3
Tyus Jones,MEM,3.5
Udoka Azubuike,UTA,-6.5
Udonis Haslem,MIA,-15.6
Usman Garuba,HOU,16.6
Vernon Carey Jr.,2TM,-47.1
Victor Oladipo,MIA,-6.3
Vit Krejci,OKC,-4.8
Vlatko Čančar,DEN,-2.6
Wayne Ellington,LAL,-1.0
Wayne Selden,NYK,-29.2
Wendell Carter Jr.,ORL,8.8
Wenyen Gabriel,3TM,6.5
Wes Iwundu,ATL,-1.1
Wesley Matthews,MIL,6.8
Will Barton,DEN,-1.2
Willie Cauley-Stein,2TM,2.7
Willy Hernangómez,NOP,-1.0
Xavier Moon,LAC,0.6
Xavier Sneed,2TM,-16.6
Xavier Tillman Sr.,MEM,-7.4
Yuta Watanabe,TOR,-7.7
Yves Pons,MEM,-25.8
Zach Collins,SAS,2.4
Zach LaVine,CHI,-0.7
Zavier Simpson,OKC,-18.6
Zeke Nnaji,DEN,-7.0
Ziaire Williams,MEM,-1.6
Zylan Cheatham,UTA,-124.4
