Player,Team,On-Off
Aaron Gordon,ORL,-0.4
Aaron Holiday,IND,2.3
Abdel Nader,OKC,-9.2
Adam Mokoka,CHI,27.7
Admiral Schofield,WAS,-3.4
Al Horford,PHI,1.1
Al-Farouq Aminu,ORL,-5.0
Alec Burks,2TM,0.0
Alen Smailagić,GSW,3.4
Alex Caruso,LAL,7.1
Alex Len,2TM,0.6
Alfonzo McKinnie,CLE,1.7
Alize Johnson,IND,11.2
Allen Crabbe,2TM,-10.6
Allonzo Trier,NYK,-6.5
Amile Jefferson,ORL,9.3
Amir Coffey,LAC,-3.9
Andre Drummond,2TM,-1.6
Andre Iguodala,MIA,-3.9
Andre Roberson,OKC,-0.3
Andrew Wiggins,2TM,0.3
Anfernee Simons,POR,-11.9
Ante Žižić,CLE,10.3
Anthony Davis,LAL,-3.0
Anthony Tolliver,3TM,-5.9
Antonius Cleveland,DAL,-14.3
Anžejs Pasečņiks,WAS,4.5
Aron Baynes,PHO,-2.5
Austin Rivers,HOU,-0.7
Avery Bradley,LAL,2.8
B.J. Johnson,ORL,-4.1
Bam Adebayo,MIA,6.1
Ben McLemore,HOU,4.3
Ben Simmons,PHI,-2.6
Bismack Biyombo,CHO,0.7
Blake Griffin,DET,2.2
Boban Marjanović,DAL,1.3
Bobby Portis,NYK,-0.9
Bogdan Bogdanović,SAC,1.0
Bojan Bogdanović,UTA,8.0
Bol Bol,DEN,-13.9
Brad Wanamaker,BOS,-1.6
Bradley Beal,WAS,-0.3
Brandon Clarke,MEM,0.8
Brandon Goodwin,ATL,-7.9
Brandon Ingram,NOP,0.0
Brandon Knight,2TM,-2.9
Brian Bowen,IND,17.3
Brook Lopez,MIL,4.9
Bruce Brown,DET,0.6
Bruno Caboclo,2TM,-4.8
Bruno Fernando,ATL,2.0
Bryn Forbes,SAS,-10.6
Buddy Hield,SAC,-2.0
C.J. Miles,WAS,0.4
CJ McCollum,POR,4.8
Caleb Martin,CHO,7.7
Caleb Swanigan,2TM,-5.3
Cam Reddish,ATL,2.0
Cameron Johnson,PHO,-0.6
Cameron Payne,PHO,24.3
Caris LeVert,BRK,1.2
Carmelo Anthony,POR,2.9
Carsen Edwards,BOS,-14.0
Cedi Osman,CLE,-2.4
Chandler Hutchison,CHI,-11.2
Chandler Parsons,ATL,-26.9
Charlie Brown Jr.,ATL,45.5
Chasson Randle,GSW,4.1
Cheick Diallo,PHO,-7.0
Chimezie Metu,SAS,-5.6
Chris Boucher,TOR,1.0
Chris Chiozza,2TM,13.3
Chris Clemons,HOU,-15.3
Chris Paul,OKC,11.4
Chris Silva,MIA,-9.2
Christian Wood,DET,10.9
Clint Capela,HOU,-1.0
Coby White,CHI,-2.6
Cody Martin,CHO,6.1
Cody Zeller,CHO,-3.9
Collin Sexton,CLE,-3.3
Corey Brewer,SAC,10.8
Cory Joseph,SAC,4.7
Courtney Lee,DAL,2.9
Cristiano Felício,CHI,-5.7
D'Angelo Russell,2TM,-1.5
D.J. Augustin,ORL,5.2
D.J. Wilson,MIL,-16.3
DaQuan Jeffries,SAC,3.7
Damian Jones,ATL,-8.3
Damian Lillard,POR,8.7
Damion Lee,GSW,8.6
Damyean Dotson,NYK,2.4
Daniel Gafford,CHI,1.3
Daniel Theis,BOS,0.5
Danilo Gallinari,OKC,6.6
Danny Green,LAL,1.3
Dante Exum,2TM,-3.6
Danuel House Jr.,HOU,0.4
Dario Šarić,PHO,-3.4
Darius Bazley,OKC,-6.6
Darius Garland,CLE,-2.1
Daryl Macon,MIA,2.7
David Nwaba,BRK,8.3
De'Aaron Fox,SAC,-4.0
De'Andre Hunter,ATL,4.7
De'Anthony Melton,MEM,9.2
DeAndre Jordan,BRK,-1.0
DeAndre' Bembry,ATL,-5.1
DeMar DeRozan,SAS,-4.1
DeMarre Carroll,2TM,-0.6
Dean Wade,CLE,0.6
Deandre Ayton,PHO,4.5
Dejounte Murray,SAS,-6.4
Delon Wright,DAL,-4.9
Dennis Schröder,OKC,7.8
Dennis Smith Jr.,NYK,-12.5
Denzel Valentine,CHI,-2.7
Deonte Burton,OKC,-15.0
Derrick Favors,NOP,9.0
