Player,Team,On-Off
Dāvis Bertāns,SAS,1.0
E'Twaun Moore,NOP,3.6
Ed Davis,POR,2.1
Edmond Sumner,IND,-111.7
Ekpe Udoh,UTA,-0.6
Elfrid Payton,2TM,-6.9
Emeka Okafor,NOP,-0.9
Emmanuel Mudiay,2TM,-11.9
Enes Freedom,NYK,-2.0
Eric Bledsoe,2TM,8.1
Eric Gordon,HOU,9.9
Eric Moreland,DET,1.3
Erik McCree,UTA,-40.1
Ersan İlyasova,2TM,4.2
Evan Fournier,ORL,2.9
Evan Turner,POR,-7.5
Frank Kaminsky,CHO,-4.4
Frank Mason III,SAC,7.9
Frank Ntilikina,NYK,1.9
Fred VanVleet,TOR,7.0
Furkan Korkmaz,PHI,-32.5
Garrett Temple,SAC,-0.7
Gary Harris,DEN,5.1
Gary Payton II,2TM,3.4
George Hill,2TM,0.2
Georges Niang,UTA,-21.7
Georgios Papagiannis,2TM,1.5
Gerald Green,HOU,-6.1
Gian Clavell,DAL,16.9
Giannis Antetokounmpo,MIL,9.4
Glenn Robinson III,IND,-1.2
Goran Dragić,MIA,-1.8
Gordon Hayward,BOS,15.4
Gorgui Dieng,MIN,-13.3
Greg Monroe,3TM,-9.5
Guerschon Yabusele,BOS,-5.3
Harrison Barnes,DAL,-9.3
Hassan Whiteside,MIA,-5.0
Henry Ellenson,DET,-0.3
Ian Clark,NOP,-0.7
Ian Mahinmi,WAS,1.0
Ike Anigbogu,IND,-26.5
Iman Shumpert,CLE,4.2
Isaiah Canaan,2TM,10.8
Isaiah Hicks,NYK,-5.0
Isaiah Taylor,ATL,5.4
Isaiah Thomas,2TM,-7.9
Isaiah Whitehead,BRK,-1.1
Ish Smith,DET,2.0
Ivan Rabb,MEM,-3.7
Ivica Zubac,LAL,6.2
J.J. Barea,DAL,4.4
J.R. Smith,CLE,-7.6
JJ Redick,PHI,5.8
JaKarr Sampson,SAC,8.2
JaMychal Green,MEM,-3.1
JaVale McGee,GSW,-3.6
Jabari Bird,BOS,5.7
Jabari Parker,MIL,-4.2
Jack Cooley,SAC,6.0
Jacob Pullen,PHI,-4.7
Jacob Wiley,BRK,19.0
Jae Crowder,2TM,-3.4
Jahlil Okafor,2TM,-21.0
Jake Layman,POR,-11.8
Jakob Poeltl,TOR,0.8
Jalen Jones,2TM,-6.2
Jamal Crawford,MIN,-13.0
Jamal Murray,DEN,6.6
Jameel Warney,DAL,0.4
Jameer Nelson,2TM,-6.8
Jamel Artis,ORL,2.9
James Ennis III,2TM,-0.3
James Harden,HOU,5.3
James Johnson,MIA,-0.6
James Michael McAdoo,PHI,-4.9
James Webb III,BRK,-10.9
James Young,PHI,-22.8
Jamil Wilson,LAC,-0.4
Jared Dudley,PHO,10.6
Jarell Eddie,2TM,1.1
Jarell Martin,MEM,-1.6
Jarrett Allen,BRK,-0.2
Jarrett Jack,NYK,4.9
Jason Smith,WAS,-15.9
Jason Terry,MIL,1.9
Jawun Evans,LAC,1.4
Jaylen Brown,BOS,8.2
Jaylen Morris,ATL,-13.0
Jayson Tatum,BOS,8.5
Jeff Green,CLE,5.6
Jeff Teague,MIN,0.6
Jeff Withey,DAL,27.6
Jerami Grant,OKC,-4.2
Jeremy Evans,ATL,-39.6
Jeremy Lamb,CHO,1.9
Jeremy Lin,BRK,-8.0
Jerian Grant,CHI,-0.5
Jerryd Bayless,PHI,-11.5
Jimmy Butler,MIN,13.7
Joakim Noah,NYK,-0.3
Jodie Meeks,WAS,-9.0
Joe Harris,BRK,0.6
Joe Ingles,UTA,0.9
Joe Johnson,2TM,-11.9
Joe Young,IND,-9.2
Joel Bolomboy,MIL,-19.9
Joel Embiid,PHI,12.7
Joffrey Lauvergne,SAS,-9.4
John Collins,ATL,-1.6
John Henson,MIL,8.6
John Holland,CLE,-8.0
John Wall,WAS,5.3
Johnathan Motley,DAL,-2.9
Johnny O'Bryant,CHO,-11.7
Jon Leuer,DET,2.0
Jonas Jerebko,UTA,-2.1
Jonas Valančiūnas,TOR,-3.6
Jonathan Gibson,BOS,-6.4
Jonathan Isaac,ORL,-2.9
Jonathon Simmons,ORL,-4.5
Jordan Bell,GSW,6.8
Jordan Clarkson,2TM,-0.6
Jordan Crawford,NOP,-14.1
Jordan Mickey,MIA,-6.3
Josh Gray,PHO,-29.2
Josh Hart,LAL,-1.1
Josh Huestis,OKC,4.5
Josh Jackson,PHO,-5.6
Josh Magette,ATL,3.9
Josh McRoberts,DAL,3.5
Josh Richardson,MIA,0.5
Josh Smith,NOP,-30.8
José Calderón,CLE,3.2
Jrue Holiday,NOP,12.8
Juancho Hernangómez,DEN,-7.1
Julius Randle,LAL,0.5
Julyan Stone,CHO,8.6
Justin Anderson,PHI,-12.7
Justin Holiday,CHI,7.1
Justin Jackson,SAC,-0.4
Justin Patton,MIN,40.9
Justise Winslow,MIA,2.6
Jusuf Nurkić,POR,2.2
Kadeem Allen,BOS,-9.5
Karl-Anthony Towns,MIN,13.8
Kawhi Leonard,SAS,0.9
Kay Felder,2TM,-10.9
Kelly Olynyk,MIA,8.9
Kelly Oubre Jr.,WAS,-6.4
Kemba Walker,CHO,11.1
Kendrick Perkins,CLE,18.4
Kenneth Faried,DEN,-7.0
Kent Bazemore,ATL,3.0
Kentavious Caldwell-Pope,LAL,0.9
Kevin Durant,GSW,1.9
Kevin Love,CLE,-0.8
Kevon Looney,GSW,0.3
Khem Birch,ORL,6.3
Khris Middleton,MIL,5.3
Klay Thompson,GSW,4.0
Kobi Simmons,MEM,-12.7
Kosta Koufos,SAC,-1.5
Kris Dunn,CHI,-2.8
Kristaps Porziņģis,NYK,7.5
Kyle Anderson,SAS,2.7
Kyle Collinsworth,DAL,0.8
Kyle Korver,CLE,10.7
Kyle Kuzma,LAL,-1.8
Kyle Lowry,TOR,-0.8
Kyle O'Quinn,NYK,2.7
Kyle Singler,OKC,-6.0
Kyrie Irving,BOS,3.2
LaMarcus Aldridge,SAS,6.7
Lance Stephenson,IND,-8.3
Lance Thomas,NYK,-3.7
Langston Galloway,DET,5.5
Larry Drew II,2TM,-12.4
Larry Nance Jr.,2TM,1.8
Lauri Markkanen,CHI,-3.6
LeBron James,CLE,1.9
London Perrantes,CLE,-12.3
Lonzo Ball,LAL,1.3
Lorenzo Brown,TOR,9.6
Lou Williams,LAC,2.2
Luc Mbah a Moute,HOU,2.4
Lucas Nogueira,TOR,3.1
Luis Montero,DET,-26.5
Luke Babbitt,2TM,0.9
Luke Kennard,DET,5.9
Luke Kornet,NYK,-9.9
Luol Deng,LAL,-29.8
Malachi Richardson,2TM,-2.3
Malcolm Brogdon,MIL,-2.1
Malcolm Delaney,ATL,1.4
Malcolm Miller,TOR,-3.6
Malik Beasley,DEN,-2.7
Malik Monk,CHO,-15.6
Mangok Mathiang,CHO,4.8
Manu Ginóbili,SAS,-2.6
MarShon Brooks,MEM,6.1
Marc Gasol,MEM,-0.2
Marcin Gortat,WAS,3.0
Marco Belinelli,2TM,-0.7
Marcus Georges-Hunt,MIN,-5.9
Marcus Morris,BOS,-6.0
Marcus Paige,CHO,18.8
Marcus Smart,BOS,5.1
Mario Chalmers,MEM,6.0
Mario Hezonja,ORL,-2.9
Markel Brown,HOU,-35.1
Markelle Fultz,PHI,0.9
Markieff Morris,WAS,-0.8
Marquese Chriss,PHO,0.3
Marquis Teague,MEM,-12.7
Marreese Speights,ORL,5.9
Marshall Plumlee,MIL,0.0
Marvin Williams,CHO,3.2
Mason Plumlee,DEN,-2.8
Matt Costello,SAS,22.7
Matt Williams,MIA,74.5
Matthew Dellavedova,MIL,-6.4
Maurice Harkless,POR,-3.7
Maxi Kleber,DAL,-1.4
Meyers Leonard,POR,-12.4
Michael Beasley,NYK,-1.5
Michael Carter-Williams,CHO,-3.9
Michael Kidd-Gilchrist,CHO,3.7
Mike Conley,MEM,6.4
Mike James,2TM,7.9
Mike Muscala,ATL,1.9
Mike Scott,WAS,-3.2
Miles Plumlee,ATL,-1.6
Miloš Teodosić,LAC,2.0
Milton Doyle,BRK,1.3
Mindaugas Kuzminskas,NYK,3.9
Mirza Teletović,MIL,-11.1
Monte Morris,DEN,-14.8
Montrezl Harrell,LAC,3.4
Myke Henry,MEM,1.7
Myles Turner,IND,3.3
Nate Wolters,UTA,4.4
Naz Mitrou-Long,UTA,245.3
Nemanja Bjelica,MIN,-3.2
Nenê,HOU,9.6
Nerlens Noel,DAL,-9.8
Nick Collison,OKC,-4.6
Nick Young,GSW,-7.6
Nicolas Batum,CHO,-0.4
Nicolás Brussino,ATL,89.0
Nigel Hayes-Davis,3TM,8.9
Nik Stauskas,2TM,-2.2
Nikola Jokić,DEN,10.2
Nikola Mirotić,2TM,8.3
Nikola Vučević,ORL,6.0
Noah Vonleh,2TM,-0.4
Norman Powell,TOR,-11.1
OG Anunoby,TOR,4.4
Okaro White,MIA,-0.3
Omari Johnson,MEM,16.0
Omri Casspi,GSW,-2.1
Otto Porter Jr.,WAS,11.8
P.J. Tucker,HOU,5.9
PJ Dozier,OKC,-40.0
Pascal Siakam,TOR,3.8
Pat Connaughton,POR,2.6
Patrick Beverley,LAC,4.6
Patrick McCaw,GSW,-11.5
Patrick Patterson,OKC,-9.8
Patty Mills,SAS,-0.9
Pau Gasol,SAS,-3.1
Paul George,OKC,0.0
Paul Millsap,DEN,4.2
Paul Zipser,CHI,-6.5
Quincy Acy,BRK,1.8
Quincy Pondexter,CHI,-17.3
Quinn Cook,GSW,-11.2
R.J. Hunter,HOU,-4.1
Rajon Rondo,NOP,-2.6
Ramon Sessions,2TM,-9.8
Rashad Vaughn,3TM,-1.6
Raul Neto,UTA,7.8
Raymond Felton,OKC,-7.6
Reggie Bullock,DET,0.4
Reggie Hearn,DET,-31.9
Reggie Jackson,DET,2.1
Richard Jefferson,DEN,-15.4
Richaun Holmes,PHI,-7.0
Ricky Rubio,UTA,0.0
Robert Covington,PHI,14.8
Robin Lopez,CHI,1.8
Rodney Hood,2TM,-7.9
Rodney McGruder,MIA,6.4
Rodney Purvis,ORL,-4.7
Ron Baker,NYK,7.1
Rondae Hollis-Jefferson,BRK,0.5
Royce O'Neale,UTA,7.3
Rudy Gay,SAS,-0.9
Rudy Gobert,UTA,7.8
Russell Westbrook,OKC,12.1
Ryan Anderson,HOU,-3.9
Ryan Arcidiacono,CHI,2.7
Salah Mejri,DAL,6.9
Sam Dekker,LAC,5.6
Scotty Hopson,DAL,-36.6
Sean Kilpatrick,4TM,-5.8
Semi Ojeleye,BOS,-13.1
Serge Ibaka,TOR,-1.9
Shabazz Muhammad,2TM,-15.4
Shabazz Napier,POR,0.6
Shane Larkin,BOS,-2.6
Shaquille Harrison,PHO,17.1
Shaun Livingston,GSW,0.0
Shelvin Mack,ORL,3.2
Sindarius Thornwell,LAC,-2.3
Skal Labissière,SAC,3.8
Solomon Hill,NOP,-7.5
Spencer Dinwiddie,BRK,4.3
Stanley Johnson,DET,-0.7
Stephen Curry,GSW,12.1
Sterling Brown,MIL,-2.5
Steven Adams,OKC,6.8
T.J. Leaf,IND,-13.2
T.J. McConnell,PHI,-11.1
T.J. Warren,PHO,-0.3
Taj Gibson,MIN,7.7
Tarik Black,HOU,-18.3
Taurean Prince,ATL,-2.7
Terrance Ferguson,OKC,-12.7
Terrence Ross,ORL,1.9
Terry Rozier,BOS,-2.5
Thabo Sefolosha,UTA,0.2
Thaddeus Young,IND,8.4
Thomas Bryant,LAL,-4.7
Thon Maker,MIL,-8.3
Tim Frazier,WAS,-6.0
Tim Hardaway Jr.,NYK,2.4
Tim Quarterman,HOU,-42.1
Timofey Mozgov,BRK,-9.2
Timothé Luwawu-Cabarrot,PHI,-5.8
Tobias Harris,2TM,-3.6
Tomáš Satoranský,WAS,3.2
Tony Allen,NOP,1.3
Tony Bradley,UTA,3.9
Tony Parker,SAS,-5.6
Tony Snell,MIL,-2.1
Torrey Craig,DEN,-1.9
Travis Wear,LAL,4.1
Treveon Graham,CHO,-5.8
Trevor Ariza,HOU,-0.7
Trevor Booker,3TM,-1.7
Trey Burke,NYK,-1.9
Trey Lyles,DEN,-2.1
Trey McKinney-Jones,IND,-1.6
Tristan Thompson,CLE,-7.5
Troy Daniels,PHO,-4.5
Troy Williams,2TM,-2.7
Tyler Cavanaugh,ATL,2.5
Tyler Dorsey,ATL,-2.8
Tyler Ennis,LAL,0.9
Tyler Johnson,MIA,2.4
Tyler Lydon,DEN,-126.3
Tyler Ulis,PHO,0.5
Tyler Zeller,2TM,3.7
Tyreke Evans,MEM,12.6
Tyrone Wallace,LAC,-0.3
Tyson Chandler,PHO,-1.5
Tyus Jones,MIN,6.1
Udonis Haslem,MIA,0.4
Vander Blue,LAL,17.9
Victor Oladipo,IND,13.7
Vince Carter,SAC,4.6
Vince Hunter,MEM,34.3
Wade Baldwin,POR,2.3
Walt Lemon Jr.,NOP,-17.0
Wayne Ellington,MIA,4.6
Wayne Selden,MEM,-2.6
Wes Iwundu,ORL,-0.1
Wesley Johnson,LAC,-1.7
Wesley Matthews,DAL,-9.9
Will Barton,DEN,0.2
Willie Cauley-Stein,SAC,-0.8
Willie Reed,2TM,1.7
Willy Hernangómez,2TM,2.6
Wilson Chandler,DEN,0.9
Xavier Munford,MIL,-35.7
Xavier Rathan-Mayes,MEM,-18.7
Xavier Silas,BOS,3.0
Yogi Ferrell,DAL,8.6
Zach Collins,POR,-1.2
Zach LaVine,CHI,-6.3
Zach Randolph,SAC,-7.8
Zaza Pachulia,GSW,5.2
Zhou Qi,HOU,-37.1
Álex Abrines,OKC,-4.4
Ömer Aşık,2TM,-5.3
