Player,Team,On-Off
Aaron Brooks,MIN,-21.6
Aaron Gordon,ORL,5.0
Aaron Harrison,DAL,-12.1
Aaron Jackson,HOU,-26.2
Abdel Nader,BOS,-15.8
Adreian Payne,ORL,-17.6
Al Horford,BOS,8.1
Al Jefferson,IND,-3.8
Al-Farouq Aminu,POR,4.9
Alan Williams,PHO,7.8
Alec Burks,UTA,-6.7
Alec Peters,PHO,13.7
Alex Caruso,LAL,2.5
Alex Len,PHO,1.7
Alex Poythress,IND,-16.0
Alfonzo McKinnie,TOR,-11.7
Allen Crabbe,BRK,2.5
Amir Johnson,PHI,-5.3
Andre Drummond,DET,-3.1
Andre Iguodala,GSW,3.0
Andre Ingram,LAL,15.3
Andre Roberson,OKC,9.8
Andrew Bogut,LAL,-4.0
Andrew Harrison,MEM,-1.8
Andrew White,ATL,-13.8
Andrew Wiggins,MIN,4.1
Ante Žižić,CLE,-7.8
Anthony Brown,MIN,40.9
Anthony Davis,NOP,11.0
Anthony Tolliver,DET,1.8
Antonio Blakeney,CHI,6.5
Antonius Cleveland,2TM,-8.7
Aron Baynes,BOS,5.3
Arron Afflalo,ORL,-1.7
Austin Rivers,LAC,-4.2
Avery Bradley,2TM,-5.3
Bam Adebayo,MIA,-0.7
Ben McLemore,MEM,-9.9
Ben Moore,IND,-81.6
Ben Simmons,PHI,7.3
Bismack Biyombo,ORL,-12.3
Blake Griffin,2TM,2.0
Boban Marjanović,2TM,6.1
Bobby Brown,HOU,-33.8
Bobby Portis,CHI,7.8
Bogdan Bogdanović,SAC,-2.8
Bojan Bogdanović,IND,1.4
Bradley Beal,WAS,8.1
Brandan Wright,2TM,12.9
Brandon Ingram,LAL,-2.9
Brandon Jennings,MIL,-14.4
Brandon Paul,SAS,-3.3
Briante Weber,2TM,-22.8
Brice Johnson,2TM,-3.4
Brook Lopez,LAL,-2.1
Bruno Caboclo,2TM,11.0
Bryn Forbes,SAS,1.3
Buddy Hield,SAC,7.2
C.J. Miles,TOR,-0.8
C.J. Williams,LAC,-1.1
CJ McCollum,POR,-3.0
Caleb Swanigan,POR,-2.9
Cameron Payne,CHI,-0.5
Caris LeVert,BRK,-4.2
Carmelo Anthony,OKC,4.8
Cedi Osman,CLE,3.3
Chandler Parsons,MEM,-0.7
Channing Frye,2TM,8.0
Charles Cooke,NOP,-16.4
Cheick Diallo,NOP,-10.6
Chinanu Onuaku,HOU,-24.5
Chris Boucher,GSW,-106.3
Chris McCullough,WAS,-8.2
Chris Paul,HOU,8.1
Clint Capela,HOU,2.3
Cody Zeller,CHO,1.6
Cole Aldrich,MIN,-4.6
Corey Brewer,2TM,-2.5
Cory Joseph,IND,-3.5
Courtney Lee,NYK,-3.7
Cristiano Felício,CHI,-13.3
D'Angelo Russell,BRK,-4.9
D.J. Augustin,ORL,2.0
D.J. Wilson,MIL,-30.6
Dakari Johnson,OKC,7.2
Damian Jones,GSW,-7.6
Damian Lillard,POR,9.5
Damien Wilkins,IND,4.3
Damion Lee,ATL,1.1
Damyean Dotson,NYK,-1.0
Daniel Hamilton,OKC,-24.1
Daniel Theis,BOS,-2.6
Danilo Gallinari,LAC,-0.3
Danny Green,SAS,-1.0
Dante Cunningham,2TM,-1.1
Dante Exum,UTA,3.9
Danuel House Jr.,PHO,13.6
Dario Šarić,PHI,3.2
Darius Miller,NOP,-2.3
Darrell Arthur,DEN,-13.0
Darren Collison,IND,3.2
Darrun Hilliard,SAS,1.0
David Nwaba,CHI,1.9
David Stockton,UTA,-59.9
David West,GSW,-5.6
Davon Reed,PHO,-7.4
De'Aaron Fox,SAC,-5.7
DeAndre Jordan,LAC,-6.9
DeAndre Liggins,2TM,-13.9
DeAndre' Bembry,ATL,1.1
DeMar DeRozan,TOR,-1.5
DeMarcus Cousins,NOP,-0.6
DeMarre Carroll,BRK,4.2
Dejounte Murray,SAS,5.2
Delon Wright,TOR,0.5
Demetrius Jackson,2TM,-31.1
Dennis Schröder,ATL,-1.7
Dennis Smith Jr.,DAL,-9.4
Denzel Valentine,CHI,0.3
Derrick Favors,UTA,-2.0
Derrick Jones Jr.,2TM,-6.4
Derrick Rose,2TM,-7.3
Derrick Walton,MIA,-10.4
Derrick White,SAS,11.5
Derrick Williams,LAL,-23.5
Devin Booker,PHO,-0.8
Devin Harris,2TM,6.8
Devin Robinson,WAS,24.6
Dewayne Dedmon,ATL,0.7
Deyonta Davis,MEM,-1.1
Dillon Brooks,MEM,3.5
Dion Waiters,MIA,-7.8
Dirk Nowitzki,DAL,-0.3
Domantas Sabonis,IND,-0.8
Donovan Mitchell,UTA,6.5
Dorian Finney-Smith,DAL,1.1
Doug McDermott,2TM,2.4
Dragan Bender,PHO,-3.5
Draymond Green,GSW,1.3
Dwayne Bacon,CHO,1.8
Dwight Buycks,DET,0.6
Dwight Howard,CHO,3.3
Dwight Powell,DAL,6.7
Dwyane Wade,2TM,-0.3
