Player,LEBRON,O-LEBRON,D-LEBRON
Nikola Jokić,7.045,5.249,1.796
Giannis Antetokounmpo,6.627,4.569,2.058
Joel Embiid,5.301,4.236,1.065
Rudy Gobert,4.513,1.079,3.434
Stephen Curry,4.467,3.735,0.732
Jayson Tatum,4.327,3.334,0.993
Jimmy Butler Iii,4.059,2.891,1.167
Luka Dončić,3.948,4.152,-0.204
Chris Paul,3.746,2.568,1.178
Al Horford,3.576,0.423,3.154
Trae Young,3.554,5.093,-1.538
Kristaps Porziņģis,3.477,1.734,1.743
Lebron James,3.342,3.612,-0.27
Dejounte Murray,3.342,2.297,1.045
Karl-Anthony Towns,3.225,3.141,0.084
Kevin Durant,3.071,3.286,-0.216
Hassan Whiteside,3.013,0.616,2.397
Jrue Holiday,2.99,2.064,0.926
Devin Booker,2.967,3.127,-0.16
Anthony Davis,2.834,1.048,1.786
Mike Conley,2.781,1.553,1.228
Bam Adebayo,2.723,0.61,2.113
Myles Turner,2.669,-0.59,3.259
Paul George,2.602,1.099,1.503
James Harden,2.521,3.12,-0.599
Jose Alvarado,2.495,0.983,1.512
Ja Morant,2.485,3.598,-1.112
Gary Payton Ii,2.394,0.593,1.801
Domantas Sabonis,2.381,0.54,1.841
Fred Vanvleet,2.362,1.457,0.904
Clint Capela,2.36,0.466,1.894
Andre Drummond,2.335,0.346,1.99
Donovan Mitchell,2.278,3.199,-0.921
Jaren Jackson Jr.,2.228,0.697,1.531
Jakob Poeltl,2.156,0.845,1.311
Otto Porter Jr.,2.1,0.161,1.939
Draymond Green,2.098,-1.311,3.409
Kyle Lowry,2.067,0.556,1.511
Pascal Siakam,2.002,1.278,0.724
Damian Lillard,1.982,3.523,-1.542
Kyrie Irving,1.934,3.049,-1.115
Robert Williams Iii,1.883,-0.231,2.114
Jarrett Allen,1.87,0.171,1.699
Patrick Beverley,1.799,1.346,0.453
Mitchell Robinson,1.798,-0.011,1.809
Shai Gilgeous-Alexander,1.788,1.739,0.049
Montrezl Harrell,1.758,1.578,0.18
Khris Middleton,1.739,1.709,0.03
Dwight Powell,1.739,0.326,1.413
Demarcus Cousins,1.636,1.242,0.394
Nikola Vučević,1.622,0.25,1.372
