Player,LEBRON,D-LEBRON,O-LEBRON
james harden,6.407,0.011,6.396
stephen curry,5.906,-0.23,6.137
russell westbrook,5.222,0.838,4.383
lebron james,4.924,-0.433,5.357
giannis antetokounmpo,4.678,1.218,3.46
nikola jokic,4.571,1.297,3.274
chris paul,4.321,0.299,4.022
anthony davis,4.231,1.24,2.991
damian lillard,4.125,-0.465,4.591
karl-anthony towns,4.062,0.738,3.323
kyle lowry,4.028,0.6,3.427
kevin durant,3.908,-0.344,4.252
jimmy butler iii,3.797,0.694,3.103
rudy gobert,3.661,3.578,0.084
victor oladipo,3.589,1.6,1.989
lamarcus aldridge,3.354,0.553,2.801
demar derozan,3.321,-0.734,4.054
joel embiid,3.079,1.347,1.732
demarcus cousins,3.07,1.667,1.403
robert covington,2.746,2.589,0.158
kemba walker,2.7,-0.71,3.41
larry nance jr.,2.696,2.005,0.691
draymond green,2.61,1.981,0.629
kevin love,2.556,0.025,2.531
clint capela,2.533,1.908,0.625
andre drummond,2.456,2.511,-0.055
kyrie irving,2.375,-1.305,3.68
hassan whiteside,2.284,2.065,0.22
paul george,2.243,0.304,1.939
ben simmons,2.197,1.352,0.845
ricky rubio,1.997,1.77,0.228
spencer dinwiddie,1.955,0.646,1.31
kristaps porzingis,1.888,0.877,1.01
jrue holiday,1.858,0.355,1.502
otto porter jr.,1.823,1.091,0.731
mike conley,1.795,-0.598,2.393
salah mejri,1.787,2.738,-0.951
brandan wright,1.737,1.611,0.126
khris middleton,1.688,-0.195,1.883
montrezl harrell,1.658,-0.536,2.194
fred vanvleet,1.637,-0.06,1.697
kyle anderson,1.611,2.258,-0.648
john wall,1.591,-0.336,1.927
dwight howard,1.547,1.579,-0.031
dwight powell,1.505,1.544,-0.039
eric bledsoe,1.497,-0.6,2.097
kelly olynyk,1.462,1.457,0.005
nikola mirotic,1.448,-0.226,1.674
andre roberson,1.447,2.935,-1.487
donovan mitchell,1.432,0.385,1.047
marc gasol,1.383,1.14,0.243
joe ingles,1.352,0.769,0.582
kyle o'quinn,1.327,1.472,-0.145
pascal siakam,1.298,1.285,0.013
nikola vucevic,1.29,1.225,0.064
carmelo anthony,1.286,0.012,1.275
steven adams,1.282,-0.237,1.519
khem birch,1.266,0.905,0.361
pau gasol,1.26,1.233,0.028
dejounte murray,1.214,2.002,-0.788
lonzo ball,1.182,1.407,-0.224
myles turner,1.178,1.69,-0.511
aaron gordon,1.146,0.334,0.812
jeff teague,1.135,-0.082,1.217
tyreke evans,1.115,-1.096,2.211
jamal murray,1.11,-0.4,1.51
darren collison,1.091,0.313,0.778
jusuf nurkic,1.082,2.269,-1.187
eric moreland,1.082,3.101,-2.019
derrick favors,1.052,1.638,-0.586
gary harris,1.04,0.022,1.018
jordan bell,1.01,1.208,-0.198
jj redick,1.002,-0.772,1.774
michael carter-williams,0.987,1.342,-0.356
danilo gallinari,0.976,-0.146,1.122
thaddeus young,0.973,1.28,-0.307
anthony tolliver,0.964,0.583,0.381
jonas valanciunas,0.96,0.264,0.696
jaylen brown,0.956,0.988,-0.032
reggie jackson,0.937,-0.343,1.281
jakob poeltl,0.933,1.541,-0.608
kawhi leonard,0.931,0.544,0.387
trey lyles,0.927,-0.232,1.159
deandre jordan,0.92,0.524,0.396
al-farouq aminu,0.918,1.043,-0.125
tyus jones,0.871,0.279,0.592
jayson tatum,0.816,1.565,-0.749
enes freedom,0.813,0.032,0.781
cj mccollum,0.781,-0.266,1.047
ersan ilyasova,0.778,0.531,0.247
david west,0.77,1.149,-0.379
patrick beverley,0.763,0.556,0.207
al horford,0.742,0.873,-0.13
blake griffin,0.723,-0.893,1.616
bradley beal,0.654,-1.216,1.87
willy hernangomez,0.619,0.81,-0.191
marcin gortat,0.612,1.508,-0.896
kyle korver,0.608,-0.788,1.396
eric gordon,0.601,-1.574,2.174
paul millsap,0.584,0.69,-0.106
dirk nowitzki,0.58,1.374,-0.794
cj miles,0.571,-1.121,1.692
john henson,0.559,0.898,-0.34
delon wright,0.557,0.086,0.47
tim hardaway jr.,0.556,-0.917,1.472
nene,0.519,1.249,-0.73
shaquille harrison,0.517,1.088,-0.57
thabo sefolosha,0.514,1.282,-0.768
tobias harris,0.506,-0.523,1.029
j.j. barea,0.504,-1.126,1.63
willie reed,0.498,1.16,-0.662
mike james,0.491,-0.242,0.733
jeremy lamb,0.484,-0.228,0.712
dennis schroder,0.477,-0.94,1.417
rudy gay,0.474,0.171,0.303
nerlens noel,0.471,2.78,-2.309
zach lavine,0.468,-0.546,1.014
ekpe udoh,0.461,2.698,-2.237
trey burke,0.458,-2.009,2.466
andrew wiggins,0.417,-0.547,0.965
danny green,0.416,1.254,-0.838
serge ibaka,0.404,0.54,-0.136
willie cauley-stein,0.376,1.38,-1.004
zaza pachulia,0.371,1.326,-0.955
tim frazier,0.368,1.125,-0.757
kentavious caldwell-pope,0.364,0.066,0.297
patty mills,0.339,-0.589,0.928
