Player,LEBRON,D-LEBRON,O-LEBRON
nikola jokic,6.653,0.863,5.79
giannis antetokounmpo,6.638,2.534,4.104
rudy gobert,5.455,4.254,1.201
jimmy butler iii,5.232,1.605,3.627
kawhi leonard,4.925,1.26,3.665
joel embiid,4.908,1.068,3.84
stephen curry,4.685,-0.829,5.514
lebron james,4.368,0.25,4.117
luka doncic,4.065,-0.477,4.543
james harden,3.819,-0.781,4.6
damian lillard,3.724,-1.889,5.613
chris paul,3.606,1.382,2.224
paul george,3.535,1.091,2.444
karl-anthony towns,3.474,0.419,3.055
kyrie irving,3.458,-1.111,4.569
anthony davis,3.372,1.339,2.033
clint capela,3.259,2.673,0.586
kevin durant,3.241,-0.44,3.681
jayson tatum,3.221,0.844,2.377
jonas valanciunas,3.025,1.12,1.906
jrue holiday,2.887,0.949,1.939
mike conley,2.868,0.117,2.751
fred vanvleet,2.714,0.926,1.788
ben simmons,2.673,2.082,0.592
kyle anderson,2.651,1.976,0.675
russell westbrook,2.646,1.373,1.272
cj mccollum,2.502,-0.644,3.147
zion williamson,2.494,-0.624,3.118
jusuf nurkic,2.448,2.62,-0.171
robert williams iii,2.407,2.175,0.232
al horford,2.39,1.933,0.457
pascal siakam,2.352,0.827,1.525
bam adebayo,2.336,1.905,0.431
donte divincenzo,2.263,1.451,0.812
bradley beal,2.233,-1.253,3.486
jamal murray,2.049,0.028,2.02
draymond green,2.044,2.512,-0.468
kelly olynyk,2.009,0.643,1.365
devin booker,1.979,-1.007,2.986
kemba walker,1.924,-0.076,2.0
mikal bridges,1.896,1.061,0.836
khris middleton,1.849,0.336,1.513
myles turner,1.83,2.612,-0.782
kevin love,1.784,0.446,1.338
serge ibaka,1.753,1.223,0.53
andre drummond,1.731,1.974,-0.243
donovan mitchell,1.695,-2.035,3.731
daniel gafford,1.676,1.8,-0.125
kristaps porzingis,1.632,0.452,1.181
joe ingles,1.619,0.047,1.572
brook lopez,1.511,1.237,0.274
trae young,1.506,-2.496,4.001
jarred vanderbilt,1.485,2.181,-0.696
alex caruso,1.482,2.029,-0.546
thaddeus young,1.454,0.067,1.387
chris boucher,1.412,0.447,0.964
enes freedom,1.409,-0.471,1.88
robert covington,1.35,2.244,-0.894
marcus smart,1.341,1.01,0.331
john collins,1.34,-0.022,1.362
demar derozan,1.331,-0.996,2.327
paul millsap,1.31,1.448,-0.139
bruce brown,1.307,0.696,0.611
lonzo ball,1.257,0.288,0.969
tobias harris,1.235,0.907,0.328
montrezl harrell,1.234,0.706,0.528
brandon clarke,1.222,1.278,-0.056
isaiah hartenstein,1.212,1.684,-0.472
demarcus cousins,1.208,1.832,-0.625
ja morant,1.208,-1.062,2.27
dejounte murray,1.165,1.45,-0.284
