Player,LEBRON,O-LEBRON,D-LEBRON
Kevin Love,0.029,0.649,-0.62
Alex Caruso,0.009,-0.946,0.955
Patty Mills,0.0,1.476,-1.476
Josh Jackson,-0.013,0.115,-0.128
D'Angelo Russell,-0.014,1.248,-1.262
Kelly Olynyk,-0.019,-0.924,0.905
Naz Reid,-0.03,-0.42,0.39
Andrew Wiggins,-0.052,1.494,-1.546
Willie Cauley-Stein,-0.057,-2.102,2.045
Luke Kornet,-0.073,-0.517,0.444
Cameron Johnson,-0.083,0.314,-0.398
Jaren Jackson Jr.,-0.104,-0.845,0.741
Cody Zeller,-0.106,-0.073,-0.033
Tim Hardaway Jr.,-0.13,1.394,-1.523
Andre Iguodala,-0.151,-1.591,1.44
Frank Kaminsky,-0.195,-0.116,-0.079
Dejounte Murray,-0.196,-1.125,0.929
Harry Giles Iii,-0.212,-1.326,1.114
Joe Harris,-0.213,0.464,-0.677
Kentavious Caldwell-Pope,-0.236,0.372,-0.609
Mike Scott,-0.25,0.228,-0.478
Wesley Matthews,-0.258,-1.275,1.017
Mike Muscala,-0.277,-0.759,0.482
Buddy Hield,-0.281,0.852,-1.133
Jordan Clarkson,-0.304,1.377,-1.681
Lou Williams,-0.306,1.48,-1.786
Kenrich Williams,-0.317,-1.434,1.117
Reggie Jackson,-0.327,0.536,-0.862
Isaiah Hartenstein,-0.336,-0.595,0.259
Michael Kidd-Gilchrist,-0.337,-0.886,0.549
Bojan Bogdanović,-0.338,1.042,-1.379
Svi Mykhailiuk,-0.385,-0.118,-0.268
Dragan Bender,-0.389,-0.899,0.51
Harrison Barnes,-0.399,-0.188,-0.211
Jaxson Hayes,-0.416,-0.869,0.453
Cj Mccollum,-0.422,1.51,-1.932
Moritz Wagner,-0.427,-1.82,1.393
Trey Lyles,-0.445,-1.183,0.739
Brandon Knight,-0.446,0.109,-0.555
Jamychal Green,-0.452,-0.42,-0.032
Ante Zizic,-0.455,-0.736,0.281
Monté Morris,-0.472,0.577,-1.05
Ja Morant,-0.475,0.394,-0.869
Brandon Ingram,-0.485,0.835,-1.319
Meyers Leonard,-0.5,-1.995,1.494
Josh Richardson,-0.532,-0.579,0.047
Yogi Ferrell,-0.545,-0.633,0.088
Keldon Johnson,-0.545,-0.852,0.308
Goran Dragic,-0.55,0.96,-1.51
Markelle Fultz,-0.553,-1.238,0.685
Georges Niang,-0.562,0.007,-0.569
Matisse Thybulle,-0.584,-1.423,0.838
Jahlil Okafor,-0.594,-0.588,-0.006
J.J. Barea,-0.606,0.77,-1.376
Norman Powell,-0.621,0.069,-0.691
Mikal Bridges,-0.621,-1.003,0.382
Zach Collins,-0.628,-1.59,0.963
Tomas Satoransky,-0.632,-0.46,-0.172
Ish Smith,-0.645,0.436,-1.081
Shake Milton,-0.648,0.459,-1.107
Thomas Bryant,-0.66,-0.548,-0.113
Serge Ibaka,-0.669,-0.347,-0.322
Thabo Sefolosha,-0.688,-1.295,0.607
Jordan Mcrae,-0.694,0.069,-0.763
Jevon Carter,-0.706,-1.069,0.363
Rajon Rondo,-0.729,0.053,-0.782
David Nwaba,-0.733,-1.471,0.738
Juancho Hernangomez,-0.736,-0.656,-0.08
Lonzo Ball,-0.74,-0.38,-0.36
Taj Gibson,-0.75,-1.133,0.383
Dennis Schröder,-0.753,0.168,-0.921
Damian Jones,-0.757,-1.782,1.025
Bismack Biyombo,-0.761,-1.077,0.316
Justise Winslow,-0.769,-1.213,0.444
Anžejs Pasečņiks,-0.796,-1.176,0.38
Gary Payton Ii,-0.805,-1.435,0.629
Drew Eubanks,-0.805,-1.676,0.871
Wayne Ellington,-0.822,-0.231,-0.59
Sterling Brown,-0.833,-1.132,0.298
Gary Harris,-0.838,-1.303,0.464
Dario Šarić,-0.849,-0.904,0.055
Terence Davis,-0.851,0.195,-1.045
Jalen Brunson,-0.871,0.445,-1.316
Daniel Gafford,-0.872,-2.207,1.335
Dorian Finney-Smith,-0.873,-0.34,-0.533
Thaddeus Young,-0.877,-1.233,0.356
Jeremy Lamb,-0.879,-0.882,0.003
Noah Vonleh,-0.888,-1.358,0.47
Kyle Kuzma,-0.905,-0.144,-0.761
Derrick Rose,-0.924,1.082,-2.006
Kendrick Nunn,-0.938,-0.279,-0.659
Marvin Williams,-0.952,-1.827,0.875
P.J. Tucker,-0.952,-1.424,0.472
Trey Burke,-0.958,0.66,-1.619
James Johnson,-0.962,-0.892,-0.069
Gary Trent Jr.,-0.983,0.726,-1.71
Al-Farouq Aminu,-1.005,-2.058,1.052
Dillon Brooks,-1.022,-0.535,-0.487
Timothe Luwawu-Cabarrot,-1.046,-0.844,-0.202
Garrison Mathews,-1.069,-0.824,-0.245
James Ennis Iii,-1.071,-0.633,-0.438
Seth Curry,-1.076,0.911,-1.986
Juan Toscano-Anderson,-1.079,-1.932,0.853
Ty Jerome,-1.086,-0.831,-0.255
Jakarr Sampson,-1.087,-2.349,1.262
Landry Shamet,-1.097,-0.281,-0.816
Kyle Anderson,-1.108,-2.003,0.895
Matthew Dellavedova,-1.119,-1.401,0.282
Caleb Martin,-1.121,-1.429,0.307
Aaron Holiday,-1.121,-0.602,-0.519
Tristan Thompson,-1.122,-0.978,-0.143
Nicolas Batum,-1.126,-1.567,0.441
Jalen Mcdaniels,-1.128,-1.729,0.601
Cheick Diallo,-1.151,-1.448,0.297
Theo Pinson,-1.157,-0.623,-0.535
Josh Hart,-1.172,-0.606,-0.566
Victor Oladipo,-1.174,-0.507,-0.667
Alex Len,-1.184,-1.397,0.213
Doug Mcdermott,-1.202,0.211,-1.413
Kent Bazemore,-1.209,-1.846,0.637
Trevor Ariza,-1.218,-1.879,0.662
Thon Maker,-1.229,-1.794,0.565
Marvin Bagley Iii,-1.23,-0.979,-0.251
Kevon Looney,-1.243,-1.974,0.731
Terrence Ross,-1.249,0.293,-1.542
Carmelo Anthony,-1.251,-0.474,-0.776
Coby White,-1.254,-0.408,-0.846
Mychal Mulder,-1.256,-0.827,-0.43
Pj Dozier,-1.262,-0.81,-0.452
Jarrett Culver,-1.262,-1.072,-0.189
Dion Waiters,-1.263,-0.61,-0.653
