Player,LEBRON,D-LEBRON,O-LEBRON
bojan bogdanovic,-0.196,-0.866,0.67
thabo sefolosha,-0.21,1.422,-1.632
ivica zubac,-0.221,1.015,-1.236
tim hardaway jr.,-0.228,-0.594,0.366
meyers leonard,-0.235,0.327,-0.562
henry ellenson,-0.257,0.215,-0.472
jaylen brown,-0.277,0.37,-0.647
david nwaba,-0.307,0.819,-1.127
jj redick,-0.309,-1.46,1.15
alex caruso,-0.315,-0.173,-0.143
alex len,-0.32,0.278,-0.598
kyle korver,-0.347,-0.372,0.025
d.j. wilson,-0.356,0.342,-0.698
mo bamba,-0.379,1.845,-2.224
terrence ross,-0.393,-0.505,0.112
tristan thompson,-0.404,-0.03,-0.374
kadeem allen,-0.406,-0.478,0.072
sam dekker,-0.407,-0.308,-0.099
richaun holmes,-0.416,0.421,-0.838
rodney hood,-0.425,-0.576,0.151
marcus morris sr.,-0.426,-0.015,-0.411
deandre ayton,-0.454,0.197,-0.651
furkan korkmaz,-0.455,-0.489,0.034
jalen jones,-0.458,0.771,-1.229
zach lavine,-0.466,-1.23,0.764
devin harris,-0.47,-0.547,0.077
luol deng,-0.496,-0.181,-0.315
michael beasley,-0.501,-0.445,-0.056
dwight howard,-0.503,0.861,-1.364
reggie jackson,-0.508,-0.825,0.317
ryan arcidiacono,-0.509,0.166,-0.674
miles bridges,-0.519,0.152,-0.67
omri casspi,-0.519,0.671,-1.19
evan turner,-0.52,0.134,-0.653
jordan bell,-0.554,0.751,-1.305
damian jones,-0.557,1.172,-1.729
jahlil okafor,-0.597,-0.049,-0.549
terry rozier,-0.598,-0.001,-0.598
johnathan williams,-0.603,-0.446,-0.156
devonte' graham,-0.611,-1.044,0.433
courtney lee,-0.619,0.246,-0.865
bruno caboclo,-0.633,0.163,-0.796
troy brown jr.,-0.65,-0.405,-0.245
jr smith,-0.65,0.776,-1.426
kelly oubre jr.,-0.652,-0.358,-0.295
jamychal green,-0.657,0.463,-1.12
dario saric,-0.666,-0.633,-0.033
theo pinson,-0.675,-0.082,-0.593
trey burke,-0.685,-1.601,0.916
tyreke evans,-0.686,-0.508,-0.178
aron baynes,-0.691,0.875,-1.566
markieff morris,-0.745,-0.044,-0.701
jared dudley,-0.746,0.505,-1.25
