player_name,dpm,d_dpm,o_dpm
Jalen Brunson,0.93,-0.61,1.54
Shai Gilgeous-Alexander,0.87,-0.9,1.77
Kent Bazemore,0.87,1.72,-0.85
Enes Kanter,0.86,0.33,0.53
Bogdan Bogdanovic,0.85,-0.18,1.03
Ricky Rubio,0.84,0.6,0.24
Steven Adams,0.83,1.54,-0.71
Larry Nance Jr.,0.81,1.28,-0.47
Isaiah Hartenstein,0.79,1.33,-0.53
De'Aaron Fox,0.76,-1.48,2.24
Alec Burks,0.74,0.24,0.51
Cody Zeller,0.73,0.75,-0.02
Thaddeus Young,0.73,0.75,-0.02
Dorian Finney-Smith,0.72,0.41,0.31
Duncan Robinson,0.72,-0.04,0.75
Michael Carter-Williams,0.71,1.65,-0.94
T.J. Warren,0.71,-0.07,0.79
Cameron Payne,0.7,0.09,0.61
Malcolm Brogdon,0.69,-0.55,1.23
Norman Powell,0.68,-0.59,1.27
Nerlens Noel,0.67,2.3,-1.63
Julius Randle,0.65,-0.45,1.11
Anthony Edwards,0.64,-1.42,2.06
Tim Hardaway Jr.,0.62,-1.5,2.12
John Henson,0.62,1.84,-1.22
Dejounte Murray,0.58,0.58,-0.01
Gordon Hayward,0.57,-0.32,0.89
Derrick Rose,0.57,-0.58,1.15
John Wall,0.56,-0.51,1.07
Bruce Brown,0.56,0.49,0.06
Davis Bertans,0.54,-0.16,0.69
Spencer Dinwiddie,0.54,-0.61,1.15
Nikola Vucevic,0.53,-0.31,0.84
John Konchar,0.52,0.43,0.09
Andre Drummond,0.52,1.36,-0.84
Jevon Carter,0.52,0.38,0.14
Dillon Brooks,0.5,-0.48,0.97
Luke Kornet,0.49,1.33,-0.85
Klay Thompson,0.49,0.3,0.19
Darius Miller,0.48,0.41,0.06
Donte DiVincenzo,0.46,0.67,-0.22
Mason Plumlee,0.42,1.39,-0.96
Jeremy Lamb,0.42,0.13,0.28
Jaren Jackson Jr.,0.4,0.19,0.2
Alex Caruso,0.37,2.04,-1.68
Al-Farouq Aminu,0.37,1.74,-1.37
Jordan Clarkson,0.37,-1.67,2.04
Kentavious Caldwell-Pope,0.36,1.03,-0.67
Thomas Bryant,0.36,0.28,0.09
Cameron Johnson,0.35,-0.01,0.36
Blake Griffin,0.35,0.53,-0.18
Kevon Looney,0.34,1.57,-1.23
T.J. McConnell,0.33,0.25,0.08
Immanuel Quickley,0.33,-0.57,0.89
Evan Fournier,0.32,-0.34,0.65
Aaron Gordon,0.32,0.19,0.12
Furkan Korkmaz,0.24,0.05,0.19
Harrison Barnes,0.23,-0.9,1.13
Boban Marjanovic,0.22,0.14,0.08
Derrick Favors,0.22,1.26,-1.04
Miles Bridges,0.19,-0.19,0.38
Seth Curry,0.19,-0.79,0.98
Trevor Ariza,0.19,1.75,-1.55
Eric Bledsoe,0.18,-0.51,0.69
Nicolas Claxton,0.14,1.22,-1.08
Jabari Parker,0.13,0.68,-0.55
Lonzo Ball,0.13,0.09,0.04
LaMelo Ball,0.13,0.17,-0.04
Willy Hernangomez,0.11,-0.01,0.12
Rudy Gay,0.09,0.34,-0.26
James Ennis III,0.08,0.3,-0.22
Damion Lee,0.07,0.34,-0.27
Delon Wright,0.07,0.47,-0.4
Tony Bradley,0.06,0.32,-0.26
Isaac Bonga,0.05,1.43,-1.38
Bobby Portis,0.05,-0.4,0.45
Josh Okogie,0.04,1.15,-1.11
Tremont Waters,0.04,-0.22,0.26
Khyri Thomas,0.03,0.37,-0.34
Devonte' Graham,0.02,-0.94,0.96
Reggie Bullock,0.02,0.26,-0.24
Buddy Hield,0.01,-0.97,0.98
Justin Holiday,0.0,0.66,-0.66
JaMychal Green,-0.01,0.03,-0.04
Obi Toppin,-0.02,-0.05,0.02
Joe Harris,-0.03,-0.48,0.45
Andrew Wiggins,-0.05,0.11,-0.16
Dean Wade,-0.05,0.25,-0.3
Cody Martin,-0.05,1.19,-1.23
Mike Muscala,-0.08,0.27,-0.35
Dario Saric,-0.09,-0.5,0.41
Khem Birch,-0.09,0.79,-0.88
Bojan Bogdanovic,-0.09,-1.4,1.31
Marcus Morris Sr.,-0.09,-0.26,0.17
Tomas Satoransky,-0.1,0.24,-0.34
Will Barton,-0.11,-0.54,0.43
Montrezl Harrell,-0.12,-0.07,-0.05
Pat Connaughton,-0.12,0.22,-0.33
Jae'Sean Tate,-0.13,-0.06,-0.07
Alex Len,-0.13,1.39,-1.52
Oshae Brissett,-0.13,0.03,-0.16
Shaquille Harrison,-0.14,1.51,-1.66
Daniel Theis,-0.15,1.1,-1.25
Kevin Love,-0.16,-0.31,0.15
Chris Chiozza,-0.18,0.17,-0.36
Danilo Gallinari,-0.19,-0.64,0.45
Matisse Thybulle,-0.19,1.03,-1.22
Moses Brown,-0.25,0.47,-0.72
Georges Niang,-0.27,-0.22,-0.05
Frank Ntilikina,-0.28,1.21,-1.49
Royce O'Neale,-0.28,0.54,-0.82
Tacko Fall,-0.29,1.6,-1.89
Monte Morris,-0.3,-1.02,0.71
Facundo Campazzo,-0.31,0.49,-0.8
Gary Payton II,-0.31,1.07,-1.38
P.J. Washington,-0.33,0.73,-1.05
Marc Gasol,-0.34,2.45,-2.79
Gorgui Dieng,-0.36,0.66,-1.02
Tristan Thompson,-0.36,0.86,-1.22
Patty Mills,-0.36,-0.78,0.42
Maurice Harkless,-0.37,0.82,-1.19
Grayson Allen,-0.38,-0.64,0.26
Rodions Kurucs,-0.38,0.59,-0.97
Goga Bitadze,-0.38,0.37,-0.75
Skylar Mays,-0.38,-0.04,-0.34
Ja Morant,-0.39,-1.69,1.31
Victor Oladipo,-0.39,0.19,-0.57
Derrick Jones Jr.,-0.4,0.23,-0.63
Robin Lopez,-0.41,1.07,-1.48
Jake Layman,-0.41,0.35,-0.75
Zach Collins,-0.41,0.6,-1.0
D'Angelo Russell,-0.42,-1.71,1.29
Kendrick Nunn,-0.42,-0.81,0.39
Chris Clemons,-0.43,-0.17,-0.26
Josh Jackson,-0.43,0.62,-1.05
Josh Hart,-0.46,-0.4,-0.06
Maxi Kleber,-0.47,0.31,-0.78
Troy Brown Jr.,-0.48,0.11,-0.59
Lauri Markkanen,-0.48,-0.31,-0.17
DeMar DeRozan,-0.49,-1.79,1.3
Cory Joseph,-0.49,0.2,-0.68
Isaiah Stewart,-0.49,0.58,-1.08
Jarrett Allen,-0.5,0.41,-0.91
Doug McDermott,-0.51,-0.96,0.45
Jerami Grant,-0.52,-0.45,-0.07
Caris LeVert,-0.53,-0.98,0.46
Rondae Hollis-Jefferson,-0.54,0.8,-1.34
Terry Rozier,-0.54,-1.16,0.61
Nemanja Bjelica,-0.55,-0.21,-0.35
Max Strus,-0.56,-0.78,0.22
Terance Mann,-0.56,-0.34,-0.22
Kevin Huerter,-0.58,-0.27,-0.32
Jordan Poole,-0.58,-1.25,0.67
Talen Horton-Tucker,-0.59,0.33,-0.92
RJ Barrett,-0.6,-0.17,-0.43
Onyeka Okongwu,-0.61,0.48,-1.09
Taj Gibson,-0.62,1.54,-2.16
Louis King,-0.63,0.47,-1.1
Meyers Leonard,-0.64,0.45,-1.09
Saddiq Bey,-0.66,-0.56,-0.09
Paul Reed,-0.66,-0.42,-0.24
Trey Burke,-0.66,-1.02,0.37
Mike Scott,-0.67,0.62,-1.29
DeAndre' Bembry,-0.67,0.95,-1.62
Kris Dunn,-0.67,1.26,-1.94
Tyrese Maxey,-0.68,-0.3,-0.38
Wesley Matthews,-0.7,0.64,-1.34
De'Andre Hunter,-0.71,-0.25,-0.45
Raul Neto,-0.72,0.18,-0.9
Malik Beasley,-0.73,-1.38,0.64
Terence Davis,-0.77,-0.32,-0.45
Payton Pritchard,-0.79,-0.75,-0.04
Wayne Ellington,-0.79,-0.65,-0.14
Ish Smith,-0.79,0.07,-0.86
Tyrese Haliburton,-0.8,-1.38,0.58
Matthew Dellavedova,-0.81,0.02,-0.82
Caleb Martin,-0.83,0.56,-1.39
Xavier Tillman,-0.84,0.66,-1.5
Chuma Okeke,-0.85,0.5,-1.35
Kenyon Martin Jr.,-0.85,-0.23,-0.62
Ben McLemore,-0.85,-0.13,-0.72
Bruno Caboclo,-0.85,0.19,-1.04
Mo Bamba,-0.86,0.24,-1.11
Alize Johnson,-0.86,-0.13,-0.74
Nate Darling,-0.87,0.28,-1.15
LaMarcus Aldridge,-0.88,0.07,-0.95
Sindarius Thornwell,-0.88,0.84,-1.72
Dylan Windler,-0.88,-0.05,-0.82
Miye Oni,-0.89,0.79,-1.68
Goran Dragic,-0.9,-0.9,0.0
Dennis Schroder,-0.94,-0.7,-0.24
Jarrell Brantley,-0.94,0.14,-1.08
Damian Jones,-0.94,0.77,-1.7
Aaron Holiday,-0.95,0.01,-0.95
Jeff Green,-0.96,-0.55,-0.4
Moritz Wagner,-0.96,-0.15,-0.81
Landry Shamet,-0.97,-0.86,-0.12
Frank Jackson,-0.97,-0.75,-0.22
JaVale McGee,-0.98,1.13,-2.11
Nickeil Alexander-Walker,-0.98,-0.46,-0.52
Sterling Brown,-1.02,0.12,-1.14
Eric Gordon,-1.02,-1.23,0.21
Yuta Watanabe,-1.02,0.37,-1.39
Austin Rivers,-1.04,-0.43,-0.6
Marquese Chriss,-1.05,-0.15,-0.9
Yogi Ferrell,-1.05,-0.32,-0.73
Keldon Johnson,-1.05,-0.79,-0.25
Lamar Stevens,-1.06,0.64,-1.71
Desmond Bane,-1.06,-0.49,-0.56
Anthony Tolliver,-1.07,0.8,-1.87
DeAndre Jordan,-1.07,0.72,-1.79
Saben Lee,-1.09,0.18,-1.27
James Johnson,-1.09,0.9,-1.98
Garrett Temple,-1.1,0.36,-1.46
DeMarcus Cousins,-1.1,0.48,-1.58
Robert Franks,-1.1,0.01,-1.1
Ty-Shon Alexander,-1.1,0.25,-1.35
Ryan Arcidiacono,-1.1,0.18,-1.29
Bol Bol,-1.11,0.54,-1.65
Bryn Forbes,-1.13,-1.74,0.61
Patrick McCaw,-1.13,0.63,-1.75
Adam Mokoka,-1.15,0.1,-1.25
Brodric Thomas,-1.15,0.65,-1.8
George Hill,-1.16,-0.1,-1.06
Naz Reid,-1.17,-0.93,-0.24
Malik Monk,-1.17,-1.3,0.13
Donta Hall,-1.2,-0.06,-1.14
Cam Reddish,-1.22,-0.4,-0.82
Edmond Sumner,-1.23,-0.3,-0.93
Wendell Carter Jr.,-1.23,0.41,-1.64
Josh Green,-1.24,0.5,-1.74
Ed Davis,-1.25,1.09,-2.34
Jalen Harris,-1.26,-0.69,-0.57
Garrison Mathews,-1.27,-0.36,-0.91
Anfernee Simons,-1.27,-1.49,0.21
Jaylen Hoard,-1.27,-0.21,-1.06
JaKarr Sampson,-1.27,0.12,-1.39
Collin Sexton,-1.28,-1.61,0.34
Dwight Howard,-1.29,1.03,-2.32
Andre Iguodala,-1.3,1.31,-2.6
Ersan Ilyasova,-1.31,0.24,-1.55
Gabriel Deck,-1.32,-0.29,-1.04
Javonte Green,-1.32,0.32,-1.64
Jaxson Hayes,-1.33,-0.62,-0.71
Tyler Herro,-1.33,-1.04,-0.29
Isaiah Joe,-1.34,-0.59,-0.75
Paul Watson,-1.35,-0.66,-0.69
Markelle Fultz,-1.36,-0.79,-0.57
Tyler Cook,-1.36,-0.4,-0.96
Dennis Smith Jr.,-1.37,0.39,-1.76
Josh Richardson,-1.37,-0.89,-0.47
Mychal Mulder,-1.37,-1.34,-0.03
Kenrich Williams,-1.39,0.2,-1.59
Omari Spellman,-1.39,-0.15,-1.24
Juan Toscano-Anderson,-1.39,0.25,-1.63
Kyle Kuzma,-1.4,-0.35,-1.06
Thon Maker,-1.42,0.42,-1.84
Patrick Patterson,-1.42,-0.37,-1.05
Devontae Cacok,-1.42,-0.26,-1.16
Drew Eubanks,-1.43,0.13,-1.56
Taurean Prince,-1.44,-0.67,-0.77
Hassan Whiteside,-1.44,0.13,-1.57
Shake Milton,-1.45,-1.06,-0.39
PJ Dozier,-1.45,0.1,-1.55
Torrey Craig,-1.46,-0.7,-0.76
Danuel House Jr.,-1.47,-0.45,-1.02
Cristiano Felicio,-1.47,0.37,-1.84
Robert Woodard II,-1.47,-0.07,-1.39
Darius Garland,-1.47,-1.42,-0.05
Langston Galloway,-1.47,-1.08,-0.38
Devin Cannady,-1.47,-0.66,-0.81
Luke Kennard,-1.48,-1.86,0.38
Jaylen Nowell,-1.48,-0.96,-0.52
Thanasis Antetokounmpo,-1.49,0.37,-1.86
Nate Hinton,-1.5,0.17,-1.67
KZ Okpala,-1.5,0.37,-1.87
Coby White,-1.51,-0.99,-0.53
Rodney McGruder,-1.51,-0.64,-0.87
Noah Vonleh,-1.51,0.0,-1.51
Terrence Ross,-1.51,-0.8,-0.71
Timothe Luwawu-Cabarrot,-1.51,-0.76,-0.74
Dante Exum,-1.52,-0.25,-1.27
Justin Jackson,-1.52,-0.9,-0.62
Gary Harris,-1.52,-0.38,-1.14
Jordan McLaughlin,-1.54,-0.27,-1.27
Gary Clark,-1.54,-0.59,-0.96
Mike James,-1.55,-0.53,-1.02
Harry Giles III,-1.55,0.39,-1.94
Jeff Teague,-1.55,-0.69,-0.85
Denzel Valentine,-1.56,-0.16,-1.4
Vlatko Cancar,-1.57,-0.56,-1.01
Keita Bates-Diop,-1.58,-0.18,-1.4
Al Horford,-1.59,0.17,-1.76
Ty Jerome,-1.6,-0.81,-0.79
Kostas Antetokounmpo,-1.61,0.81,-2.42
Devin Vassell,-1.62,-0.07,-1.56
Kelan Martin,-1.62,-1.05,-0.57
Anthony Gill,-1.62,-0.53,-1.09
Bismack Biyombo,-1.63,1.52,-3.15
Jordan Bell,-1.63,0.36,-1.99
P.J. Tucker,-1.63,1.16,-2.79
Tyrell Terry,-1.63,-0.44,-1.19
Axel Toupane,-1.64,0.15,-1.79
Mfiondu Kabengele,-1.65,-0.23,-1.42
Alfonzo McKinnie,-1.68,-0.66,-1.02
Amir Coffey,-1.68,-0.23,-1.44
Malachi Flynn,-1.68,-0.3,-1.38
Frank Kaminsky,-1.69,-0.41,-1.28
Justin Patton,-1.69,0.35,-2.04
Nicolo Melli,-1.69,-0.1,-1.59
Jarrett Culver,-1.71,0.02,-1.72
Kevin Porter Jr.,-1.71,-1.49,-0.21
Alen Smailagic,-1.71,0.3,-2.01
Luka Samanic,-1.72,0.03,-1.75
Grant Williams,-1.75,0.62,-2.37
DaQuan Jeffries,-1.77,-0.42,-1.35
Nick Richards,-1.77,0.38,-2.14
Killian Tillie,-1.78,0.13,-1.91
Solomon Hill,-1.79,-0.28,-1.51
Zeke Nnaji,-1.79,-1.09,-0.7
Tyus Jones,-1.8,-0.63,-1.17
Juancho Hernangomez,-1.8,-0.94,-0.86
Matt Thomas,-1.81,-1.39,-0.42
Caleb Homesley,-1.81,-0.3,-1.52
Henry Ellenson,-1.82,-0.54,-1.28
Sean McDermott,-1.83,-0.32,-1.51
Nassir Little,-1.83,-1.22,-0.61
Kira Lewis Jr.,-1.83,-0.63,-1.2
Devon Dotson,-1.84,-0.63,-1.21
Jared Harper,-1.85,-0.06,-1.78
Markus Howard,-1.85,-1.05,-0.8
Jaden McDaniels,-1.85,0.09,-1.94
Jontay Porter,-1.86,0.22,-2.08
Svi Mykhailiuk,-1.86,-0.89,-0.97
James Nunnally,-1.86,-0.34,-1.52
Jalen McDaniels,-1.86,-0.45,-1.41
Glenn Robinson III,-1.87,-1.19,-0.68
Jordan Nwora,-1.87,-1.1,-0.77
Anthony Lamb,-1.88,-0.94,-0.94
Tyler Johnson,-1.89,-1.2,-0.69
Cameron Oliver,-1.9,-0.68,-1.22
Karim Mane,-1.91,0.22,-2.13
Rajon Rondo,-1.91,0.2,-2.11
Markieff Morris,-1.93,0.15,-2.08
Grant Riller,-1.93,-1.04,-0.9
Elijah Hughes,-1.94,-0.49,-1.45
Gabe Vincent,-1.96,-0.46,-1.5
Jahmi'us Ramsey,-1.96,-0.62,-1.34
Stanley Johnson,-1.96,0.19,-2.15
Kelly Oubre Jr.,-1.96,-0.65,-1.31
Patrick Williams,-1.97,-0.15,-1.82
Nico Mannion,-1.97,-0.46,-1.51
TJ Leaf,-1.99,-1.03,-0.97
Semi Ojeleye,-2.0,-0.33,-1.66
Justin James,-2.0,-0.69,-1.31
Rodney Hood,-2.03,-0.8,-1.22
Anderson Varejao,-2.03,1.33,-3.37
Tony Snell,-2.03,-0.65,-1.38
Carsen Edwards,-2.03,-1.03,-1.0
Deni Avdija,-2.04,-0.02,-2.02
Luguentz Dort,-2.04,-0.63,-1.41
Wenyen Gabriel,-2.05,0.43,-2.48
Cameron Reynolds,-2.07,-0.68,-1.4
Gary Trent Jr.,-2.08,-1.67,-0.42
Frank Mason,-2.08,-0.43,-1.64
Trent Forrest,-2.09,-0.42,-1.67
Isaac Okoro,-2.1,-0.42,-1.68
Greg Whittington,-2.1,-0.76,-1.35
Will Magnay,-2.11,-0.16,-1.95
Marvin Bagley III,-2.12,-1.61,-0.52
CJ Elleby,-2.12,-0.4,-1.72
Sam Merrill,-2.12,-0.67,-1.45
Quinndary Weatherspoon,-2.13,-0.28,-1.85
Elfrid Payton,-2.13,-0.3,-1.83
Rayjon Tucker,-2.13,-1.31,-0.82
Killian Hayes,-2.13,-0.21,-1.92
E'Twaun Moore,-2.14,-0.23,-1.9
Abdel Nader,-2.14,-0.47,-1.67
Chimezie Metu,-2.15,-0.58,-1.56
Kevin Knox II,-2.15,-0.42,-1.74
Avery Bradley,-2.2,-0.67,-1.53
Juwan Morgan,-2.21,-0.22,-1.99
Jeremiah Martin,-2.21,-0.4,-1.82
Luca Vildoza,-2.22,-0.71,-1.51
JJ Redick,-2.23,-1.66,-0.57
Mason Jones,-2.24,-0.88,-1.36
Reggie Perry,-2.25,-0.72,-1.52
Aaron Nesmith,-2.25,-0.74,-1.51
Naji Marshall,-2.26,0.15,-2.4
Ashton Hagans,-2.26,-0.5,-1.76
Trey Lyles,-2.26,-1.1,-1.16
Jaylen Adams,-2.28,-0.46,-1.82
Rui Hachimura,-2.29,-1.01,-1.29
Brian Bowen II,-2.29,-0.47,-1.82
Jay Scrubb,-2.29,-0.06,-2.23
Carmelo Anthony,-2.29,-2.36,0.06
Brad Wanamaker,-2.3,0.19,-2.49
Iman Shumpert,-2.3,-0.03,-2.27
Cedi Osman,-2.32,-1.2,-1.11
Armoni Brooks,-2.33,-1.21,-1.12
Lou Williams,-2.36,-2.09,-0.27
Romeo Langford,-2.36,-0.23,-2.13
Nathan Knight,-2.38,-0.51,-1.86
D.J. Augustin,-2.38,-2.35,-0.04
Kyle Guy,-2.38,-1.18,-1.2
Justise Winslow,-2.39,0.47,-2.86
Bruno Fernando,-2.41,-0.02,-2.39
Hamidou Diallo,-2.45,-1.02,-1.42
Elijah Bryant,-2.45,-0.6,-1.86
Eric Paschall,-2.46,-1.24,-1.22
Jordan Bone,-2.49,-1.17,-1.33
Tim Frazier,-2.49,-0.23,-2.26
Lonnie Walker IV,-2.49,-1.47,-1.02
Isaiah Roby,-2.5,-0.08,-2.42
Norvel Pelle,-2.51,0.76,-3.27
Myles Powell,-2.52,-0.89,-1.64
Anzejs Pasecniks,-2.53,0.03,-2.56
Jahlil Okafor,-2.53,-0.5,-2.04
Wes Iwundu,-2.54,-0.15,-2.4
Marcos Louzada Silva,-2.55,-0.28,-2.27
Malik Fitts,-2.55,-0.39,-2.17
Theo Pinson,-2.56,-0.45,-2.11
Vernon Carey Jr.,-2.59,-0.22,-2.38
Brandon Goodwin,-2.61,-0.87,-1.74
Jared Dudley,-2.62,0.77,-3.39
Cassius Stanley,-2.65,-0.74,-1.91
D.J. Wilson,-2.67,-0.61,-2.06
Dakota Mathias,-2.68,-1.03,-1.65
Udoka Azubuike,-2.71,-0.34,-2.37
Charles Brown Jr.,-2.72,-0.64,-2.08
Ray Spalding,-2.75,-0.12,-2.63
Damyean Dotson,-2.76,-0.9,-1.86
Chandler Hutchison,-2.78,-0.25,-2.52
Marques Bolden,-2.79,0.14,-2.93
Deividas Sirvydis,-2.8,-0.66,-2.15
Chasson Randle,-2.81,-0.74,-2.07
Precious Achiuwa,-2.84,-0.22,-2.62
Aron Baynes,-2.86,-0.08,-2.77
Isaiah Thomas,-2.87,-1.87,-1.0
Keljin Blevins,-2.88,-0.85,-2.03
Josh Hall,-2.89,-0.37,-2.52
Jerome Robinson,-2.91,-0.39,-2.52
Sekou Doumbouya,-2.92,-0.65,-2.27
R.J. Hampton,-2.92,-0.98,-1.94
Justin Robinson,-2.93,-0.84,-2.08
Quinn Cook,-2.94,-1.57,-1.37
Chris Silva,-2.95,-0.16,-2.79
Amida Brimah,-2.97,-0.46,-2.52
Cassius Winston,-2.97,-1.4,-1.57
Terrance Ferguson,-2.99,-0.58,-2.41
Jalen Lecque,-3.02,-1.15,-1.87
Freddie Gillespie,-3.03,-0.27,-2.76
Jalen Smith,-3.07,-0.68,-2.38
Cole Anthony,-3.08,-1.39,-1.69
Ignas Brazdeikis,-3.14,-1.08,-2.06
Tre Jones,-3.22,-1.42,-1.79
Tyler Bey,-3.28,-0.8,-2.48
Daniel Oturu,-3.31,-0.83,-2.48
Mamadi Diakite,-3.33,-0.56,-2.77
Omer Yurtseven,-3.38,-0.35,-3.03
Dwayne Bacon,-3.43,-1.38,-2.05
Aleksej Pokusevski,-3.56,-0.88,-2.68
Vincent Poirier,-3.7,-0.33,-3.37
Darius Bazley,-3.81,-1.78,-2.03
James Wiseman,-3.82,-0.98,-2.84
Theo Maledon,-4.21,-1.37,-2.84
Udonis Haslem,-4.77,-0.16,-4.6
