player_name,dpm,d_dpm,o_dpm
Giannis Antetokounmpo,7.31,2.6,4.71
Kawhi Leonard,6.51,1.48,5.02
LeBron James,6.48,1.45,5.03
Joel Embiid,5.99,2.64,3.35
Kevin Durant,5.68,0.45,5.23
Paul George,5.07,1.44,3.63
James Harden,5.0,-0.29,5.3
Rudy Gobert,4.87,4.49,0.38
Stephen Curry,4.59,-0.65,5.24
Nikola Jokic,4.44,0.81,3.63
Chris Paul,4.25,1.27,2.98
Damian Lillard,3.97,-1.68,5.65
Anthony Davis,3.75,2.28,1.46
Jimmy Butler,3.72,1.25,2.47
Kyrie Irving,3.63,-0.79,4.42
Jrue Holiday,3.53,0.99,2.53
Mike Conley,3.43,0.55,2.88
Donovan Mitchell,3.1,-1.05,4.15
Karl-Anthony Towns,2.96,-0.06,3.02
Devin Booker,2.88,-1.13,4.01
Luka Doncic,2.86,-1.23,4.09
Jayson Tatum,2.81,-0.55,3.36
CJ McCollum,2.78,0.07,2.71
Trae Young,2.78,-2.17,4.95
Jusuf Nurkic,2.72,2.7,0.03
Kyle Lowry,2.68,1.0,1.67
Khris Middleton,2.45,0.23,2.23
Brook Lopez,2.45,2.51,-0.06
Bradley Beal,2.35,-1.7,4.05
Clint Capela,2.35,2.18,0.17
Jaylen Brown,2.34,-0.52,2.86
Kemba Walker,2.3,-0.53,2.83
Danny Green,2.19,2.07,0.12
Dwight Powell,2.18,1.75,0.43
Russell Westbrook,2.16,0.11,2.04
Tobias Harris,2.11,0.56,1.55
Jonas Valanciunas,2.11,1.39,0.72
Draymond Green,2.03,3.16,-1.13
Paul Millsap,2.0,2.18,-0.19
Bam Adebayo,1.99,1.02,0.97
Deandre Ayton,1.95,1.43,0.52
Ben Simmons,1.95,1.23,0.72
Jamal Murray,1.92,-1.06,2.99
Michael Porter Jr.,1.89,-0.31,2.2
Robert Williams III,1.89,1.33,0.56
Derrick White,1.87,0.64,1.23
Fred VanVleet,1.86,0.87,0.99
Zion Williamson,1.81,-0.89,2.7
Robert Covington,1.79,2.11,-0.31
Marcus Smart,1.78,0.96,0.81
Mikal Bridges,1.77,0.45,1.32
Jonathan Isaac,1.75,1.59,0.16
Kyle Anderson,1.73,1.53,0.2
Pascal Siakam,1.73,0.33,1.4
Jakob Poeltl,1.69,2.38,-0.7
Daniel Gafford,1.68,0.47,1.21
Patrick Beverley,1.66,1.75,-0.09
Brandon Ingram,1.59,-1.1,2.69
Nicolas Batum,1.51,0.87,0.64
Chris Boucher,1.46,0.39,1.07
Richaun Holmes,1.43,0.7,0.73
Zach LaVine,1.39,-0.94,2.34
OG Anunoby,1.37,0.85,0.52
Joe Ingles,1.37,0.26,1.1
Domantas Sabonis,1.35,0.53,0.82
Jae Crowder,1.34,1.02,0.32
Willie Cauley-Stein,1.33,2.08,-0.75
John Collins,1.26,0.58,0.68
Andre Roberson,1.21,2.12,-0.91
Mitchell Robinson,1.21,0.86,0.34
Serge Ibaka,1.21,1.08,0.14
Ivica Zubac,1.17,1.99,-0.82
Jarred Vanderbilt,1.17,1.31,-0.14
Myles Turner,1.14,1.97,-0.83
Dewayne Dedmon,1.13,1.58,-0.45
Otto Porter Jr.,1.12,0.78,0.34
De'Anthony Melton,1.09,1.54,-0.45
Brandon Clarke,1.08,1.21,-0.13
Christian Wood,1.01,0.07,0.94
David Nwaba,0.98,0.94,0.05
Kristaps Porzingis,0.98,-0.32,1.3
Reggie Jackson,0.97,-0.64,1.61
Kelly Olynyk,0.94,0.43,0.51
