player_name,raptor_total,raptor_defense,raptor_offense
James Harden,10.5,2.0,8.5
Kawhi Leonard,9.6,3.2,6.4
Giannis Antetokounmpo,8.8,3.4,5.3
LeBron James,7.8,1.3,6.5
Anthony Davis,7.4,4.4,3.1
Karl-Anthony Towns,6.7,0.9,5.8
Damian Lillard,6.4,-1.8,8.1
Luka Doncic,6.3,-1.1,7.4
Paul George,6.3,2.8,3.5
Rudy Gobert,5.6,5.5,0.1
Jimmy Butler,5.6,1.5,4.1
Jayson Tatum,5.5,2.1,3.4
Nikola Jokic,5.1,0.5,4.6
Kyle Lowry,4.8,1.6,3.2
Jrue Holiday,4.7,2.4,2.3
Khris Middleton,4.7,1.2,3.4
Kemba Walker,4.7,-0.1,4.8
Ivica Zubac,4.6,3.6,1.1
Patrick Beverley,4.5,3.3,1.2
Christian Wood,4.4,2.7,1.8
Michael Carter-Williams,4.3,3.0,1.3
Joel Embiid,4.0,3.4,0.7
Jonathan Isaac,3.9,4.8,-0.8
Jakob Poeltl,3.8,3.0,0.8
Jamal Murray,3.7,0.4,3.2
Patty Mills,3.7,0.4,3.2
Chris Boucher,3.7,1.9,1.8
Trae Young,3.7,-3.3,7.0
Chris Paul,3.6,-2.0,5.6
Derrick Favors,3.4,2.7,0.7
Derrick White,3.4,2.2,1.2
Montrezl Harrell,3.2,2.9,0.2
Donte DiVincenzo,3.1,2.5,0.6
Clint Capela,3.1,4.2,-1.0
George Hill,3.1,0.9,2.2
Mitchell Robinson,3.0,1.7,1.2
Hassan Whiteside,3.0,2.3,0.7
Danny Green,3.0,2.1,0.9
Marcus Smart,2.9,1.9,1.0
Fred VanVleet,2.8,1.1,1.7
Rondae Hollis-Jefferson,2.7,2.3,0.5
Danilo Gallinari,2.7,-1.1,3.8
Eric Bledsoe,2.6,1.3,1.3
Jonas Valanciunas,2.6,2.1,0.5
Kris Dunn,2.5,4.2,-1.7
Jarrett Allen,2.5,2.4,0.0
Duncan Robinson,2.5,-0.8,3.3
Justin Holiday,2.5,2.4,0.1
Will Barton,2.5,1.0,1.5
Cody Martin,2.5,4.2,-1.8
Kristaps Porzingis,2.4,1.8,0.6
Alex Caruso,2.4,3.8,-1.4
Gorgui Dieng,2.4,5.2,-2.9
Derrick Jones Jr.,2.3,2.2,0.0
Ben Simmons,2.3,2.4,-0.1
JaVale McGee,2.3,2.9,-0.6
Jalen Brunson,2.2,0.9,1.3
Nikola Vucevic,2.2,1.3,1.0
De'Anthony Melton,2.2,2.1,0.1
Davis Bertans,2.2,-0.6,2.8
Bam Adebayo,2.1,2.2,-0.1
Enes Kanter,2.0,0.3,1.7
Steven Adams,2.0,1.7,0.3
Devin Booker,1.9,-2.9,4.8
Brook Lopez,1.9,3.3,-1.4
Terence Davis,1.9,0.3,1.6
Jaylen Brown,1.8,0.6,1.2
Mikal Bridges,1.8,1.7,0.1
Deandre Ayton,1.8,3.0,-1.2
Robert Covington,1.7,2.0,-0.3
Marc Gasol,1.7,4.0,-2.4
Michael Porter Jr.,1.7,-0.3,2.0
Matisse Thybulle,1.7,3.3,-1.5
Nemanja Bjelica,1.7,-0.3,2.0
Bradley Beal,1.6,-3.8,5.4
Royce O'Neale,1.6,1.7,-0.1
Ricky Rubio,1.6,-0.0,1.6
Goran Dragic,1.6,-0.5,2.1
Donovan Mitchell,1.4,-1.9,3.3
Dennis Schroder,1.4,1.6,-0.2
Devonte' Graham,1.4,-1.5,2.9
Domantas Sabonis,1.4,0.1,1.3
Joe Ingles,1.3,0.9,0.4
Marcus Morris Sr.,1.3,0.5,0.8
Wesley Matthews,1.3,3.1,-1.8
Caris LeVert,1.2,-0.6,1.8
Bogdan Bogdanovic,1.2,-0.4,1.6
Spencer Dinwiddie,1.2,-2.2,3.4
Mo Bamba,1.2,2.4,-1.3
Larry Nance Jr.,1.2,1.1,0.1
Daniel Theis,1.1,2.0,-0.9
Elfrid Payton,1.1,0.3,0.8
Shai Gilgeous-Alexander,1.1,-0.4,1.6
Aaron Holiday,1.1,0.7,0.4
Richaun Holmes,1.1,0.9,0.2
Ryan Arcidiacono,1.1,2.0,-0.9
T.J. Warren,1.0,0.2,0.8
Tim Hardaway Jr.,1.0,-0.8,1.8
Al Horford,0.9,0.6,0.3
Paul Millsap,0.9,1.4,-0.5
Brandon Clarke,0.9,0.7,0.2
Malcolm Brogdon,0.9,-0.3,1.2
Kelly Olynyk,0.9,0.1,0.8
OG Anunoby,0.9,1.6,-0.7
Jordan Clarkson,0.9,-1.8,2.7
Dorian Finney-Smith,0.9,0.8,0.1
