player_name,raptor_total,raptor_defense,raptor_offense
James Harden,10.7,1.2,9.6
Paul George,9.5,4.2,5.3
Nikola Jokic,8.7,2.7,6.1
Stephen Curry,7.8,0.3,7.5
Joel Embiid,7.5,4.8,2.7
Anthony Davis,7.4,3.3,4.1
Jusuf Nurkic,7.2,5.2,2.1
Giannis Antetokounmpo,6.8,2.9,3.9
Kawhi Leonard,6.6,0.9,5.7
Mike Conley,6.3,1.7,4.6
Kyrie Irving,5.7,0.6,5.1
Kemba Walker,5.7,0.8,5.0
LeBron James,5.6,0.2,5.4
Jimmy Butler,5.6,2.0,3.6
Kyle Lowry,5.6,1.9,3.7
Damian Lillard,5.6,-0.8,6.4
Jrue Holiday,5.6,1.5,4.1
Rudy Gobert,5.4,4.8,0.7
Eric Bledsoe,5.3,2.4,2.9
Kevin Durant,5.1,-0.2,5.2
Nikola Vucevic,4.8,3.4,1.4
Chris Paul,4.6,1.4,3.2
Blake Griffin,4.5,0.4,4.2
Danilo Gallinari,4.4,0.1,4.3
Draymond Green,4.4,3.8,0.6
Danny Green,4.1,1.4,2.6
Derrick Favors,3.9,3.8,0.0
Paul Millsap,3.9,2.8,1.1
Al Horford,3.8,2.2,1.6
Victor Oladipo,3.8,2.5,1.3
Malcolm Brogdon,3.8,1.1,2.6
Derrick White,3.7,3.0,0.7
DeMarcus Cousins,3.7,4.7,-1.0
Karl-Anthony Towns,3.5,0.0,3.4
Andre Drummond,3.5,2.8,0.7
Bradley Beal,3.4,-0.9,4.3
Kevon Looney,3.4,2.8,0.6
Davis Bertans,3.3,1.1,2.2
CJ McCollum,3.2,-0.2,3.3
Ersan Ilyasova,3.1,3.2,-0.1
Hassan Whiteside,3.1,3.8,-0.6
Marc Gasol,2.8,3.6,-0.8
Robert Covington,2.8,3.3,-0.6
Clint Capela,2.7,1.9,0.8
John Collins,2.7,-0.5,3.2
Jeremy Lamb,2.7,1.2,1.5
Khris Middleton,2.6,0.4,2.2
Boban Marjanovic,2.6,1.6,1.0
Thaddeus Young,2.6,1.9,0.7
Pascal Siakam,2.6,1.2,1.3
Otto Porter Jr.,2.6,1.3,1.3
Patrick Beverley,2.5,1.4,1.2
Caris LeVert,2.5,1.5,1.0
Delon Wright,2.5,2.0,0.5
Shabazz Napier,2.4,0.7,1.8
Marcus Smart,2.4,2.3,0.1
Joe Ingles,2.4,1.2,1.2
Larry Nance Jr.,2.2,2.2,0.0
Nemanja Bjelica,2.2,1.0,1.2
Rudy Gay,2.2,1.2,1.0
Luka Doncic,2.2,-0.9,3.1
LaMarcus Aldridge,2.1,1.4,0.6
Jakob Poeltl,2.1,0.8,1.3
Jared Dudley,2.0,2.6,-0.6
Dwight Powell,1.9,-0.4,2.2
George Hill,1.9,1.1,0.8
Luke Kornet,1.9,3.6,-1.7
Trey Burke,1.9,-0.1,2.0
Monte Morris,1.9,0.9,1.0
Maxi Kleber,1.8,2.9,-1.1
Nikola Mirotic,1.8,0.7,1.1
Steven Adams,1.8,1.9,-0.1
Josh Richardson,1.8,0.9,0.9
Aron Baynes,1.8,3.5,-1.8
Jamal Murray,1.7,-0.4,2.1
De'Aaron Fox,1.7,-0.1,1.8
Derrick Jones Jr.,1.7,2.2,-0.4
