Player,raptor_total,raptor_defense,raptor_offense
jaxson hayes,-2.5,-1.3,-1.2
lamar stevens,-2.6,-0.0,-2.6
eric gordon,-2.6,-2.7,0.0
daniel theis,-2.7,0.7,-3.4
eric paschall,-2.7,-2.8,0.2
armoni brooks,-2.8,-2.0,-0.8
duane washington jr.,-2.8,-1.8,-1.0
dennis schroder,-2.9,-0.9,-2.0
austin rivers,-2.9,-1.1,-1.8
aleksej pokusevski,-2.9,-0.0,-2.9
nickeil alexander-walker,-3.0,-1.2,-1.8
kenyon martin jr.,-3.0,-2.8,-0.2
richaun holmes,-3.0,-1.2,-1.8
justin holiday,-3.1,-2.0,-1.2
josh jackson,-3.1,-0.7,-2.3
russell westbrook,-3.2,-2.1,-1.2
lonnie walker iv,-3.2,-1.8,-1.4
jeremiah robinson-earl,-3.2,0.7,-3.9
brandon boston jr.,-3.3,-0.8,-2.5
maurice harkless,-3.3,0.0,-3.3
chimezie metu,-3.3,0.1,-3.4
julius randle,-3.3,-1.0,-2.3
cam reddish,-3.4,-0.7,-2.7
jeff green,-3.4,-1.9,-1.5
ayo dosunmu,-3.6,-1.9,-1.6
aaron wiggins,-3.6,-1.7,-1.8
tony snell,-3.6,-1.3,-2.3
bryn forbes,-3.6,-3.5,-0.1
garrett temple,-3.6,-0.6,-3.0
tre mann,-3.7,-1.4,-2.2
avery bradley,-3.8,-1.0,-2.8
frank jackson,-3.9,-2.4,-1.5
rui hachimura,-3.9,-3.0,-0.9
marcus morris sr.,-3.9,-3.8,-0.1
kessler edwards,-3.9,-1.9,-2.0
oshae brissett,-3.9,-2.8,-1.1
josh christopher,-4.0,-2.7,-1.3
killian hayes,-4.1,-0.4,-3.7
drew eubanks,-4.1,-1.6,-2.5
cam thomas,-4.2,-2.5,-1.7
ish smith,-4.2,-2.0,-2.2
theo maledon,-4.2,-1.2,-3.0
jalen green,-4.3,-2.7,-1.5
darius bazley,-4.4,-0.8,-3.6
tomas satoransky,-4.4,-1.7,-2.7
joshua primo,-4.5,-0.8,-3.7
serge ibaka,-4.5,-0.5,-4.0
doug mcdermott,-4.6,-4.5,-0.1
jonathan kuminga,-4.7,-2.0,-2.7
ben mclemore,-4.9,-3.3,-1.6
terrence ross,-5.1,-3.4,-1.7
cj elleby,-5.4,-2.3,-3.1
jordan nwora,-5.6,-2.5,-3.1
r.j. hampton,-5.7,-2.1,-3.6
lance stephenson,-5.9,-5.3,-0.6
d.j. augustin,-7.2,-5.7,-1.5
trendon watford,-7.3,-4.6,-2.7
