Player,raptor_total,raptor_defense,raptor_offense
nikola jokic,14.6,6.0,8.5
giannis antetokounmpo,8.1,2.5,5.6
joel embiid,7.8,4.2,3.6
rudy gobert,6.9,6.8,0.1
stephen curry,6.8,0.6,6.2
luka doncic,6.4,0.6,5.7
jimmy butler,6.0,1.3,4.7
gary payton ii,6.0,4.6,1.4
jayson tatum,5.6,1.6,4.0
alex caruso,5.4,5.0,0.4
paul george,5.1,4.0,1.1
jose alvarado,4.9,4.3,0.5
jrue holiday,4.8,1.2,3.6
lebron james,4.7,0.1,4.6
kevin durant,4.5,0.0,4.4
fred vanvleet,4.5,1.1,3.4
darius garland,4.5,-0.3,4.8
al horford,4.3,3.7,0.6
jarrett allen,4.3,4.1,0.2
kyrie irving,4.2,-0.9,5.0
devin booker,4.1,-0.0,4.1
chris paul,4.0,-0.3,4.4
ricky rubio,4.0,3.6,0.5
jakob poeltl,4.0,2.4,1.6
desmond bane,4.0,0.9,3.1
ja morant,3.9,-1.0,5.0
bam adebayo,3.9,3.8,0.0
immanuel quickley,3.9,1.5,2.4
draymond green,3.8,4.8,-1.0
robert williams iii,3.7,3.0,0.6
domantas sabonis,3.7,2.3,1.4
trae young,3.7,-3.0,6.7
patrick beverley,3.6,1.9,1.7
derrick white,3.5,3.1,0.4
dillon brooks,3.3,3.1,0.1
hassan whiteside,3.3,2.3,1.0
jusuf nurkic,3.2,3.4,-0.2
mike conley,3.2,1.2,2.1
brandon clarke,3.0,1.7,1.3
terry rozier,3.0,0.2,2.8
dejounte murray,3.0,-0.0,3.0
garrison mathews,3.0,2.0,1.1
mitchell robinson,2.9,2.4,0.5
lonzo ball,2.9,2.9,0.0
blake griffin,2.9,4.0,-1.2
demarcus cousins,2.8,2.0,0.7
kyle lowry,2.8,1.2,1.6
marcus smart,2.8,1.6,1.2
cameron johnson,2.8,1.7,1.0
isaiah hartenstein,2.7,1.5,1.2
jaylen brown,2.7,1.0,1.7
mikal bridges,2.7,0.9,1.8
clint capela,2.6,2.1,0.6
montrezl harrell,2.6,0.5,2.0
otto porter jr.,2.6,1.8,0.8
kenrich williams,2.6,3.8,-1.2
damian lillard,2.5,-1.6,4.2
cj mccollum,2.5,-0.6,3.1
alec burks,2.5,1.4,1.1
anthony davis,2.4,2.8,-0.3
kevon looney,2.4,2.4,-0.1
jordan clarkson,2.4,-0.4,2.8
delon wright,2.3,2.5,-0.2
kevin love,2.3,0.3,1.9
max strus,2.3,0.3,2.0
tre jones,2.2,1.9,0.3
onyeka okongwu,2.2,2.2,-0.0
bogdan bogdanovic,2.2,-0.6,2.8
karl-anthony towns,2.1,-1.2,3.3
de'anthony melton,2.1,1.9,0.2
jalen brunson,2.1,-0.5,2.7
james harden,2.1,-1.5,3.5
andrew wiggins,2.1,1.9,0.2
steven adams,2.1,0.4,1.7
jaren jackson jr.,2.1,2.3,-0.2
caleb martin,2.1,2.6,-0.5
lamelo ball,2.0,-0.7,2.7
bobby portis,2.0,1.6,0.4
donovan mitchell,2.0,-2.7,4.7
kelly olynyk,1.9,1.3,0.6
shai gilgeous-alexander,1.9,-0.9,2.8
kristaps porzingis,1.9,0.6,1.3
andre drummond,1.9,2.4,-0.4
robert covington,1.9,2.6,-0.7
jarred vanderbilt,1.9,1.7,0.2
javale mcgee,1.8,1.8,0.0
javonte green,1.8,1.7,0.1
matisse thybulle,1.8,4.0,-2.2
anthony edwards,1.8,0.0,1.8
tyrese haliburton,1.7,-1.1,2.8
p.j. tucker,1.7,2.3,-0.6
bradley beal,1.7,0.6,1.1
wesley matthews,1.7,3.0,-1.3
miles bridges,1.7,-0.0,1.7
austin reaves,1.7,1.7,0.0
pascal siakam,1.7,-0.2,1.9
malcolm brogdon,1.7,-0.7,2.4
d'angelo russell,1.6,-0.8,2.4
payton pritchard,1.6,-0.3,2.0
lamarcus aldridge,1.6,1.8,-0.2
jonas valanciunas,1.6,0.6,1.0
dorian finney-smith,1.5,0.6,1.0
herbert jones,1.5,2.6,-1.2
frank ntilikina,1.5,3.6,-2.1
royce o'neale,1.4,1.2,0.2
spencer dinwiddie,1.4,-0.5,1.9
demar derozan,1.4,-2.3,3.6
khris middleton,1.3,-0.7,1.9
nassir little,1.3,1.3,0.0
cody martin,1.3,1.0,0.3
franz wagner,1.3,0.8,0.5
myles turner,1.3,2.5,-1.2
jae crowder,1.2,1.6,-0.4
john collins,1.2,0.7,0.5
deni avdija,1.1,2.0,-0.9
danny green,1.1,1.3,-0.2
chris boucher,1.0,0.9,0.1
keldon johnson,0.9,-0.4,1.3
luke kennard,0.9,-0.7,1.5
tyus jones,0.9,-0.5,1.4
jordan poole,0.9,-1.0,2.0
gabe vincent,0.9,1.3,-0.4
wendell carter jr.,0.9,1.4,-0.5
deandre ayton,0.9,1.1,-0.2
josh hart,0.8,-0.1,0.9
bones hyland,0.8,-1.6,2.3
brandon ingram,0.8,-1.2,2.0
john konchar,0.8,0.6,0.2
pat connaughton,0.8,0.2,0.6
scottie barnes,0.8,0.7,0.1
george hill,0.8,1.9,-1.0
lauri markkanen,0.8,-0.9,1.6
bruce brown,0.7,0.3,0.3
dean wade,0.7,1.9,-1.2
malik monk,0.6,-1.2,1.8
nemanja bjelica,0.6,1.8,-1.2
rudy gay,0.6,0.8,-0.2
justise winslow,0.6,1.8,-1.2
terance mann,0.5,0.6,-0.1
hamidou diallo,0.4,1.3,-0.9
aaron gordon,0.4,-0.2,0.6
gary trent jr.,0.4,-1.0,1.4
tim hardaway jr.,0.4,0.5,-0.1
jordan mclaughlin,0.3,-0.3,0.6
nic claxton,0.3,1.6,-1.4
seth curry,0.3,-1.0,1.3
nicolas batum,0.2,1.7,-1.6
thaddeus young,0.2,0.7,-0.5
chris duarte,0.2,1.0,-0.8
xavier tillman,0.2,3.0,-2.8
dwight powell,0.2,0.1,0.2
buddy hield,0.2,-1.1,1.3
zach lavine,0.1,-2.3,2.4
maxi kleber,0.1,2.1,-2.0
grayson allen,0.1,-0.1,0.2
kevin porter jr.,0.1,-0.1,0.2
cameron payne,0.1,0.7,-0.6
tyler herro,0.1,-1.3,1.4
deandre' bembry,0.1,0.9,-0.8
ivica zubac,0.0,0.7,-0.7
og anunoby,-0.0,-0.2,0.2
quentin grimes,0.0,1.4,-1.4
aaron holiday,-0.1,0.1,-0.2
jeremy lamb,-0.1,-0.8,0.7
kemba walker,-0.2,0.1,-0.3
eric bledsoe,-0.2,2.0,-2.2
tyrese maxey,-0.2,-1.5,1.3
luguentz dort,-0.2,1.2,-1.4
nikola vucevic,-0.3,1.6,-1.8
derrick jones jr.,-0.3,0.2,-0.5
anfernee simons,-0.3,-2.5,2.2
jaden mcdaniels,-0.3,2.0,-2.3
daniel gafford,-0.3,-0.7,0.4
josh green,-0.3,1.9,-2.2
tobias harris,-0.4,-1.1,0.7
jalen mcdaniels,-0.4,0.6,-1.0
precious achiuwa,-0.4,2.1,-2.5
larry nance jr.,-0.4,-0.4,-0.1
jaylen nowell,-0.4,-3.0,2.7
reggie bullock,-0.4,-0.2,-0.2
trent forrest,-0.4,0.5,-1.0
trey murphy iii,-0.5,-0.6,0.2
monte morris,-0.5,-2.0,1.5
willy hernangomez,-0.5,-2.0,1.6
duncan robinson,-0.5,-1.1,0.6
jae'sean tate,-0.5,0.8,-1.3
harrison barnes,-0.5,-1.7,1.2
ty jerome,-0.5,0.5,-1.0
kevin huerter,-0.5,-0.9,0.4
stanley johnson,-0.5,0.2,-0.7
cory joseph,-0.5,-0.1,-0.4
amir coffey,-0.6,-0.9,0.3
kyle anderson,-0.6,0.7,-1.3
devonte' graham,-0.6,-1.6,0.9
grant williams,-0.6,0.4,-1.0
de'aaron fox,-0.7,-2.6,1.9
naji marshall,-0.7,0.7,-1.4
klay thompson,-0.8,-1.8,1.0
taj gibson,-0.8,0.8,-1.7
devin vassell,-0.8,-0.6,-0.2
isaac okoro,-0.8,0.3,-1.1
rodney mcgruder,-0.8,-0.7,-0.1
obi toppin,-0.8,-0.2,-0.5
caris levert,-0.8,-1.8,1.0
donte divincenzo,-0.8,1.2,-2.0
kelly oubre jr.,-0.8,-1.1,0.3
jalen smith,-1.0,-0.5,-0.5
juan toscano-anderson,-1.0,1.0,-2.0
taurean prince,-1.0,-0.0,-1.0
reggie jackson,-1.0,-0.0,-0.9
marvin bagley iii,-1.0,-0.2,-0.8
facundo campazzo,-1.0,1.4,-2.5
danilo gallinari,-1.1,-2.2,1.2
evan fournier,-1.1,-1.8,0.8
landry shamet,-1.1,-0.2,-1.0
evan mobley,-1.1,1.6,-2.7
moritz wagner,-1.1,-1.5,0.4
kentavious caldwell-pope,-1.1,-0.1,-1.0
georges niang,-1.2,-1.4,0.3
raul neto,-1.2,-0.7,-0.4
davion mitchell,-1.2,0.4,-1.6
jerami grant,-1.2,-0.7,-0.5
davis bertans,-1.3,-0.8,-0.4
jalen suggs,-1.3,2.8,-4.2
mason plumlee,-1.3,0.9,-2.2
danuel house jr.,-1.3,0.7,-2.0
p.j. washington,-1.3,-1.4,0.1
joe ingles,-1.3,-1.1,-0.2
norman powell,-1.4,-2.7,1.3
josh richardson,-1.4,-1.1,-0.4
josh giddey,-1.4,0.5,-1.9
keita bates-diop,-1.5,1.0,-2.6
mo bamba,-1.5,0.6,-2.1
gary harris,-1.5,-0.4,-1.1
troy brown jr.,-1.6,0.1,-1.7
patty mills,-1.6,-1.8,0.2
romeo langford,-1.6,0.8,-2.3
rj barrett,-1.6,-0.9,-0.7
shake milton,-1.6,-1.1,-0.5
malik beasley,-1.6,-2.0,0.5
cade cunningham,-1.7,-0.4,-1.2
tristan thompson,-1.7,-0.6,-1.1
dwight howard,-1.7,-1.5,-0.2
carmelo anthony,-1.7,-1.8,0.1
dewayne dedmon,-1.7,0.6,-2.3
cedi osman,-1.8,-1.2,-0.6
ziaire williams,-1.9,-0.9,-1.0
trey lyles,-2.0,-1.6,-0.5
khem birch,-2.0,-0.3,-1.6
naz reid,-2.0,0.7,-2.7
will barton,-2.0,-1.4,-0.5
christian wood,-2.0,-1.2,-0.8
gordon hayward,-2.0,-1.2,-0.8
furkan korkmaz,-2.0,-1.1,-0.9
corey kispert,-2.0,-2.1,0.1
coby white,-2.1,-2.4,0.3
de'andre hunter,-2.1,-0.2,-1.9
cole anthony,-2.1,-2.0,-0.1
isaiah roby,-2.2,-1.3,-0.8
torrey craig,-2.2,0.0,-2.2
wayne ellington,-2.2,-0.9,-1.3
bojan bogdanovic,-2.2,-2.4,0.3
alperen sengun,-2.3,-1.3,-1.0
isaiah stewart,-2.3,0.8,-3.1
damion lee,-2.3,0.1,-2.4
saddiq bey,-2.3,-2.4,0.1
kyle kuzma,-2.4,-0.6,-1.8
lou williams,-2.4,-1.1,-1.3
talen horton-tucker,-2.4,-0.0,-2.4
jamychal green,-2.5,-0.3,-2.2
jevon carter,-2.5,-0.9,-1.6
damian jones,-2.5,-1.5,-1.0
james johnson,-2.5,-0.7,-1.8
chuma okeke,-2.5,1.1,-3.6
