Player,raptor_total,raptor_defense,raptor_offense
josh richardson,0.6,0.8,-0.1
dwight powell,0.6,0.8,-0.2
brandon ingram,0.5,-1.1,1.6
jevon carter,0.5,0.6,-0.2
terrence ross,0.4,-0.6,1.0
evan fournier,0.4,-0.7,1.1
de'aaron fox,0.4,-2.0,2.5
derrick rose,0.4,-2.2,2.6
ersan ilyasova,0.4,0.3,0.0
furkan korkmaz,0.4,0.3,0.1
kenrich williams,0.3,2.4,-2.0
tobias harris,0.3,-0.6,0.9
nerlens noel,0.3,2.0,-1.7
damion lee,0.3,0.6,-0.3
alec burks,0.2,-1.0,1.2
kyle korver,0.2,-0.2,0.4
tomas satoransky,0.2,0.1,0.0
josh hart,0.2,0.3,-0.1
deandre jordan,0.2,1.8,-1.6
p.j. tucker,0.2,2.3,-2.1
norman powell,0.2,-0.3,0.6
demar derozan,0.1,-2.7,2.8
kelly oubre jr.,0.1,0.5,-0.4
lamarcus aldridge,0.1,0.8,-0.7
bruce brown,0.1,2.0,-1.8
seth curry,0.1,-2.6,2.7
patrick patterson,0.1,0.2,-0.1
gary trent jr.,0.0,-0.5,0.5
danuel house jr.,-0.0,0.3,-0.4
kevin love,-0.0,-1.5,1.5
cameron johnson,-0.1,-0.2,0.1
ian mahinmi,-0.1,2.6,-2.7
rudy gay,-0.1,0.9,-1.1
jabari parker,-0.1,-1.4,1.2
alex len,-0.1,2.1,-2.2
jae crowder,-0.2,-0.6,0.4
zach lavine,-0.2,-1.4,1.2
mike conley,-0.2,-1.6,1.4
kent bazemore,-0.2,2.6,-2.8
kyle anderson,-0.2,1.8,-2.0
serge ibaka,-0.2,1.0,-1.3
draymond green,-0.2,2.3,-2.5
tyus jones,-0.3,-1.4,1.0
t.j. mcconnell,-0.4,-0.9,0.5
trevor ariza,-0.4,1.2,-1.6
andre iguodala,-0.4,1.5,-1.8
john collins,-0.4,-0.4,0.0
svi mykhailiuk,-0.4,-0.8,0.5
cory joseph,-0.4,1.6,-2.0
marquese chriss,-0.5,1.2,-1.7
andre drummond,-0.5,1.9,-2.4
lou williams,-0.5,-2.7,2.2
mason plumlee,-0.5,0.0,-0.5
reggie jackson,-0.6,-1.4,0.8
moritz wagner,-0.6,1.2,-1.8
luke kennard,-0.6,-3.0,2.4
langston galloway,-0.6,-1.5,0.9
buddy hield,-0.6,-1.9,1.2
lonzo ball,-0.6,0.2,-0.8
dejounte murray,-0.6,-0.1,-0.4
ben mclemore,-0.7,-2.8,2.0
d'angelo russell,-0.7,-3.7,3.0
georges niang,-0.7,-1.7,1.0
jj redick,-0.7,-3.1,2.4
pat connaughton,-0.7,0.5,-1.2
joe harris,-0.7,-1.7,1.0
bojan bogdanovic,-0.7,-1.8,1.1
grant williams,-0.7,2.2,-2.9
kentavious caldwell-pope,-0.7,-0.6,-0.1
juancho hernangomez,-0.8,-0.1,-0.7
maxi kleber,-0.8,0.7,-1.5
gary harris,-0.8,2.1,-2.9
thomas bryant,-0.8,-0.5,-0.4
myles turner,-0.8,1.7,-2.5
avery bradley,-0.8,0.7,-1.5
shabazz napier,-0.8,-0.3,-0.5
mike scott,-0.8,-1.6,0.8
dario saric,-0.8,-0.5,-0.4
aron baynes,-0.9,0.1,-1.0
aaron gordon,-0.9,-1.2,0.2
ja morant,-1.0,-1.5,0.4
khem birch,-1.0,1.3,-2.3
kendrick nunn,-1.0,-0.5,-0.6
dillon brooks,-1.0,-0.3,-0.6
russell westbrook,-1.0,-0.6,-0.4
brad wanamaker,-1.1,-0.6,-0.5
julius randle,-1.1,-0.4,-0.8
d.j. augustin,-1.1,-1.2,0.2
darius bazley,-1.2,3.0,-4.2
garrett temple,-1.2,0.3,-1.5
marvin williams,-1.2,-0.4,-0.8
hamidou diallo,-1.2,2.7,-3.9
e'twaun moore,-1.3,-1.0,-0.3
jeff green,-1.3,-0.5,-0.8
tristan thompson,-1.3,1.0,-2.3
james ennis iii,-1.4,-0.7,-0.7
troy brown jr.,-1.4,-0.4,-1.0
harrison barnes,-1.4,-1.1,-0.3
doug mcdermott,-1.4,-2.2,0.8
andrew wiggins,-1.5,-2.1,0.6
jaren jackson jr.,-1.5,-0.2,-1.3
tyler herro,-1.5,-1.2,-0.3
damyean dotson,-1.6,-1.2,-0.4
cody zeller,-1.6,-1.3,-0.4
sterling brown,-1.6,1.1,-2.8
cedi osman,-1.6,-0.8,-0.8
wes iwundu,-1.7,0.3,-2.0
solomon hill,-1.7,-1.0,-0.7
deandre' bembry,-1.7,2.5,-4.2
malik beasley,-1.8,-1.4,-0.5
josh okogie,-1.8,0.4,-2.2
semi ojeleye,-1.8,0.6,-2.4
tony snell,-1.9,-1.7,-0.2
austin rivers,-1.9,-2.1,0.2
dewayne dedmon,-2.0,3.4,-5.4
jerami grant,-2.1,-1.2,-1.0
thaddeus young,-2.1,0.8,-2.9
torrey craig,-2.1,-1.5,-0.7
terry rozier,-2.1,-1.5,-0.6
monte morris,-2.1,-2.8,0.7
jamychal green,-2.2,-0.9,-1.3
taurean prince,-2.2,0.2,-2.4
frank ntilikina,-2.2,0.2,-2.4
meyers leonard,-2.2,-0.6,-1.7
trey lyles,-2.2,-1.6,-0.6
landry shamet,-2.3,-1.6,-0.7
kyle kuzma,-2.3,-0.2,-2.1
markelle fultz,-2.4,-1.5,-0.8
frank kaminsky,-2.5,-0.7,-1.9
anthony tolliver,-2.5,0.3,-2.8
maurice harkless,-2.5,-0.1,-2.4
coby white,-2.5,-1.5,-0.9
jordan mcrae,-2.6,-2.7,0.2
markieff morris,-2.6,-1.1,-1.5
ish smith,-2.7,-2.4,-0.3
shake milton,-2.7,-4.4,1.7
wendell carter jr.,-2.7,0.1,-2.8
taj gibson,-2.8,-0.5,-2.2
kevin huerter,-2.8,-2.4,-0.4
rajon rondo,-2.9,-3.2,0.4
bobby portis,-2.9,-1.1,-1.8
robin lopez,-2.9,1.0,-4.0
cam reddish,-3.0,-0.0,-3.0
bismack biyombo,-3.0,-0.8,-2.2
nicolo melli,-3.0,-0.8,-2.3
thon maker,-3.0,-0.7,-2.3
jeff teague,-3.1,-3.3,0.2
p.j. washington,-3.1,-0.7,-2.4
lauri markkanen,-3.1,-2.1,-1.0
miles bridges,-3.1,-1.6,-1.4
treveon graham,-3.2,0.2,-3.5
glenn robinson iii,-3.2,-2.5,-0.7
jaxson hayes,-3.3,-1.4,-1.8
collin sexton,-3.3,-4.6,1.3
bryn forbes,-3.4,-3.4,0.0
marco belinelli,-3.4,-3.4,0.0
lonnie walker iv,-3.4,-1.2,-2.2
jerome robinson,-3.4,-0.4,-3.0
abdel nader,-3.5,0.1,-3.6
eric gordon,-3.6,-2.0,-1.6
jarrett culver,-3.8,-1.3,-2.5
de'andre hunter,-3.8,-1.3,-2.5
justin jackson,-3.9,-2.6,-1.3
kevin porter jr.,-4.0,-1.5,-2.4
vince carter,-4.0,-1.2,-2.7
patrick mccaw,-4.1,-0.6,-3.6
keita bates-diop,-4.1,-2.1,-2.0
terrance ferguson,-4.2,-0.2,-4.0
damian jones,-4.2,-2.6,-1.6
rj barrett,-4.3,-2.4,-1.8
carmelo anthony,-4.4,-3.0,-1.4
omari spellman,-4.5,-1.5,-3.0
ky bowman,-4.5,-0.8,-3.7
malik monk,-4.5,-2.9,-1.6
emmanuel mudiay,-4.5,-1.6,-2.9
eric paschall,-4.5,-3.3,-1.2
rodney mcgruder,-4.7,-1.7,-3.0
mario hezonja,-4.8,-1.5,-3.3
jordan poole,-4.9,-1.9,-3.0
tyler johnson,-5.2,-2.5,-2.8
kevin knox ii,-5.2,-1.7,-3.5
rui hachimura,-5.3,-3.0,-2.3
anfernee simons,-5.4,-3.1,-2.3
frank jackson,-5.5,-4.3,-1.2
isaiah thomas,-6.5,-5.7,-0.8
darius garland,-6.6,-4.0,-2.6
sekou doumbouya,-9.1,-3.9,-5.2
