Player,raptor_total,raptor_defense,raptor_offense
ricky rubio,1.4,0.9,0.4
russell westbrook,1.4,-1.1,2.5
buddy hield,1.4,-0.8,2.2
cory joseph,1.4,2.3,-0.9
j.j. barea,1.2,-0.7,1.9
maurice harkless,1.2,1.3,-0.1
spencer dinwiddie,1.1,-0.8,1.9
lou williams,1.1,-4.0,5.0
brook lopez,1.1,1.6,-0.5
jj redick,1.1,-0.6,1.7
cody zeller,1.0,0.6,0.5
jayson tatum,1.0,0.6,0.4
josh hart,0.9,3.0,-2.2
michael kidd-gilchrist,0.9,2.0,-1.1
al-farouq aminu,0.9,0.6,0.3
jerami grant,0.9,1.2,-0.3
bam adebayo,0.8,2.7,-1.9
pj tucker,0.8,2.0,-1.2
kelly olynyk,0.8,0.7,0.0
darren collison,0.8,0.1,0.7
yogi ferrell,0.8,-0.1,0.8
tristan thompson,0.7,1.0,-0.2
ed davis,0.7,1.5,-0.8
terrence ross,0.7,-0.3,1.0
donovan mitchell,0.6,-1.1,1.7
devin booker,0.6,-3.0,3.6
kentavious caldwell-pope,0.5,-0.3,0.8
gordon hayward,0.5,0.0,0.5
jae crowder,0.5,0.6,-0.2
jonathan isaac,0.5,1.5,-1.0
tim hardaway jr.,0.5,-0.7,1.2
rondae hollis-jefferson,0.4,2.8,-2.4
aaron gordon,0.4,0.3,0.0
kenneth faried,0.4,0.0,0.4
landry shamet,0.4,-0.5,1.0
nerlens noel,0.4,3.1,-2.8
fred vanvleet,0.4,-0.6,1.0
royce o'neale,0.3,2.5,-2.2
josh okogie,0.3,1.7,-1.3
dewayne dedmon,0.3,1.2,-0.9
pat connaughton,0.3,0.5,-0.2
tyus jones,0.3,0.1,0.2
shaquille harrison,0.3,1.8,-1.4
tobias harris,0.3,-0.6,0.9
mikal bridges,0.2,1.1,-1.0
seth curry,0.2,0.6,-0.4
lauri markkanen,0.2,-0.8,1.0
demar derozan,0.2,-1.1,1.3
patty mills,0.2,-0.9,1.1
mitchell robinson,0.2,0.9,-0.6
kyle anderson,0.2,2.2,-2.0
gary harris,0.1,0.5,-0.4
myles turner,0.1,2.0,-1.9
goran dragic,0.1,-1.1,1.2
jaren jackson jr.,0.1,1.8,-1.7
noah vonleh,0.0,0.9,-0.9
serge ibaka,0.0,1.2,-1.2
enes kanter,0.0,-0.7,0.7
jeff teague,-0.0,-1.0,1.0
jordan clarkson,-0.0,-2.1,2.0
frank kaminsky,0.0,0.4,-0.3
bojan bogdanovic,0.0,-0.6,0.6
joe harris,-0.0,-0.7,0.7
treveon graham,-0.1,1.8,-1.8
justise winslow,-0.1,0.3,-0.4
ben simmons,-0.1,-0.9,0.8
d.j. augustin,-0.1,-2.4,2.3
danuel house jr.,-0.1,-0.7,0.6
torrey craig,-0.1,0.1,-0.2
kelly oubre jr.,-0.1,0.5,-0.6
rodney hood,-0.2,-0.5,0.4
klay thompson,-0.2,-0.9,0.7
tyreke evans,-0.2,0.4,-0.6
tomas satoransky,-0.2,-0.6,0.3
evan fournier,-0.2,-0.6,0.4
bruce brown,-0.3,2.4,-2.8
lonzo ball,-0.3,0.8,-1.1
t.j. warren,-0.3,-1.2,0.9
dorian finney-smith,-0.4,1.7,-2.1
iman shumpert,-0.4,0.9,-1.3
ryan arcidiacono,-0.5,-0.4,-0.1
kenrich williams,-0.6,0.7,-1.3
ivica zubac,-0.6,1.8,-2.4
matthew dellavedova,-0.6,-0.7,0.1
jalen brunson,-0.6,-0.6,0.0
gorgui dieng,-0.6,0.7,-1.3
wayne ellington,-0.6,-0.4,-0.2
willie cauley-stein,-0.6,1.5,-2.1
juancho hernangomez,-0.6,0.8,-1.5
reggie jackson,-0.7,-2.4,1.7
dennis schroder,-0.8,-0.6,-0.2
javale mcgee,-0.8,0.6,-1.4
jeff green,-0.8,-0.9,0.2
malik beasley,-0.8,-1.2,0.4
wesley matthews,-0.9,-0.3,-0.6
langston galloway,-0.9,-0.8,-0.1
justin holiday,-0.9,1.2,-2.0
jeremy lin,-0.9,1.0,-1.9
zach lavine,-1.0,-2.3,1.3
shai gilgeous-alexander,-1.0,-0.1,-0.9
nicolas batum,-1.1,-0.2,-0.9
elfrid payton,-1.1,-1.1,0.0
mike muscala,-1.1,0.1,-1.2
demarre carroll,-1.1,-0.6,-0.6
marcus morris,-1.1,-2.0,0.9
daniel theis,-1.1,0.2,-1.3
bruno caboclo,-1.1,-0.4,-0.7
dion waiters,-1.2,-0.9,-0.3
alex len,-1.2,0.6,-1.8
taj gibson,-1.2,-1.6,0.4
norman powell,-1.3,-0.6,-0.7
harrison barnes,-1.3,-0.4,-0.9
rodney mcgruder,-1.3,0.2,-1.5
kyle kuzma,-1.3,-0.7,-0.6
richaun holmes,-1.3,0.2,-1.5
ish smith,-1.3,-1.1,-0.2
vince carter,-1.4,-0.2,-1.2
tyler johnson,-1.4,0.0,-1.4
eric gordon,-1.4,-2.1,0.7
darius miller,-1.4,-0.5,-0.9
d.j. wilson,-1.4,0.9,-2.3
kyle korver,-1.4,-0.8,-0.6
mason plumlee,-1.4,-0.5,-0.9
julius randle,-1.4,-2.0,0.6
deandre jordan,-1.5,0.7,-2.2
terry rozier,-1.5,0.2,-1.7
tony snell,-1.5,-1.3,-0.2
devin harris,-1.5,-1.4,-0.1
evan turner,-1.5,0.3,-1.8
dario saric,-1.5,-1.0,-0.6
thomas bryant,-1.5,-1.7,0.2
jaylen brown,-1.5,0.2,-1.7
garrett temple,-1.6,0.8,-2.4
justin jackson,-1.7,-1.0,-0.7
jake layman,-1.7,-0.4,-1.2
t.j. mcconnell,-1.7,-0.7,-1.0
marco belinelli,-1.7,-2.2,0.5
kevin huerter,-1.8,-2.2,0.4
dennis smith jr.,-1.8,1.2,-2.9
kris dunn,-1.8,-0.7,-1.1
avery bradley,-1.9,0.7,-2.6
bryn forbes,-1.9,-2.2,0.3
andrew wiggins,-2.0,-0.8,-1.1
jonas jerebko,-2.0,-1.6,-0.5
tyson chandler,-2.0,1.8,-3.8
robin lopez,-2.0,-0.2,-1.8
e'twaun moore,-2.0,-2.2,0.2
marvin williams,-2.0,-0.8,-1.2
allen crabbe,-2.0,0.6,-2.6
doug mcdermott,-2.0,-2.3,0.2
brandon ingram,-2.0,-0.7,-1.3
rajon rondo,-2.1,-1.4,-0.7
john wall,-2.1,-1.9,-0.3
zach collins,-2.1,-0.6,-1.6
wilson chandler,-2.1,-0.6,-1.5
jabari parker,-2.1,-0.8,-1.3
de'anthony melton,-2.1,0.4,-2.5
deandre' bembry,-2.1,1.1,-3.2
trae young,-2.1,-4.5,2.4
chandler hutchison,-2.1,1.0,-3.1
luke kennard,-2.1,-2.1,0.1
gerald green,-2.2,-2.2,-0.0
reggie bullock,-2.2,-1.2,-1.1
trevor ariza,-2.2,-2.0,-0.2
shaun livingston,-2.2,-1.0,-1.2
dwyane wade,-2.2,-2.1,-0.1
wes iwundu,-2.2,0.6,-2.8
cheick diallo,-2.3,-0.5,-1.9
deandre ayton,-2.3,-1.7,-0.6
kent bazemore,-2.3,0.6,-2.9
miles bridges,-2.4,-0.7,-1.6
tim frazier,-2.4,-2.3,-0.1
dwayne bacon,-2.4,-2.8,0.4
anthony tolliver,-2.4,-0.5,-1.9
mario hezonja,-2.4,-0.1,-2.3
thon maker,-2.4,0.4,-2.9
damyean dotson,-2.4,-1.2,-1.2
troy daniels,-2.5,-1.5,-1.0
alec burks,-2.5,-1.6,-0.9
jahlil okafor,-2.5,-1.0,-1.5
cj miles,-2.6,-0.3,-2.2
taurean prince,-2.6,-1.9,-0.6
austin rivers,-2.6,-0.9,-1.6
stanley johnson,-2.6,2.2,-4.8
allonzo trier,-2.7,-1.4,-1.2
zaza pachulia,-2.7,-0.3,-2.4
marcin gortat,-2.8,0.8,-3.6
josh jackson,-2.8,0.6,-3.4
ante zizic,-2.8,-0.7,-2.1
jamychal green,-2.8,-1.8,-1.0
marvin bagley iii,-2.9,-1.8,-1.1
emmanuel mudiay,-3.0,-2.0,-1.0
sterling brown,-3.0,-1.1,-2.0
markieff morris,-3.1,-0.9,-2.2
terrance ferguson,-3.1,-1.6,-1.6
sam dekker,-3.2,-1.8,-1.3
lance stephenson,-3.2,-2.1,-1.1
jordan bell,-3.2,-0.1,-3.0
wendell carter jr.,-3.2,1.4,-4.7
rodions kurucs,-3.2,-0.6,-2.6
james johnson,-3.3,-0.7,-2.5
james ennis iii,-3.3,-1.9,-1.3
omari spellman,-3.4,-0.5,-2.9
solomon hill,-3.4,-0.4,-3.0
alfonzo mckinnie,-3.5,-2.2,-1.2
mike scott,-3.6,-2.2,-1.5
og anunoby,-3.6,-0.3,-3.4
tony parker,-3.7,-3.1,-0.6
jonathon simmons,-3.8,-0.6,-3.2
cedi osman,-3.9,-2.8,-1.1
meyers leonard,-4.1,-4.3,0.1
willy hernangomez,-4.1,-4.0,-0.1
harry giles iii,-4.1,-0.6,-3.5
will barton,-4.2,-2.2,-1.9
trey lyles,-4.2,-0.6,-3.6
dante cunningham,-4.2,-2.0,-2.2
jerian grant,-4.3,-1.0,-3.3
malik monk,-4.3,-3.7,-0.6
frank ntilikina,-4.3,-0.4,-3.9
bobby portis,-4.5,-3.3,-1.2
jarrett allen,-4.6,-3.1,-1.5
frank jackson,-4.7,-2.8,-2.0
patrick patterson,-4.8,-1.4,-3.4
shelvin mack,-4.8,-2.0,-2.8
nik stauskas,-4.9,-3.2,-1.7
elie okobo,-5.0,-1.4,-3.6
bismack biyombo,-5.0,-1.4,-3.6
quinn cook,-5.2,-4.1,-1.2
ian clark,-5.3,-3.0,-2.2
lance thomas,-5.3,-1.0,-4.3
dragan bender,-5.9,-1.8,-4.1
mo bamba,-6.2,-0.9,-5.3
wayne selden,-6.3,-3.2,-3.0
dirk nowitzki,-6.6,-4.0,-2.6
jamal crawford,-6.8,-5.8,-1.0
antonio blakeney,-7.1,-4.0,-3.1
kevin knox,-8.1,-4.3,-3.8
collin sexton,-8.4,-5.5,-2.8
