Player,raptor_total,raptor_defense,raptor_offense
james harden,10.7,1.2,9.6
paul george,9.5,4.2,5.3
nikola jokic,8.7,2.7,6.1
stephen curry,7.8,0.3,7.5
joel embiid,7.5,4.8,2.7
anthony davis,7.4,3.3,4.1
jusuf nurkic,7.2,5.2,2.1
giannis antetokounmpo,6.8,2.9,3.9
kawhi leonard,6.6,0.9,5.7
mike conley,6.3,1.7,4.6
kyrie irving,5.7,0.6,5.1
kemba walker,5.7,0.8,5.0
lebron james,5.6,0.2,5.4
jimmy butler,5.6,2.0,3.6
kyle lowry,5.6,1.9,3.7
damian lillard,5.6,-0.8,6.4
jrue holiday,5.6,1.5,4.1
rudy gobert,5.4,4.8,0.7
eric bledsoe,5.3,2.4,2.9
kevin durant,5.1,-0.2,5.2
nikola vucevic,4.8,3.4,1.4
chris paul,4.6,1.4,3.2
blake griffin,4.5,0.4,4.2
danilo gallinari,4.4,0.1,4.3
draymond green,4.4,3.8,0.6
danny green,4.1,1.4,2.6
derrick favors,3.9,3.8,0.0
paul millsap,3.9,2.8,1.1
al horford,3.8,2.2,1.6
victor oladipo,3.8,2.5,1.3
malcolm brogdon,3.8,1.1,2.6
derrick white,3.7,3.0,0.7
demarcus cousins,3.7,4.7,-1.0
karl-anthony towns,3.5,0.0,3.4
andre drummond,3.5,2.8,0.7
bradley beal,3.4,-0.9,4.3
kevon looney,3.4,2.8,0.6
davis bertans,3.3,1.1,2.2
cj mccollum,3.2,-0.2,3.3
ersan ilyasova,3.1,3.2,-0.1
hassan whiteside,3.1,3.8,-0.6
marc gasol,2.8,3.6,-0.8
robert covington,2.8,3.3,-0.6
clint capela,2.7,1.9,0.8
john collins,2.7,-0.5,3.2
jeremy lamb,2.7,1.2,1.5
khris middleton,2.6,0.4,2.2
boban marjanovic,2.6,1.6,1.0
thaddeus young,2.6,1.9,0.7
pascal siakam,2.6,1.2,1.3
otto porter jr.,2.6,1.3,1.3
patrick beverley,2.5,1.4,1.2
caris levert,2.5,1.5,1.0
delon wright,2.5,2.0,0.5
shabazz napier,2.4,0.7,1.8
marcus smart,2.4,2.3,0.1
joe ingles,2.4,1.2,1.2
larry nance jr.,2.2,2.2,0.0
nemanja bjelica,2.2,1.0,1.2
rudy gay,2.2,1.2,1.0
luka doncic,2.2,-0.9,3.1
lamarcus aldridge,2.1,1.4,0.6
jakob poeltl,2.1,0.8,1.3
jared dudley,2.0,2.6,-0.6
dwight powell,1.9,-0.4,2.2
george hill,1.9,1.1,0.8
luke kornet,1.9,3.6,-1.7
trey burke,1.9,-0.1,2.0
monte morris,1.9,0.9,1.0
maxi kleber,1.8,2.9,-1.1
nikola mirotic,1.8,0.7,1.1
steven adams,1.8,1.9,-0.1
josh richardson,1.8,0.9,0.9
aron baynes,1.8,3.5,-1.8
jamal murray,1.7,-0.4,2.1
de'aaron fox,1.7,-0.1,1.8
derrick jones jr.,1.7,2.2,-0.4
montrezl harrell,1.7,0.8,0.9
jonas valanciunas,1.6,1.0,0.6
bogdan bogdanovic,1.5,-0.2,1.7
domantas sabonis,1.5,0.5,0.9
d'angelo russell,1.5,-0.9,2.4
andre iguodala,1.5,1.3,0.2
david nwaba,1.5,1.2,0.3
derrick rose,1.5,-1.2,2.7
