Player,raptor_total,raptor_defense,raptor_offense
wayne ellington,-0.0,-1.8,1.8
patrick beverley,-0.0,0.3,-0.3
nerlens noel,0.0,2.7,-2.7
willy hernangomez,-0.0,0.5,-0.5
marcus morris sr.,-0.1,-0.2,0.1
kevin huerter,-0.1,-0.0,-0.1
caris levert,-0.1,-0.5,0.4
cody martin,-0.1,1.8,-2.0
josh jackson,-0.1,1.4,-1.5
kelly olynyk,-0.2,-0.7,0.5
kristaps porzingis,-0.2,-1.5,1.3
dennis schroder,-0.2,0.0,-0.3
grayson allen,-0.2,-0.0,-0.1
monte morris,-0.2,-1.2,1.0
tyus jones,-0.2,0.0,-0.2
talen horton-tucker,-0.3,1.1,-1.4
enes kanter,-0.3,-2.8,2.5
maxi kleber,-0.4,1.0,-1.5
drew eubanks,-0.4,2.0,-2.4
jaxson hayes,-0.4,1.2,-1.6
derrick jones jr.,-0.4,1.3,-1.8
reggie bullock,-0.5,-0.1,-0.4
naz reid,-0.6,0.9,-1.4
josh okogie,-0.6,1.8,-2.3
patty mills,-0.6,-0.2,-0.4
cory joseph,-0.6,0.4,-1.0
taurean prince,-0.6,-0.2,-0.5
wesley matthews,-0.6,1.2,-1.9
andrew wiggins,-0.6,0.5,-1.1
nickeil alexander-walker,-0.6,0.7,-1.3
jamychal green,-0.6,-0.8,0.2
shake milton,-0.7,-0.8,0.1
malachi flynn,-0.8,0.6,-1.4
kendrick nunn,-0.8,-1.2,0.4
hamidou diallo,-0.9,0.1,-1.0
michael carter-williams,-0.9,3.4,-4.3
tyler herro,-1.0,-1.0,-0.0
tyrese haliburton,-1.0,-2.5,1.5
landry shamet,-1.1,-0.4,-0.7
xavier tillman,-1.1,0.4,-1.6
onyeka okongwu,-1.1,0.7,-1.8
d'angelo russell,-1.2,-3.2,1.9
andre iguodala,-1.2,1.1,-2.2
robin lopez,-1.2,0.2,-1.4
caleb martin,-1.2,1.5,-2.6
jeff green,-1.2,-0.4,-0.7
malik monk,-1.2,-1.8,0.6
torrey craig,-1.3,-0.7,-0.6
bojan bogdanovic,-1.3,-1.4,0.2
darius garland,-1.3,-1.5,0.2
desmond bane,-1.3,-1.5,0.2
frank kaminsky,-1.4,-0.6,-0.8
ricky rubio,-1.4,-0.4,-1.0
lauri markkanen,-1.4,-0.9,-0.5
payton pritchard,-1.4,-1.5,0.2
goran dragic,-1.4,-1.1,-0.4
deandre' bembry,-1.5,0.8,-2.3
mason plumlee,-1.5,-1.2,-0.3
tyler johnson,-1.6,-0.9,-0.7
semi ojeleye,-1.6,0.4,-2.0
malik beasley,-1.7,-2.4,0.7
terrence ross,-1.7,-1.0,-0.7
jordan mclaughlin,-1.7,0.1,-1.8
wendell carter jr.,-1.7,1.3,-2.9
trey burke,-1.7,-1.4,-0.3
p.j. washington,-1.7,0.6,-2.2
kira lewis jr.,-1.8,-1.0,-0.8
deni avdija,-1.8,0.6,-2.4
d.j. augustin,-1.8,-2.5,0.6
denzel valentine,-1.8,-0.2,-1.6
will barton,-1.8,-1.8,0.0
devin vassell,-1.8,-0.7,-1.2
ja morant,-1.9,-3.9,2.0
ty jerome,-2.0,-3.5,1.4
alex len,-2.0,0.7,-2.7
russell westbrook,-2.0,-2.2,0.2
josh richardson,-2.1,-0.9,-1.1
eric bledsoe,-2.2,-1.8,-0.4
cam reddish,-2.2,0.1,-2.3
moses brown,-2.2,0.1,-2.3
aaron holiday,-2.2,-0.8,-1.4
sterling brown,-2.2,-0.8,-1.4
mychal mulder,-2.2,-1.4,-0.8
dwight howard,-2.2,0.0,-2.2
dean wade,-2.3,-0.4,-1.9
john wall,-2.3,-1.3,-1.0
tyrese maxey,-2.3,-2.2,-0.1
timothe luwawu-cabarrot,-2.4,-0.8,-1.6
terence davis,-2.4,-1.9,-0.5
jeff teague,-2.5,-1.4,-1.1
coby white,-2.5,-1.1,-1.4
collin sexton,-2.5,-2.9,0.4
carmelo anthony,-2.6,-2.8,0.3
tristan thompson,-2.6,-0.6,-2.0
mike scott,-2.6,-0.1,-2.6
jordan poole,-2.6,-3.0,0.4
marvin bagley iii,-2.6,-0.6,-2.0
jaden mcdaniels,-2.6,-0.8,-1.8
keldon johnson,-2.7,-2.0,-0.7
gary harris,-2.7,-0.7,-2.0
p.j. tucker,-2.7,0.5,-3.3
kelly oubre jr.,-2.7,1.1,-3.8
gary trent jr.,-2.8,-2.6,-0.2
lou williams,-2.8,-3.1,0.3
grant williams,-2.8,0.2,-3.0
edmond sumner,-2.9,-1.8,-1.1
svi mykhailiuk,-3.0,-1.3,-1.7
markieff morris,-3.0,-0.2,-2.8
tony snell,-3.0,-1.9,-1.1
luke kennard,-3.1,-3.7,0.6
austin rivers,-3.1,-1.3,-1.8
anfernee simons,-3.1,-3.8,0.7
kyle kuzma,-3.1,0.1,-3.2
doug mcdermott,-3.1,-3.6,0.5
jaylen nowell,-3.1,-2.2,-0.9
solomon hill,-3.1,-0.4,-2.7
juancho hernangomez,-3.2,-2.6,-0.6
saddiq bey,-3.3,-1.9,-1.4
cedi osman,-3.3,-1.9,-1.4
anthony edwards,-3.3,-2.8,-0.5
kenyon martin jr.,-3.3,-2.2,-1.1
elfrid payton,-3.3,-1.3,-2.0
bryn forbes,-3.5,-4.1,0.5
rui hachimura,-3.5,-1.0,-2.5
eric gordon,-3.5,-3.9,0.4
brad wanamaker,-3.6,-0.7,-2.9
patrick williams,-3.7,-0.3,-3.4
deandre jordan,-3.7,-0.7,-3.0
ben mclemore,-3.8,-2.4,-1.4
maurice harkless,-3.8,-1.0,-2.9
james johnson,-4.1,-0.8,-3.3
saben lee,-4.1,-2.4,-1.6
rajon rondo,-4.1,-2.8,-1.3
kevin porter jr.,-4.2,-3.7,-0.5
isaac okoro,-4.2,-1.4,-2.8
stanley johnson,-4.2,-0.9,-3.2
jalen mcdaniels,-4.3,-1.8,-2.6
aron baynes,-4.4,0.7,-5.0
dwayne bacon,-4.6,-1.7,-2.9
bismack biyombo,-4.7,0.8,-5.6
isaiah roby,-5.0,-1.2,-3.9
cole anthony,-5.1,-3.0,-2.1
darius bazley,-5.2,-0.6,-4.6
rodney hood,-5.3,-1.2,-4.1
danuel house jr.,-5.6,-2.1,-3.5
damyean dotson,-5.6,-2.4,-3.2
lonnie walker iv,-5.7,-3.9,-1.9
sekou doumbouya,-5.9,-1.7,-4.2
r.j. hampton,-6.7,-4.5,-2.2
chasson randle,-7.3,-3.2,-4.1
theo maledon,-8.0,-3.0,-4.9
james wiseman,-8.5,-1.7,-6.8
aleksej pokusevski,-9.2,-2.8,-6.3
