nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
1627858,Kyle Collinsworth,2018,DAL,SF,14.985,0.076,-0.469,0.545,0.764,Secondary Ball Handler,Chaser
1627863,Danuel House Jr.,2018,PHO,SG,17.504,0.259,-0.013,0.271,0.69,Movement Shooter,Chaser
1627884,Derrick Jones Jr.,2018,PHO/MIA,SF,12.258,-1.021,-0.861,-0.16,0.211,Stationary Shooter,Chaser
1627885,Shaquille Harrison,2018,PHO,PG,16.715,0.517,-0.57,1.088,0.725,Slasher,Point of Attack
1627936,Alex Caruso,2018,LAL,PG,15.185,-1.341,-1.825,0.485,0.366,Primary Ball Handler,Point of Attack
1627988,Myke Henry,2018,MEM,SF,18.903,-1.062,-1.182,0.12,0.316,Movement Shooter,Chaser
1628021,David Nwaba,2018,CHI,SG,23.511,-1.909,-1.555,-0.355,0.454,Athletic Finisher,Chaser
1628365,Markelle Fultz,2018,PHI,SG,18.069,-1.377,-0.761,-0.615,0.159,Slasher,Point of Attack
1628366,Lonzo Ball,2018,LAL,PG,34.233,1.182,-0.224,1.407,4.144,Primary Ball Handler,Point of Attack
1628367,Josh Jackson,2018,PHO,SF,25.445,-2.668,-1.217,-1.45,-0.429,Secondary Ball Handler,Wing Stopper
1628368,De'Aaron Fox,2018,SAC,PG,27.748,-2.903,-1.546,-1.357,-0.751,Slasher,Point of Attack
1628369,Jayson Tatum,2018,BOS,SF,30.535,0.816,-0.749,1.565,5.093,Shot Creator,Low Activity
1628370,Malik Monk,2018,CHO,SG,13.547,-2.847,-0.902,-1.945,-0.286,Primary Ball Handler,Point of Attack
1628371,Jonathan Isaac,2018,ORL,PF,19.827,-1.352,-3.16,1.808,0.344,Stationary Shooter,Helper
1628372,Dennis Smith Jr.,2018,DAL,PG,29.697,-1.154,-0.666,-0.488,1.587,Shot Creator,Point of Attack
1628373,Frank Ntilikina,2018,NYK,PG,21.868,-2.345,-1.87,-0.475,-0.016,Primary Ball Handler,Point of Attack
1628374,Lauri Markkanen,2018,CHI,PF,29.707,-0.232,0.006,-0.238,2.803,Movement Shooter,Helper
1628378,Donovan Mitchell,2018,UTA,SG,33.394,1.432,1.047,0.385,6.578,Primary Ball Handler,Chaser
1628379,Luke Kennard,2018,DET,SG,20.037,-1.785,-1.157,-0.628,0.523,Off Screen Shooter,Low Activity
1628380,Zach Collins,2018,POR,C,15.842,-1.968,-2.162,0.194,0.248,Versatile Big,Helper
1628381,John Collins,2018,ATL,PF,24.119,-0.191,-1.222,1.031,2.524,Roll + Cut Big,Anchor Big
1628382,Justin Jackson,2018,SAC,SF,22.15,-2.459,-1.892,-0.566,-0.125,Athletic Finisher,Wing Stopper
1628384,Og Anunoby,2018,TOR,SF,20.021,-1.149,-1.2,0.051,1.152,Stationary Shooter,Wing Stopper
1628386,Jarrett Allen,2018,BRK,C,20.017,-1.397,-1.406,0.009,0.884,Roll + Cut Big,Anchor Big
1628389,Bam Adebayo,2018,MIA,C,19.827,-0.278,-1.189,0.911,1.855,Roll + Cut Big,Anchor Big
1628390,Terrance Ferguson,2018,OKC,SG,12.509,-3.014,-1.837,-1.176,-0.337,Stationary Shooter,Chaser
1628393,Jawun Evans,2018,LAC,PG,16.206,-1.631,-1.628,-0.003,0.357,Primary Ball Handler,Point of Attack
1628395,Jordan Bell,2018,GSW,C,14.192,1.01,-0.198,1.208,1.791,Roll + Cut Big,Helper
1628397,Ivan Rabb,2018,MEM,PF,14.324,-1.56,-1.364,-0.195,0.261,Post Scorer,Helper
1628398,Kyle Kuzma,2018,LAL,PF,31.18,-1.126,0.102,-1.229,1.903,Shot Creator,Helper
1628400,Semi Ojeleye,2018,BOS,PF,15.755,-3.399,-2.999,-0.4,-0.792,Stationary Shooter,Helper
1628404,Josh Hart,2018,LAL,SG,23.182,-0.783,-0.316,-0.467,1.491,Movement Shooter,Wing Stopper
1628407,Dwayne Bacon,2018,CHO,SG,13.452,-2.389,-2.55,0.161,-0.027,Secondary Ball Handler,Wing Stopper
1628409,Alec Peters,2018,PHO,PF,11.243,-0.387,0.101,-0.488,0.289,Off Screen Shooter,Low Activity
1628411,Wes Iwundu,2018,ORL,SF,16.455,-1.008,-1.52,0.512,0.889,Athletic Finisher,Chaser
1628412,Frank Mason Iii,2018,SAC,PG,18.922,-0.975,-0.893,-0.082,0.878,Slasher,Point of Attack
1628414,Sindarius Thornwell,2018,LAC,SG,15.832,-1.239,-1.775,0.535,0.829,Athletic Finisher,Wing Stopper
1628415,Dillon Brooks,2018,MEM,SF,28.657,-3.045,-1.966,-1.079,-1.086,Secondary Ball Handler,Wing Stopper
1628416,Tyler Dorsey,2018,ATL,SG,17.397,-2.187,-1.003,-1.183,0.092,Secondary Ball Handler,Low Activity
1628422,Damyean Dotson,2018,NYK,SG,10.772,-1.668,-0.672,-0.997,0.206,Off Screen Shooter,Low Activity
1628424,Kobi Simmons,2018,MEM,PG,20.097,-4.176,-2.138,-2.038,-0.757,Primary Ball Handler,Point of Attack
1628425,Sterling Brown,2018,MIL,SG,14.378,-2.195,-1.483,-0.713,0.069,Movement Shooter,Chaser
