nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
2544,Lebron James,2022,LAL,C,37.22,3.342,3.612,-0.27,7.657,Shot Creator,Helper
2546,Carmelo Anthony,2022,LAL,PF,25.99,-2.231,-0.229,-2.003,0.193,Versatile Big,Helper
2730,Dwight Howard,2022,LAL,C,16.179,0.28,-0.791,1.071,1.673,Roll + Cut Big,Anchor Big
2738,Andre Iguodala,2022,GSW,SF,19.446,1.23,-0.246,1.475,1.408,Stationary Shooter,Helper
2772,Trevor Ariza,2022,LAL,SF,19.263,-1.446,-1.183,-0.263,0.281,Movement Shooter,Wing Stopper
101108,Chris Paul,2022,PHO,PG,32.905,3.746,2.568,1.178,8.389,Primary Ball Handler,Low Activity
101150,Lou Williams,2022,ATL,PG,14.265,-1.582,-0.211,-1.371,0.416,Secondary Ball Handler,Low Activity
200746,Lamarcus Aldridge,2022,BRK,C,22.343,-0.557,-0.093,-0.463,1.241,Post Scorer,Mobile Big
200752,Rudy Gay,2022,UTA,PF,18.877,0.09,0.1,-0.011,1.661,Movement Shooter,Helper
200765,Rajon Rondo,2022,LAL/CLE,PG,17.897,-2.027,-1.504,-0.523,0.166,Primary Ball Handler,Chaser
200768,Kyle Lowry,2022,MIA,PG,33.859,2.067,0.556,1.511,6.125,Primary Ball Handler,Chaser
200782,P.J. Tucker,2022,MIA,PF,27.9,0.497,-0.882,1.379,3.691,Stationary Shooter,Wing Stopper
200794,Paul Millsap,2022,BRK/PHI,C,11.384,-0.763,-0.161,-0.602,0.394,Stretch Big,Mobile Big
201142,Kevin Durant,2022,BRK,PF,37.226,3.071,3.286,-0.216,7.175,Shot Creator,Wing Stopper
201143,Al Horford,2022,BOS,C,29.055,3.576,0.423,3.154,7.655,Versatile Big,Mobile Big
201144,Mike Conley,2022,UTA,PG,28.586,2.781,1.553,1.228,6.84,Primary Ball Handler,Point of Attack
201145,Jeff Green,2022,DEN,PF,24.653,-0.915,-0.743,-0.171,1.758,Versatile Big,Helper
201152,Thaddeus Young,2022,SAS/TOR,PF,16.254,-0.344,-1.182,0.838,1.115,Roll + Cut Big,Helper
201565,Derrick Rose,2022,NYK,PG,24.456,-0.751,0.468,-1.219,0.672,Primary Ball Handler,Point of Attack
201566,Russell Westbrook,2022,LAL,PG,34.332,-0.954,0.482,-1.435,2.478,Shot Creator,Chaser
201567,Kevin Love,2022,CLE,C,22.501,1.13,1.368,-0.239,3.782,Versatile Big,Helper
201568,Danilo Gallinari,2022,ATL,PF,25.335,-0.335,0.518,-0.852,2.216,Shot Creator,Low Activity
201569,Eric Gordon,2022,HOU,SG,29.289,-2.795,-0.802,-1.993,-0.415,Primary Ball Handler,Wing Stopper
201571,D.J. Augustin,2022,HOU/LAL,PG,16.059,-2.71,-0.995,-1.715,-0.172,Primary Ball Handler,Point of Attack
201572,Brook Lopez,2022,MIL,C,22.955,0.407,0.01,0.398,0.539,Stretch Big,Anchor Big
201577,Robin Lopez,2022,ORL,C,16.998,-1.613,-1.063,-0.55,0.307,Post Scorer,Anchor Big
201580,Javale Mcgee,2022,PHO,C,15.835,0.844,-0.607,1.451,2.446,Roll + Cut Big,Anchor Big
201586,Serge Ibaka,2022,LAC/MIL,C,16.253,-1.221,-1.77,0.549,0.661,Stretch Big,Anchor Big
201587,Nicolas Batum,2022,LAC,PF,24.788,0.561,-0.739,1.3,2.786,Movement Shooter,Wing Stopper
201588,George Hill,2022,MIL,PG,23.208,-0.632,-1.096,0.463,1.42,Primary Ball Handler,Point of Attack
201599,Deandre Jordan,2022,LAL/PHI,C,12.965,-1.017,-1.515,0.498,0.55,Athletic Finisher,Anchor Big
201609,Goran Dragic,2022,TOR/BRK,PG,23.687,-1.518,-1.203,-0.315,0.28,Primary Ball Handler,Chaser
201933,Blake Griffin,2022,BRK,C,17.109,-0.125,-0.361,0.236,1.4,Stretch Big,Mobile Big
201935,James Harden,2022,BRK/PHI,PG,37.226,2.521,3.12,-0.599,7.645,Shot Creator,Helper
201937,Ricky Rubio,2022,CLE,PG,28.537,1.028,0.349,0.68,2.14,Primary Ball Handler,Point of Attack
201939,Stephen Curry,2022,GSW,PG,34.55,4.467,3.735,0.732,9.641,Primary Ball Handler,Low Activity
201942,Demar Derozan,2022,CHI,PF,36.091,1.265,2.794,-1.53,6.468,Shot Creator,Low Activity
201949,James Johnson,2022,BRK,PF,19.214,-1.167,-0.83,-0.337,0.939,Athletic Finisher,Wing Stopper
201950,Jrue Holiday,2022,MIL,PG,32.949,2.99,2.064,0.926,7.626,Shot Creator,Point of Attack
201959,Taj Gibson,2022,NYK,C,18.187,-1.402,-2.532,1.131,0.603,Roll + Cut Big,Mobile Big
201961,Wayne Ellington,2022,LAL,SG,18.843,-1.931,-0.618,-1.313,0.242,Off Screen Shooter,Low Activity
201976,Patrick Beverley,2022,MIN,PG,25.444,1.799,1.346,0.453,3.985,Primary Ball Handler,Point of Attack
201980,Danny Green,2022,PHI,SF,21.828,-0.828,-1.991,1.164,1.362,Stationary Shooter,Wing Stopper
201988,Patty Mills,2022,BRK,SG,28.961,-1.765,0.51,-2.275,0.948,Movement Shooter,Chaser
202066,Garrett Temple,2022,NOP,SG,18.616,-2.31,-2.023,-0.288,0.063,Movement Shooter,Point of Attack
202083,Wesley Matthews,2022,MIL,SG,20.452,-2.159,-1.413,-0.747,0.153,Stationary Shooter,Wing Stopper
202324,Derrick Favors,2022,OKC,C,16.732,-0.699,-2.164,1.464,0.711,Roll + Cut Big,Anchor Big
