name,height_inches,wingspan_inches,relative
dangelo russell,75.25,81.75,6.5
dalano banton,81.0,82.25,1.25
dalen terry,78.0,84.75,6.75
dalton knecht,77.25,81.0,3.75
damian lillard,73.75,79.75,6.0
daniel gafford,81.25,86.5,5.25
dante exum,77.0,81.0,4.0
dario saric,81.5,82.0,0.5
dariq whitehead,77.75,82.25,4.5
darius garland,73.0,77.0,4.0
david roddy,76.5,83.5,7.0
davion mitchell,72.0,76.25,4.25
dayron sharpe,81.0,84.0,3.0
deaaron fox,74.0,78.5,4.5
deandre hunter,79.0,86.0,7.0
deanthony melton,74.25,80.5,6.25
deandre jordan,81.75,90.0,8.25
demar derozan,77.5,81.0,3.5
dean wade,81.0,82.0,1.0
deandre ayton,83.0,90.0,7.0
dejounte murray,76.0,82.0,6.0
delon wright,76.25,79.5,3.25
deni avdija,80.75,80.5,-0.25
dennis schroder,73.0,79.75,6.75
dereck lively ii,85.0,91.0,6.0
derrick jones jr.,78.0,84.0,6.0
derrick white,75.25,79.5,4.25
desmond bane,77.0,76.25,-0.75
devin booker,76.5,80.25,3.75
devin carter,74.25,80.75,6.5
devin vassell,77.0,82.0,5.0
dillon brooks,77.0,78.0,1.0
dillon jones,76.5,83.0,6.5
domantas sabonis,82.0,83.0,1.0
dominick barlow,80.75,87.0,6.25
donovan clingan,85.75,90.75,5.0
donovan mitchell,73.25,82.0,8.75
donte divincenzo,75.5,78.0,2.5
dorian finney-smith,78.5,83.75,5.25
doug mcdermott,78.25,81.25,3.0
draymond green,77.75,85.25,7.5
drew eubanks,81.0,83.0,2.0
duop reath,81.0,85.0,4.0
dyson daniels,78.0,82.5,4.5
e.j. liddell,77.5,83.75,6.25
emoni bates,80.25,81.0,0.75
eric gordon,74.0,81.0,7.0
evan mobley,83.0,88.0,5.0
franz wagner,81.0,83.5,2.5
fred vanvleet,72.0,74.0,2.0
gg jackson ii,80.25,83.5,3.25
gary harris,74.5,78.75,4.25
gary payton ii,74.0,80.0,6.0
gary trent jr.,76.25,80.75,4.5
georges niang,78.75,82.0,3.25
giannis antetokounmpo,83.0,87.0,4.0
goga bitadze,82.5,86.0,3.5
gradey dick,78.25,80.75,2.5
grant williams,77.75,81.75,4.0
grayson allen,75.0,79.25,4.25
guerschon yabusele,79.5,85.0,5.5
harrison barnes,79.0,83.25,4.25
harrison ingram,77.25,84.25,7.0
harry giles,83.0,87.0,4.0
haywood highsmith,77.0,83.5,7.0
herbert jones,78.0,84.25,6.25
immanuel quickley,74.0,80.25,6.25
isaac okoro,77.0,80.5,3.5
isaiah collier,74.5,76.75,2.25
isaiah hartenstein,83.5,86.25,2.75
isaiah jackson,81.5,86.25,4.75
isaiah joe,75.0,79.5,4.5
isaiah stewart,79.25,88.75,9.5
ivica zubac,83.5,88.0,4.5
jd davison,72.5,78.5,6.0
jt thor,80.5,87.25,6.75
ja morant,74.5,78.0,3.5
jakobe walter,76.25,82.0,5.75
jabari smith jr.,82.5,85.0,2.5
jabari walker,78.75,82.75,4.0
jaden hardy,75.5,81.0,5.5
jaden ivey,75.5,81.0,5.5
jaden mcdaniels,81.0,83.0,2.0
jaden springer,75.0,79.75,4.75
jae crowder,76.75,81.25,4.5
jaesean tate,76.0,80.0,4.0
jaime jaquez jr.,78.0,81.5,3.5
jake laravia,78.75,81.5,2.75
jakob poeltl,84.25,86.75,2.5
jalen brunson,73.0,76.0,3.0
jalen duren,82.25,89.0,6.75
jalen green,76.0,79.5,3.5
jalen hood-schifino,76.25,82.25,6.0
jalen johnson,79.75,84.25,4.5
jalen pickett,74.0,79.25,5.25
jalen smith,81.25,86.25,5.0
jalen suggs,75.5,77.5,2.0
jalen williams,76.5,86.25,9.75
jalen wilson,77.5,80.0,2.5
jamal murray,75.5,78.5,3.0
jamal shead,72.25,75.0,2.75
james harden,76.0,82.75,6.75
jarace walker,78.5,86.5,8.0
jared mccain,74.0,75.5,1.5
jaren jackson jr.,81.75,89.25,7.5
jarred vanderbilt,80.5,85.0,4.5
jarrett allen,81.0,89.25,8.25
jaxson hayes,82.25,87.5,5.25
jaylen brown,77.25,83.75,6.5
jaylen clark,76.0,81.0,5.0
jaylen wells,78.5,79.25,0.75
jaylin williams,80.75,85.0,4.25
jaylon tyson,77.5,80.0,2.5
jayson tatum,79.5,83.0,3.5
jeff green,79.0,85.25,6.25
jerami grant,78.5,86.75,8.25
jeremiah robinson-earl,79.75,81.75,2.0
jeremy sochan,80.5,83.75,3.25
jericho sims,82.0,87.0,5.0
jett howard,80.0,81.0,1.0
jevon carter,72.25,76.25,4.0
jimmy butler,78.0,79.5,1.5
jock landale,83.0,86.0,3.0
joe ingles,79.75,82.25,2.5
joel embiid,83.75,89.0,5.25
john collins,80.25,83.25,3.0
john konchar,76.75,80.0,3.25
johnny furphy,79.5,80.0,0.5
jonas valanciunas,83.0,89.0,6.0
jonathan isaac,82.5,85.0,2.5
jonathan kuminga,79.0,83.25,4.25
jonathan mogbo,78.25,86.0,7.75
jordan clarkson,75.25,80.0,4.75
jordan hawkins,76.25,78.75,2.5
jordan mclaughlin,71.0,76.5,5.5
jordan miller,76.5,83.75,7.25
jordan poole,75.5,78.75,3.25
jordan walsh,77.75,85.75,8.0
jose alvarado,71.0,73.0,2.0
josh christopher,75.25,81.25,6.0
josh giddey,80.0,79.5,-0.5
josh green,76.5,81.75,5.25
josh hart,75.75,80.25,4.5
josh minott,79.5,83.75,4.25
josh okogie,75.0,84.0,9.0
jrue holiday,75.25,79.0,3.75
julian champagnie,79.0,82.0,3.0
julian phillips,78.75,83.5,4.75
julian strawther,78.0,81.25,3.25
julius randle,79.75,84.0,4.25
jusuf nurkic,83.5,86.0,2.5
kj martin,78.0,79.25,1.25
karl-anthony towns,83.0,87.5,4.5
kawhi leonard,78.0,87.0,9.0
keegan murray,80.0,83.0,3.0
kelel ware,83.75,88.5,4.75
keldon johnson,76.75,81.25,4.5
kelly olynyk,82.75,81.75,-1.0
kelly oubre jr.,77.75,86.25,8.5
kenrich williams,78.0,79.25,1.25
kentavious caldwell-pope,76.5,80.0,3.5
keon ellis,75.5,80.5,5.0
keon johnson,75.5,79.25,3.75
kessler edwards,79.0,83.25,4.25
kevin durant,81.0,88.75,7.75
kevin huerter,78.25,79.5,1.25
kevin love,79.75,83.25,3.5
kevin mccullar jr.,77.25,81.0,3.75
kevon looney,80.0,87.5,7.5
keyonte george,76.0,78.0,2.0
khris middleton,78.75,82.75,4.0
klay thompson,77.75,81.0,3.25
kobe bufkin,76.25,79.75,3.5
kris dunn,75.0,81.0,6.0
kris murray,79.75,83.75,4.0
kristaps porzingis,86.5,90.0,3.5
kyle anderson,79.5,86.75,7.25
kyle filipowski,82.75,82.5,-0.25
kyle kuzma,80.0,79.0,-1.0
kyle lowry,71.75,74.0,2.25
kyrie irving,73.75,76.0,2.25
kyshawn george,79.0,82.25,3.25
lamelo ball,78.0,80.0,2.0
lamar stevens,77.75,81.0,3.25
landry shamet,76.0,78.75,2.75
larry nance jr.,79.5,85.5,6.0
lauri markkanen,83.0,83.0,0.0
lebron james,80.5,84.25,3.75
leonard miller,81.25,86.0,4.75
lonnie walker iv,75.75,82.5,6.75
lonzo ball,77.25,81.0,3.75
luguentz dort,74.75,80.5,5.75
luka doncic,78.5,83.0,4.5
luka garza,82.0,85.5,3.5
luke kennard,76.5,77.25,0.75
luke kornet,85.0,85.0,0.0
malaki branham,76.0,82.0,6.0
malcolm brogdon,75.75,82.5,6.75
malik beasley,75.5,79.0,3.5
malik monk,74.25,77.0,2.75
marjon beauchamp,77.25,84.75,7.5
marcus sasser,73.25,79.0,5.75
marcus smart,74.0,81.25,7.25
mark williams,84.0,90.5,6.5
markelle fultz,75.0,81.0,6.0
markieff morris,79.75,82.75,3.0
marvin bagley iii,82.5,84.0,1.5
mason plumlee,83.25,83.0,-0.25
matas buzelis,80.75,82.0,1.25
matisse thybulle,77.0,83.5,6.5
max christie,76.25,80.75,4.5
max strus,77.0,79.5,2.5
maxi kleber,81.25,82.75,1.5
maxwell lewis,78.25,84.0,5.75
michael porter jr.,81.75,84.0,2.25
mikal bridges,77.75,85.0,7.25
mike conley,71.0,77.75,6.75
miles bridges,77.25,81.5,4.25
miles mcbride,73.0,80.75,7.75
monte morris,73.25,76.0,2.75
moritz wagner,82.0,84.0,2.0
moses moody,76.5,84.75,8.25
mouhamed gueye,82.25,87.25,5.0
moussa diabate,81.25,86.5,5.25
myles turner,81.75,88.0,6.25
naji marshall,77.75,84.75,7.0
naz reid,80.75,87.25,6.5
neemias queta,82.75,88.25,5.5
nic claxton,82.0,86.5,4.5
nick richards,82.5,86.25,3.75
nick smith jr.,77.0,80.0,3.0
nickeil alexander-walker,76.25,81.5,5.25
nicolas batum,80.25,85.0,4.75
nikola jokic,83.5,87.0,3.5
nikola jovic,81.5,84.25,2.75
nikola vucevic,82.25,88.5,6.25
noah clowney,82.0,86.0,4.0
norman powell,75.0,82.75,7.75
og anunoby,78.25,86.25,8.0
obi toppin,80.75,86.0,5.25
ochai agbaji,76.5,82.25,5.75
olivier-maxence prosper,78.75,85.0,6.25
onyeka okongwu,80.25,86.0,5.75
orlando robinson,82.0,88.0,6.0
oscar tshiebwe,79.25,87.5,8.25
oso ighodaro,81.5,83.0,1.5
ousmane dieng,81.5,84.0,2.5
p.j. tucker,76.5,83.5,7.0
p.j. washington,78.5,86.5,8.0
pacome dadiet,79.5,81.0,1.5
paolo banchero,81.0,84.5,3.5
pascal siakam,80.25,87.25,7.0
pat connaughton,76.0,80.0,4.0
patrick baldwin jr.,81.25,85.75,4.5
patrick williams,79.0,83.0,4.0
patty mills,71.25,74.0,2.75
paul george,79.75,83.25,3.5
paul reed,81.0,85.5,4.5
payton pritchard,73.0,76.0,3.0
peyton watson,78.75,84.5,5.75
precious achiuwa,79.5,84.75,5.25
quentin grimes,76.0,79.75,3.75
rj barrett,77.0,82.0,5.0
reed sheppard,73.75,75.25,1.5
richaun holmes,80.25,85.5,5.25
rob dillingham,73.0,75.0,2.0
robert williams,80.0,89.5,9.5
ron holland,78.5,82.75,4.25
royce oneale,76.0,81.0,5.0
rudy gobert,84.5,92.5,8.0
rui hachimura,79.75,86.0,6.25
russell westbrook,74.25,79.75,5.5
ryan dunn,78.25,85.5,7.25
ryan rollins,74.0,81.75,7.75
sam hauser,78.75,81.25,2.5
sam merrill,75.5,77.0,1.5
sandro mamukelashvili,81.0,85.25,4.25
santi aldama,82.75,83.0,0.25
scoot henderson,74.0,81.0,7.0
scottie barnes,79.0,86.75,7.75
seth curry,73.0,76.0,3.0
shaedon sharpe,76.25,83.5,7.25
shai gilgeous-alexander,76.5,83.5,7.0
shake milton,76.5,84.75,8.25
sidy cissoko,77.5,81.75,4.25
spencer dinwiddie,76.5,80.25,3.75
stephen curry,74.0,75.5,1.5
stephon castle,77.5,81.0,3.5
steven adams,82.75,88.5,5.75
svi mykhailiuk,78.5,77.0,-1.5
t.j. mcconnell,72.5,74.0,1.5
talen horton-tucker,74.5,85.25,10.75
tari eason,78.75,86.0,7.25
taurean prince,78.5,83.5,5.0
taylor hendricks,80.25,84.5,4.25
terance mann,76.75,79.75,3.0
terrence shannon jr.,77.75,80.75,3.0
terry rozier,72.5,80.25,7.75
terry taylor,76.75,83.5,6.75
thomas bryant,81.5,90.0,8.5
tidjane salaun,81.0,84.75,3.75
tim hardaway jr.,76.5,79.0,2.5
tobias harris,78.5,83.0,4.5
toumani camara,79.0,84.5,5.5
trae young,72.5,75.0,2.5
trayce jackson-davis,80.25,85.0,4.75
tre jones,73.0,76.0,3.0
tre mann,75.25,76.0,0.75
trendon watford,79.5,86.25,6.75
trey lyles,81.0,85.5,4.5
trey murphy iii,79.5,84.0,4.5
tristan da silva,80.25,82.25,2.0
ty jerome,76.25,76.0,-0.25
tyty washington jr.,74.25,80.0,5.75
tyler herro,76.5,75.25,-1.25
tyler kolek,73.25,74.75,1.5
tyler smith,81.0,85.0,4.0
tyrese haliburton,76.75,79.75,3.0
tyrese maxey,74.0,79.0,5.0
tyus jones,72.5,77.0,4.5
vasilije micic,76.0,79.0,3.0
victor wembanyama,88.0,96.0,8.0
vince williams jr.,76.0,83.0,7.0
vlatko cancar,79.75,83.0,3.25
walker kessler,84.25,88.25,4.0
wendell carter jr.,80.75,88.5,7.75
wendell moore jr.,76.25,84.75,8.5
xavier tillman sr.,79.5,86.0,6.5
yves missi,82.75,86.0,3.25
zaccharie risacher,80.25,82.5,2.25
zach collins,82.25,85.0,2.75
zach edey,87.75,94.75,7.0
zach lavine,76.5,80.25,3.75
zeke nnaji,81.25,86.0,4.75
ziaire williams,80.25,82.25,2.0
zion williamson,77.75,82.5,4.75
