name,height_inches,wingspan_inches,relative
ryan kalkbrenner,85.0,90.0,5.0
tyrese maxey,74.0,79.0,5.0
donovan clingan,85.75,90.75,5.0
andrew wiggins,79.0,84.0,5.0
rj barrett,77.0,82.0,5.0
royce oneale,76.0,81.0,5.0
keon ellis,75.5,80.5,5.0
jalen smith,81.25,86.25,5.0
brice sensabaugh,78.0,83.0,5.0
kelel ware,83.75,88.5,4.75
jordan clarkson,75.25,80.0,4.75
trayce jackson-davis,80.25,85.0,4.75
zion williamson,77.75,82.5,4.75
zeke nnaji,81.25,86.0,4.75
julian phillips,78.75,83.5,4.75
bradley beal,75.25,80.0,4.75
nicolas batum,80.25,85.0,4.75
isaiah jackson,81.5,86.25,4.75
al horford,80.0,84.75,4.75
leonard miller,81.25,86.0,4.75
jalen johnson,79.75,84.25,4.5
luka doncic,78.5,83.0,4.5
bennedict mathurin,76.5,81.0,4.5
nic claxton,82.0,86.5,4.5
keldon johnson,76.75,81.25,4.5
max christie,76.25,80.75,4.5
dyson daniels,78.0,82.5,4.5
jarred vanderbilt,80.5,85.0,4.5
tyus jones,72.5,77.0,4.5
deaaron fox,74.0,78.5,4.5
paul reed,81.0,85.5,4.5
gary trent jr.,76.25,80.75,4.5
bobby portis,81.5,86.0,4.5
ivica zubac,83.5,88.0,4.5
tobias harris,78.5,83.0,4.5
alex sarr,83.75,88.25,4.5
trey murphy iii,79.5,84.0,4.5
josh hart,75.75,80.25,4.5
karl-anthony towns,83.0,87.5,4.5
isaiah joe,75.0,79.5,4.5
taylor hendricks,80.25,84.5,4.25
aaron gordon,79.5,83.75,4.25
derrick white,75.25,79.5,4.25
john tonje,76.75,81.0,4.25
caris levert,77.75,82.0,4.25
sandro mamukelashvili,81.0,85.25,4.25
sidy cissoko,77.5,81.75,4.25
cooper flagg,79.75,84.0,4.25
miles bridges,77.25,81.5,4.25
julius randle,79.75,84.0,4.25
josh minott,79.5,83.75,4.25
daron holmes ii,80.75,85.0,4.25
bub carrington,75.75,80.0,4.25
ronald holland ii,78.5,82.75,4.25
aj johnson,76.25,80.5,4.25
gary harris,74.5,78.75,4.25
davion mitchell,72.0,76.25,4.25
jonathan kuminga,79.0,83.25,4.25
grayson allen,75.0,79.25,4.25
andre jackson jr.,77.5,81.75,4.25
harrison barnes,79.0,83.25,4.25
jaylin williams,80.75,85.0,4.25
dante exum,77.0,81.0,4.0
noah clowney,82.0,86.0,4.0
khris middleton,78.75,82.75,4.0
jabari walker,78.75,82.75,4.0
kris murray,79.75,83.75,4.0
jaesean tate,76.0,80.0,4.0
darius garland,73.0,77.0,4.0
jevon carter,72.25,76.25,4.0
saddiq bey,79.0,83.0,4.0
duop reath,81.0,85.0,4.0
grant williams,77.75,81.75,4.0
tyler smith,81.0,85.0,4.0
patrick williams,79.0,83.0,4.0
giannis antetokounmpo,83.0,87.0,4.0
pat connaughton,76.0,80.0,4.0
walker kessler,84.25,88.25,4.0
cj mccollum,74.25,78.25,4.0
zach lavine,76.5,80.25,3.75
jrue holiday,75.25,79.0,3.75
javon small,73.0,76.75,3.75
quentin grimes,76.0,79.75,3.75
tidjane salaun,81.0,84.75,3.75
kevin mccullar jr.,77.25,81.0,3.75
lebron james,80.5,84.25,3.75
nick richards,82.5,86.25,3.75
dalton knecht,77.25,81.0,3.75
devin booker,76.5,80.25,3.75
lonzo ball,77.25,81.0,3.75
paul george,79.75,83.25,3.5
