,name,height_inches,wingspan_inches,relative
0,Kenny Adeleke,78.5,82.25,3.75
1,Maurice Ager,75.25,79.75,4.5
2,LaMarcus Aldridge,82.0,88.75,6.75
3,Morris Almond,76.75,82.0,5.25
4,Lou Amundson,79.2,83.5,4.299999999999997
5,Rashad Anderson,75.25,79.0,3.75
6,Hilton Armstrong,81.5,88.0,6.5
7,James Augustine,80.25,84.25,4.0
8,Renaldo Balkman,77.25,85.0,7.75
9,J.P. Batista,79.5,82.0,2.5
10,Will Blalock,71.25,78.0,6.75
11,Brandon Bowman,78.75,83.5,4.75
12,Ronnie Brewer,77.75,83.25,5.5
13,Denham Brown,76.0,81.5,5.5
14,Brad Buckman,79.25,84.0,4.75
15,Nik Caner-Medley,78.5,81.0,2.5
16,Rodney Carney,76.5,82.0,5.5
17,Keydren Clark,69.0,74.5,5.5
18,Mardy Collins,76.25,82.0,5.75
19,Taquan Dean,74.0,78.75,4.75
20,Terence Dials,79.75,84.0,4.25
21,Sean Dockery,72.75,76.5,3.75
22,Jordan Farmar,72.75,75.0,2.25
23,Randy Foye,74.25,78.25,4.0
24,Torin Francis,81.0,85.0,4.0
25,Rudy Gay,79.0,87.0,8.0
26,Nick George,76.0,82.0,6.0
27,Taj Gray,79.25,84.75,5.5
28,Dan Grunfeld,76.75,78.25,1.5
29,Matt Haryasz,81.75,84.25,2.5
30,Eric Hicks,76.75,85.5,8.75
31,Tedric Hill,79.75,85.0,5.25
32,Daniel Horton,72.5,79.0,6.5
33,Solomon Jones,80.5,88.75,8.25
34,Bobby Jones,77.75,81.5,3.75
35,Viktor Keyru,77.25,81.25,4.0
36,Marco Killingsworth,77.5,87.0,9.5
37,Tarence Kinsey,76.75,78.75,2.0
38,Carl Krauser,71.75,78.25,6.5
39,Chris McCray,75.0,77.75,2.75
40,Gerry McNamara,71.75,72.75,1.0
41,Pops Mensah-Bonsu,79.5,84.0,4.5
42,Paul Miller,80.5,84.0,3.5
43,Paul Millsap,78.25,85.5,7.25
44,Dwayne Mitchell,74.0,78.5,4.5
45,Adam Morrison,78.5,82.0,3.5
46,Yemi Nicholson,79.75,88.25,8.5
47,David Noel,76.5,81.5,5.0
48,Steve Novak,80.0,81.5,1.5
49,Patrick O'Bryant,83.0,89.75,6.75
50,Danilo Pinnock,74.75,79.5,4.75
51,Chris Quinn,72.5,77.0,4.5
52,Allan Ray,73.0,80.5,7.5
53,JJ Redick,76.0,75.25,-0.75
54,Antywane Robinson,78.25,86.5,8.25
55,Brandon Roy,77.25,80.0,2.75
56,Blake Schilb,77.25,80.75,3.5
57,Mouhamed Sene,83.0,92.5,9.5
58,Cedric Simmons,80.25,88.25,8.0
59,Marcus Slaughter,79.0,83.5,4.5
60,Craig Smith,77.5,81.5,4.0
61,Steven Smith,79.5,84.5,5.0
62,Michael Southhall,81.5,88.25,6.75
63,Frans Steyn,85.25,86.25,1.0
64,Curtis Stinson,73.75,77.0,3.25
65,Tyrus Thomas,79.25,87.0,7.75
66,Joah Tucker,75.75,78.5,2.75
67,Ian Vouyoukas,80.5,84.75,4.25
68,Darius Washington,71.5,76.0,4.5
69,CJ Watson,72.5,78.0,5.5
70,Eric Williams,79.25,88.25,9.0
71,Shelden Williams,79.5,88.25,8.75
72,Shawne Williams,79.25,87.0,7.75
73,Marcus Williams,74.0,79.0,5.0
74,Justin Williams,79.25,85.5,6.25
75,Curtis Withers,78.0,82.0,4.0
76,Jeff Adrien,77.25,86.0,8.75
77,Jeff Ayres,80.75,85.0,4.25
78,Rodrigue Beaubois,73.25,81.75,8.5
