,name,height_inches,wingspan_inches,relative
0,AJ Johnson,76.25,80.5,4.25
1,Aaron Gordon,79.5,83.75,4.25
2,Aaron Holiday,71.75,79.5,7.75
3,Aaron Nesmith,77.0,82.0,5.0
4,Aaron Wiggins,76.5,81.75,5.25
5,Adem Bona,80.25,87.75,7.5
6,Ajay Mitchell,75.25,78.25,3.0
7,Al Horford,80.0,84.75,4.75
8,Alec Burks,77.0,82.0,5.0
9,Alex Caruso,76.0,78.0,2.0
10,Alex Len,83.5,87.5,4.0
11,Alex Sarr,83.75,88.25,4.5
12,Alperen Şengün,82.0,84.5,2.5
13,Amen Thompson,77.75,84.0,6.25
14,Amir Coffey,78.75,79.25,0.5
15,Andre Drummond,81.75,90.25,8.5
16,Andre Jackson Jr.,77.5,81.75,4.25
17,Andrew Nembhard,75.0,77.75,2.75
18,Andrew Wiggins,79.0,84.0,5.0
19,Anfernee Simons,74.25,81.25,7.0
20,Anthony Black,77.75,79.5,1.75
21,Anthony Davis,81.25,89.5,8.25
22,Anthony Edwards,75.0,81.0,6.0
23,Anthony Gill,79.5,83.0,3.5
24,Anton Watson,79.0,84.0,5.0
25,Ausar Thompson,77.75,84.0,6.25
26,Austin Reaves,76.5,78.25,1.75
27,Ayo Dosunmu,75.5,82.25,6.75
28,Bam Adebayo,80.75,86.75,6.0
29,Baylor Scheierman,78.25,80.25,2.0
30,Ben Sheppard,77.25,79.75,2.5
31,Ben Simmons,81.0,84.5,3.5
32,Bennedict Mathurin,76.5,81.0,4.5
33,Bilal Coulibaly,78.0,86.5,8.5
34,Blake Wesley,75.0,81.25,6.25
35,Bobby Portis,81.5,86.0,4.5
36,Bobi Klintman,80.75,83.0,2.25
37,Bogdan Bogdanović,77.5,83.0,5.5
38,Bol Bol,84.75,91.0,6.25
39,Bones Hyland,74.0,81.5,7.5
40,Bradley Beal,75.25,80.0,4.75
41,Brandin Podziemski,75.75,77.5,1.75
42,Brandon Boston Jr.,77.75,82.75,5.0
43,Brandon Clarke,79.25,80.25,1.0
44,Brandon Ingram,79.0,87.0,8.0
45,Brandon Miller,81.0,83.5,2.5
46,Brice Sensabaugh,78.0,83.0,5.0
47,Bronny James,73.5,79.25,5.75
48,Brook Lopez,83.25,89.5,6.25
49,Bruce Brown,75.25,81.0,5.75
50,Bryce McGowens,77.25,80.75,3.5
51,Bub Carrington,75.75,80.0,4.25
52,Buddy Hield,75.75,81.25,5.5
53,CJ McCollum,74.25,78.25,4.0
54,Cade Cunningham,78.0,84.25,6.25
55,Caleb Houstan,79.5,83.0,3.5
56,Caleb Martin,76.0,82.25,6.25
57,Cam Christie,76.5,80.0,3.5
58,Cam Reddish,78.5,84.5,6.0
59,Cam Spencer,75.0,77.0,2.0
60,Cam Thomas,75.0,78.5,3.5
61,Cam Whitmore,77.75,80.5,2.75
62,Cameron Johnson,79.0,82.0,3.0
63,Cameron Payne,72.75,79.25,6.5
64,Caris LeVert,77.75,82.0,4.25
65,Cason Wallace,74.5,80.5,6.0
66,Charles Bassey,81.0,87.5,6.5
67,Chet Holmgren,84.0,90.0,6.0
68,Chris Boucher,80.0,88.0,8.0
69,Chris Paul,73.0,76.0,3.0
70,Christian Braun,77.5,78.5,1.0
71,Christian Koloko,82.75,89.25,6.5
72,Clint Capela,82.0,88.5,6.5
73,Coby White,75.5,77.0,1.5
74,Cody Martin,76.75,82.25,5.5
75,Cody Williams,78.5,85.0,6.5
76,Colby Jones,76.5,80.0,3.5
77,Cole Anthony,74.0,76.5,2.5
78,Cole Swider,81.0,83.0,2.0
79,Collin Sexton,72.5,79.25,6.75
80,Corey Kispert,78.0,79.0,1.0
81,Cory Joseph,74.0,77.5,3.5
82,Craig Porter Jr.,73.0,76.0,3.0
83,D'Angelo Russell,75.25,81.75,6.5
84,Dalano Banton,81.0,82.25,1.25
85,Dalen Terry,78.0,84.75,6.75
86,Dalton Knecht,77.25,81.0,3.75
87,Damian Lillard,73.75,79.75,6.0
88,Daniel Gafford,81.25,86.5,5.25
89,Dante Exum,77.0,81.0,4.0
90,Dario Šarić,81.5,82.0,0.5
91,Dariq Whitehead,77.75,82.25,4.5
92,Darius Garland,73.0,77.0,4.0
93,David Roddy,76.5,83.5,7.0
94,Davion Mitchell,72.0,76.25,4.25
95,Day'Ron Sharpe,81.0,84.0,3.0
96,De'Aaron Fox,74.0,78.5,4.5
97,De'Andre Hunter,79.0,86.0,7.0
98,De'Anthony Melton,74.25,80.5,6.25
99,DeAndre Jordan,81.75,90.0,8.25
100,DeMar DeRozan,77.5,81.0,3.5
101,Dean Wade,81.0,82.0,1.0
102,Deandre Ayton,83.0,90.0,7.0
103,Dejounte Murray,76.0,82.0,6.0
104,Delon Wright,76.25,79.5,3.25
105,Deni Avdija,80.75,80.5,-0.25
106,Dennis Schröder,73.0,79.75,6.75
107,Dereck Lively II,85.0,91.0,6.0
108,Derrick Jones Jr.,78.0,84.0,6.0
109,Derrick White,75.25,79.5,4.25
110,Desmond Bane,77.0,76.25,-0.75
111,Devin Booker,76.5,80.25,3.75
112,Devin Carter,74.25,80.75,6.5
113,Devin Vassell,77.0,82.0,5.0
114,Dillon Brooks,77.0,78.0,1.0
115,Dillon Jones,76.5,83.0,6.5
116,Domantas Sabonis,82.0,83.0,1.0
117,Dominick Barlow,80.75,87.0,6.25
118,Donovan Clingan,85.75,90.75,5.0
119,Donovan Mitchell,73.25,82.0,8.75
120,Donte DiVincenzo,75.5,78.0,2.5
121,Dorian Finney-Smith,78.5,83.75,5.25
122,Doug McDermott,78.25,81.25,3.0
123,Draymond Green,77.75,85.25,7.5
124,Drew Eubanks,81.0,83.0,2.0
125,Duop Reath,81.0,85.0,4.0
126,Dyson Daniels,78.0,82.5,4.5
127,E.J. Liddell,77.5,83.75,6.25
128,Emoni Bates,80.25,81.0,0.75
129,Eric Gordon,74.0,81.0,7.0
130,Evan Mobley,83.0,88.0,5.0
131,Franz Wagner,81.0,83.5,2.5
132,Fred VanVleet,72.0,74.0,2.0
133,GG Jackson II,80.25,83.5,3.25
134,Gary Harris,74.5,78.75,4.25
135,Gary Payton II,74.0,80.0,6.0
136,Gary Trent Jr.,76.25,80.75,4.5
137,Georges Niang,78.75,82.0,3.25
138,Giannis Antetokounmpo,83.0,87.0,4.0
139,Goga Bitadze,82.5,86.0,3.5
140,Gradey Dick,78.25,80.75,2.5
141,Grant Williams,77.75,81.75,4.0
142,Grayson Allen,75.0,79.25,4.25
143,Guerschon Yabusele,79.5,85.0,5.5
144,Harrison Barnes,79.0,83.25,4.25
145,Harrison Ingram,77.25,84.25,7.0
146,Harry Giles ,83.0,87.0,4.0
147,Haywood Highsmith,77.0,83.5,6.5
148,Herbert Jones,78.0,84.25,6.25
149,Immanuel Quickley,74.0,80.25,6.25
150,Isaac Okoro,77.0,80.5,3.5
151,Isaiah Collier,74.5,76.75,2.25
152,Isaiah Hartenstein,83.5,86.25,2.75
153,Isaiah Jackson,81.5,86.25,4.75
