,name,height_inches,wingspan_inches,relative
143,Darren Collison,72.25,75.0,2.75
144,Dante Cunningham,79.0,83.0,4.0
145,Stephen Curry,74.0,75.5,1.5
146,Austin Daye,81.75,86.75,5.0
147,DeMar DeRozan,77.5,81.0,3.5
148,Toney Douglas,73.0,78.0,5.0
149,Wayne Ellington,76.25,78.5,2.25
150,Tyreke Evans,76.0,83.25,7.25
151,Jonny Flynn,71.25,76.0,4.75
152,Taj Gibson,80.5,88.0,7.5
153,Danny Green,77.25,82.0,4.75
154,Blake Griffin,80.5,83.25,2.75
155,Tyler Hansbrough,80.25,83.5,3.25
156,James Harden,76.0,82.75,6.75
157,Gerald Henderson,76.0,82.25,6.25
158,Josh Heytvelt,82.0,85.25,3.25
159,Jordan Hill,81.25,85.5,4.25
160,Jrue Holiday,75.25,79.0,3.75
161,Joe Ingles,79.75,82.25,2.5
162,James Johnson,79.0,84.75,5.75
163,Ty Lawson,71.25,72.75,1.5
164,Eric Maynor,74.25,74.5,0.25
165,Jack McClinton,71.75,74.5,2.75
166,Jerel McNeal,73.5,79.25,5.75
167,Jodie Meeks,75.0,76.5,1.5
168,Patty Mills,71.25,74.0,2.75
169,Byron Mullens,83.75,85.5,1.75
170,A.J. Price,72.5,75.75,3.25
171,Tyler Smith,77.25,81.75,4.5
172,DaJuan Summers,79.25,84.75,5.5
173,Jermaine Taylor,75.5,80.75,5.25
174,Jeff Teague,72.25,79.5,7.25
175,Hasheem Thabeet,85.25,90.25,5.0
176,Marcus Thornton,74.75,77.0,2.25
177,Terrence Williams,77.0,81.0,4.0
178,Sam Young,77.25,82.75,5.5
179,Kenny Adeleke,78.5,82.25,3.75
180,Maurice Ager,75.25,79.75,4.5
181,LaMarcus Aldridge,82.0,88.75,6.75
182,Morris Almond,76.75,82.0,5.25
183,Lou Amundson,79.2,83.5,4.299999999999997
184,Rashad Anderson,75.25,79.0,3.75
185,Hilton Armstrong,81.5,88.0,6.5
186,James Augustine,80.25,84.25,4.0
187,Renaldo Balkman,77.25,85.0,7.75
188,J.P. Batista,79.5,82.0,2.5
189,Will Blalock,71.25,78.0,6.75
190,Brandon Bowman,78.75,83.5,4.75
191,Ronnie Brewer,77.75,83.25,5.5
192,Denham Brown,76.0,81.5,5.5
193,Brad Buckman,79.25,84.0,4.75
194,Nik Caner-Medley,78.5,81.0,2.5
195,Rodney Carney,76.5,82.0,5.5
196,Keydren Clark,69.0,74.5,5.5
197,Mardy Collins,76.25,82.0,5.75
198,Taquan Dean,74.0,78.75,4.75
199,Terence Dials,79.75,84.0,4.25
