,name,height_inches,wingspan_inches,relative
57,Charles Bassey,81.0,87.5,7.0
58,Eric Gordon,74.0,81.0,7.0
59,Anfernee Simons,74.25,81.25,7.0
60,Naji Marshall,77.75,84.75,7.0
61,Vince Williams Jr.,76.0,83.0,7.0
62,Zach Edey,87.75,94.75,7.0
63,Haywood Highsmith,77.0,83.5,7.0
64,Mike Conley,71.0,77.75,6.75
65,Trendon Watford,79.5,86.25,6.75
66,Dalen Terry,78.0,84.75,6.75
67,Thanasis Antetokounmpo,77.25,84.0,6.75
68,James Harden,76.0,82.75,6.75
69,Drake Powell,77.25,84.0,6.75
70,Dennis Schröder,73.0,79.75,6.75
71,Collin Sexton,72.5,79.25,6.75
72,Jalen Duren,82.25,89.0,6.75
73,Ayo Dosunmu,75.5,82.25,6.75
74,D'Angelo Russell,75.25,81.75,6.5
75,Devin Carter,74.25,80.75,6.5
76,Dillon Jones,76.5,83.0,6.5
77,Clint Capela,82.0,88.5,6.5
78,Jaylen Brown,77.25,83.75,6.5
79,Christian Koloko,82.75,89.25,6.5
80,Cody Williams,78.5,85.0,6.5
81,Xavier Tillman,79.5,86.0,6.5
82,Naz Reid,80.75,87.25,6.5
83,Mark Williams,84.0,90.5,6.5
84,Matisse Thybulle,77.0,83.5,6.5
85,Jamir Watkins,77.0,83.25,6.25
86,Myles Turner,81.75,88.0,6.25
87,Amen Thompson,77.75,84.0,6.25
88,Ausar Thompson,77.75,84.0,6.25
89,Blake Wesley,75.0,81.25,6.25
90,De'Anthony Melton,74.25,80.5,6.25
91,Dominick Barlow,80.75,87.0,6.25
92,Caleb Martin,76.0,82.25,6.25
93,Herbert Jones,78.0,84.25,6.25
94,E.J. Liddell,77.5,83.75,6.25
95,Collin Murray-Boyles,78.5,84.75,6.25
96,Rui Hachimura,79.75,86.0,6.25
97,Hunter Sallis,75.75,82.0,6.25
98,Immanuel Quickley,74.0,80.25,6.25
99,Nikola Vučević,82.25,88.5,6.25
100,Cade Cunningham,78.0,84.25,6.25
101,Jeff Green,79.0,85.25,6.25
102,Brook Lopez,83.25,89.5,6.25
103,Olivier-Maxence Prosper,78.75,85.0,6.25
104,Malaki Branham,76.0,82.0,6.0
105,Larry Nance Jr.,79.5,85.5,6.0
106,Orlando Robinson,82.0,88.0,6.0
107,Anthony Edwards,75.0,81.0,6.0
108,Dereck Lively II,85.0,91.0,6.0
109,Chet Holmgren,84.0,90.0,6.0
110,Alijah Martin,73.5,79.5,6.0
111,Dylan Harper,76.5,82.5,6.0
112,Khaman Maluach,84.75,90.75,6.0
113,Derrick Jones Jr.,78.0,84.0,6.0
114,Bam Adebayo,80.75,86.75,6.0
115,Jonas Valančiūnas,83.0,89.0,6.0
116,Cason Wallace,74.5,80.5,6.0
117,Gary Payton II,74.0,80.0,6.0
118,Dejounte Murray,76.0,82.0,6.0
119,Damian Lillard,73.75,79.75,6.0
120,JD Davison,72.5,78.5,6.0
121,Kris Dunn,75.0,81.0,6.0
122,Onyeka Okongwu,80.25,86.0,5.75
123,Danny Wolf,80.5,86.25,5.75
124,Adou Thiero,78.25,84.0,5.75
125,TyTy Washington Jr.,74.25,80.0,5.75
126,Steven Adams,82.75,88.5,5.75
127,Peyton Watson,78.75,84.5,5.75
128,Bruce Brown,75.25,81.0,5.75
129,Ochai Agbaji,76.5,82.25,5.75
130,Ja'Kobe Walter,76.25,82.0,5.75
131,Luguentz Dort,74.75,80.5,5.75
132,Bronny James,73.5,79.25,5.75
133,Marcus Sasser,73.25,79.0,5.75
134,Neemias Queta,82.75,88.25,5.5
135,Russell Westbrook,74.25,79.75,5.5
136,Guerschon Yabusele,79.5,85.0,5.5
137,Tre Johnson,76.75,82.25,5.5
138,Toumani Camara,79.0,84.5,5.5
139,Jase Richardson,72.5,78.0,5.5
140,Jaden Hardy,75.5,81.0,5.5
141,Jaden Ivey,75.5,81.0,5.5
142,Bogdan Bogdanović,77.5,83.0,5.5
143,Jordan McLaughlin,71.0,76.5,5.5
144,Buddy Hield,75.75,81.25,5.5
145,Jalen Pickett,74.0,79.25,5.25
146,Dorian Finney-Smith,78.5,83.75,5.25
147,Jaxson Hayes,82.25,87.5,5.25
148,Joel Embiid,83.75,89.0,5.25
149,Josh Green,76.5,81.75,5.25
150,Aaron Wiggins,76.5,81.75,5.25
151,Moussa Diabaté,81.25,86.5,5.25
152,Nickeil Alexander-Walker,76.25,81.5,5.25
153,Obi Toppin,80.75,86.0,5.25
154,Precious Achiuwa,79.5,84.75,5.25
155,Daniel Gafford,81.25,86.5,5.25
156,Carter Bryant,78.5,83.75,5.25
157,Chaz Lanier,75.75,81.0,5.25
158,Taurean Prince,78.5,83.5,5.0
159,Nolan Traore,75.0,80.0,5.0
160,Evan Mobley,83.0,88.0,5.0
161,Ace Bailey,79.5,84.5,5.0
162,Colin Castleton,83.0,87.5,5.0
163,Jericho Sims,82.0,87.0,5.0
164,Jaylen Clark,76.0,81.0,5.0
165,Aaron Nesmith,77.0,82.0,5.0
166,Devin Vassell,77.0,82.0,5.0
167,Mouhamed Gueye,82.25,87.25,5.0
168,Ryan Kalkbrenner,85.0,90.0,5.0
169,Tyrese Maxey,74.0,79.0,5.0
170,Donovan Clingan,85.75,90.75,5.0
171,Andrew Wiggins,79.0,84.0,5.0
172,RJ Barrett,77.0,82.0,5.0
173,Royce O'Neale,76.0,81.0,5.0
174,Keon Ellis,75.5,80.5,5.0
175,Jalen Smith,81.25,86.25,5.0
176,Brice Sensabaugh,78.0,83.0,5.0
177,Kel'el Ware,83.75,88.5,4.75
178,Jordan Clarkson,75.25,80.0,4.75
179,Trayce Jackson-Davis,80.25,85.0,4.75
180,Zion Williamson,77.75,82.5,4.75
181,Zeke Nnaji,81.25,86.0,4.75
182,Julian Phillips,78.75,83.5,4.75
183,Bradley Beal,75.25,80.0,4.75
184,Nicolas Batum,80.25,85.0,4.75
185,Isaiah Jackson,81.5,86.25,4.75
186,Al Horford,80.0,84.75,4.75
187,Leonard Miller,81.25,86.0,4.75
188,Jalen Johnson,79.75,84.25,4.5
189,Luka Dončić,78.5,83.0,4.5
190,Bennedict Mathurin,76.5,81.0,4.5
191,Nic Claxton,82.0,86.5,4.5
192,Keldon Johnson,76.75,81.25,4.5
193,Max Christie,76.25,80.75,4.5
194,Dyson Daniels,78.0,82.5,4.5
195,Jarred Vanderbilt,80.5,85.0,4.5
196,Tyus Jones,72.5,77.0,4.5
197,De'Aaron Fox,74.0,78.5,4.5
198,Paul Reed,81.0,85.5,4.5
199,Gary Trent Jr.,76.25,80.75,4.5
200,Bobby Portis,81.5,86.0,4.5
201,Ivica Zubac,83.5,88.0,4.5
202,Tobias Harris,78.5,83.0,4.5
203,Alex Sarr,83.75,88.25,4.5
204,Trey Murphy III,79.5,84.0,4.5
205,Josh Hart,75.75,80.25,4.5
206,Karl-Anthony Towns,83.0,87.5,4.5
207,Isaiah Joe,75.0,79.5,4.5
208,Taylor Hendricks,80.25,84.5,4.25
209,Aaron Gordon,79.5,83.75,4.25
210,Derrick White,75.25,79.5,4.25
211,John Tonje,76.75,81.0,4.25
212,Caris LeVert,77.75,82.0,4.25
213,Sandro Mamukelashvili,81.0,85.25,4.25
214,Sidy Cissoko,77.5,81.75,4.25
215,Cooper Flagg,79.75,84.0,4.25
216,Miles Bridges,77.25,81.5,4.25
217,Julius Randle,79.75,84.0,4.25
218,Josh Minott,79.5,83.75,4.25
219,DaRon Holmes II,80.75,85.0,4.25
220,Bub Carrington,75.75,80.0,4.25
221,Ronald Holland II,78.5,82.75,4.25
222,AJ Johnson,76.25,80.5,4.25
223,Gary Harris,74.5,78.75,4.25
224,Davion Mitchell,72.0,76.25,4.25
225,Jonathan Kuminga,79.0,83.25,4.25
226,Grayson Allen,75.0,79.25,4.25
227,Andre Jackson Jr.,77.5,81.75,4.25
228,Harrison Barnes,79.0,83.25,4.25
229,Jaylin Williams,80.75,85.0,4.25
230,Danté Exum,77.0,81.0,4.0
231,Noah Clowney,82.0,86.0,4.0
232,Khris Middleton,78.75,82.75,4.0
233,Jabari Walker,78.75,82.75,4.0
234,Kris Murray,79.75,83.75,4.0
235,Jae'Sean Tate,76.0,80.0,4.0
236,Darius Garland,73.0,77.0,4.0
237,Jevon Carter,72.25,76.25,4.0
238,Saddiq Bey,79.0,83.0,4.0
239,Duop Reath,81.0,85.0,4.0
240,Grant Williams,77.75,81.75,4.0
241,Tyler Smith,81.0,85.0,4.0
242,Patrick Williams,79.0,83.0,4.0
243,Giannis Antetokounmpo,83.0,87.0,4.0
244,Pat Connaughton,76.0,80.0,4.0
245,Walker Kessler,84.25,88.25,4.0
246,CJ McCollum,74.25,78.25,4.0
247,Zach LaVine,76.5,80.25,3.75
248,Jrue Holiday,75.25,79.0,3.75
249,Javon Small,73.0,76.75,3.75
250,Quentin Grimes,76.0,79.75,3.75
251,Tidjane Salaün,81.0,84.75,3.75
252,Kevin McCullar Jr.,77.25,81.0,3.75
253,LeBron James,80.5,84.25,3.75
254,Nick Richards,82.5,86.25,3.75
255,Dalton Knecht,77.25,81.0,3.75
256,Devin Booker,76.5,80.25,3.75
257,Lonzo Ball,77.25,81.0,3.75
258,Paul George,79.75,83.25,3.5
259,Bryce McGowens,77.25,80.75,3.5
260,Paolo Banchero,81.0,84.5,3.5
261,Cam Christie,76.5,80.0,3.5
262,Kevin Love,79.75,83.25,3.5
263,Ja Morant,74.5,78.0,3.5
264,DeMar DeRozan,77.5,81.0,3.5
265,Kentavious Caldwell-Pope,76.5,80.0,3.5
266,Anthony Gill,79.5,83.0,3.5
267,Kristaps Porziņģis,86.5,90.0,3.5
268,Isaac Okoro,77.0,80.5,3.5
269,Jaime Jaquez Jr.,78.0,81.5,3.5
270,Goga Bitadze,82.5,86.0,3.5
271,Nikola Jokić,83.5,87.0,3.5
272,Jayson Tatum,79.5,83.0,3.5
273,Cam Thomas,75.0,78.5,3.5
274,Stephon Castle,77.5,81.0,3.5
275,Luka Garza,82.0,85.5,3.5
276,VJ Edgecombe,76.0,79.5,3.5
277,Caleb Houstan,79.5,83.0,3.5
278,Jalen Green,76.0,79.5,3.5
279,GG Jackson,80.25,83.5,3.25
280,Yves Missi,82.75,86.0,3.25
281,Derik Queen,81.25,84.5,3.25
282,Mark Sears,70.75,74.0,3.25
283,Kyshawn George,79.0,82.25,3.25
284,Jordan Poole,75.5,78.75,3.25
285,Klay Thompson,77.75,81.0,3.25
286,John Konchar,76.75,80.0,3.25
287,Georges Niang,78.75,82.0,3.25
288,Jeremy Sochan,80.5,83.75,3.25
289,Julian Strawther,78.0,81.25,3.25
290,Tyrese Proctor,76.25,79.25,3.0
291,Tre Jones,73.0,76.0,3.0
292,Jamal Murray,75.5,78.5,3.0
293,Payton Pritchard,73.0,76.0,3.0
294,Julian Champagnie,79.0,82.0,3.0
295,Johni Broome,81.25,84.25,3.0
296,Ajay Mitchell,75.25,78.25,3.0
297,Tyrese Haliburton,76.75,79.75,3.0
298,Isaiah Livers,78.0,81.25,3.0
299,Jock Landale,83.0,86.0,3.0
300,Nick Smith Jr.,77.0,80.0,3.0
301,Cameron Johnson,79.0,82.0,3.0
302,Day'Ron Sharpe,81.0,84.0,3.0
303,John Collins,80.25,83.25,3.0
304,Jay Huff,85.0,88.0,3.0
305,Brandon Miller,81.0,83.5,3.0
306,Dwight Powell,81.5,84.5,3.0
307,Chris Paul,73.0,76.0,3.0
308,Jalen Brunson,73.0,76.0,3.0
309,Craig Porter Jr.,73.0,76.0,3.0
310,Seth Curry,73.0,76.0,3.0
311,Terrence Shannon Jr.,77.75,80.75,3.0
312,Kasparas Jakučionis,76.75,79.75,3.0
313,Terance Mann,76.75,79.75,3.0
314,Keegan Murray,80.0,83.0,3.0
315,Doug McDermott,78.25,81.25,3.0
316,Kam Jones,75.25,78.0,2.75
317,Nique Clifford,77.25,80.0,2.75
318,Jake LaRavia,78.75,81.5,2.75
319,Malik Monk,74.25,77.0,2.75
320,Jamal Shead,72.25,75.0,2.75
321,Cam Whitmore,77.75,80.5,2.75
322,Nikola Jović,81.5,84.25,2.75
323,Isaiah Hartenstein,83.5,86.25,2.75
324,Andrew Nembhard,75.0,77.75,2.75
325,Jeremiah Fears,74.5,77.25,2.75
326,Landry Shamet,76.0,78.75,2.75
327,Zach Collins,82.25,85.0,2.75
328,Ben Sheppard,77.25,79.75,2.5
329,Ousmane Dieng,81.5,84.0,2.5
330,Sam Hauser,78.75,81.25,2.5
331,Tim Hardaway Jr.,76.5,79.0,2.5
332,Jusuf Nurkić,83.5,86.0,2.5
333,Trae Young,72.5,75.0,2.5
334,Alperen Sengun,82.0,84.5,2.5
335,Jordan Hawkins,76.25,78.75,2.5
336,Jaylon Tyson,77.5,80.0,2.5
337,Jonathan Isaac,82.5,85.0,2.5
338,Joe Ingles,79.75,82.25,2.5
339,Cole Anthony,74.0,76.5,2.5
340,Jalen Wilson,77.5,80.0,2.5
341,Jakob Poeltl,84.25,86.75,2.5
342,Jabari Smith Jr.,82.5,85.0,2.5
343,Max Strus,77.0,79.5,2.5
344,Gradey Dick,78.25,80.75,2.5
345,Franz Wagner,81.0,83.5,2.5
346,Donte DiVincenzo,75.5,78.0,2.5
347,Isaiah Collier,74.5,76.75,2.25
348,Bobi Klintman,80.75,83.0,2.25
349,Michael Porter Jr.,81.75,84.0,2.25
350,Kyle Lowry,71.75,74.0,2.25
351,Kyrie Irving,73.75,76.0,2.25
352,Zaccharie Risacher,80.25,82.5,2.25
353,Asa Newell,81.0,83.25,2.25
354,Jalen Suggs,75.5,77.5,2.0
355,Walter Clayton Jr.,74.0,76.0,2.0
356,Drew Eubanks,81.0,83.0,2.0
357,Rob Dillingham,73.0,75.0,2.0
358,Baylor Scheierman,78.25,80.25,2.0
359,Jose Alvarado,71.0,73.0,2.0
360,Cam Spencer,75.0,77.0,2.0
361,Ziaire Williams,80.25,82.25,2.0
362,Alex Caruso,76.0,78.0,2.0
363,LaMelo Ball,78.0,80.0,2.0
364,Jaden McDaniels,81.0,83.0,2.0
365,Noa Essengue,81.0,83.0,2.0
366,Fred VanVleet,72.0,74.0,2.0
367,Egor Dëmin,80.25,82.25,2.0
368,Nikola Topić,78.0,80.0,2.0
369,Sion James,76.5,78.5,2.0
370,Keyonte George,76.0,78.0,2.0
371,Moritz Wagner,82.0,84.0,2.0
372,Tristan da Silva,80.25,82.25,2.0
373,Austin Reaves,76.5,78.25,1.75
374,Liam McNeeley,78.75,80.5,1.75
375,Anthony Black,77.75,79.5,1.75
376,Yang Hansen,85.0,86.75,1.75
377,Brandin Podziemski,75.75,77.5,1.75
378,Rocco Zikarsky,87.0,88.75,1.75
379,Jared McCain,74.0,75.5,1.5
380,Jimmy Butler III,78.0,79.5,1.5
381,Tyler Kolek,73.25,74.75,1.5
382,Pacôme Dadiet,79.5,81.0,1.5
383,T.J. McConnell,72.5,74.0,1.5
384,Oso Ighodaro,81.5,83.0,1.5
385,Reed Sheppard,73.75,75.25,1.5
386,Stephen Curry,74.0,75.5,1.5
387,Sam Merrill,75.5,77.0,1.5
388,Marvin Bagley III,82.5,84.0,1.5
389,Coby White,75.5,77.0,1.5
390,Maxi Kleber,81.25,82.75,1.5
391,Max Shulga,76.25,77.75,1.5
392,Kevin Huerter,78.25,79.5,1.25
393,Matas Buzelis,80.75,82.0,1.25
394,Kon Knueppel,77.0,78.25,1.25
395,Kobe Sanders,79.0,80.25,1.25
396,Kenrich Williams,78.0,79.25,1.25
397,Christian Braun,77.5,78.5,1.0
398,Micah Peavy,78.25,79.25,1.0
399,Dillon Brooks,77.0,78.0,1.0
400,Maxime Raynaud,84.25,85.25,1.0
401,Dean Wade,81.0,82.0,1.0
402,Domantas Sabonis,82.0,83.0,1.0
403,Brandon Clarke,79.25,80.25,1.0
404,Corey Kispert,78.0,79.0,1.0
405,Jett Howard,80.0,81.0,1.0
406,Tre Mann,75.25,76.0,0.75
407,Jaylen Wells,78.5,79.25,0.75
408,Luke Kennard,76.5,77.25,0.75
409,Dario Šarić,81.5,82.0,0.5
410,Johnny Furphy,79.5,80.0,0.5
411,Will Riley,80.25,80.75,0.5
412,Amir Coffey,78.75,79.25,0.5
413,Santi Aldama,82.75,83.0,0.25
414,Lauri Markkanen,83.0,83.0,0.0
415,Luke Kornet,85.0,85.0,0.0
416,Mason Plumlee,83.25,83.0,-0.25
417,Deni Avdija,80.75,80.5,-0.25
418,Kyle Filipowski,82.75,82.5,-0.25
419,Ty Jerome,76.25,76.0,-0.25
420,Koby Brea,77.75,77.25,-0.5
421,Josh Giddey,80.0,79.5,-0.5
422,Desmond Bane,77.0,76.25,-0.75
423,Kelly Olynyk,82.75,81.75,-1.0
424,Kyle Kuzma,80.0,79.0,-1.0
425,Tyler Herro,76.5,75.25,-1.25
426,Svi Mykhailiuk,78.5,77.0,-1.5
