,name,height_inches,wingspan_inches,relative
0,Mo Bamba,83.25,94.0,10.75
1,Jalen Williams,76.5,86.25,9.75
2,Isaiah Stewart,79.25,88.75,9.5
3,Robert Williams III,80.0,89.5,9.5
4,Cedric Coward,77.25,86.25,9.0
5,Josh Okogie,75.0,84.0,9.0
6,Kawhi Leonard,78.0,87.0,9.0
7,Rasheer Fleming,80.25,89.25,9.0
8,Bilal Coulibaly,78.0,86.5,9.0
9,Donovan Mitchell,73.25,82.0,8.75
10,Thomas Sorber,81.25,90.0,8.75
11,Kelly Oubre Jr.,77.75,86.25,8.5
12,Andre Drummond,81.75,90.25,8.5
13,Thomas Bryant,81.5,90.0,8.5
14,Wendell Moore Jr.,76.25,84.75,8.5
15,Moses Moody,76.5,84.75,8.25
16,Anthony Davis,81.25,89.5,8.25
17,Jerami Grant,78.5,86.75,8.25
18,Oscar Tshiebwe,79.25,87.5,8.25
19,Jarrett Allen,81.0,89.25,8.25
20,DeAndre Jordan,81.75,90.0,8.25
21,OG Anunoby,78.25,86.25,8.0
22,P.J. Washington,78.5,86.5,8.0
23,Rudy Gobert,84.5,92.5,8.0
24,Chris Boucher,80.0,88.0,8.0
25,Jordan Walsh,77.75,85.75,8.0
26,Brandon Ingram,79.0,87.0,8.0
27,Victor Wembanyama,88.0,96.0,8.0
28,Jarace Walker,78.5,86.5,8.0
29,Jonathan Mogbo,78.25,86.0,7.75
30,Ryan Rollins,74.0,81.75,7.75
31,Scottie Barnes,79.0,86.75,7.75
32,Aaron Holiday,71.75,79.5,7.75
33,Wendell Carter Jr.,80.75,88.5,7.75
34,Kevin Durant,81.0,88.75,7.75
35,Miles McBride,73.0,80.75,7.75
36,Norman Powell,75.0,82.75,7.75
37,Terry Rozier,72.5,80.25,7.75
38,MarJon Beauchamp,77.25,84.75,7.5
39,Draymond Green,77.75,85.25,7.5
40,Bones Hyland,74.0,81.5,7.5
41,Kevon Looney,80.0,87.5,7.5
42,Jaren Jackson Jr.,81.75,89.25,7.5
43,Adem Bona,80.25,87.75,7.5
44,Shaedon Sharpe,76.25,83.5,7.25
45,Kyle Anderson,79.5,86.75,7.25
46,Ryan Dunn,78.25,85.5,7.25
47,Mikal Bridges,77.75,85.0,7.25
48,Tari Eason,78.75,86.0,7.25
49,Jordan Miller,76.5,83.75,7.25
50,Marcus Smart,74.0,81.25,7.25
51,Shai Gilgeous-Alexander,76.5,83.5,7.0
52,Pascal Siakam,80.25,87.25,7.0
53,Scoot Henderson,74.0,81.0,7.0
54,De'Andre Hunter,79.0,86.0,7.0
55,Harrison Ingram,77.25,84.25,7.0
56,Deandre Ayton,83.0,90.0,7.0
