,name,height_inches,wingspan_inches,relative
0,"Almansa, Izan",81.25,85.75,4.5
1,"Avdalas, Neoklis",79.5,81.0,1.5
2,"Bailey, Ace",79.5,84.5,5.0
3,"Bates, Tamar",75.75,82.25,6.5
4,"Brea, Koby",77.75,77.25,-0.5
5,"Broome, Johni",81.25,84.25,3.0
6,"Bryant, Carter",78.5,83.75,5.25
7,"Byrd, Miles",76.75,82.0,5.25
8,"Clayton Jr., Walter",74.0,76.0,2.0
9,"Clifford, Nique",77.25,80.0,2.75
10,"Condon, Alex",83.25,84.75,1.5
11,"Coward, Cedric",77.25,86.25,9.0
12,"Demin, Egor",80.25,82.25,2.0
13,"Dixon, Eric",79.5,83.5,4.0
14,"Edgecombe, VJ",76.0,79.5,3.5
15,"Fears, Jeremiah",74.5,77.25,2.75
16,"Flagg, Cooper",79.75,84.0,4.25
17,"Fland, Boogie",74.0,78.0,4.0
18,"Fleming, Rasheer",80.25,89.25,9.0
19,"Goldin, Vladislav",84.0,89.25,5.25
20,"Haggerty, PJ",74.25,78.5,4.25
21,"Harper, Dylan",76.5,82.5,6.0
22,"Henshall, Ben",77.5,78.5,1.0
23,"Jakucionis, Kasparas",76.75,79.75,3.0
24,"James, Sion",76.5,78.5,2.0
25,"Johnson, Tre",76.75,82.25,5.5
26,"Jones, Kam",75.25,78.0,2.75
27,"Kalkbrenner, Ryan",85.0,90.0,5.0
28,"Knox, Karter",77.0,82.25,5.25
29,"Knueppel, Kon",77.0,78.25,1.25
30,"Konan Niederhauser, Yanic",83.25,87.25,4.0
31,"Lanier, Chaz",75.75,81.0,5.25
32,"Lendeborg, Yaxel",80.5,88.0,7.5
33,"Luis Jr., RJ",77.75,82.5,4.75
34,"Maluach, Khaman",84.75,90.75,6.0
35,"Martin, Alijah",73.5,79.5,6.0
36,"McNeeley, Liam",78.75,80.5,1.75
37,"Mgbako, Mackenzie",79.5,82.25,2.75
38,"Moore, Jalon",78.25,82.25,4.0
39,"Murray-Boyles, Collin",78.5,84.75,6.25
40,"Nelson, Grant",82.0,84.0,2.0
41,"Nembhard, Ryan",71.0,74.25,3.25
42,"Newell, Asa",81.0,83.25,2.25
43,"Olbrich, Lachlan",80.75,83.25,2.5
44,"Oweh, Otega",76.25,80.5,4.25
45,"Pate, Dink",78.25,81.75,3.5
46,"Peavy, Micah",78.25,79.25,1.0
47,"Pettiford, Tahaad",72.25,77.5,5.25
48,"Philon, Labaron",74.75,78.25,3.5
49,"Powell, Drake",77.25,84.0,6.75
50,"Proctor, Tyrese",76.25,79.25,3.0
51,"Queen, Derik",81.25,84.5,3.25
52,"Raynaud, Maxime",84.25,85.25,1.0
53,"Richardson, Jase",72.5,78.0,5.5
54,"Riley, Will",80.25,80.75,0.5
55,"Ruzic, Michael",83.0,84.75,1.75
56,"Sallis, Hunter",75.75,82.0,6.25
57,"Sanders, Kobe",79.0,80.25,1.25
58,"Sears, Mark",70.75,74.0,3.25
59,"Shulga, Max",76.25,77.75,1.5
60,"Small, Javon",73.0,76.75,3.75
61,"Sorber, Thomas",81.25,90.0,8.75
62,"Thiero, Adou",78.25,84.0,5.75
63,"Tonje, John",76.75,81.0,4.25
64,"Toohey, Alex",79.75,82.75,3.0
65,"Uzan, Milos",75.25,77.25,2.0
66,"Watkins, Jamir",77.0,83.25,6.25
67,"Williams, Brice",77.25,82.75,5.5
68,"Williams, Darrion",76.5,78.5,2.0
69,"Wolf, Danny",82.5,86.25,3.75
70,"Yang, Hansen",85.0,86.75,1.75
71,"Zikarsky, Rocco",87.0,88.75,1.75
72,"Ajayi, Michael",77.8,84.8,7.0
73,"Ajinca, Melvin",79.3,79.5,0.20000000000000284
74,"Alexander, Trey",75.3,82.5,7.200000000000003
75,"Beekman, Reece",73.3,78.5,5.200000000000003
76,"Bona, Adem",80.3,87.8,7.5
77,"Brazile, Trevon",81.3,87.8,6.5
78,"Bridges, Jalen",78.8,82.0,3.200000000000003
79,"Buzelis, Matas",80.8,82.0,1.2000000000000028
80,"Carrington, Carlton",75.8,80.0,4.200000000000003
81,"Carter, Devin",74.3,80.8,6.5
82,"Castle, Stephon",77.5,81.0,3.5
83,"Chomche, Ulrich",82.3,88.0,5.700000000000003
84,"Christie, Cam",76.5,80.0,3.5
85,"Clingan, Donovan",85.8,90.8,5.0
86,"Collier, Isaiah",74.5,76.8,2.299999999999997
87,"Da Silva, Tristan",80.3,82.3,2.0
88,"Dadiet, Pacome",79.8,81.0,1.2000000000000028
89,"Dante, N'Faly",82.0,90.0,8.0
90,"Dillingham, Robert",73.0,75.0,2.0
91,"Djurisic, Nikola",79.0,80.0,1.0
92,"Dunn, Ryan",78.3,85.5,7.200000000000003
93,"Edey, Zach",87.8,94.8,7.0
94,"Edwards, Jesse",83.5,89.0,5.5
95,"Edwards, Justin",78.0,82.0,4.0
96,"Ellis, Boogie",72.8,79.0,6.200000000000003
97,"Filipowski, Kyle",82.8,82.5,-0.29999999999999716
98,"Flowers, Trentyn",78.5,80.3,1.7999999999999972
99,"Freeman, Enrique",79.3,86.0,6.700000000000003
100,"Furphy, Johnny",79.5,80.0,0.5
101,"George, Kyshawn",79.0,82.3,3.299999999999997
102,"Grant-Foster, Tyon",77.8,83.8,6.0
103,"Hall, PJ",80.3,85.5,5.200000000000003
104,"Hawkins, Coleman",80.3,84.0,3.700000000000003
105,"Holland II, Ron",78.5,82.8,4.299999999999997
106,"Holmes II, DaRon",80.8,85.0,4.200000000000003
107,"Hukporti, Ariel",82.8,86.5,3.700000000000003
108,"Ighodaro, Oso",81.5,83.0,1.5
109,"Ingram, Harrison",77.3,84.3,7.0
110,"James, Bronny",73.5,79.3,5.799999999999997
111,"Johnson, AJ",76.3,80.5,4.200000000000003
112,"Johnson, Keshad",78.3,82.3,4.0
113,"Jones, David",75.5,78.8,3.299999999999997
114,"Jones, Dillon",76.5,83.0,6.5
115,"Jones, Isaac",79.8,87.0,7.200000000000003
116,"Karaban, Alex",78.5,83.0,4.5
117,"Klintman, Bobi",80.8,83.0,2.200000000000003
118,"Knecht, Dalton",77.3,81.0,3.700000000000003
119,"Kolek, Tyler",73.3,74.8,1.5
120,"Larsson, Pelle",77.3,79.5,2.200000000000003
121,"McCain, Jared",74.0,75.5,1.5
122,"McCullar Jr., Kevin",77.3,81.0,3.700000000000003
123,"Missi, Yves",82.8,86.0,3.200000000000003
124,"Mitchell, Ajay",75.3,78.3,3.0
125,"Mogbo, Jonathan",78.3,86.0,7.700000000000003
126,"Newton, Tristen",75.3,78.8,3.5
127,"Nunez, Juan",76.0,78.5,2.5
128,"Post, Quinten",84.0,86.5,2.5
129,"Reeves, Antonio",76.5,80.3,3.799999999999997
130,"Risacher, Zaccharie",80.5,81.5,1.0
131,"Robinson, Jaxson",76.8,83.3,6.5
132,"Salaun, Tidjane",80.8,85.5,4.700000000000003
133,"Sandfort, Payton",78.3,80.0,1.7000000000000028
134,"Sarr, Alexandre",83.8,88.3,4.5
135,"Scheierman, Baylor",78.3,80.3,2.0
136,"Shannon Jr., Terrence",77.8,80.8,3.0
137,"Shead, Jamal",72.3,75.0,2.700000000000003
138,"Sheppard, Reed",73.8,75.3,1.5
139,"Simpson, KJ",72.3,76.5,4.200000000000003
140,"Smith, Tyler",81.0,85.0,4.0
141,"Spencer, Cam",75.0,77.0,2.0
142,"Tomlin, Nae'Qwan",80.3,86.5,6.200000000000003
