Player,LEBRON,O-LEBRON,D-LEBRON
James Harden,6.407,6.396,0.011
Stephen Curry,5.906,6.137,-0.23
Russell Westbrook,5.222,4.383,0.838
Lebron James,4.924,5.357,-0.433
Giannis Antetokounmpo,4.678,3.46,1.218
Nikola Jokić,4.571,3.274,1.297
Chris Paul,4.321,4.022,0.299
Anthony Davis,4.231,2.991,1.24
Damian Lillard,4.125,4.591,-0.465
Karl-Anthony Towns,4.062,3.323,0.738
Kyle Lowry,4.028,3.427,0.6
Kevin Durant,3.908,4.252,-0.344
Jimmy Butler Iii,3.797,3.103,0.694
Rudy Gobert,3.661,0.084,3.578
Victor Oladipo,3.589,1.989,1.6
Lamarcus Aldridge,3.354,2.801,0.553
Demar Derozan,3.321,4.054,-0.734
Joel Embiid,3.079,1.732,1.347
Demarcus Cousins,3.07,1.403,1.667
Robert Covington,2.746,0.158,2.589
Kemba Walker,2.7,3.41,-0.71
Larry Nance Jr.,2.696,0.691,2.005
Draymond Green,2.61,0.629,1.981
Kevin Love,2.556,2.531,0.025
Clint Capela,2.533,0.625,1.908
Andre Drummond,2.456,-0.055,2.511
Kyrie Irving,2.375,3.68,-1.305
Hassan Whiteside,2.284,0.22,2.065
Paul George,2.243,1.939,0.304
Ben Simmons,2.197,0.845,1.352
Ricky Rubio,1.997,0.228,1.77
Spencer Dinwiddie,1.955,1.31,0.646
Kristaps Porziņģis,1.888,1.01,0.877
Jrue Holiday,1.858,1.502,0.355
Otto Porter Jr.,1.823,0.731,1.091
Mike Conley,1.795,2.393,-0.598
Salah Mejri,1.787,-0.951,2.738
Brandan Wright,1.737,0.126,1.611
Khris Middleton,1.688,1.883,-0.195
Montrezl Harrell,1.658,2.194,-0.536
Fred Vanvleet,1.637,1.697,-0.06
Kyle Anderson,1.611,-0.648,2.258
John Wall,1.591,1.927,-0.336
Dwight Howard,1.547,-0.031,1.579
Dwight Powell,1.505,-0.039,1.544
Eric Bledsoe,1.497,2.097,-0.6
Kelly Olynyk,1.462,0.005,1.457
Nikola Mirotic,1.448,1.674,-0.226
Andre Roberson,1.447,-1.487,2.935
Donovan Mitchell,1.432,1.047,0.385
Marc Gasol,1.383,0.243,1.14
Joe Ingles,1.352,0.582,0.769
Kyle O'Quinn,1.327,-0.145,1.472
Pascal Siakam,1.298,0.013,1.285
Nikola Vučević,1.29,0.064,1.225
Carmelo Anthony,1.286,1.275,0.012
Steven Adams,1.282,1.519,-0.237
Khem Birch,1.266,0.361,0.905
Pau Gasol,1.26,0.028,1.233
Dejounte Murray,1.214,-0.788,2.002
Lonzo Ball,1.182,-0.224,1.407
Myles Turner,1.178,-0.511,1.69
Aaron Gordon,1.146,0.812,0.334
Jeff Teague,1.135,1.217,-0.082
Tyreke Evans,1.115,2.211,-1.096
Jamal Murray,1.11,1.51,-0.4
Darren Collison,1.091,0.778,0.313
Jusuf Nurkić,1.082,-1.187,2.269
Eric Moreland,1.082,-2.019,3.101
Derrick Favors,1.052,-0.586,1.638
Gary Harris,1.04,1.018,0.022
Jordan Bell,1.01,-0.198,1.208
Jj Redick,1.002,1.774,-0.772
Michael Carter-Williams,0.987,-0.356,1.342
Danilo Gallinari,0.976,1.122,-0.146
Thaddeus Young,0.973,-0.307,1.28
Anthony Tolliver,0.964,0.381,0.583
Jonas Valančiūnas,0.96,0.696,0.264
Jaylen Brown,0.956,-0.032,0.988
Reggie Jackson,0.937,1.281,-0.343
Jakob Poeltl,0.933,-0.608,1.541
Kawhi Leonard,0.931,0.387,0.544
Trey Lyles,0.927,1.159,-0.232
Deandre Jordan,0.92,0.396,0.524
Al-Farouq Aminu,0.918,-0.125,1.043
Tyus Jones,0.871,0.592,0.279
Jayson Tatum,0.816,-0.749,1.565
Enes Freedom,0.813,0.781,0.032
Cj Mccollum,0.781,1.047,-0.266
Ersan Ilyasova,0.778,0.247,0.531
David West,0.77,-0.379,1.149
Patrick Beverley,0.763,0.207,0.556
Al Horford,0.742,-0.13,0.873
Blake Griffin,0.723,1.616,-0.893
Bradley Beal,0.654,1.87,-1.216
Willy Hernangomez,0.619,-0.191,0.81
Marcin Gortat,0.612,-0.896,1.508
Kyle Korver,0.608,1.396,-0.788
Eric Gordon,0.601,2.174,-1.574
Paul Millsap,0.584,-0.106,0.69
Dirk Nowitzki,0.58,-0.794,1.374
Cj Miles,0.571,1.692,-1.121
John Henson,0.559,-0.34,0.898
Delon Wright,0.557,0.47,0.086
Tim Hardaway Jr.,0.556,1.472,-0.917
Nene,0.519,-0.73,1.249
Shaquille Harrison,0.517,-0.57,1.088
Thabo Sefolosha,0.514,-0.768,1.282
Tobias Harris,0.506,1.029,-0.523
J.J. Barea,0.504,1.63,-1.126
Willie Reed,0.498,-0.662,1.16
Mike James,0.491,0.733,-0.242
Jeremy Lamb,0.484,0.712,-0.228
Dennis Schröder,0.477,1.417,-0.94
Rudy Gay,0.474,0.303,0.171
Nerlens Noel,0.471,-2.309,2.78
Zach Lavine,0.468,1.014,-0.546
Ekpe Udoh,0.461,-2.237,2.698
Trey Burke,0.458,2.466,-2.009
Andrew Wiggins,0.417,0.965,-0.547
Danny Green,0.416,-0.838,1.254
Serge Ibaka,0.404,-0.136,0.54
Willie Cauley-Stein,0.376,-1.004,1.38
Zaza Pachulia,0.371,-0.955,1.326
Tim Frazier,0.368,-0.757,1.125
Kentavious Caldwell-Pope,0.364,0.297,0.066
Patty Mills,0.339,0.928,-0.589
Cameron Payne,0.31,0.06,0.249
Elfrid Payton,0.31,0.639,-0.329
Justise Winslow,0.309,-1.075,1.384
Alex Len,0.305,-0.372,0.677
Daniel Theis,0.286,-1.028,1.314
Ed Davis,0.283,-0.81,1.093
Danuel House Jr.,0.259,-0.013,0.271
Will Barton,0.244,1.061,-0.817
Demarre Carroll,0.234,0.05,0.184
Jared Dudley,0.22,-1.117,1.336
Josh Magette,0.214,-0.243,0.457
Josh Richardson,0.211,-0.866,1.076
Dwyane Wade,0.209,0.648,-0.439
Brook Lopez,0.201,-0.126,0.328
Davis Bertans,0.194,-0.049,0.243
Marcus Smart,0.187,-0.619,0.806
Cody Zeller,0.161,-0.898,1.06
Kent Bazemore,0.157,-0.56,0.717
P.J. Tucker,0.122,-0.698,0.82
Goran Dragic,0.119,0.725,-0.606
Andre Iguodala,0.113,-0.348,0.461
Jakarr Sampson,0.107,-1.608,1.716
Michael Kidd-Gilchrist,0.1,-0.915,1.015
Damion Lee,0.085,-0.052,0.137
Royce O'Neale,0.083,-0.814,0.897
Kyle Collinsworth,0.076,-0.469,0.545
Dario Šarić,0.072,0.511,-0.439
Jeff Green,0.047,0.797,-0.749
Isaiah Canaan,0.033,0.245,-0.213
Luke Kornet,0.019,-0.173,0.192
Kevon Looney,0.003,-0.935,0.938
Klay Thompson,-0.004,1.071,-1.076
Mason Plumlee,-0.005,-1.227,1.223
Kosta Koufos,-0.015,-0.814,0.799
Taj Gibson,-0.022,-0.024,0.002
Bobby Portis,-0.037,0.942,-0.98
Trevor Ariza,-0.05,-0.445,0.396
Nicolas Batum,-0.08,0.045,-0.125
Noah Vonleh,-0.084,-1.133,1.049
George Hill,-0.089,-0.031,-0.058
Ron Baker,-0.103,-0.665,0.562
Tomas Satoransky,-0.125,0.015,-0.14
Aron Baynes,-0.126,-1.935,1.81
Amir Johnson,-0.128,-1.57,1.442
Tyler Johnson,-0.134,-0.371,0.238
Greg Monroe,-0.175,-0.467,0.291
John Collins,-0.191,-1.222,1.031
Mario Chalmers,-0.192,-0.688,0.497
Lou Williams,-0.21,3.335,-3.545
Emeka Okafor,-0.217,-1.321,1.104
Richaun Holmes,-0.227,-0.233,0.006
Lauri Markkanen,-0.232,0.006,-0.238
Marvin Williams,-0.242,-0.225,-0.016
Terry Rozier,-0.251,0.208,-0.459
Channing Frye,-0.263,-0.325,0.062
Bam Adebayo,-0.278,-1.189,0.911
Antonio Blakeney,-0.281,0.357,-0.638
Maxi Kleber,-0.288,-1.267,0.979
Langston Galloway,-0.294,-0.31,0.017
Ramon Sessions,-0.295,0.27,-0.565
Jerami Grant,-0.311,-0.282,-0.03
Frank Kaminsky,-0.311,-0.018,-0.293
Cedi Osman,-0.336,-0.537,0.201
Alec Peters,-0.387,0.101,-0.488
James Johnson,-0.389,-0.17,-0.218
Brandon Ingram,-0.398,-0.285,-0.112
Domantas Sabonis,-0.407,-0.726,0.319
Yogi Ferrell,-0.419,-0.419,0.0
D.J. Augustin,-0.424,0.578,-1.003
Gerald Green,-0.434,1.071,-1.506
Sam Dekker,-0.438,-0.188,-0.25
Tyler Cavanaugh,-0.439,-0.145,-0.294
Wayne Ellington,-0.446,1.015,-1.461
Al Jefferson,-0.453,-0.965,0.512
Malcolm Brogdon,-0.461,-0.096,-0.365
Sean Kilpatrick,-0.474,0.049,-0.523
Rondae Hollis-Jefferson,-0.478,-0.94,0.462
Trevor Booker,-0.481,-0.88,0.399
Tyler Zeller,-0.485,-1.228,0.744
Andrew Harrison,-0.515,-0.272,-0.243
Jerian Grant,-0.518,0.106,-0.624
Jae Crowder,-0.554,-0.183,-0.372
Devin Harris,-0.569,0.105,-0.674
Marreese Speights,-0.6,0.666,-1.266
Justin Holiday,-0.604,-1.132,0.529
Wesley Johnson,-0.605,-2.116,1.511
Austin Rivers,-0.617,0.572,-1.19
Marquese Chriss,-0.66,-1.89,1.23
Jodie Meeks,-0.661,0.561,-1.223
Shabazz Napier,-0.665,-0.236,-0.429
Rodney Mcgruder,-0.681,-0.71,0.029
Jamil Wilson,-0.686,-0.655,-0.031
Julius Randle,-0.702,0.36,-1.062
Mike Muscala,-0.727,-0.778,0.051
Rajon Rondo,-0.727,0.101,-0.828
Danté Exum,-0.747,-0.133,-0.614
Kenneth Faried,-0.752,-0.22,-0.532
Cory Joseph,-0.755,-0.546,-0.209
Tristan Thompson,-0.76,-1.025,0.265
Jarrett Jack,-0.761,-0.229,-0.532
Wesley Matthews,-0.768,-0.654,-0.114
Allen Crabbe,-0.782,-0.133,-0.649
Josh Hart,-0.783,-0.316,-0.467
Ish Smith,-0.785,-0.352,-0.433
Devin Booker,-0.792,1.184,-1.975
Jonas Jerebko,-0.794,-0.624,-0.17
Ryan Anderson,-0.808,-0.001,-0.807
Tyson Chandler,-0.823,-1.722,0.899
Manu Ginobili,-0.826,0.092,-0.918
Vince Carter,-0.846,-1.275,0.429
Michael Beasley,-0.871,0.601,-1.472
Cheick Diallo,-0.883,-1.564,0.682
Markieff Morris,-0.89,-1.115,0.224
Nemanja Bjelica,-0.897,-0.636,-0.261
Reggie Bullock Jr.,-0.9,-0.39,-0.51
Bojan Bogdanović,-0.916,-0.312,-0.604
Juancho Hernangomez,-0.918,-0.499,-0.419
Dewayne Dedmon,-0.922,-1.906,0.984
Shelvin Mack,-0.922,-0.222,-0.7
Avery Bradley,-0.967,-1.017,0.05
Frank Mason Iii,-0.975,-0.893,-0.082
Lance Stephenson,-0.989,-0.3,-0.689
