Player,LEBRON,O-LEBRON,D-LEBRON
Giannis Antetokounmpo,7.44,4.331,3.109
Anthony Davis,6.767,4.414,2.353
James Harden,5.472,6.423,-0.951
Paul George,5.223,3.801,1.422
Kevin Durant,4.851,4.013,0.838
Damian Lillard,4.746,5.169,-0.423
Rudy Gobert,4.682,1.173,3.509
Lebron James,4.631,4.07,0.561
Nikola Jokić,4.577,3.528,1.049
Russell Westbrook,4.461,3.444,1.017
Stephen Curry,4.221,4.703,-0.482
Kawhi Leonard,4.088,3.539,0.549
Joel Embiid,4.073,2.286,1.787
Karl-Anthony Towns,3.712,3.478,0.235
Eric Bledsoe,3.522,2.469,1.053
Mike Conley,3.421,3.708,-0.287
Jusuf Nurkić,3.36,1.262,2.098
Nikola Vučević,3.333,1.522,1.811
Kyrie Irving,3.291,3.134,0.158
Hassan Whiteside,3.177,0.96,2.217
Jrue Holiday,3.112,3.19,-0.079
Kyle Lowry,3.067,2.198,0.868
Chris Paul,3.006,1.925,1.081
Derrick Favors,2.976,0.875,2.101
Kevin Love,2.894,2.237,0.657
Brook Lopez,2.883,-0.176,3.058
Kemba Walker,2.841,3.891,-1.049
Andre Drummond,2.538,0.122,2.416
Danilo Gallinari,2.32,2.303,0.016
Myles Turner,2.308,-0.863,3.171
Otto Porter Jr.,2.213,0.619,1.595
Paul Millsap,2.138,0.711,1.427
Demarcus Cousins,2.093,0.702,1.391
Robert Covington,2.049,-0.45,2.5
Victor Oladipo,2.023,1.326,0.697
Jimmy Butler Iii,1.878,1.955,-0.077
Domantas Sabonis,1.819,0.633,1.186
Blake Griffin,1.814,1.47,0.344
Joe Ingles,1.774,0.608,1.166
Khris Middleton,1.769,1.3,0.47
Clint Capela,1.769,1.059,0.71
Thaddeus Young,1.748,0.3,1.448
Pascal Siakam,1.738,0.813,0.926
Joakim Noah,1.722,-0.084,1.806
Ben Simmons,1.688,1.264,0.424
Malcolm Brogdon,1.679,1.425,0.254
Dwight Powell,1.648,1.123,0.526
Marc Gasol,1.561,-0.591,2.153
Lamarcus Aldridge,1.551,1.006,0.545
Willie Cauley-Stein,1.55,-0.118,1.668
Enes Freedom,1.546,1.964,-0.418
Steven Adams,1.506,0.531,0.976
Jayson Tatum,1.466,0.167,1.298
Luka Dončić,1.426,1.707,-0.281
Andre Iguodala,1.406,0.016,1.389
Boban Marjanović,1.361,0.942,0.419
Pau Gasol,1.346,-0.214,1.56
Patrick Beverley,1.302,0.44,0.861
Al-Farouq Aminu,1.301,-0.143,1.444
Al Horford,1.3,0.292,1.008
Cory Joseph,1.267,-0.089,1.356
Bam Adebayo,1.26,-1.341,2.601
Jeremy Lamb,1.255,0.862,0.394
Shabazz Napier,1.252,1.331,-0.08
Mason Plumlee,1.201,-0.351,1.552
Kevon Looney,1.192,0.928,0.264
Ed Davis,1.185,-0.91,2.095
Donovan Mitchell,1.183,1.002,0.181
Jakob Poeltl,1.17,-0.235,1.406
Jerami Grant,1.155,-0.306,1.461
D'Angelo Russell,1.152,1.786,-0.634
Daniel Theis,1.135,0.178,0.957
Bradley Beal,1.127,2.33,-1.203
De'Aaron Fox,1.105,1.151,-0.046
Ricky Rubio,1.092,0.306,0.786
Draymond Green,1.088,-1.414,2.502
Montrezl Harrell,1.086,1.254,-0.168
Davis Bertans,1.076,-0.156,1.232
Demar Derozan,1.064,0.509,0.555
Danny Green,1.045,0.162,0.883
Nemanja Bjelica,1.033,-0.16,1.192
Jeff Teague,1.005,1.25,-0.245
J.J. Barea,0.995,1.911,-0.916
John Wall,0.983,0.954,0.029
Thomas Bryant,0.978,0.551,0.427
Mitchell Robinson,0.964,-1.098,2.062
Serge Ibaka,0.954,0.65,0.304
Gordon Hayward,0.952,0.52,0.432
Derrick White,0.945,-0.499,1.444
Michael Carter-Williams,0.942,0.476,0.466
Javale Mcgee,0.924,-0.37,1.293
Marcus Smart,0.884,-0.319,1.202
Josh Richardson,0.872,0.231,0.641
Cj Mccollum,0.868,1.628,-0.76
Jonas Valančiūnas,0.865,0.275,0.59
Delon Wright,0.851,0.485,0.365
Jamal Murray,0.837,1.515,-0.678
Nerlens Noel,0.795,-1.541,2.336
Fred Vanvleet,0.742,0.692,0.05
Jonas Jerebko,0.74,0.464,0.276
Wayne Ellington,0.723,0.803,-0.08
Jarrett Allen,0.721,-0.292,1.013
Maxi Kleber,0.72,-0.345,1.065
Khem Birch,0.712,-0.506,1.218
Jae Crowder,0.692,0.688,0.003
Jonathan Isaac,0.662,-1.079,1.741
Rudy Gay,0.599,-0.122,0.721
Tobias Harris,0.589,1.169,-0.58
Ersan Ilyasova,0.555,-0.197,0.753
