the-rank,the-name,block,tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3
33,Aaron Holiday,HOU | PG,"5'11.75""","6'7.5""",7.75
34,Wendell Carter Jr.,ORL | C,"6'8.75""","7'4.5""",7.75
35,Kevin Durant,HOU | PF,"6'9""","7'4.75""",7.75
36,Miles McBride,NYK | PG,"6'1""","6'8.75""",7.75
37,Norman Powell,MIA | SG,"6'3""","6'10.75""",7.75
38,Terry Rozier,MIA | PG,"6'0.5""","6'8.25""",7.75
39,MarJon Beauchamp,PHI | SG,"6'5.25""","7'0.75""",7.5
40,Draymond Green,GSW | PF,"6'5.75""","7'1.25""",7.5
41,Bones Hyland,MIN | PG,"6'2""","6'9.5""",7.5
42,Kevon Looney,NOP | C,"6'8""","7'3.5""",7.5
43,Jaren Jackson Jr.,UTA | PF,"6'9.75""","7'5.25""",7.5
44,Adem Bona,PHI | C,"6'8.25""","7'3.75""",7.5
45,Shaedon Sharpe,POR | SG,"6'4.25""","6'11.5""",7.25
46,Kyle Anderson,MEM | PF,"6'7.5""","7'2.75""",7.25
47,Ryan Dunn,PHX | PF,"6'6.25""","7'1.5""",7.25
48,Mikal Bridges,NYK | SF,"6'5.75""","7'1""",7.25
49,Tari Eason,HOU | PF,"6'6.75""","7'2""",7.25
50,Jordan Miller,LAC | SF,"6'4.5""","6'11.75""",7.25
51,Marcus Smart,LAL | PG,"6'2""","6'9.25""",7.25
52,Shai Gilgeous-Alexander,OKC | PG,"6'4.5""","6'11.5""",7
53,Pascal Siakam,IND | PF,"6'8.25""","7'3.25""",7
54,Scoot Henderson,POR | PG,"6'2""","6'9""",7
55,De'Andre Hunter,SAC | SF,"6'7""","7'2""",7
56,Harrison Ingram,SAS | SF,"6'5.25""","7'0.25""",7
57,Deandre Ayton,LAL | C,"6'11""","7'6""",7
58,Charles Bassey,PHI | C,"6'9""","7'3.5""",7
59,Eric Gordon,MEM | SG,"6'2""","6'9""",7
60,Anfernee Simons,CHI | PG,"6'2.25""","6'9.25""",7
61,Naji Marshall,DAL | SF,"6'5.75""","7'0.75""",7
62,Vince Williams Jr.,UTA | SG,"6'4""","6'11""",7
63,Zach Edey,MEM | C,"7'3.75""","7'10.75""",7
64,Haywood Highsmith,BKN | SF,"6'5""","6'11.5""",7
65,Mike Conley,CHI | PG,"5'11""","6'5.75""",6.75
66,Trendon Watford,PHI | PF,"6'7.5""","7'2.25""",6.75
67,Dalen Terry,NOP | SG,"6'6""","7'0.75""",6.75
68,Thanasis Antetokounmpo,MIL | PF,"6'5.25""","7'0""",6.75
69,James Harden,CLE | SG,"6'4""","6'10.75""",6.75
70,Drake Powell,BKN | SF,"6'5.25""","7'0""",6.75
71,Dennis Schröder,CLE | PG,"6'1""","6'7.75""",6.75
72,Collin Sexton,CHI | PG,"6'0.5""","6'7.25""",6.75
73,Jalen Duren,DET | C,"6'10.25""","7'5""",6.75
74,Ayo Dosunmu,MIN | SG,"6'3.5""","6'10.25""",6.75
75,D'Angelo Russell,WAS | PG,"6'3.25""","6'9.75""",6.5
76,Devin Carter,SAC | SG,"6'2.25""","6'8.75""",6.5
77,Dillon Jones,NYK | SF,"6'4.5""","6'11""",6.5
78,Clint Capela,HOU | C,"6'10""","7'4.5""",6.5
79,Jaylen Brown,BOS | SF,"6'5.25""","6'11.75""",6.5
80,Christian Koloko,ATL | C,"6'10.75""","7'5.25""",6.5
81,Cody Williams,UTA | SF,"6'6.5""","7'1""",6.5
82,Xavier Tillman,BOS | PF,"6'7.5""","7'2""",6.5
83,Naz Reid,MIN | C,"6'8.75""","7'3.25""",6.5
84,Mark Williams,PHX | C,"7'0""","7'6.5""",6.5
85,Matisse Thybulle,POR | SF,"6'5""","6'11.5""",6.5
86,Jamir Watkins,WAS | SG,"6'5""","6'11.25""",6.25
87,Myles Turner,MIL | C,"6'9.75""","7'4""",6.25
88,Amen Thompson,HOU | SF,"6'5.75""","7'0""",6.25
89,Ausar Thompson,DET | SF,"6'5.75""","7'0""",6.25
90,Blake Wesley,POR | PG,"6'3""","6'9.25""",6.25
91,De'Anthony Melton,GSW | SG,"6'2.25""","6'8.5""",6.25
92,Dominick Barlow,PHI | PF,"6'8.75""","7'3""",6.25
93,Caleb Martin,DAL | SF,"6'4""","6'10.25""",6.25
94,Herbert Jones,NOP | SF,"6'6""","7'0.25""",6.25
95,E.J. Liddell,BKN | PF,"6'5.5""","6'11.75""",6.25
96,Collin Murray-Boyles,TOR | PF,"6'6.5""","7'0.75""",6.25
97,Rui Hachimura,LAL | PF,"6'7.75""","7'2""",6.25
98,Hunter Sallis,PHI | SG,"6'3.75""","6'10""",6.25
99,Immanuel Quickley,TOR | PG,"6'2""","6'8.25""",6.25
100,Nikola Vučević,BOS | C,"6'10.25""","7'4.5""",6.25
101,Cade Cunningham,DET | SG,"6'6""","7'0.25""",6.25
102,Jeff Green,HOU | PF,"6'7""","7'1.25""",6.25
103,Brook Lopez,LAC | C,"6'11.25""","7'5.5""",6.25
104,Olivier-Maxence Prosper,MEM | PF,"6'6.75""","7'1""",6.25
105,Malaki Branham,CHA | SG,"6'4""","6'10""",6
106,Larry Nance Jr.,CLE | C,"6'7.5""","7'1.5""",6
107,Orlando Robinson,ORL | C,"6'10""","7'4""",6
108,Anthony Edwards,MIN | SG,"6'3""","6'9""",6
109,Dereck Lively II,DAL | C,"7'1""","7'7""",6
110,Chet Holmgren,OKC | C,"7'0""","7'6""",6
111,Alijah Martin,TOR | SG,"6'1.5""","6'7.5""",6
112,Dylan Harper,SAS | PG,"6'4.5""","6'10.5""",6
113,Khaman Maluach,PHX | C,"7'0.75""","7'6.75""",6
114,Derrick Jones Jr.,LAC | PF,"6'6""","7'0""",6
115,Bam Adebayo,MIA | C,"6'8.75""","7'2.75""",6
116,Jonas Valančiūnas,DEN | C,"6'11""","7'5""",6
117,Cason Wallace,OKC | PG,"6'2.5""","6'8.5""",6
118,Gary Payton II,GSW | SG,"6'2""","6'8""",6
119,Dejounte Murray,NOP | PG,"6'4""","6'10""",6
120,Damian Lillard,POR | PG,"6'1.75""","6'7.75""",6
