the-rank,the-name,block,tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3
401,Maxime Raynaud,SAC | C,"7'0.25""","7'1.25""",1
402,Dean Wade,CLE | PF,"6'9""","6'10""",1
403,Domantas Sabonis,SAC | C,"6'10""","6'11""",1
404,Brandon Clarke,MEM | PF,"6'7.25""","6'8.25""",1
405,Corey Kispert,ATL | SF,"6'6""","6'7""",1
406,Jett Howard,ORL | SF,"6'8""","6'9""",1
407,Tre Mann,CHA | PG,"6'3.25""","6'4""",0.75
408,Jaylen Wells,MEM | SF,"6'6.5""","6'7.25""",0.75
409,Luke Kennard,LAL | SG,"6'4.5""","6'5.25""",0.75
410,Dario Šarić,CHI | PF,"6'9.5""","6'10""",0.5
411,Johnny Furphy,IND | SF,"6'7.5""","6'8""",0.5
412,Will Riley,WAS | SF,"6'8.25""","6'8.75""",0.5
413,Amir Coffey,PHX | SF,"6'6.75""","6'7.25""",0.5
414,Santi Aldama,MEM | PF,"6'10.75""","6'11""",0.25
415,Lauri Markkanen,UTA | PF,"6'11""","6'11""",0
416,Luke Kornet,SAS | C,"7'1""","7'1""",0
417,Mason Plumlee,CHA | C,"6'11.25""","6'11""",-0.25
418,Deni Avdija,POR | SF,"6'8.75""","6'8.5""",-0.25
419,Kyle Filipowski,UTA | PF,"6'10.75""","6'10.5""",-0.25
420,Ty Jerome,MEM | PG,"6'4.25""","6'4""",-0.25
421,Koby Brea,PHX | SG,"6'5.75""","6'5.25""",-0.5
422,Josh Giddey,CHI | SF,"6'8""","6'7.5""",-0.5
423,Desmond Bane,ORL | SG,"6'5""","6'4.25""",-0.75
424,Kelly Olynyk,SAS | C,"6'10.75""","6'9.75""",-1
425,Kyle Kuzma,MIL | PF,"6'8""","6'7""",-1
426,Tyler Herro,MIA | SG,"6'4.5""","6'3.25""",-1.25
427,Svi Mykhailiuk,UTA | SG,"6'6.5""","6'5""",-1.5
