Player,dpm,d_dpm,o_dpm
nene,0.96,2.88,-1.92
salah mejri,0.96,1.92,-0.96
dewayne dedmon,0.93,1.11,-0.18
marcus smart,0.91,1.01,-0.1
mikal bridges,0.9,0.87,0.03
darren collison,0.79,0.42,0.37
larry nance jr.,0.78,0.94,-0.16
jeremy lamb,0.76,-0.08,0.84
kyle anderson,0.75,1.97,-1.21
josh richardson,0.75,0.51,0.24
reggie jackson,0.73,-0.82,1.55
patty mills,0.72,-0.42,1.15
fred vanvleet,0.71,0.38,0.33
jae crowder,0.7,0.34,0.37
goran dragic,0.68,-0.1,0.78
hassan whiteside,0.62,1.26,-0.63
d'angelo russell,0.61,-0.92,1.53
michael kidd-gilchrist,0.58,1.2,-0.62
kenneth faried,0.58,0.16,0.42
domantas sabonis,0.55,0.61,-0.06
kristaps porzingis,0.55,0.73,-0.18
jakob poeltl,0.54,1.59,-1.05
davis bertans,0.53,0.24,0.29
jerami grant,0.52,1.28,-0.76
mitchell robinson,0.51,-0.3,0.81
malcolm brogdon,0.51,-0.58,1.09
ian mahinmi,0.5,2.6,-2.1
frank kaminsky,0.47,-0.25,0.72
andre drummond,0.46,0.34,0.11
gary harris,0.45,-0.1,0.55
shabazz napier,0.44,0.09,0.35
nikola mirotic,0.42,0.07,0.35
serge ibaka,0.41,1.26,-0.85
buddy hield,0.4,-0.81,1.21
trae young,0.4,-2.5,2.9
gordon hayward,0.38,-0.09,0.47
tobias harris,0.37,-0.3,0.67
justise winslow,0.36,0.88,-0.52
derrick jones jr.,0.33,1.35,-1.01
de'aaron fox,0.32,-0.05,0.38
robin lopez,0.31,1.51,-1.2
p.j. tucker,0.26,1.65,-1.39
luol deng,0.24,0.67,-0.43
rudy gay,0.24,0.27,-0.03
jarrett allen,0.24,0.79,-0.55
tomas satoransky,0.23,0.14,0.09
luc mbah a moute,0.21,1.85,-1.63
terrence ross,0.2,-0.36,0.56
allen crabbe,0.2,0.24,-0.04
josh hart,0.19,0.93,-0.74
caris levert,0.19,-0.35,0.54
e'twaun moore,0.18,-0.17,0.35
delon wright,0.17,0.54,-0.37
jonathan isaac,0.16,0.92,-0.76
devin booker,0.15,-1.97,2.13
marvin williams,0.14,0.63,-0.5
jaylen brown,0.13,0.02,0.11
joakim noah,0.13,2.22,-2.09
jared dudley,0.12,1.2,-1.08
landry shamet,0.11,-0.11,0.22
tyus jones,0.11,0.02,0.09
jj redick,0.07,-1.53,1.59
wayne ellington,0.05,-0.25,0.3
mike muscala,0.04,0.41,-0.37
malik beasley,0.0,-0.8,0.79
nicolas batum,-0.04,-0.31,0.28
john collins,-0.05,-0.95,0.9
demarre carroll,-0.06,0.25,-0.31
jamychal green,-0.07,0.05,-0.13
ish smith,-0.07,-0.57,0.5
khem birch,-0.08,0.41,-0.49
mason plumlee,-0.08,1.38,-1.46
omri casspi,-0.14,0.63,-0.77
richaun holmes,-0.15,0.08,-0.23
christian wood,-0.15,-0.23,0.09
bojan bogdanovic,-0.16,-0.52,0.35
chris boucher,-0.17,0.43,-0.6
zach lavine,-0.18,-1.23,1.04
luke kennard,-0.19,-0.42,0.24
isaac bonga,-0.2,1.15,-1.35
taj gibson,-0.21,-0.04,-0.18
elfrid payton,-0.21,-0.3,0.08
jeff teague,-0.22,-0.6,0.38
john henson,-0.22,1.0,-1.22
d.j. augustin,-0.22,-1.05,0.83
evan fournier,-0.23,-0.46,0.23
torrey craig,-0.23,0.66,-0.89
maxi kleber,-0.26,0.79,-1.06
gorgui dieng,-0.26,0.95,-1.22
aron baynes,-0.29,2.26,-2.54
cj miles,-0.32,0.2,-0.52
trey burke,-0.32,-1.62,1.31
reggie bullock,-0.32,-0.43,0.11
cory joseph,-0.34,0.67,-1.01
james johnson,-0.34,0.96,-1.3
quincy acy,-0.35,0.38,-0.73
david nwaba,-0.36,0.08,-0.45
lou williams,-0.38,-2.85,2.48
danuel house jr.,-0.38,-0.27,-0.11
thomas bryant,-0.39,-0.05,-0.35
damion lee,-0.39,-0.14,-0.26
james ennis iii,-0.39,-0.29,-0.11
corey brewer,-0.4,1.41,-1.81
dorian finney-smith,-0.4,0.41,-0.81
sam dekker,-0.41,0.04,-0.45
josh okogie,-0.43,0.73,-1.16
jabari parker,-0.43,-0.82,0.39
marcus morris sr.,-0.44,-0.33,-0.11
robert williams iii,-0.44,1.3,-1.73
rondae hollis-jefferson,-0.44,0.66,-1.1
pat connaughton,-0.45,-0.03,-0.42
raul neto,-0.45,0.08,-0.53
markieff morris,-0.45,0.2,-0.65
willy hernangomez,-0.45,-0.58,0.13
cheick diallo,-0.47,0.51,-0.98
javale mcgee,-0.47,0.58,-1.04
ivan rabb,-0.47,0.47,-0.94
jarell martin,-0.48,0.35,-0.83
jonas valanciunas,-0.48,-0.36,-0.11
michael carter-williams,-0.48,1.01,-1.49
deandre jordan,-0.5,0.65,-1.15
luke kornet,-0.5,0.65,-1.15
dario saric,-0.51,-0.6,0.09
seth curry,-0.51,-0.71,0.2
miles bridges,-0.51,0.02,-0.53
kyle o'quinn,-0.54,0.96,-1.5
kentavious caldwell-pope,-0.55,-0.56,0.01
bruno caboclo,-0.55,0.25,-0.8
gary payton ii,-0.58,-0.03,-0.54
julius randle,-0.58,-1.45,0.87
tyreke evans,-0.58,0.07,-0.66
daniel theis,-0.6,0.17,-0.77
nerlens noel,-0.6,1.82,-2.43
dwight howard,-0.61,1.13,-1.74
justin holiday,-0.61,0.64,-1.25
troy williams,-0.62,0.36,-0.99
spencer dinwiddie,-0.62,-1.54,0.92
tyler zeller,-0.63,0.75,-1.38
ekpe udoh,-0.64,0.75,-1.39
trevor ariza,-0.65,-0.29,-0.36
lonzo ball,-0.66,1.03,-1.69
kyle kuzma,-0.66,-0.85,0.19
shai gilgeous-alexander,-0.67,-0.1,-0.56
kyle korver,-0.67,0.34,-1.0
norman powell,-0.69,-0.18,-0.51
doug mcdermott,-0.71,-0.57,-0.14
kelly oubre jr.,-0.72,-0.65,-0.07
demetrius jackson,-0.74,-0.78,0.04
wes iwundu,-0.74,0.87,-1.61
tyson chandler,-0.74,2.39,-3.13
donte divincenzo,-0.75,-0.31,-0.45
jonah bolden,-0.75,0.52,-1.27
monte morris,-0.75,-1.07,0.32
lauri markkanen,-0.75,-1.25,0.5
brandon ingram,-0.76,-0.75,-0.01
taurean prince,-0.8,-0.87,0.06
demar derozan,-0.8,-1.55,0.76
shaquille harrison,-0.81,0.79,-1.6
dennis schroder,-0.81,-0.99,0.18
enes kanter,-0.82,-0.85,0.03
marshon brooks,-0.82,-0.62,-0.2
sindarius thornwell,-0.84,1.03,-1.87
ryan broekhoff,-0.84,-0.47,-0.37
jaren jackson jr.,-0.85,0.32,-1.17
kenrich williams,-0.85,0.42,-1.27
bogdan bogdanovic,-0.85,-0.5,-0.34
tony snell,-0.87,-0.19,-0.68
harrison barnes,-0.87,-0.66,-0.21
bruce brown,-0.9,1.25,-2.15
zhou qi,-0.9,1.0,-1.9
c.j. williams,-0.91,-0.16,-0.76
derrick rose,-0.92,-2.04,1.12
rj hunter,-0.92,-0.37,-0.55
bryn forbes,-0.93,-0.93,0.0
yogi ferrell,-0.94,-0.63,-0.31
noah vonleh,-0.95,0.41,-1.36
mario hezonja,-0.96,0.02,-0.98
gary clark,-0.96,-0.38,-0.59
alan williams,-0.97,0.47,-1.44
jordan clarkson,-0.98,-2.3,1.33
jalen brunson,-0.98,-1.25,0.27
anthony tolliver,-0.99,0.13,-1.11
tyler johnson,-1.0,-0.22,-0.78
jakarr sampson,-1.0,-0.18,-0.82
bobby portis,-1.0,-0.63,-0.37
guerschon yabusele,-1.01,-0.12,-0.89
tim hardaway jr.,-1.01,-1.03,0.01
justin jackson,-1.02,-0.93,-0.09
denzel valentine,-1.02,0.01,-1.02
justin anderson,-1.03,-0.27,-0.77
alex len,-1.05,-0.19,-0.85
juancho hernangomez,-1.05,-0.11,-0.94
deandre ayton,-1.06,-0.28,-0.77
damian jones,-1.06,0.68,-1.75
deandre' bembry,-1.07,0.35,-1.42
wesley matthews,-1.09,-0.35,-0.74
amir johnson,-1.09,0.71,-1.8
terry rozier,-1.11,0.07,-1.18
kosta koufos,-1.13,1.27,-2.4
quincy pondexter,-1.13,0.34,-1.47
wilson chandler,-1.14,-0.08,-1.06
langston galloway,-1.14,-0.51,-0.63
t.j. warren,-1.15,-1.24,0.09
frank mason,-1.15,-0.39,-0.76
lonnie walker iv,-1.16,0.48,-1.64
mo bamba,-1.16,1.04,-2.2
terrence jones,-1.17,-0.2,-0.98
isaiah hartenstein,-1.18,0.48,-1.67
marco belinelli,-1.19,-1.41,0.22
zach collins,-1.19,0.5,-1.69
jeff green,-1.19,-1.13,-0.06
ivica zubac,-1.2,0.46,-1.66
royce o'neale,-1.21,0.26,-1.46
joe harris,-1.21,-1.14,-0.07
miles plumlee,-1.21,0.81,-2.01
thomas welsh,-1.21,0.06,-1.26
andrew wiggins,-1.22,-1.44,0.22
ben mclemore,-1.23,-0.45,-0.78
rodney mcgruder,-1.23,-0.16,-1.07
ron baker,-1.24,0.28,-1.53
jonas jerebko,-1.24,-0.37,-0.87
og anunoby,-1.25,0.11,-1.36
johnathan williams,-1.27,-0.07,-1.2
alex abrines,-1.28,-0.16,-1.12
ike anigbogu,-1.29,0.05,-1.33
michael beasley,-1.3,-0.64,-0.67
dion waiters,-1.31,-0.63,-0.68
ryan anderson,-1.31,-0.31,-1.0
alex caruso,-1.33,-0.02,-1.31
furkan korkmaz,-1.33,-0.43,-0.89
tristan thompson,-1.34,-0.74,-0.6
michael porter jr.,-1.34,-0.35,-1.0
marcin gortat,-1.35,1.28,-2.63
troy caupain,-1.35,-0.44,-0.91
jordan bell,-1.35,-0.09,-1.26
julian washburn,-1.35,0.33,-1.68
darius miller,-1.36,-0.8,-0.56
andrew harrison,-1.36,-0.27,-1.09
andrew bogut,-1.36,2.28,-3.64
ante zizic,-1.36,-0.13,-1.23
kent bazemore,-1.36,0.27,-1.64
amile jefferson,-1.37,-0.29,-1.08
edmond sumner,-1.37,0.15,-1.52
andre ingram,-1.39,-0.24,-1.15
omer asik,-1.4,2.04,-3.45
gerald green,-1.4,-1.29,-0.11
jemerrio jones,-1.4,0.45,-1.86
trey lyles,-1.4,-0.95,-0.45
aaron holiday,-1.42,-0.71,-0.71
jordan mcrae,-1.43,-0.84,-0.59
omari spellman,-1.44,-0.26,-1.17
t.j. mcconnell,-1.44,-0.21,-1.23
jake layman,-1.44,-0.61,-0.82
jabari bird,-1.44,-0.39,-1.04
matthew dellavedova,-1.45,-0.7,-0.76
devin harris,-1.45,-0.36,-1.09
deyonta davis,-1.45,0.46,-1.9
glenn robinson iii,-1.47,-0.33,-1.14
george king,-1.49,-0.23,-1.27
wenyen gabriel,-1.49,-0.01,-1.48
tyler ulis,-1.49,-0.49,-1.0
will barton,-1.5,-0.64,-0.87
ben moore,-1.5,-0.21,-1.29
rodions kurucs,-1.5,-0.26,-1.24
rodney hood,-1.51,-1.16,-0.35
jarnell stokes,-1.51,0.19,-1.71
terrance ferguson,-1.52,-0.17,-1.34
solomon hill,-1.52,-0.06,-1.46
brad wanamaker,-1.54,-0.47,-1.07
treveon graham,-1.54,0.06,-1.6
jonathan gibson,-1.54,-0.97,-0.58
moritz wagner,-1.54,-0.47,-1.07
donatas motiejunas,-1.56,0.26,-1.82
courtney lee,-1.56,-0.6,-0.96
chandler hutchison,-1.56,-0.39,-1.17
jordan loyd,-1.56,-0.78,-0.77
damyean dotson,-1.57,-0.59,-0.98
justin patton,-1.61,-0.19,-1.41
de'anthony melton,-1.61,0.65,-2.26
wesley johnson,-1.61,0.71,-2.32
isaiah canaan,-1.63,-0.69,-0.95
garrett temple,-1.63,0.57,-2.2
trevon bluiett,-1.64,-0.31,-1.33
pj dozier,-1.64,-0.27,-1.37
dirk nowitzki,-1.64,-0.45,-1.2
jerian grant,-1.65,-0.33,-1.32
dillon brooks,-1.66,-0.45,-1.21
wendell carter jr.,-1.66,0.27,-1.93
james nunnally,-1.67,-0.32,-1.35
jarred vanderbilt,-1.68,0.43,-2.11
iman shumpert,-1.68,-0.31,-1.37
austin rivers,-1.69,-1.04,-0.65
johnathan motley,-1.7,-1.01,-0.69
dante exum,-1.71,-0.47,-1.24
drew eubanks,-1.71,0.18,-1.89
marcus derrickson,-1.72,-0.76,-0.96
marvin bagley iii,-1.72,-1.8,0.08
dragan bender,-1.73,0.02,-1.75
okaro white,-1.74,-0.46,-1.28
dwayne bacon,-1.74,-0.92,-0.83
semi ojeleye,-1.75,-0.31,-1.44
malik monk,-1.75,-1.22,-0.53
tyler cavanaugh,-1.76,-1.26,-0.51
j.p. macura,-1.76,-0.4,-1.36
chandler parsons,-1.77,-0.36,-1.41
mike scott,-1.79,-0.54,-1.25
scott machado,-1.79,-0.56,-1.23
devin robinson,-1.79,-0.63,-1.16
jimmer fredette,-1.79,-1.18,-0.61
kevin huerter,-1.79,-0.64,-1.15
meyers leonard,-1.8,-0.94,-0.85
vincent edwards,-1.82,-0.45,-1.37
troy brown jr.,-1.82,-0.25,-1.57
zaza pachulia,-1.83,1.47,-3.3
anfernee simons,-1.86,-1.69,-0.17
malcolm miller,-1.86,-1.05,-0.81
jevon carter,-1.86,0.2,-2.07
brandon sampson,-1.87,0.06,-1.94
harry giles iii,-1.88,-0.22,-1.66
trevon duval,-1.89,-0.37,-1.51
jodie meeks,-1.89,-0.77,-1.13
jalen jones,-1.89,-0.51,-1.38
tj leaf,-1.89,-1.14,-0.74
jaylen adams,-1.89,0.11,-2.0
shaun livingston,-1.89,-0.4,-1.49
zhaire smith,-1.89,-0.46,-1.43
kris dunn,-1.9,-0.23,-1.67
tony bradley,-1.91,-1.13,-0.78
patrick patterson,-1.91,-0.21,-1.7
troy daniels,-1.91,-1.35,-0.56
keita bates-diop,-1.92,-0.37,-1.55
ryan arcidiacono,-1.92,-0.77,-1.16
khyri thomas,-1.92,-0.22,-1.7
carmelo anthony,-1.93,-1.0,-0.93
chasson randle,-1.94,-0.93,-1.01
jordan sibert,-1.94,-0.62,-1.31
elie okobo,-1.95,-0.39,-1.57
jerome robinson,-1.95,-0.33,-1.62
bismack biyombo,-1.96,0.99,-2.95
cameron payne,-1.97,-0.74,-1.23
donte grantham,-1.97,-0.22,-1.75
stephan hicks,-1.97,-0.46,-1.51
kadeem allen,-1.98,-0.67,-1.31
thon maker,-1.98,-0.09,-1.88
theo pinson,-1.98,-0.87,-1.11
cedi osman,-1.99,-1.5,-0.49
jr smith,-1.99,-0.63,-1.36
duncan robinson,-1.99,-0.58,-1.42
justin bibbs,-1.99,-0.14,-1.85
dzanan musa,-1.99,-0.55,-1.44
deng adel,-2.0,0.13,-2.13
evan turner,-2.01,-0.64,-1.37
zach lofton,-2.02,-0.48,-1.54
alec burks,-2.05,-0.65,-1.4
dwyane wade,-2.05,-1.22,-0.83
tim frazier,-2.06,-0.64,-1.42
melvin frazier jr.,-2.07,-0.47,-1.6
collin sexton,-2.07,-2.27,0.2
isaiah whitehead,-2.08,-0.55,-1.53
jaylen morris,-2.08,-0.41,-1.68
cameron reynolds,-2.1,-0.61,-1.5
daryl macon,-2.1,-0.5,-1.6
keenan evans,-2.11,-0.39,-1.72
scotty hopson,-2.11,-0.29,-1.82
eric moreland,-2.12,0.95,-3.07
tyler dorsey,-2.12,-1.12,-1.01
skal labissiere,-2.13,-0.5,-1.63
devaughn akoon-purcell,-2.14,-0.49,-1.64
lance stephenson,-2.15,-0.96,-1.2
milos teodosic,-2.15,-1.02,-1.12
dj stephens,-2.15,-0.36,-1.79
bj johnson,-2.16,-0.26,-1.9
raymond felton,-2.17,-0.18,-2.0
jaron blossomgame,-2.17,-0.84,-1.32
josh jackson,-2.18,-0.54,-1.65
frank ntilikina,-2.19,-0.17,-2.02
georges niang,-2.22,-1.17,-1.05
daniel hamilton,-2.23,-0.22,-2.0
kalin lucas,-2.23,-0.51,-1.72
john holland,-2.23,-0.33,-1.9
quinn cook,-2.25,-1.84,-0.42
markelle fultz,-2.25,-0.54,-1.71
malachi richardson,-2.26,-0.76,-1.5
sterling brown,-2.27,-0.66,-1.61
devonte' graham,-2.27,-1.37,-0.9
michael frazier,-2.28,-0.53,-1.75
jahlil okafor,-2.3,-0.82,-1.48
tarik phillip,-2.3,-0.78,-1.53
john jenkins,-2.31,-1.32,-0.99
c.j. wilcox,-2.31,-0.22,-2.09
chris chiozza,-2.32,-0.81,-1.51
mitchell creek,-2.32,-0.58,-1.74
joe chealey,-2.33,-0.49,-1.85
stanley johnson,-2.34,0.06,-2.4
cody demps,-2.34,-0.55,-1.8
avery bradley,-2.35,-1.19,-1.16
dennis smith jr.,-2.35,-0.89,-1.45
ian clark,-2.35,-1.64,-0.71
tyrone wallace,-2.36,-0.22,-2.14
timofey mozgov,-2.37,0.68,-3.05
alfonzo mckinnie,-2.38,-1.07,-1.31
tyler lydon,-2.39,-0.56,-1.83
charles cooke,-2.39,-0.41,-1.98
svi mykhailiuk,-2.4,-0.29,-2.11
bonzie colson,-2.41,-0.51,-1.89
dante cunningham,-2.42,-0.23,-2.18
alex poythress,-2.42,-0.43,-1.99
grayson allen,-2.42,-1.74,-0.68
patrick mccaw,-2.43,-0.16,-2.27
davon reed,-2.44,-0.29,-2.14
deonte burton,-2.44,-0.16,-2.27
vince carter,-2.45,-0.17,-2.28
shake milton,-2.46,-0.53,-1.92
tahjere mccall,-2.47,-0.57,-1.9
pau gasol,-2.47,0.83,-3.3
jawun evans,-2.47,0.18,-2.65
emanuel terry,-2.48,0.01,-2.49
jon leuer,-2.48,0.01,-2.49
walter lemon jr.,-2.48,-0.87,-1.61
emmanuel mudiay,-2.49,-1.63,-0.86
abdel nader,-2.52,-0.59,-1.92
nick young,-2.52,-1.26,-1.25
greg monroe,-2.52,-0.82,-1.7
richard solomon,-2.55,-0.58,-1.97
henry ellenson,-2.55,-0.89,-1.66
frank jackson,-2.55,-1.49,-1.06
dusty hannahs,-2.56,-0.86,-1.7
haywood highsmith,-2.57,-0.69,-1.89
jared terrell,-2.59,-0.65,-1.94
yante maten,-2.59,-0.89,-1.7
jacob evans,-2.62,-0.37,-2.25
kostas antetokounmpo,-2.63,-0.2,-2.43
billy garrett,-2.63,-0.66,-1.97
isaiah briscoe,-2.64,-0.36,-2.28
alize johnson,-2.66,-0.23,-2.43
wade baldwin iv,-2.67,-0.23,-2.44
travis wear,-2.68,-0.66,-2.02
d.j. wilson,-2.68,-0.54,-2.14
lorenzo brown,-2.69,-0.1,-2.6
dairis bertans,-2.7,-1.32,-1.37
ray spalding,-2.77,-0.77,-1.99
tyler davis,-2.79,-0.2,-2.59
billy preston,-2.8,0.02,-2.82
rawle alkins,-2.81,-0.86,-1.95
isaiah hicks,-2.82,-0.23,-2.59
cristiano felicio,-2.84,-0.82,-2.03
timothe luwawu-cabarrot,-2.86,-1.16,-1.7
brandon goodwin,-2.88,-1.42,-1.46
hamidou diallo,-2.89,-0.33,-2.56
jason smith,-2.89,0.04,-2.93
jonathon simmons,-2.9,-1.25,-1.65
lance thomas,-2.92,-0.25,-2.67
antonio blakeney,-2.99,-1.44,-1.56
allonzo trier,-3.0,-1.98,-1.02
marquese chriss,-3.04,-0.7,-2.34
isaiah thomas,-3.05,-2.38,-0.67
channing frye,-3.08,-1.1,-1.98
rajon rondo,-3.1,-0.45,-2.65
nik stauskas,-3.12,-1.93,-1.19
gary trent jr.,-3.13,-1.07,-2.06
kobi simmons,-3.21,-1.03,-2.17
yuta watanabe,-3.22,-0.7,-2.52
shelvin mack,-3.33,-0.83,-2.49
naz mitrou-long,-3.35,-0.88,-2.48
jeremy lin,-3.42,-0.83,-2.6
brandon knight,-3.43,-1.67,-1.77
isaac humphries,-3.5,-0.83,-2.67
chimezie metu,-3.56,-0.84,-2.72
angel delgado,-3.61,-0.68,-2.93
tony parker,-3.62,-2.17,-1.45
zach randolph,-3.68,-1.4,-2.28
caleb swanigan,-3.77,-0.73,-3.04
kevin knox ii,-3.79,-1.76,-2.03
wayne selden,-3.87,-1.53,-2.35
jerryd bayless,-4.08,-1.88,-2.2
jose calderon,-4.28,-1.24,-3.04
udonis haslem,-5.11,-0.22,-4.89
jamal crawford,-5.57,-3.47,-2.1
