Player,dpm,d_dpm,o_dpm
giannis antetokounmpo,6.39,2.86,3.53
kawhi leonard,6.15,1.58,4.57
lebron james,5.9,0.67,5.23
stephen curry,5.82,0.49,5.33
chris paul,5.61,2.19,3.42
nikola jokic,5.39,1.72,3.68
james harden,5.2,-0.67,5.87
russell westbrook,5.19,0.78,4.41
joel embiid,5.11,2.84,2.27
paul george,4.82,2.27,2.55
kevin durant,4.56,-0.28,4.84
damian lillard,4.38,-0.96,5.34
jrue holiday,4.3,1.42,2.89
kyle lowry,4.27,2.29,1.97
rudy gobert,4.2,4.06,0.13
mike conley,4.08,0.53,3.55
kyrie irving,3.86,-0.1,3.96
victor oladipo,3.78,1.87,1.9
eric bledsoe,3.77,2.02,1.75
anthony davis,3.76,1.61,2.15
ricky rubio,3.6,2.35,1.25
karl-anthony towns,3.4,-0.15,3.54
jimmy butler,3.22,1.21,2.01
kemba walker,3.22,-0.36,3.58
khris middleton,3.22,1.1,2.12
lamarcus aldridge,3.01,1.54,1.47
andre roberson,2.93,2.97,-0.04
donovan mitchell,2.82,0.45,2.37
danny green,2.8,1.93,0.87
blake griffin,2.8,0.02,2.78
bradley beal,2.76,-0.83,3.59
brook lopez,2.76,2.92,-0.16
nikola vucevic,2.55,2.47,0.08
andre iguodala,2.55,2.48,0.08
steven adams,2.54,2.48,0.06
draymond green,2.53,3.5,-0.97
jusuf nurkic,2.53,2.15,0.37
cj mccollum,2.52,0.34,2.18
paul millsap,2.32,2.32,0.0
marc gasol,2.25,2.93,-0.68
robert covington,2.09,2.54,-0.46
cody zeller,2.05,1.84,0.21
otto porter jr.,2.04,0.69,1.34
dwight powell,1.94,0.82,1.12
maurice harkless,1.92,2.0,-0.08
kevon looney,1.92,1.46,0.46
luka doncic,1.89,-1.09,2.99
kevin love,1.89,-0.23,2.12
al horford,1.85,1.86,-0.01
john wall,1.84,-0.37,2.21
thaddeus young,1.84,1.84,0.0
al-farouq aminu,1.62,1.37,0.24
jayson tatum,1.52,1.17,0.36
thabo sefolosha,1.51,2.38,-0.87
demarcus cousins,1.5,1.59,-0.09
george hill,1.49,0.41,1.08
myles turner,1.46,2.38,-0.91
ersan ilyasova,1.45,1.68,-0.23
derrick favors,1.43,2.0,-0.56
boban marjanovic,1.42,1.22,0.2
danilo gallinari,1.34,-0.5,1.84
dejounte murray,1.33,1.87,-0.54
joe ingles,1.32,0.9,0.41
ben simmons,1.31,0.1,1.22
j.j. barea,1.31,-0.97,2.29
willie cauley-stein,1.29,1.74,-0.45
aaron gordon,1.25,0.72,0.53
patrick beverley,1.24,0.75,0.49
pascal siakam,1.24,0.68,0.56
derrick white,1.19,1.08,0.11
clint capela,1.17,1.61,-0.44
eric gordon,1.15,-0.79,1.93
klay thompson,1.12,-0.46,1.58
bam adebayo,1.11,1.71,-0.6
kelly olynyk,1.09,0.89,0.19
montrezl harrell,1.08,-0.5,1.58
nemanja bjelica,1.07,0.88,0.19
jamal murray,1.04,-1.0,2.04
ed davis,1.0,2.03,-1.03
