Player,dpm,d_dpm,o_dpm
giannis antetokounmpo,7.16,2.66,4.5
joel embiid,6.35,2.39,3.96
lebron james,5.54,0.55,4.99
nikola jokic,5.32,1.37,3.95
jayson tatum,5.24,0.65,4.59
kawhi leonard,5.03,1.5,3.52
kevin durant,4.92,-0.17,5.08
stephen curry,4.83,0.05,4.78
chris paul,4.57,1.6,2.98
paul george,4.55,1.75,2.8
karl-anthony towns,4.33,0.46,3.87
damian lillard,4.31,-1.12,5.43
jimmy butler,4.07,1.2,2.87
kyrie irving,3.86,-0.5,4.35
devin booker,3.78,-0.89,4.67
jaylen brown,3.76,0.51,3.26
james harden,3.71,0.11,3.61
rudy gobert,3.66,3.74,-0.08
donovan mitchell,3.56,-0.98,4.54
jrue holiday,3.43,0.88,2.54
luka doncic,3.28,-0.65,3.93
bam adebayo,3.05,2.12,0.93
pascal siakam,2.87,0.81,2.05
robert williams iii,2.87,1.97,0.9
otto porter jr.,2.79,2.06,0.73
brandon ingram,2.66,-0.16,2.82
jared harper,2.54,0.84,1.7
isaiah hartenstein,2.53,2.0,0.53
trae young,2.53,-2.47,5.0
deandre ayton,2.48,1.25,1.23
ja morant,2.46,-1.32,3.78
robert covington,2.42,2.54,-0.12
mike conley,2.41,1.37,1.04
khris middleton,2.38,0.12,2.26
fred vanvleet,2.36,1.05,1.3
draymond green,2.32,3.55,-1.22
anthony davis,2.29,1.82,0.47
jusuf nurkic,2.25,2.1,0.15
jaren jackson jr.,2.21,1.44,0.76
marcus smart,2.21,1.5,0.72
anthony edwards,2.2,-0.22,2.42
dejounte murray,2.19,0.39,1.8
bogdan bogdanovic,2.05,0.01,2.04
desmond bane,1.99,0.56,1.43
steven adams,1.98,2.66,-0.68
lamelo ball,1.97,0.54,1.43
clint capela,1.84,1.68,0.17
kevon looney,1.84,2.28,-0.44
patrick beverley,1.77,1.92,-0.15
brook lopez,1.73,2.44,-0.71
danny green,1.69,2.06,-0.36
zion williamson,1.69,-0.67,2.36
jarred vanderbilt,1.68,1.93,-0.25
mitchell robinson,1.67,1.49,0.18
jonathan isaac,1.65,1.52,0.14
gary payton ii,1.64,1.72,-0.08
jakob poeltl,1.64,1.96,-0.32
cj mccollum,1.62,-0.53,2.15
ben simmons,1.59,1.01,0.58
shai gilgeous-alexander,1.57,-1.1,2.67
al horford,1.55,2.64,-1.09
christian wood,1.53,0.31,1.21
jarrett allen,1.5,1.32,0.18
jae crowder,1.5,1.86,-0.36
brandon clarke,1.49,0.81,0.68
andrew wiggins,1.48,0.92,0.56
montrezl harrell,1.47,0.22,1.25
michael porter jr.,1.46,0.32,1.14
jordan clarkson,1.45,-1.05,2.51
darius garland,1.44,-1.18,2.61
kyle lowry,1.44,1.13,0.32
enes kanter,1.39,1.36,0.03
kristaps porzingis,1.38,0.63,0.75
chris boucher,1.34,0.79,0.54
bradley beal,1.32,-1.19,2.51
willie cauley-stein,1.29,2.13,-0.85
david nwaba,1.29,0.91,0.38
jamal murray,1.28,-0.79,2.07
dorian finney-smith,1.27,0.88,0.38
jalen brunson,1.25,-0.65,1.89
mason plumlee,1.24,2.53,-1.29
immanuel quickley,1.22,0.25,0.98
mikal bridges,1.21,0.22,0.99
larry nance jr.,1.2,1.38,-0.18
bobby portis,1.15,0.78,0.37
miles bridges,1.13,-0.28,1.4
mike muscala,1.08,0.84,0.24
dwight powell,1.06,1.46,-0.41
hassan whiteside,1.05,1.28,-0.23
tobias harris,1.02,0.33,0.7
cody martin,0.99,1.15,-0.15
nicolas claxton,0.98,0.9,0.07
alec burks,0.96,0.74,0.22
herbert jones,0.96,1.75,-0.79
og anunoby,0.95,0.63,0.32
myles turner,0.93,1.62,-0.69
jonas valanciunas,0.93,1.03,-0.1
zach lavine,0.92,-0.98,1.9
maxi kleber,0.91,1.44,-0.53
de'anthony melton,0.9,0.98,-0.08
terry rozier,0.88,-0.72,1.59
dillon brooks,0.86,-0.12,0.98
reggie bullock,0.81,0.6,0.21
ricky rubio,0.8,0.94,-0.13
derrick jones jr.,0.79,1.27,-0.48
bruce brown,0.76,0.8,-0.04
tyus jones,0.74,0.02,0.73
jordan poole,0.74,-0.79,1.53
aaron gordon,0.74,-0.28,1.02
caleb martin,0.74,0.95,-0.21
richaun holmes,0.72,0.89,-0.17
derrick white,0.7,0.91,-0.21
delon wright,0.69,0.9,-0.21
alex caruso,0.67,1.55,-0.88
cameron johnson,0.65,-0.01,0.65
d'angelo russell,0.65,-1.06,1.71
domantas sabonis,0.63,0.1,0.53
saben lee,0.63,1.11,-0.48
kyle anderson,0.61,1.36,-0.75
kenrich williams,0.6,1.42,-0.82
keldon johnson,0.6,-0.41,1.02
nicolas batum,0.58,1.16,-0.57
lonzo ball,0.57,1.04,-0.47
monte morris,0.56,-0.75,1.31
kelly olynyk,0.52,0.34,0.18
obi toppin,0.51,-0.06,0.57
spencer dinwiddie,0.5,-0.54,1.04
klay thompson,0.48,-0.7,1.18
tyrese haliburton,0.48,-0.78,1.26
damian jones,0.48,0.94,-0.45
joe ingles,0.46,-0.13,0.59
michael carter-williams,0.42,1.67,-1.25
payton pritchard,0.41,-0.7,1.11
demar derozan,0.4,-1.23,1.63
john collins,0.37,0.56,-0.2
jordan mclaughlin,0.36,0.52,-0.15
demarcus cousins,0.33,0.45,-0.12
wendell carter jr.,0.33,1.04,-0.72
george hill,0.33,0.51,-0.19
al-farouq aminu,0.3,1.61,-1.31
scottie barnes,0.29,0.13,0.17
taj gibson,0.28,2.19,-1.9
josh okogie,0.27,1.61,-1.34
davis bertans,0.26,0.37,-0.11
john konchar,0.25,0.68,-0.43
jeremy lamb,0.25,0.11,0.13
naz reid,0.25,0.66,-0.41
t.j. warren,0.24,0.29,-0.06
derrick rose,0.24,-0.08,0.31
andre drummond,0.23,1.02,-0.78
willy hernangomez,0.22,-0.3,0.51
p.j. washington,0.22,0.62,-0.4
onyeka okongwu,0.21,0.87,-0.66
seth curry,0.21,-0.66,0.87
daniel gafford,0.2,-0.03,0.23
max strus,0.18,-0.14,0.32
paul reed,0.16,0.73,-0.57
tony bradley,0.14,1.04,-0.91
javonte green,0.11,0.54,-0.43
nah'shon hyland,0.11,-0.98,1.09
malcolm brogdon,0.11,-1.02,1.13
gordon hayward,0.11,-0.5,0.61
duncan robinson,0.11,-0.32,0.43
terence davis,0.09,-0.47,0.56
tristan thompson,0.08,0.95,-0.86
tim hardaway jr.,0.08,-0.73,0.81
lauri markkanen,0.07,-0.22,0.29
matisse thybulle,0.06,1.34,-1.28
will barton,0.03,-0.46,0.48
justise winslow,0.02,1.22,-1.2
maurice harkless,0.02,1.13,-1.11
josh green,-0.01,1.15,-1.16
james ennis iii,-0.03,0.21,-0.24
terance mann,-0.05,0.16,-0.21
jabari parker,-0.06,0.46,-0.52
dario saric,-0.08,-0.14,0.06
darren collison,-0.08,0.02,-0.11
nerlens noel,-0.09,2.04,-2.13
cody zeller,-0.09,0.41,-0.49
devin vassell,-0.1,0.01,-0.1
royce o'neale,-0.1,0.36,-0.47
isaac okoro,-0.11,0.65,-0.75
pat connaughton,-0.11,-0.51,0.4
moses brown,-0.11,0.0,-0.11
victor oladipo,-0.12,0.87,-0.98
josh hart,-0.13,-0.68,0.56
grayson allen,-0.13,-0.07,-0.07
danuel house jr.,-0.14,0.73,-0.87
mo bamba,-0.14,0.85,-0.99
malik beasley,-0.15,-0.73,0.58
thaddeus young,-0.15,1.72,-1.86
bojan bogdanovic,-0.15,-1.44,1.28
gary trent jr.,-0.18,-0.9,0.72
josh richardson,-0.19,-0.03,-0.16
norman powell,-0.2,-1.0,0.81
xavier tillman,-0.22,1.07,-1.29
kevin porter jr.,-0.23,-0.87,0.64
reggie jackson,-0.24,-0.48,0.24
luke kennard,-0.27,-1.16,0.89
jake layman,-0.27,0.06,-0.33
p.j. tucker,-0.27,1.79,-2.07
chris clemons,-0.28,0.32,-0.6
malik monk,-0.28,-1.08,0.81
goga bitadze,-0.29,0.08,-0.37
austin reaves,-0.29,-0.14,-0.15
kevin huerter,-0.3,-0.4,0.1
joe harris,-0.3,-0.33,0.03
brodric thomas,-0.31,0.43,-0.75
t.j. mcconnell,-0.32,0.12,-0.44
nassir little,-0.33,-0.38,0.05
russell westbrook,-0.35,-0.66,0.31
eric bledsoe,-0.35,0.28,-0.64
jevon carter,-0.35,0.45,-0.8
deandre' bembry,-0.36,0.67,-1.03
kevin love,-0.38,-0.3,-0.09
isaac bonga,-0.4,1.31,-1.71
luke kornet,-0.41,0.83,-1.24
killian tillie,-0.41,1.01,-1.42
khem birch,-0.43,0.89,-1.32
aaron holiday,-0.45,-0.09,-0.36
jae'sean tate,-0.46,-0.1,-0.36
jose alvarado,-0.46,0.39,-0.85
lindy waters iii,-0.46,-0.28,-0.18
buddy hield,-0.46,-1.23,0.77
cameron payne,-0.47,-0.22,-0.25
wayne ellington,-0.48,-0.1,-0.38
kendrick nunn,-0.49,-0.75,0.27
jaxson hayes,-0.5,0.43,-0.93
isaiah jackson,-0.51,-0.15,-0.36
trey murphy iii,-0.52,-0.21,-0.31
tyrese maxey,-0.53,-1.2,0.67
rudy gay,-0.53,0.36,-0.89
ivica zubac,-0.54,1.09,-1.62
de'aaron fox,-0.54,-1.59,1.06
frank ntilikina,-0.54,0.77,-1.31
donte divincenzo,-0.54,0.37,-0.92
shaquille harrison,-0.55,1.35,-1.89
boban marjanovic,-0.55,0.64,-1.19
wesley matthews,-0.57,0.9,-1.48
greg monroe,-0.57,0.88,-1.45
javale mcgee,-0.58,1.02,-1.6
tre jones,-0.61,-0.53,-0.08
troy brown jr.,-0.61,-0.01,-0.6
ziaire williams,-0.61,-0.68,0.06
garrison mathews,-0.61,-0.42,-0.19
naji marshall,-0.63,0.23,-0.86
grant williams,-0.63,0.41,-1.04
chuma okeke,-0.64,0.75,-1.39
damion lee,-0.65,-0.1,-0.55
andre iguodala,-0.66,2.31,-2.96
zach collins,-0.66,0.68,-1.34
franz wagner,-0.68,-0.47,-0.21
dean wade,-0.69,0.45,-1.14
taurean prince,-0.73,-0.38,-0.35
eric gordon,-0.76,-1.12,0.36
jaden mcdaniels,-0.76,0.2,-0.96
kelly oubre jr.,-0.77,-1.38,0.62
sam dekker,-0.77,0.0,-0.77
tyler herro,-0.77,-1.24,0.47
nikola vucevic,-0.78,-0.36,-0.42
jerami grant,-0.78,-0.19,-0.59
stanley johnson,-0.8,0.25,-1.05
john wall,-0.8,-0.1,-0.7
thomas bryant,-0.8,0.25,-1.04
cade cunningham,-0.8,-0.51,-0.29
jaylen nowell,-0.81,-1.03,0.22
dewayne dedmon,-0.81,1.09,-1.91
raul neto,-0.83,-0.36,-0.47
julius randle,-0.84,-1.04,0.2
dylan windler,-0.85,0.51,-1.36
tacko fall,-0.86,1.39,-2.25
justin holiday,-0.87,0.06,-0.93
danilo gallinari,-0.87,-0.9,0.03
justin champagnie,-0.87,0.17,-1.03
trevelin queen,-0.88,-0.5,-0.38
dennis smith jr.,-0.88,0.55,-1.43
rj barrett,-0.89,-1.14,0.25
rodney mcgruder,-0.89,-0.13,-0.77
evan fournier,-0.9,-0.9,0.0
doug mcdermott,-0.91,-1.27,0.35
patty mills,-0.91,-0.95,0.04
jaylen hoard,-0.94,-0.37,-0.57
serge ibaka,-0.94,0.58,-1.51
devonte' graham,-0.95,-0.94,-0.01
moses moody,-0.95,-0.47,-0.47
juancho hernangomez,-0.96,0.11,-1.08
gary harris,-0.96,0.1,-1.06
jalen smith,-0.96,-0.7,-0.25
sandro mamukelashvili,-0.97,-0.01,-0.96
daniel theis,-0.98,0.66,-1.64
tyrell terry,-0.98,-0.19,-0.78
derrick favors,-0.99,1.56,-2.55
markelle fultz,-0.99,-0.55,-0.44
