Player,dpm,d_dpm,o_dpm
channing frye,-0.06,0.1,-0.16
justin holiday,-0.09,0.57,-0.66
allen crabbe,-0.09,-0.78,0.69
reggie bullock,-0.09,-0.4,0.31
dirk nowitzki,-0.1,0.49,-0.58
ed davis,-0.11,1.47,-1.58
aron baynes,-0.11,2.2,-2.31
jonas valanciunas,-0.13,0.23,-0.35
jae crowder,-0.15,0.43,-0.57
nemanja bjelica,-0.17,0.05,-0.22
jeff withey,-0.22,0.81,-1.03
wilson chandler,-0.22,-0.55,0.33
bojan bogdanovic,-0.22,-0.65,0.43
mindaugas kuzminskas,-0.22,-0.39,0.17
robin lopez,-0.23,1.42,-1.65
kosta koufos,-0.25,1.43,-1.67
devin harris,-0.26,-0.39,0.13
malcolm brogdon,-0.28,-0.69,0.41
willie cauley-stein,-0.29,0.59,-0.89
evan fournier,-0.31,-1.27,0.95
josh hart,-0.33,-0.29,-0.03
mason plumlee,-0.33,0.47,-0.8
tim hardaway jr.,-0.38,-1.01,0.64
tobias harris,-0.38,-0.9,0.53
derrick white,-0.41,0.46,-0.87
mario chalmers,-0.42,0.56,-0.98
troy williams,-0.43,0.27,-0.7
justise winslow,-0.43,0.85,-1.27
jerian grant,-0.43,-0.2,-0.22
james michael mcadoo,-0.45,0.51,-0.97
patrick patterson,-0.47,0.48,-0.95
dennis schroder,-0.49,-1.23,0.75
rodney mcgruder,-0.49,-0.05,-0.44
noah vonleh,-0.5,0.32,-0.82
will barton,-0.51,-1.12,0.62
lou williams,-0.52,-2.94,2.42
luke kennard,-0.53,0.06,-0.59
joe harris,-0.56,-1.08,0.51
andrew bogut,-0.56,3.09,-3.64
nerlens noel,-0.56,1.72,-2.28
jonas jerebko,-0.57,0.22,-0.79
raul neto,-0.58,0.29,-0.87
alan williams,-0.59,0.92,-1.5
marreese speights,-0.59,-0.11,-0.49
kenneth faried,-0.6,-0.65,0.05
jamil wilson,-0.62,-0.28,-0.33
shelvin mack,-0.62,0.06,-0.68
matthew dellavedova,-0.62,-0.18,-0.44
enes kanter,-0.62,-1.37,0.75
glenn robinson iii,-0.63,0.03,-0.66
danuel house jr.,-0.65,-0.47,-0.18
trey lyles,-0.65,-0.46,-0.19
john collins,-0.65,0.42,-1.07
tyler zeller,-0.65,0.97,-1.62
alex caruso,-0.65,1.12,-1.77
jarrett allen,-0.66,0.45,-1.11
mario hezonja,-0.66,-0.01,-0.65
daniel theis,-0.67,0.37,-1.04
iman shumpert,-0.68,-0.01,-0.67
darrell arthur,-0.68,0.49,-1.17
solomon hill,-0.7,0.27,-0.97
jamychal green,-0.71,0.41,-1.12
quincy acy,-0.71,-0.07,-0.64
jeff green,-0.72,-0.55,-0.17
juancho hernangomez,-0.72,-0.77,0.05
yogi ferrell,-0.75,-0.33,-0.42
jonathan gibson,-0.77,-0.59,-0.18
ryan arcidiacono,-0.78,0.19,-0.97
andrew wiggins,-0.79,-1.16,0.37
c.j. williams,-0.8,-0.18,-0.62
darius miller,-0.81,-0.76,-0.05
wesley johnson,-0.82,1.33,-2.15
anthony brown,-0.82,-0.45,-0.37
t.j. warren,-0.83,-1.56,0.73
ty lawson,-0.83,-0.7,-0.12
corey brewer,-0.83,0.86,-1.7
damion lee,-0.85,-0.08,-0.77
brandon paul,-0.86,0.56,-1.41
ivica zubac,-0.88,0.73,-1.6
jeremy lin,-0.89,-0.37,-0.52
harrison barnes,-0.9,-0.69,-0.21
justin jackson,-0.9,-0.38,-0.52
chinanu onuaku,-0.91,0.4,-1.31
tomas satoransky,-0.91,-0.17,-0.74
sindarius thornwell,-0.92,0.55,-1.47
khem birch,-0.93,0.42,-1.35
taurean prince,-0.96,-0.47,-0.5
derrick walton jr.,-0.98,0.32,-1.3
michael carter-williams,-0.99,1.07,-2.05
mike james,-1.0,-0.48,-0.52
jerami grant,-1.0,0.25,-1.24
myke henry,-1.0,0.64,-1.63
dorian finney-smith,-1.0,0.27,-1.27
willie reed,-1.0,0.23,-1.23
malik beasley,-1.01,-0.48,-0.53
dante cunningham,-1.01,0.12,-1.13
cedi osman,-1.02,-0.36,-0.66
damyean dotson,-1.03,-0.53,-0.5
deandre' bembry,-1.03,0.19,-1.21
alex len,-1.03,0.46,-1.48
domantas sabonis,-1.03,-0.13,-0.9
kris dunn,-1.04,0.14,-1.17
dwyane wade,-1.04,-0.27,-0.77
frank mason,-1.04,0.21,-1.25
chandler parsons,-1.04,-0.72,-0.32
michael beasley,-1.05,-0.79,-0.26
james young,-1.06,-0.53,-0.53
caris levert,-1.06,-0.66,-0.4
josh huestis,-1.08,0.6,-1.68
derrick jones jr.,-1.08,0.03,-1.11
doug mcdermott,-1.08,-0.63,-0.45
johnathan motley,-1.09,-0.57,-0.52
d'angelo russell,-1.09,-1.6,0.5
shaun livingston,-1.1,-0.38,-0.72
jordan crawford,-1.12,-2.03,0.91
sean kilpatrick,-1.12,-1.39,0.27
tyler ennis,-1.13,0.04,-1.17
denzel valentine,-1.13,-0.15,-0.98
luol deng,-1.13,0.33,-1.46
james ennis iii,-1.14,-0.44,-0.7
xavier silas,-1.14,0.01,-1.15
shabazz muhammad,-1.15,-1.87,0.72
devin booker,-1.17,-2.09,0.92
jabari parker,-1.17,-1.05,-0.12
isaiah canaan,-1.17,-0.68,-0.48
lorenzo brown,-1.17,0.0,-1.17
dakari johnson,-1.19,0.84,-2.02
emeka okafor,-1.19,1.79,-2.98
julius randle,-1.19,-1.32,0.13
trevor booker,-1.2,0.14,-1.34
kyle collinsworth,-1.2,0.39,-1.59
marco belinelli,-1.2,-1.64,0.43
josh magette,-1.2,-0.09,-1.1
wade baldwin iv,-1.21,0.1,-1.31
tristan thompson,-1.22,-0.08,-1.14
