player_name,dpm,d_dpm,o_dpm
Giannis Antetokounmpo,6.78,3.23,3.55
LeBron James,6.46,1.43,5.03
Kawhi Leonard,6.15,1.64,4.51
James Harden,5.91,0.14,5.77
Chris Paul,5.68,2.04,3.63
Stephen Curry,5.46,0.38,5.08
Paul George,4.68,2.03,2.66
Kyle Lowry,4.61,2.27,2.34
Nikola Jokic,4.49,1.29,3.19
Damian Lillard,4.36,-1.61,5.97
Anthony Davis,4.24,2.12,2.12
Jayson Tatum,3.82,1.28,2.54
Rudy Gobert,3.73,3.84,-0.11
Khris Middleton,3.6,1.22,2.38
Joel Embiid,3.56,2.54,1.02
Eric Bledsoe,3.42,1.99,1.44
Luka Doncic,3.37,-1.59,4.96
Jimmy Butler,3.36,1.06,2.3
Karl-Anthony Towns,3.25,-0.74,3.99
Jrue Holiday,3.23,1.16,2.06
Kemba Walker,3.21,0.08,3.13
Kevin Durant,3.01,-0.15,3.16
Ricky Rubio,2.91,1.6,1.31
Kyrie Irving,2.87,-0.81,3.68
Steven Adams,2.65,2.65,0.0
Kristaps Porzingis,2.52,0.94,1.58
Draymond Green,2.48,3.37,-0.88
Brook Lopez,2.44,2.83,-0.38
Bradley Beal,2.43,-1.73,4.16
Russell Westbrook,2.4,0.02,2.37
Donovan Mitchell,2.37,-0.86,3.22
Danny Green,2.3,2.06,0.24
Robert Covington,2.25,2.84,-0.59
Victor Oladipo,2.23,1.66,0.57
Gordon Hayward,2.2,0.36,1.84
Jamal Murray,2.15,-0.85,3.01
Marcus Smart,2.1,1.56,0.54
CJ McCollum,2.06,0.28,1.78
Andre Roberson,2.03,2.55,-0.52
Danilo Gallinari,1.98,-0.55,2.54
Derrick Favors,1.92,2.35,-0.42
Bam Adebayo,1.91,1.0,0.9
Jusuf Nurkic,1.88,1.72,0.16
Dwight Powell,1.87,0.97,0.91
Otto Porter Jr.,1.83,0.61,1.22
Nikola Vucevic,1.79,1.78,0.01
Derrick White,1.75,0.57,1.18
Richaun Holmes,1.7,1.32,0.38
Mikal Bridges,1.67,1.21,0.46
George Hill,1.63,0.33,1.3
Devin Booker,1.62,-1.73,3.35
Christian Wood,1.61,-0.24,1.85
Jonathan Isaac,1.59,1.95,-0.37
Patrick Beverley,1.55,1.48,0.08
John Wall,1.52,0.43,1.09
T.J. Warren,1.51,-0.12,1.63
Jakob Poeltl,1.44,1.83,-0.4
Marcus Morris Sr.,1.41,0.63,0.78
Marc Gasol,1.37,2.91,-1.53
Klay Thompson,1.32,-0.21,1.53
Kevon Looney,1.31,1.35,-0.05
Jaylen Brown,1.31,-0.05,1.36
Paul Millsap,1.31,1.86,-0.55
Fred VanVleet,1.27,0.43,0.84
Pascal Siakam,1.24,0.48,0.75
Mitchell Robinson,1.2,0.41,0.79
Patty Mills,1.19,-0.7,1.88
Davis Bertans,1.1,-0.39,1.49
Zion Williamson,1.06,-1.1,2.16
Blake Griffin,1.05,-0.41,1.47
Larry Nance Jr.,1.03,0.75,0.29
Joe Ingles,1.03,0.36,0.67
Domantas Sabonis,1.0,0.84,0.17
Trae Young,1.0,-3.06,4.06
Goran Dragic,1.0,-0.81,1.81
Caris LeVert,0.99,-0.54,1.52
Ivica Zubac,0.97,1.56,-0.59
John Henson,0.96,2.15,-1.19
Jaxson Hayes,0.95,1.37,-0.41
Aaron Gordon,0.94,0.56,0.38
Alex Caruso,0.92,1.78,-0.86
Shai Gilgeous-Alexander,0.89,0.05,0.85
Spencer Dinwiddie,0.89,-0.85,1.75
Serge Ibaka,0.89,1.06,-0.17
Hassan Whiteside,0.89,1.11,-0.22
Michael Carter-Williams,0.87,1.18,-0.31
Jevon Carter,0.87,1.15,-0.28
Ben Simmons,0.85,0.15,0.71
LaMarcus Aldridge,0.83,0.54,0.29
