Player,dpm,d_dpm,o_dpm
giannis antetokounmpo,7.31,2.6,4.71
kawhi leonard,6.51,1.48,5.02
lebron james,6.48,1.45,5.03
joel embiid,5.99,2.64,3.35
kevin durant,5.68,0.45,5.23
paul george,5.07,1.44,3.63
james harden,5.0,-0.29,5.3
rudy gobert,4.87,4.49,0.38
stephen curry,4.59,-0.65,5.24
nikola jokic,4.44,0.81,3.63
chris paul,4.25,1.27,2.98
damian lillard,3.97,-1.68,5.65
anthony davis,3.75,2.28,1.46
jimmy butler,3.72,1.25,2.47
kyrie irving,3.63,-0.79,4.42
jrue holiday,3.53,0.99,2.53
mike conley,3.43,0.55,2.88
donovan mitchell,3.1,-1.05,4.15
karl-anthony towns,2.96,-0.06,3.02
devin booker,2.88,-1.13,4.01
luka doncic,2.86,-1.23,4.09
jayson tatum,2.81,-0.55,3.36
cj mccollum,2.78,0.07,2.71
trae young,2.78,-2.17,4.95
jusuf nurkic,2.72,2.7,0.03
kyle lowry,2.68,1.0,1.67
khris middleton,2.45,0.23,2.23
brook lopez,2.45,2.51,-0.06
bradley beal,2.35,-1.7,4.05
clint capela,2.35,2.18,0.17
jaylen brown,2.34,-0.52,2.86
kemba walker,2.3,-0.53,2.83
danny green,2.19,2.07,0.12
dwight powell,2.18,1.75,0.43
russell westbrook,2.16,0.11,2.04
tobias harris,2.11,0.56,1.55
jonas valanciunas,2.11,1.39,0.72
draymond green,2.03,3.16,-1.13
paul millsap,2.0,2.18,-0.19
bam adebayo,1.99,1.02,0.97
deandre ayton,1.95,1.43,0.52
ben simmons,1.95,1.23,0.72
jamal murray,1.92,-1.06,2.99
michael porter jr.,1.89,-0.31,2.2
robert williams iii,1.89,1.33,0.56
derrick white,1.87,0.64,1.23
fred vanvleet,1.86,0.87,0.99
zion williamson,1.81,-0.89,2.7
robert covington,1.79,2.11,-0.31
marcus smart,1.78,0.96,0.81
mikal bridges,1.77,0.45,1.32
jonathan isaac,1.75,1.59,0.16
kyle anderson,1.73,1.53,0.2
pascal siakam,1.73,0.33,1.4
jakob poeltl,1.69,2.38,-0.7
daniel gafford,1.68,0.47,1.21
patrick beverley,1.66,1.75,-0.09
brandon ingram,1.59,-1.1,2.69
nicolas batum,1.51,0.87,0.64
chris boucher,1.46,0.39,1.07
richaun holmes,1.43,0.7,0.73
zach lavine,1.39,-0.94,2.34
og anunoby,1.37,0.85,0.52
joe ingles,1.37,0.26,1.1
domantas sabonis,1.35,0.53,0.82
jae crowder,1.34,1.02,0.32
willie cauley-stein,1.33,2.08,-0.75
john collins,1.26,0.58,0.68
andre roberson,1.21,2.12,-0.91
mitchell robinson,1.21,0.86,0.34
serge ibaka,1.21,1.08,0.14
ivica zubac,1.17,1.99,-0.82
jarred vanderbilt,1.17,1.31,-0.14
myles turner,1.14,1.97,-0.83
dewayne dedmon,1.13,1.58,-0.45
otto porter jr.,1.12,0.78,0.34
de'anthony melton,1.09,1.54,-0.45
brandon clarke,1.08,1.21,-0.13
christian wood,1.01,0.07,0.94
david nwaba,0.98,0.94,0.05
kristaps porzingis,0.98,-0.32,1.3
reggie jackson,0.97,-0.64,1.61
kelly olynyk,0.94,0.43,0.51
jalen brunson,0.93,-0.61,1.54
shai gilgeous-alexander,0.87,-0.9,1.77
kent bazemore,0.87,1.72,-0.85
enes kanter,0.86,0.33,0.53
bogdan bogdanovic,0.85,-0.18,1.03
ricky rubio,0.84,0.6,0.24
steven adams,0.83,1.54,-0.71
