Player,G,MP,On-Off
mikal bridges,82,2854,9.5
miles bridges,80,2837,5.8
demar derozan,76,2743,5.1
jayson tatum,76,2731,13.8
saddiq bey,82,2704,-4.7
tyrese haliburton,77,2695,-1.5
russell westbrook,78,2678,-3.6
trae young,76,2652,3.4
tyrese maxey,75,2650,2.2
dorian finney-smith,80,2644,3.8
scottie barnes,74,2617,-2.0
harrison barnes,77,2587,-3.6
pascal siakam,68,2578,6.6
julius randle,72,2544,-9.5
tobias harris,73,2543,1.7
jalen brunson,79,2524,2.3
buddy hield,81,2499,1.3
nikola jokic,74,2476,16.4
karl-anthony towns,74,2476,6.3
anthony edwards,72,2466,3.4
fred vanvleet,65,2462,4.1
terry rozier,73,2458,1.6
gary trent jr.,70,2448,3.0
darius garland,68,2430,12.1
franz wagner,79,2429,8.4
lamelo ball,75,2422,1.7
james harden,65,2419,2.7
nikola vucevic,73,2418,-3.7
rj barrett,70,2417,-7.9
royce o'neale,77,2406,-2.9
keldon johnson,75,2392,4.0
aaron gordon,75,2376,9.0
dejounte murray,68,2366,2.3
evan fournier,80,2358,-6.7
patty mills,81,2346,0.0
devin booker,68,2345,4.8
reggie jackson,75,2337,-2.9
herbert jones,78,2335,6.3
evan mobley,69,2331,0.0
kentavious caldwell-pope,77,2329,-3.1
andrew wiggins,73,2329,0.5
zach lavine,67,2328,-0.7
alec burks,81,2318,6.6
terance mann,81,2317,4.1
luka doncic,65,2301,0.2
joel embiid,68,2297,11.5
marcus smart,71,2296,4.7
jordan poole,76,2283,1.4
will barton,71,2277,-1.2
desmond bane,76,2266,3.8
donovan mitchell,67,2266,-0.8
jonas valanciunas,74,2240,3.9
monte morris,75,2239,8.1
jaylen brown,66,2220,5.4
stephen curry,64,2211,10.0
jrue holiday,67,2207,14.0
giannis antetokounmpo,67,2204,11.0
kyle kuzma,66,2204,-5.3
derrick white,75,2199,3.2
kevin huerter,74,2188,4.8
devonte' graham,76,2162,2.4
tyler herro,66,2151,2.5
cj mccollum,62,2145,6.3
jordan clarkson,79,2141,4.7
khris middleton,66,2141,5.2
malik monk,76,2139,6.3
chris paul,65,2139,5.4
jalen green,67,2138,-6.7
domantas sabonis,62,2136,4.3
seth curry,64,2135,1.6
kyle lowry,63,2133,2.1
bojan bogdanovic,69,2131,-2.8
jaren jackson jr.,78,2126,4.1
rudy gobert,66,2120,7.1
ayo dosunmu,77,2110,-8.7
christian wood,68,2094,-1.2
cade cunningham,64,2088,2.7
lebron james,56,2084,2.1
de'aaron fox,59,2083,2.0
d'angelo russell,65,2077,3.2
davion mitchell,75,2076,-1.0
cole anthony,65,2059,4.9
mike conley,72,2058,3.3
justin holiday,74,2057,-0.4
jae'sean tate,78,2056,-1.4
kevin durant,55,2047,11.9
duncan robinson,79,2043,-4.7
clint capela,74,2042,3.9
bobby portis,72,2028,7.9
al horford,69,2005,3.3
steven adams,76,1999,4.2
kelly oubre jr.,76,1999,-2.1
deni avdija,82,1984,5.2
p.j. tucker,71,1981,2.1
isaac okoro,67,1981,2.9
spencer dinwiddie,67,1980,0.0
malik beasley,79,1976,-2.9
jakob poeltl,68,1970,5.3
shai gilgeous-alexander,56,1942,2.9
robert covington,71,1940,10.7
devin vassell,71,1937,1.2
jimmy butler,57,1931,2.3
darius bazley,69,1924,-6.4
luke kennard,70,1919,7.1
kevin porter jr.,61,1907,4.0
reggie bullock,68,1902,7.4
ja morant,57,1889,-1.7
jae crowder,67,1886,5.4
jarred vanderbilt,74,1880,5.3
lauri markkanen,61,1878,4.1
grant williams,77,1875,-6.0
brandon ingram,55,1869,8.1
cody martin,71,1866,0.0
ivica zubac,76,1852,-6.8
wendell carter jr.,62,1852,8.8
jeff green,75,1849,-0.7
mitchell robinson,72,1848,-3.9
bogdan bogdanovic,63,1848,6.3
dennis schroder,64,1837,-8.1
bam adebayo,56,1825,5.5
mo bamba,71,1824,-2.1
isaiah stewart,71,1816,-3.1
jarrett allen,56,1809,4.2
grayson allen,66,1805,4.4
robert williams,61,1804,4.0
jaden mcdaniels,70,1803,-4.6
immanuel quickley,78,1802,13.8
corey kispert,77,1801,5.8
dwight powell,82,1798,-1.2
mason plumlee,73,1793,1.2
carmelo anthony,69,1793,0.3
josh hart,54,1791,-3.5
caris levert,58,1781,0.4
bruce brown,72,1774,-1.6
p.j. washington,65,1768,4.2
chuma okeke,70,1749,-1.9
georges niang,76,1736,-2.6
kevon looney,82,1732,0.7
cameron johnson,66,1730,-1.5
gary harris,61,1730,3.5
og anunoby,48,1728,3.1
precious achiuwa,73,1725,0.0
deandre ayton,58,1713,3.7
garrison mathews,65,1712,3.5
josh giddey,54,1700,-0.3
pat connaughton,65,1691,-7.2
chris boucher,80,1690,6.0
matisse thybulle,66,1685,3.0
anfernee simons,57,1681,11.4
coby white,61,1675,-1.2
danilo gallinari,66,1672,1.9
eric gordon,57,1669,4.9
kevin love,74,1665,-2.2
luguentz dort,51,1665,-0.3
john collins,54,1663,-1.4
de'anthony melton,73,1657,1.3
kj martin,79,1656,2.7
killian hayes,66,1647,-4.2
montrezl harrell,71,1641,6.0
lonnie walker iv,70,1612,-3.7
cory joseph,65,1600,2.6
josh richardson,65,1600,-1.9
torrey craig,78,1596,-5.8
gabe vincent,68,1589,-2.9
max strus,68,1587,0.7
jusuf nurkic,56,1579,13.8
de'andre hunter,53,1577,-1.6
amir coffey,69,1567,-1.1
oshae brissett,67,1564,-3.1
marcus morris,54,1564,-8.2
gordon hayward,49,1564,-1.2
tyus jones,73,1549,3.5
chris duarte,55,1541,3.0
trey lyles,75,1537,-0.7
javonte green,65,1519,3.4
talen horton-tucker,60,1511,0.7
jerami grant,47,1500,0.9
alperen sengun,72,1489,-2.5
kyle anderson,69,1484,-4.5
kristaps porzingis,51,1481,-1.1
austin rivers,67,1480,0.8
patrick beverley,58,1476,2.1
nickeil alexander-walker,65,1466,-5.6
cedi osman,66,1462,-6.3
nicolas batum,59,1462,-8.3
norman powell,45,1458,1.3
delon wright,77,1452,1.9
maxi kleber,59,1450,0.8
terrence ross,63,1448,-7.1
daniel gafford,72,1444,-5.4
bradley beal,40,1439,0.1
landry shamet,69,1437,-4.3
andre drummond,73,1437,0.2
austin reaves,61,1418,6.5
furkan korkmaz,67,1414,-2.9
avery bradley,62,1406,-2.5
anthony davis,40,1404,-0.2
r.j. hampton,64,1402,-9.5
jaxson hayes,70,1398,2.8
otto porter jr.,63,1396,1.6
raul neto,70,1372,1.2
caleb martin,60,1372,3.7
tre mann,60,1367,-4.0
eric bledsoe,54,1361,-2.3
danny green,62,1353,-0.5
ziaire williams,62,1346,-1.6
josh christopher,74,1334,-2.3
draymond green,46,1329,1.3
bones hyland,69,1310,-1.3
jalen suggs,48,1307,1.0
john konchar,72,1292,-2.6
bryn forbes,75,1286,-1.1
ben mclemore,64,1285,-6.7
chimezie metu,60,1279,-0.3
cameron payne,58,1278,-2.4
hamidou diallo,58,1269,-0.2
damion lee,63,1256,-4.3
george hill,54,1253,11.9
gary payton ii,71,1247,5.9
brandon clarke,64,1246,3.2
tim hardaway jr.,42,1245,-3.3
drew eubanks,71,1245,-9.8
myles turner,42,1235,5.2
aleksej pokusevski,61,1233,7.3
obi toppin,72,1230,9.9
doug mcdermott,51,1223,-4.7
isaiah hartenstein,68,1216,9.9
naz reid,77,1215,-8.7
lonzo ball,35,1212,4.5
aaron wiggins,50,1209,1.5
malcolm brogdon,36,1206,3.8
james johnson,62,1191,-3.2
jonathan kuminga,70,1185,-5.3
jordan nwora,62,1185,-9.0
facundo campazzo,65,1184,-15.2
shake milton,55,1179,-5.7
taurean prince,69,1177,-3.6
cam thomas,67,1176,-10.9
cj elleby,58,1174,-8.4
javale mcgee,74,1172,-4.7
frank jackson,53,1164,1.1
hassan whiteside,65,1162,5.7
tre jones,69,1148,-0.9
alex caruso,41,1147,7.4
marvin bagley iii,48,1146,0.8
nemanja bjelica,71,1142,-1.2
ish smith,65,1126,-5.8
joe ingles,45,1122,2.5
garrett temple,59,1098,-17.9
stanley johnson,48,1094,2.6
kyrie irving,29,1091,5.8
nassir little,42,1088,11.3
jeremiah robinson-earl,49,1087,-3.6
jamychal green,67,1085,-7.0
paul george,31,1077,5.7
richaun holmes,45,1074,-0.6
kenrich williams,49,1072,13.1
dewayne dedmon,67,1065,-2.0
damian lillard,29,1056,10.1
troy brown jr.,66,1055,-1.4
lamarcus aldridge,47,1050,0.1
larry nance jr.,46,1040,7.8
josh green,67,1039,-0.1
rudy gay,55,1038,3.6
deandre' bembry,56,1026,0.0
aaron holiday,63,1021,-3.2
damian jones,56,1017,-4.2
lamar stevens,63,1015,-3.6
cam reddish,49,1012,-13.2
donte divincenzo,42,1006,-2.4
wesley matthews,49,1002,6.8
payton pritchard,71,1001,-5.6
juan toscano-anderson,73,994,-1.4
onyeka okongwu,48,992,4.4
khem birch,55,991,-2.7
kessler edwards,48,987,-4.4
dean wade,51,980,0.5
daniel theis,47,977,-1.3
jaylen nowell,62,975,0.7
nic claxton,47,974,-0.9
dwight howard,60,971,-4.1
ricky rubio,34,970,9.0
duane washington jr.,48,968,-5.0
joshua primo,50,965,-5.0
moritz wagner,63,960,0.5
blake griffin,56,958,-8.0
keita bates-diop,59,956,2.2
isaiah roby,45,948,-1.4
kemba walker,37,948,-13.1
taj gibson,52,946,4.9
rui hachimura,42,943,-3.4
klay thompson,32,941,-2.9
jeremy lamb,56,935,5.0
jalen smith,51,925,0.7
theo maledon,51,908,-4.4
tomas satoransky,55,906,-6.6
jevon carter,66,905,-4.1
jordan mclaughlin,62,902,-0.9
derrick jones jr.,51,899,3.3
tristan thompson,57,897,-0.6
jalen mcdaniels,55,895,2.9
dillon brooks,32,885,7.4
d.j. augustin,55,883,-5.8
serge ibaka,54,877,-4.0
trendon watford,48,869,-12.6
trey murphy iii,62,864,-0.2
maurice harkless,47,863,1.2
thaddeus young,52,845,0.6
armoni brooks,54,844,1.1
willy hernangomez,50,839,-1.0
jose alvarado,54,834,11.7
josh jackson,51,830,-1.7
tony snell,53,823,-1.1
lance stephenson,46,814,-4.4
wayne ellington,43,810,-1.0
davis bertans,56,807,2.1
ty jerome,48,801,6.2
lou williams,56,799,-1.6
quentin grimes,46,786,-1.7
justise winslow,48,774,6.5
romeo langford,48,771,-6.7
trent forrest,60,765,0.2
kelly olynyk,40,764,2.8
brandon boston jr.,51,760,-2.9
rodney mcgruder,51,754,5.9
eric paschall,58,736,-10.0
naji marshall,55,735,-1.6
goga bitadze,50,729,1.2
danuel house jr.,42,727,2.0
demarcus cousins,48,718,-0.7
svi mykhailiuk,56,716,-10.7
terry taylor,33,714,-5.7
rodney hood,52,709,-2.7
omer yurtseven,56,706,0.3
xavier tillman sr.,53,701,-7.4
zeke nnaji,41,698,-7.0
keon johnson,37,697,-14.4
rajon rondo,39,697,-8.3
dalano banton,64,696,-0.2
vit krejci,30,690,-4.8
frank ntilikina,58,685,1.1
timothe luwawu-cabarrot,52,685,-5.4
davon reed,48,668,-2.4
derrick favors,39,653,-0.9
t.j. mcconnell,27,652,-0.9
greg brown iii,48,640,-10.1
brandon williams,24,640,-14.9
dennis smith jr.,37,638,0.2
derrick rose,26,636,7.2
sterling brown,49,628,-2.1
deandre jordan,48,622,-9.5
alex len,39,620,0.1
robin lopez,36,612,2.0
isaiah joe,55,609,-0.6
david nwaba,46,609,-0.4
moses moody,52,607,-10.2
saben lee,37,604,0.0
andre iguodala,31,603,5.2
mike muscala,43,592,10.4
jock landale,54,589,-1.9
aaron nesmith,52,574,-3.8
keifer sykes,32,566,-5.0
nerlens noel,25,562,-5.4
jericho sims,41,555,8.9
tony bradley,55,549,9.5
elfrid payton,50,549,-12.3
kent bazemore,39,545,-7.0
isaiah jackson,36,541,-0.8
malachi flynn,44,537,-5.0
ignas brazdeikis,42,536,-8.8
terence davis,30,536,12.8
josh okogie,49,516,0.6
bismack biyombo,36,506,-3.7
brandon goodwin,36,502,-8.1
zach collins,28,502,2.4
goran dragic,21,498,-1.7
thanasis antetokounmpo,48,473,-15.6
admiral schofield,38,469,-4.5
lindy waters iii,25,465,3.8
anthony gill,44,463,13.1
trevor ariza,24,462,-1.9
killian tillie,36,461,-4.2
dylan windler,50,459,-2.4
matt thomas,40,459,3.3
kelan martin,30,450,-2.7
yuta watanabe,38,445,-7.7
juancho hernangomez,40,445,-4.4
trey burke,42,441,-5.4
thomas bryant,27,439,-6.6
elijah hughes,36,434,-20.9
joe harris,14,423,0.5
patrick williams,17,422,-7.7
olivier sarr,22,421,7.5
enes freedom,35,411,1.4
sandro mamukelashvili,41,407,-23.7
semi ojeleye,30,406,-19.9
day'ron sharpe,32,391,5.5
luka garza,32,389,0.6
isaiah livers,19,383,6.6
gary clark,38,378,1.2
paul millsap,33,376,-6.4
miles mcbride,40,372,16.5
chris chiozza,34,372,-14.1
gorgui dieng,44,371,-11.3
nick richards,50,367,-14.1
jared butler,42,360,-6.9
santi aldama,32,360,-3.8
markelle fultz,18,360,4.8
ish wainright,45,359,-2.8
wenyen gabriel,26,358,6.5
cody zeller,27,355,6.8
keljin blevins,31,349,-20.8
marquese chriss,34,346,-8.3
moses brown,40,345,-10.2
kira lewis jr.,24,341,-15.8
david duke jr.,22,341,-3.1
pj dozier,18,340,-16.3
jarrett culver,37,338,-9.3
kris dunn,14,336,-3.7
isaiah thomas,22,333,-2.7
brad wanamaker,23,320,-0.9
collin sexton,11,316,-9.0
justin anderson,16,316,1.1
james bouknight,31,304,-8.9
justin robinson,25,304,-18.3
paul reed,38,302,-9.0
markieff morris,17,298,-0.9
brook lopez,13,298,-5.1
justin champagnie,36,281,6.4
nathan knight,37,267,2.1
michael porter jr.,9,265,7.7
jt thor,33,262,-0.1
daishen nix,24,261,1.2
kz okpala,21,244,-0.3
leandro bolmaro,35,241,-2.2
jaylen hoard,7,240,-10.0
usman garuba,24,239,16.6
mychal mulder,17,239,-6.2
jake layman,34,231,-4.8
denzel valentine,24,222,-7.7
kevin knox,30,222,-17.2
skylar mays,28,220,-14.3
georgios kalaitzakis,13,214,-24.7
malcolm hill,19,212,-7.0
tim frazier,12,208,-11.9
alfonzo mckinnie,17,206,-13.0
joe wieskamp,29,205,-1.2
ed davis,31,201,0.7
tyler cook,20,200,-7.9
javonte smart,17,200,-14.0
lindell wigginton,19,199,-14.3
braxton key,11,197,14.3
udoka azubuike,17,195,-6.5
greg monroe,14,195,-2.3
mamadi diakite,13,188,2.6
reggie perry,10,187,-12.0
kyle guy,19,186,-18.6
willie cauley-stein,20,183,2.7
frank kaminsky,9,181,1.1
charlie brown jr.,22,177,-3.2
markus howard,31,176,-7.3
vlatko cancar,15,176,-2.6
jamorko pickett,13,176,6.8
zavier simpson,4,174,-18.6
victor oladipo,8,173,-6.3
hassani gravett,8,171,8.3
charles bassey,23,168,-13.8
alize johnson,23,167,-10.4
kevin pangos,24,166,-14.8
haywood highsmith,19,163,-14.3
sam hauser,26,158,-5.3
paul watson,9,156,-10.4
cassius stanley,9,155,3.8
bruno fernando,30,152,-6.0
theo pinson,19,148,-15.2
abdel nader,14,145,-9.7
devin cannady,5,145,5.1
solomon hill,13,139,14.6
xavier moon,10,137,0.6
jahmi'us ramsey,19,134,-4.0
didi louzada,9,129,-24.4
boban marjanovic,23,128,12.6
marcus garrett,12,128,5.1
jay scrubb,18,121,6.1
devontae cacok,15,121,-2.8
jalen johnson,22,120,-8.5
neemias queta,15,120,3.1
melvin frazier,3,120,-31.4
freddie gillespie,9,119,-2.8
jabari parker,12,112,-9.2
derrick walton,3,108,6.0
jeff dowtin jr.,9,108,-8.3
langston galloway,7,107,-5.4
louis king,10,104,-9.5
chaundee brown jr.,5,104,-8.7
luke kornet,15,103,1.2
chris silva,10,91,-18.1
tyler johnson,6,91,-7.4
devon dotson,11,85,0.5
udonis haslem,13,83,-15.6
wes iwundu,3,82,-1.1
bol bol,14,81,-0.6
carsen edwards,4,79,-0.8
ryan arcidiacono,10,76,-7.7
tyrone wallace,6,75,-5.3
isaiah todd,12,74,-17.0
trevelin queen,10,74,12.9
aleem ford,5,74,-13.2
quinndary weatherspoon,11,73,-12.8
yves pons,12,71,-25.8
rayjon tucker,5,71,-7.4
isaac bonga,15,69,-22.9
brandon knight,5,65,-12.1
b.j. johnson,4,65,-3.0
kai jones,21,63,-8.4
rj nembhard jr.,14,63,-10.5
malik fitts,15,63,-20.0
brodric thomas,12,60,-4.9
tacko fall,11,59,-2.4
sam merrill,6,58,-17.5
gabriel deck,7,56,-3.9
james ennis iii,7,56,-0.2
d.j. wilson,4,54,-16.3
myles powell,11,52,-17.5
