Player,G,MP,On-Off
mason jones,4,51,20.9
tremont waters,3,50,-19.7
cameron mcgriff,3,46,16.6
miye oni,16,44,-35.3
gabriel lundberg,4,44,7.5
vernon carey jr.,7,44,-47.1
jared harper,5,43,4.8
cameron oliver,2,43,1.7
robert woodard ii,12,42,18.2
sharife cooper,13,39,-44.8
cassius winston,7,39,-10.8
xavier sneed,9,39,-16.6
nik stauskas,8,39,22.3
petr cornelie,13,38,3.7
darren collison,3,37,-18.8
justin jackson,7,37,-30.0
marko simonovic,9,35,9.7
cheick diallo,3,31,-37.6
micah potter,3,31,-48.6
juwan morgan,2,31,-30.2
jordan schakel,4,30,6.6
daniel oturu,3,27,-44.6
deividas sirvydis,3,27,-37.8
mac mcclung,2,25,12.5
shaquille harrison,2,23,-12.2
carlik jones,5,23,-36.7
chandler hutchison,6,22,23.0
damyean dotson,2,21,8.1
gabe york,2,21,-6.7
joel ayayi,7,20,3.5
jay huff,4,20,34.8
mckinley wright iv,5,19,-20.9
george king,4,19,-63.9
norvel pelle,3,19,-62.4
wayne selden,3,19,-29.2
craig sword,3,19,17.8
eugene omoruyi,4,18,-1.0
emanuel terry,3,18,-59.4
scotty hopson,1,18,-5.9
aaron henry,6,17,-54.1
trayvon palmer,1,17,-26.0
dakota mathias,6,16,-43.5
jaylen morris,3,16,14.2
sekou doumbouya,2,16,68.9
jemerrio jones,2,15,-40.4
moses wright,4,14,-25.1
cat barber,3,13,34.0
jarron cumberland,3,12,39.5
jaquori mclaughlin,4,11,-45.5
rob edwards,2,11,-43.5
emmanuel mudiay,2,11,-11.0
tre scott,2,11,18.3
shaq buchanan,2,10,-14.5
daquan jeffries,3,9,-34.0
jon teske,3,8,-31.7
feron hunt,2,8,-1.4
anthony lamb,2,8,25.8
m.j. walker,2,8,-19.5
malik newman,1,8,-1.3
paris bass,2,7,4.8
scottie lewis,2,7,-27.3
jaysean paige,1,7,-61.7
jordan goodwin,2,6,-96.8
jaden springer,2,6,-62.6
arnoldas kulboka,2,5,-90.7
zylan cheatham,1,5,-124.4
matt ryan,1,5,27.9
tyrell terry,2,3,-30.8
javin delaurier,1,3,82.6
jaime echenique,1,3,-21.7
nate hinton,2,2,97.4
david johnson,2,2,-52.2
jordan bell,1,2,25.3
tyler hall,1,2,-90.3
joe johnson,1,2,-132.8
c.j. miles,1,2,-132.8
matt mooney,1,2,-90.3
ahmad caver,1,1,104.1
sam dekker,1,1,-252.2
dejon jarreau,1,1,4.1
ade murkey,1,1,-11.2
