Player,G,MP,On-Off
Bradley Beal,82,3028,2.5
James Harden,78,2867,5.5
Kemba Walker,82,2863,6.2
Tobias Harris,82,2847,-2.2
Paul George,77,2841,16.5
Damian Lillard,80,2838,13.7
P.J. Tucker,82,2802,-0.9
Kevin Durant,78,2702,16.1
Ben Simmons,79,2700,-1.6
DeMar DeRozan,77,2688,-5.1
LaMarcus Aldridge,81,2687,-1.8
Steven Adams,80,2669,9.5
Klay Thompson,78,2652,0.4
Andre Drummond,79,2647,10.0
Aaron Gordon,78,2633,2.6
Russell Westbrook,73,2630,5.0
Blake Griffin,75,2622,2.1
Buddy Hield,82,2615,1.7
Jerami Grant,80,2612,5.2
Justin Holiday,82,2607,-3.7
Collin Sexton,82,2605,-8.0
Donovan Mitchell,77,2598,3.9
Rudy Gobert,81,2577,4.3
Bojan Bogdanović,81,2573,-0.5
Joe Ingles,82,2568,6.2
Evan Fournier,81,2553,2.3
Pascal Siakam,80,2548,14.4
De'Aaron Fox,81,2546,5.7
Karl-Anthony Towns,77,2545,4.9
Andrew Wiggins,73,2543,1.4
Josh Richardson,73,2539,5.1
Harrison Barnes,77,2533,-0.1
Nikola Vučević,80,2510,8.3
Nikola Jokić,80,2504,3.2
Trae Young,81,2503,-2.0
Thaddeus Young,81,2489,-0.9
Jayson Tatum,79,2455,4.6
D'Angelo Russell,81,2448,0.1
Jamal Murray,75,2447,2.8
Cedi Osman,76,2444,-7.5
Marc Gasol,79,2436,4.4
Mikal Bridges,82,2417,4.7
Jrue Holiday,67,2402,14.5
Khris Middleton,77,2393,3.8
JJ Redick,76,2379,5.9
CJ McCollum,70,2375,6.1
Giannis Antetokounmpo,72,2358,8.8
Nicolas Batum,75,2354,2.6
Trevor Ariza,69,2349,-2.2
Mike Conley,70,2342,6.2
Stephen Curry,69,2331,16.2
Brook Lopez,81,2322,5.3
Luka Dončić,72,2318,-3.7
Dennis Schröder,79,2314,-0.3
Kyle Kuzma,70,2314,1.5
Bryn Forbes,82,2293,-3.2
Joe Harris,76,2293,-4.3
Al-Farouq Aminu,81,2292,10.0
Reggie Jackson,82,2289,3.2
Eric Bledsoe,78,2272,5.0
D.J. Augustin,81,2269,4.8
Jeremy Lamb,79,2250,4.5
Clint Capela,67,2249,2.7
Devin Booker,64,2242,3.9
Julius Randle,73,2232,2.3
Danny Green,80,2216,17.6
Jordan Clarkson,81,2214,3.8
Kyrie Irving,67,2214,3.3
Willie Cauley-Stein,81,2213,3.8
Kyle Lowry,65,2213,12.2
Marcus Smart,80,2200,0.0
Jimmy Butler,65,2185,4.2
Deandre Ayton,71,2183,1.8
Shai Gilgeous-Alexander,82,2174,-6.4
Zach LaVine,63,2171,2.8
Jae Crowder,80,2166,-2.6
Tomáš Satoranský,80,2164,3.4
Montrezl Harrell,82,2158,2.3
Kevin Knox,75,2158,-10.8
Eric Gordon,68,2158,6.0
Joel Embiid,64,2154,10.5
Terrence Ross,81,2150,-2.0
Darren Collison,76,2143,-2.8
Patrick Beverley,78,2137,6.0
Marvin Williams,75,2133,1.7
Myles Turner,74,2119,-1.3
Jeff Green,77,2097,0.6
Jarrett Allen,80,2096,-5.3
Marcus Morris,75,2091,-5.0
Wesley Matthews,69,2091,-2.9
Draymond Green,66,2065,7.8
Cory Joseph,82,2063,4.8
Danilo Gallinari,68,2059,1.9
Tim Hardaway Jr.,65,2057,-2.7
Kevin Huerter,75,2048,6.0
DeAndre Jordan,69,2047,-2.2
Kawhi Leonard,60,2040,5.3
Garrett Temple,75,2040,-0.2
Kentavious Caldwell-Pope,82,2035,-3.9
Austin Rivers,76,2028,0.3
Dario Šarić,81,2023,-0.9
Serge Ibaka,74,2010,1.1
Damyean Dotson,73,2004,2.4
Jonathan Isaac,75,1996,1.3
Lou Williams,75,1993,3.9
Josh Jackson,79,1988,-1.3
Dorian Finney-Smith,81,1985,-0.8
Jusuf Nurkić,72,1974,12.4
Al Horford,68,1973,2.7
Monte Morris,82,1970,0.0
Ryan Arcidiacono,81,1961,4.8
Justise Winslow,66,1959,7.1
Bogdan Bogdanović,70,1947,0.1
LeBron James,55,1937,8.2
Kelly Oubre Jr.,69,1935,0.7
DeAndre' Bembry,82,1931,2.0
Terrance Ferguson,74,1931,0.8
Spencer Dinwiddie,68,1914,-4.7
Bam Adebayo,82,1913,1.6
Jaylen Brown,74,1913,-3.7
Patty Mills,82,1908,5.6
Avery Bradley,63,1905,-3.2
Ricky Rubio,68,1899,1.6
Paul Millsap,70,1895,9.2
Rodney Hood,72,1893,-2.6
Dwyane Wade,72,1885,-3.8
Malik Beasley,81,1879,-1.7
Reggie Bullock,63,1879,-0.6
Gordon Hayward,72,1863,0.0
Chris Paul,58,1857,4.5
Anthony Davis,56,1850,8.6
Rudy Gay,69,1842,3.5
Domantas Sabonis,74,1838,2.9
Malcolm Brogdon,64,1832,4.5
John Collins,61,1829,6.6
Marco Belinelli,79,1815,-0.7
Kelly Olynyk,79,1812,4.3
Landry Shamet,79,1802,-0.7
Larry Nance Jr.,67,1795,1.0
Terry Rozier,79,1791,-9.5
Nemanja Bjelica,77,1788,5.9
Derrick Favors,76,1766,0.4
Fred VanVleet,64,1760,4.1
Brandon Ingram,52,1760,-0.2
Josh Okogie,74,1757,1.7
Darius Miller,69,1757,2.8
Langston Galloway,80,1745,1.8
Mason Plumlee,82,1731,-2.2
Derrick White,67,1728,6.0
Jabari Parker,64,1724,0.4
Noah Vonleh,68,1722,2.6
Josh Hart,67,1715,3.6
DeMarre Carroll,67,1703,3.3
Delon Wright,75,1699,-3.3
Miles Bridges,80,1696,-3.5
Taj Gibson,70,1686,-0.1
Otto Porter Jr.,56,1683,5.1
Lauri Markkanen,52,1682,4.8
Hassan Whiteside,72,1674,2.7
Royce O'Neale,82,1671,1.6
JaVale McGee,75,1671,-4.4
Dwight Powell,77,1662,3.1
Kent Bazemore,67,1643,-3.8
Enes Freedom,67,1640,-1.2
Gary Harris,57,1639,3.9
Dāvis Bertāns,76,1632,10.6
Justin Jackson,81,1614,0.1
Dewayne Dedmon,64,1609,0.9
Emmanuel Mudiay,59,1607,-2.9
Robin Lopez,74,1606,5.9
Evan Turner,73,1605,-4.7
Jalen Brunson,73,1591,-2.4
Andre Iguodala,68,1578,4.0
Marvin Bagley III,62,1567,-3.5
Tyus Jones,68,1560,2.8
Taurean Prince,55,1552,-3.1
Rodney McGruder,66,1550,-1.4
Alex Len,77,1544,1.6
Tyler Johnson,57,1529,-2.2
Jaren Jackson Jr.,58,1515,-1.0
Dennis Smith Jr.,53,1508,-0.4
Torrey Craig,75,1503,-0.6
Maxi Kleber,71,1502,6.7
Thomas Bryant,72,1496,-0.1
Kevon Looney,80,1481,6.8
Iman Shumpert,62,1481,-2.1
Gerald Green,73,1473,-1.3
T.J. McConnell,76,1470,-4.5
E'Twaun Moore,53,1463,1.6
Allonzo Trier,64,1459,2.6
Bruce Brown,74,1449,3.4
Ed Davis,81,1446,6.4
Wayne Selden,75,1439,-3.5
Luke Kennard,63,1437,0.5
Jeremy Lin,74,1436,-4.2
Shaquille Harrison,73,1430,-2.9
Lonzo Ball,47,1423,0.9
Maurice Harkless,60,1415,6.2
Tyreke Evans,69,1402,-0.8
Seth Curry,74,1399,-0.6
Mike Scott,79,1395,-0.6
Derrick Rose,51,1392,3.4
Kris Dunn,46,1389,1.9
Alec Burks,64,1375,-5.7
JaMychal Green,65,1371,-8.2
Rajon Rondo,46,1369,-9.6
Mitchell Robinson,66,1360,3.6
T.J. Warren,43,1360,1.9
Juancho Hernangómez,70,1358,-3.6
Zach Collins,77,1356,-6.0
OG Anunoby,67,1352,-12.1
Doug McDermott,77,1340,2.0
Kyle Korver,70,1334,1.3
Vince Carter,76,1330,-0.6
Jake Layman,71,1327,-2.3
Mike Muscala,64,1306,-0.5
Tony Snell,74,1304,-2.4
George Hill,60,1302,3.1
Bobby Portis,50,1299,1.6
Wayne Ellington,53,1297,-0.7
Rodions Kurucs,63,1294,-0.6
Kyle Anderson,43,1281,0.1
Jakob Poeltl,77,1273,3.3
Markieff Morris,58,1270,-6.1
Jeff Teague,42,1264,2.3
Pat Connaughton,61,1261,-4.8
Malik Monk,73,1258,-2.7
Ish Smith,56,1251,4.8
Elfrid Payton,42,1250,-1.3
Shelvin Mack,57,1246,-9.8
Nikola Mirotić,46,1245,3.8
Cody Zeller,49,1243,4.1
Rondae Hollis-Jefferson,59,1234,0.4
Wes Iwundu,68,1233,1.4
Ersan İlyasova,67,1231,0.8
James Ennis III,58,1230,-5.5
Jared Dudley,59,1220,2.1
Jonas Jerebko,73,1218,-6.4
Jamal Crawford,64,1211,-8.9
Stanley Johnson,66,1208,-8.0
Mario Hezonja,58,1206,-0.8
Robert Covington,35,1203,3.3
Tristan Thompson,43,1198,-3.6
Will Barton,43,1189,-4.8
Richaun Holmes,70,1184,3.0
Michael Kidd-Gilchrist,64,1179,1.3
Wilson Chandler,51,1177,3.3
Frank Jackson,61,1169,-5.6
James Johnson,55,1164,-5.8
Derrick Jones Jr.,60,1153,0.3
Victor Oladipo,36,1147,2.7
Dion Waiters,44,1138,-2.8
Allen Crabbe,43,1133,-0.9
Norman Powell,60,1126,-8.2
Trey Burke,58,1125,5.4
Lance Stephenson,68,1123,-3.5
Trey Lyles,64,1120,-5.5
Tim Frazier,59,1120,-3.2
Wendell Carter Jr.,44,1110,-6.7
John Wall,32,1104,-5.2
Jonas Valančiūnas,49,1091,0.3
Ante Žižić,59,1082,9.3
Anthony Tolliver,65,1079,-3.4
Kenrich Williams,46,1079,-2.6
Devin Harris,68,1071,-3.6
Yogi Ferrell,71,1067,-1.4
Jonathon Simmons,56,1064,-8.3
Caris LeVert,40,1063,0.1
Quinn Cook,74,1059,-17.0
Nerlens Noel,77,1055,-7.5
Ivica Zubac,59,1040,2.7
Sterling Brown,58,1034,-10.3
Gorgui Dieng,76,1031,-3.6
Nik Stauskas,68,1015,-14.0
Alfonzo McKinnie,72,1003,-7.0
Tony Parker,56,1003,1.0
Goran Dragić,36,991,2.1
David Nwaba,51,984,8.4
De'Anthony Melton,50,984,1.4
Shabazz Napier,56,983,2.0
Danuel House Jr.,39,979,7.4
Ian Clark,60,973,-2.8
Thon Maker,64,972,-2.9
Shaun Livingston,64,967,-4.3
Elie Okobo,53,958,-1.3
Jerian Grant,60,939,-9.6
Jahlil Okafor,59,935,-5.2
Dante Cunningham,64,928,-12.6
Daniel Theis,66,908,4.5
Frank Ntilikina,43,904,1.1
Cheick Diallo,64,896,-3.9
Chandler Hutchison,44,895,3.1
D.J. Wilson,48,882,-3.6
Zaza Pachulia,68,878,-6.2
Meyers Leonard,61,878,-11.7
Solomon Hill,44,878,-6.1
Tyson Chandler,55,875,2.0
Patrick Patterson,63,861,-11.6
C.J. Miles,53,856,-6.5
Antonio Blakeney,57,829,-0.6
Dragan Bender,46,826,-0.6
Aron Baynes,51,821,3.9
Harry Giles,58,820,-4.6
Willy Hernangómez,58,812,-6.7
Matthew Dellavedova,48,812,5.1
Omari Spellman,46,805,-7.7
Bruno Caboclo,34,800,4.7
Dirk Nowitzki,51,795,-5.4
Jordan Bell,68,788,-13.8
Sam Dekker,47,788,-0.1
Luke Kornet,46,784,6.4
Bismack Biyombo,54,783,-6.0
Lance Thomas,46,783,-3.1
DeMarcus Cousins,30,771,-2.8
Mo Bamba,47,766,-18.5
Troy Daniels,51,760,1.6
Dwayne Bacon,43,759,0.1
Frank Kaminsky,47,755,1.3
J.J. Barea,38,752,5.7
Marcin Gortat,47,751,-9.0
Cristiano Felício,60,746,-0.2
Chasson Randle,49,743,-2.9
Brandon Knight,39,736,-5.2
Troy Brown Jr.,52,730,3.9
Kenneth Faried,37,728,-0.2
Ivan Rabb,49,721,-4.3
Treveon Graham,35,715,3.3
Cameron Payne,40,712,-8.0
Tyler Dorsey,48,698,1.1
Abdel Nader,61,694,-15.3
Joakim Noah,42,693,5.3
Boban Marjanović,58,681,-2.0
Furkan Korkmaz,48,679,0.9
Devonte' Graham,46,676,-6.4
Timothé Luwawu-Cabarrot,50,669,-9.4
Dante Exum,42,664,-1.6
Jerryd Bayless,34,657,-14.1
Aaron Holiday,50,646,5.1
Khem Birch,50,643,2.4
Gary Clark,51,641,-4.5
Jonah Bolden,44,639,-5.2
José Calderón,49,632,-16.8
Isaiah Canaan,30,629,-5.6
Tyrone Wallace,62,628,4.5
Glenn Robinson III,47,610,-1.3
Thabo Sefolosha,50,609,6.6
Kevin Love,22,598,6.7
Semi Ojeleye,56,594,3.6
Álex Abrines,31,588,-1.5
Jevon Carter,39,577,-6.0
Isaiah Briscoe,39,559,1.2
Nenê,42,546,3.4
Wesley Johnson,38,534,-6.1
Alex Caruso,25,531,7.4
Amir Johnson,51,529,-8.0
Hamidou Diallo,51,526,-11.1
T.J. Leaf,58,522,0.7
Omri Casspi,36,520,3.9
Georges Niang,59,516,-11.4
Keita Bates-Diop,30,503,-4.3
Kosta Koufos,42,502,0.1
Marquese Chriss,43,499,-12.3
Ian Mahinmi,34,498,-0.5
Chandler Parsons,25,496,-2.8
Corey Brewer,31,492,0.7
Greg Monroe,43,480,-13.7
Raul Neto,37,474,13.8
Justin Anderson,48,463,0.3
Ryan Broekhoff,42,453,8.5
Moritz Wagner,43,446,-10.3
Svi Mykhailiuk,42,440,0.3
Jaron Blossomgame,27,439,7.1
Frank Mason III,38,435,-15.3
Jaylen Adams,34,428,0.6
Courtney Lee,34,428,-2.2
Markelle Fultz,19,427,-4.0
Grayson Allen,38,416,-19.3
Kadeem Allen,19,416,5.5
Donte DiVincenzo,27,411,2.9
Damian Jones,24,410,-4.8
Jon Leuer,41,402,-14.5
Salah Mejri,36,399,-5.8
Patrick McCaw,29,397,-10.1
Luol Deng,22,392,14.5
MarShon Brooks,29,387,-2.7
Raymond Felton,33,379,-1.6
Damion Lee,32,375,-13.9
Johnathan Williams,24,372,10.2
Michael Carter-Williams,28,372,-2.1
Kyle O'Quinn,45,371,-3.5
Pau Gasol,30,360,-8.2
Brad Wanamaker,36,343,6.6
Channing Frye,36,341,-16.2
Jordan McRae,27,333,-0.7
John Jenkins,26,333,0.4
Dillon Brooks,18,330,2.9
Jarell Martin,42,328,4.4
Ryan Anderson,25,322,-4.1
Ekpe Udoh,51,320,-10.4
Jerome Robinson,33,320,-4.0
Sindarius Thornwell,64,313,0.7
Troy Williams,21,312,-9.2
Alex Poythress,21,305,-3.5
Carmelo Anthony,10,294,-18.1
Quincy Pondexter,53,292,-5.5
Robert Williams,32,283,-10.4
Michael Beasley,26,277,-5.1
Shake Milton,20,268,-3.7
Cameron Reynolds,19,259,-7.2
Henry Ellenson,19,259,5.0
Julian Washburn,18,254,0.1
Guerschon Yabusele,41,251,-7.0
Christian Wood,21,251,-10.0
Deonte Burton,32,240,5.3
Dwight Howard,9,230,-7.8
J.R. Smith,11,222,7.5
Isaiah Hartenstein,28,221,3.3
Jalen Jones,16,214,5.2
Brandon Sampson,14,214,-0.6
Lorenzo Brown,26,212,-12.4
Theo Pinson,18,211,-1.0
Edmond Sumner,23,210,-11.7
Jacob Evans,30,204,-14.1
Daniel Hamilton,19,204,-1.5
Khyri Thomas,26,195,-7.4
Deng Adel,19,194,1.4
Jason Smith,20,190,-12.2
John Henson,14,188,-10.6
Andrew Harrison,17,187,3.6
Isaiah Thomas,12,181,-8.4
Caleb Swanigan,21,178,-21.1
Skal Labissière,22,176,-6.9
Yuta Watanabe,15,174,8.3
Miles Plumlee,18,173,-8.6
Dairis Bertāns,12,167,-15.0
Walt Lemon Jr.,6,167,0.3
Chris Boucher,28,163,-9.3
Duncan Robinson,15,161,-11.6
Ben McLemore,19,158,-1.8
Johnathan Motley,22,156,-9.0
Ron Baker,15,152,1.1
Miloš Teodosić,15,150,6.2
Ray Spalding,14,148,2.3
Chimezie Metu,29,145,-5.9
Jemerrio Jones,6,143,11.4
Anfernee Simons,20,141,-21.7
Andrew Bogut,11,134,-3.4
C.J. Williams,15,128,-16.7
JaKarr Sampson,4,127,6.1
Quincy Acy,10,123,12.1
Isaac Bonga,22,120,6.8
Rawle Alkins,10,120,2.5
Lonnie Walker IV,17,118,-23.4
Deyonta Davis,9,118,-6.9
Drew Eubanks,23,113,-13.2
Gary Trent Jr.,15,111,-5.5
Jared Terrell,14,111,-10.8
Zhaire Smith,6,111,4.2
Jodie Meeks,8,104,0.7
Malachi Richardson,22,103,-13.2
James Nunnally,15,102,-13.2
Bonzie Colson,8,98,-18.3
Devin Robinson,7,95,-0.5
Tyler Lydon,25,94,-9.7
Wade Baldwin,16,94,-39.4
Tyler Zeller,6,93,9.1
Daryl Macon,8,90,-2.8
Naz Mitrou-Long,14,84,-22.8
Udonis Haslem,10,74,-18.8
Jarred Vanderbilt,17,69,2.3
Amile Jefferson,12,68,10.1
Marcus Derrickson,11,67,-12.1
Malcolm Miller,10,67,-8.5
Jimmer Fredette,6,65,-18.5
Jawun Evans,8,65,-29.8
Alize Johnson,14,64,-4.4
Billy Garrett,4,63,-0.5
Luc Mbah a Moute,4,61,11.3
Brandon Goodwin,16,57,4.7
Isaac Humphries,5,56,-10.8
Jordan Loyd,12,55,-21.7
PJ Dozier,6,51,18.0
B.J. Johnson,7,49,-8.9
Mitch Creek,5,48,1.2
Davon Reed,10,47,14.3
Melvin Frazier,10,44,-7.4
Eric Moreland,5,43,-18.5
Haywood Highsmith,5,40,-31.9
Tyler Cavanaugh,11,39,-47.2
Džanan Musa,9,39,7.6
Demetrius Jackson,6,39,-15.9
Nick Young,4,37,-10.4
Thomas Welsh,11,36,2.8
Tony Bradley,3,36,-27.8
Chris Chiozza,7,33,-23.1
Isaiah Hicks,3,32,2.9
Jaylen Morris,4,29,13.1
Alan Williams,5,26,23.0
Dusty Hannahs,2,26,-17.4
R.J. Hunter,1,26,52.1
Emanuel Terry,3,23,18.7
DeVaughn Akoon-Purcell,7,22,3.5
Justin Patton,3,21,-12.5
Scott Machado,4,19,-1.2
J.P. Macura,2,17,6.9
Troy Caupain,4,16,22.0
Gary Payton II,3,16,27.4
Vince Edwards,2,16,-11.3
Andre Ingram,4,15,15.0
Ángel Delgado,2,15,11.4
Donatas Motiejūnas,3,13,-63.9
Yante Maten,2,13,8.2
Kostas Antetokounmpo,2,11,20.4
Joe Chealey,1,8,-18.7
Tahjere McCall,1,8,79.3
D.J. Stephens,1,7,-16.2
Ike Anigbogu,3,6,-27.1
Trevon Duval,3,6,9.7
Okaro White,3,6,-20.2
George King,1,6,-57.0
Kalin Lucas,1,6,-27.0
Terrence Jones,2,5,-97.5
Zach Lofton,1,4,14.6
Jordan Sibert,1,4,-49.7
Donte Grantham,3,2,-53.1
Kobi Simmons,1,2,76.8
Tyler Davis,1,1,-3.1
John Holland,1,1,110.1
Zhou Qi,1,1,-38.4
Tyler Ulis,1,1,8.6
