nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
2544,Lebron James,2021,LAL,PG,33.415,4.368,4.117,0.25,6.455,Shot Creator,Helper
2546,Carmelo Anthony,2021,POR,PF,24.493,-1.291,0.641,-1.932,1.201,Shot Creator,Low Activity
2730,Dwight Howard,2021,PHI,C,17.326,-0.252,-1.056,0.804,1.649,Roll + Cut Big,Anchor Big
2738,Andre Iguodala,2021,MIA,SF,21.249,-0.665,-1.782,1.116,1.49,Stationary Shooter,Helper
2772,Trevor Ariza,2021,MIA,SF,28.032,0.494,-0.711,1.205,1.564,Stationary Shooter,Wing Stopper
101108,Chris Paul,2021,PHO,PG,31.42,3.606,2.224,1.382,8.424,Shot Creator,Chaser
101150,Lou Williams,2021,LAC/ATL,PG,21.56,-1.195,0.186,-1.381,1.099,Slasher,Low Activity
200746,Lamarcus Aldridge,2021,SAS/BRK,C,25.94,0.274,-0.258,0.532,1.159,Post Scorer,Anchor Big
200752,Rudy Gay,2021,SAS,PF,21.549,0.342,0.406,-0.064,2.393,Movement Shooter,Wing Stopper
200755,Jj Redick,2021,NOP/DAL,SG,16.438,-1.31,0.135,-1.445,0.505,Off Screen Shooter,Low Activity
200765,Rajon Rondo,2021,ATL/LAC,PG,17.096,-1.758,-0.872,-0.887,0.317,Primary Ball Handler,Chaser
200768,Kyle Lowry,2021,TOR,PG,34.815,0.934,0.91,0.024,3.433,Primary Ball Handler,Chaser
200782,P.J. Tucker,2021,HOU/MIL,PF,26.07,-2.92,-3.417,0.497,-0.436,Stationary Shooter,Wing Stopper
200794,Paul Millsap,2021,DEN,PF,20.755,1.31,-0.139,1.448,2.772,Versatile Big,Helper
201142,Kevin Durant,2021,BRK,PF,33.048,3.241,3.681,-0.44,4.17,Shot Creator,Wing Stopper
201143,Al Horford,2021,OKC,C,27.921,2.39,0.457,1.933,2.402,Versatile Big,Anchor Big
201144,Mike Conley,2021,UTA,PG,29.365,2.868,2.751,0.117,5.051,Primary Ball Handler,Point of Attack
201145,Jeff Green,2021,BRK,PF,26.987,-0.335,0.388,-0.724,2.432,Stationary Shooter,Wing Stopper
201152,Thaddeus Young,2021,CHI,PF,24.298,1.454,1.387,0.067,4.093,Post Scorer,Anchor Big
201188,Marc Gasol,2021,LAL,C,19.099,0.166,-1.857,2.023,1.637,Stretch Big,Anchor Big
201565,Derrick Rose,2021,DET/NYK,PG,25.578,0.067,0.759,-0.692,2.027,Slasher,Point of Attack
201566,Russell Westbrook,2021,WAS,PG,36.445,2.646,1.272,1.373,7.659,Shot Creator,Point of Attack
201567,Kevin Love,2021,CLE,PF,24.889,1.784,1.338,0.446,1.672,Versatile Big,Helper
201568,Danilo Gallinari,2021,ATL,PF,23.959,-0.295,0.617,-0.912,1.651,Shot Creator,Helper
201569,Eric Gordon,2021,HOU,SG,29.212,-0.562,0.708,-1.27,0.93,Primary Ball Handler,Chaser
201571,D.J. Augustin,2021,MIL/HOU,PG,19.806,-0.86,0.511,-1.37,1.115,Primary Ball Handler,Point of Attack
201572,Brook Lopez,2021,MIL,C,27.169,1.511,0.274,1.237,4.78,Stretch Big,Anchor Big
201577,Robin Lopez,2021,WAS,C,19.065,-1.164,-1.201,0.038,1.073,Post Scorer,Anchor Big
201580,Javale Mcgee,2021,CLE/DEN,C,14.748,0.221,-1.06,1.281,1.143,Post Scorer,Anchor Big
201586,Serge Ibaka,2021,LAC,C,23.287,1.753,0.53,1.223,2.548,Stretch Big,Anchor Big
201587,Nicolas Batum,2021,LAC,SF,27.384,0.985,-0.067,1.051,3.992,Stationary Shooter,Helper
201588,George Hill,2021,OKC/PHI,PG,22.386,-1.084,-0.26,-0.824,0.566,Secondary Ball Handler,Chaser
201599,Deandre Jordan,2021,BRK,C,21.863,0.077,-0.949,1.026,1.984,Roll + Cut Big,Anchor Big
201609,Goran Dragic,2021,MIA,PG,26.732,-1.603,-0.342,-1.261,0.683,Primary Ball Handler,Chaser
201933,Blake Griffin,2021,DET/BRK,PF,25.797,1.117,0.752,0.365,2.683,Shot Creator,Helper
201935,James Harden,2021,HOU/BRK,PG,36.564,3.819,4.6,-0.781,6.371,Shot Creator,Helper
201937,Ricky Rubio,2021,MIN,PG,26.052,0.739,0.773,-0.034,3.575,Primary Ball Handler,Point of Attack
201939,Stephen Curry,2021,GSW,PG,34.156,4.685,5.514,-0.829,9.645,Primary Ball Handler,Low Activity
201942,Demar Derozan,2021,SAS,PF,33.712,1.331,2.327,-0.996,4.932,Shot Creator,Low Activity
201949,James Johnson,2021,DAL/NOP,PF,20.556,-1.174,-1.461,0.287,0.824,Stationary Shooter,Wing Stopper
201950,Jrue Holiday,2021,MIL,PG,32.321,2.887,1.939,0.949,6.454,Shot Creator,Point of Attack
201952,Jeff Teague,2021,BOS/MIL,PG,17.276,-2.064,-1.302,-0.763,0.206,Shot Creator,Point of Attack
201959,Taj Gibson,2021,NYK,C,20.793,0.455,-1.332,1.787,1.717,Roll + Cut Big,Mobile Big
201961,Wayne Ellington,2021,DET,SG,21.996,-1.244,0.117,-1.361,0.749,Off Screen Shooter,Chaser
